experiment	cellLine	treatment	gene	Ct1	Ct2
1	HCT116	untreated	miR34a asRNA	28.877808	28.78173
2	HCT116	untreated	miR34a asRNA	28.430725	28.685326
3	HCT116	untreated	miR34a asRNA	27.90776	27.961033
1	HCT116	doxorubicin	miR34a asRNA	25.254595	25.33239
2	HCT116	doxorubicin	miR34a asRNA	25.071918	25.03086
3	HCT116	doxorubicin	miR34a asRNA	25.03434	25.033491
1	HCT116	untreated	B-actin	14.916926	14.942549
2	HCT116	untreated	B-actin	14.625459	14.633958
3	HCT116	untreated	B-actin	14.200052	14.141537
1	HCT116	doxorubicin	B-actin	14.445836	14.39271
2	HCT116	doxorubicin	B-actin	14.316333	14.299627
3	HCT116	doxorubicin	B-actin	14.445142	14.377897
1	HCT116	untreated	miR34a HG	27.911263	27.894047
2	HCT116	untreated	miR34a HG	27.246532	27.208574
3	HCT116	untreated	miR34a HG	26.914059	27.141611
1	HCT116	doxorubicin	miR34a HG	24.095943	23.9821
2	HCT116	doxorubicin	miR34a HG	23.78341	23.592754
3	HCT116	doxorubicin	miR34a HG	23.799871	23.830368
1	HCT116	untreated	B-actin	14.916926	14.942549
2	HCT116	untreated	B-actin	14.625459	14.633958
3	HCT116	untreated	B-actin	14.200052	14.141537
1	HCT116	doxorubicin	B-actin	14.445836	14.39271
2	HCT116	doxorubicin	B-actin	14.316333	14.299627
3	HCT116	doxorubicin	B-actin	14.445142	14.377897
1	HEK293t	untreated	miR34a asRNA	28.749943	28.528168
2	HEK293t	untreated	miR34a asRNA	29.742277	29.718555
3	HEK293t	untreated	miR34a asRNA	28.91859	28.824152
1	HEK293t	doxorubicin	miR34a asRNA	26.443857	26.530607
2	HEK293t	doxorubicin	miR34a asRNA	25.869762	25.873363
3	HEK293t	doxorubicin	miR34a asRNA	25.941757	25.813477
1	HEK293t	untreated	B-actin	12.958352	12.971055
2	HEK293t	untreated	B-actin	13.82457	13.690536
3	HEK293t	untreated	B-actin	13.289065	13.293342
1	HEK293t	doxorubicin	B-actin	14.22507	13.895809
2	HEK293t	doxorubicin	B-actin	14.003281	13.583932
3	HEK293t	doxorubicin	B-actin	13.297708	13.39809
1	HEK293t	untreated	miR34a HG	25.949057	25.959337
2	HEK293t	untreated	miR34a HG	27.3217	27.417488
3	HEK293t	untreated	miR34a HG	26.112347	26.241508
1	HEK293t	doxorubicin	miR34a HG	23.76601	23.643736
2	HEK293t	doxorubicin	miR34a HG	22.483715	22.493097
3	HEK293t	doxorubicin	miR34a HG	23.0869	23.030018
1	HEK293t	untreated	B-actin	12.958352	12.971055
2	HEK293t	untreated	B-actin	13.82457	13.690536
3	HEK293t	untreated	B-actin	13.289065	13.293342
1	HEK293t	doxorubicin	B-actin	14.22507	13.895809
2	HEK293t	doxorubicin	B-actin	14.003281	13.583932
3	HEK293t	doxorubicin	B-actin	13.297708	13.39809
