gene	siRNA	Biological Replicate	Ct1	Ct2
miR34a HG	si-Ctl	1	27.7531	27.697124
miR34a HG	si-lncTAM34a	1	27.90722	27.9007
miR34a HG	si-Ctl	2	28.912924	28.946493
miR34a HG	si-lncTAM34a	2	29.508295	29.418097
miR34a HG	si-Ctl	3	28.342144	28.430445
miR34a HG	si-lncTAM34a	3	28.828358	28.974634
lncTAM34a	si-Ctl	1	23.777098	23.84942
lncTAM34a	si-lncTAM34a	1	26.544477	26.330578
lncTAM34a	si-Ctl	2	27.763725	27.375904
lncTAM34a	si-lncTAM34a	2	30.342037	30.951597
lncTAM34a	si-Ctl	3	27.541082	27.348137
lncTAM34a	si-lncTAM34a	3	32.70766	32.261005
lncTAM34a	si-Ctl	4	28.713943	28.653406
lncTAM34a	si-lncTAM34a	4	33.03789	33.342953
Actin	si-Ctl	1	16.210232	16.078196
Actin	si-lncTAM34a	1	16.074053	16.01379
Actin	si-Ctl	2	13.537387	13.790601
Actin	si-lncTAM34a	2	13.879137	13.86193
Actin	si-Ctl	3	15.408551	15.4105625
Actin	si-lncTAM34a	3	15.510497	15.890727
Actin	si-Ctl	4	16.444025	16.35614
Actin	si-lncTAM34a	4	17.61382	17.408993
