experiment	cellLine	gene	alias	construct	value
1	HEK293t	luciferase	miR34a	empty	877
1	HEK293t	luciferase	miR34a	p1	12389
1	HEK293t	luciferase	miR34a	p2	3125
2	HEK293t	luciferase	miR34a	empty	973
2	HEK293t	luciferase	miR34a	p1	15177
2	HEK293t	luciferase	miR34a	p2	2773
3	HEK293t	luciferase	miR34a	empty	935
3	HEK293t	luciferase	miR34a	p1	17048
3	HEK293t	luciferase	miR34a	p2	4585
1	HEK293t	renilla	miR34a asRNA	empty	173
1	HEK293t	renilla	miR34a asRNA	p1	2638
1	HEK293t	renilla	miR34a asRNA	p2	2997
2	HEK293t	renilla	miR34a asRNA	empty	211
2	HEK293t	renilla	miR34a asRNA	p1	2517
2	HEK293t	renilla	miR34a asRNA	p2	3119
3	HEK293t	renilla	miR34a asRNA	empty	192
3	HEK293t	renilla	miR34a asRNA	p1	3215
3	HEK293t	renilla	miR34a asRNA	p2	3733
1	HCT116	luciferase	miR34a	empty	301
1	HCT116	luciferase	miR34a	p1	34297
1	HCT116	luciferase	miR34a	p2	12248
2	HCT116	luciferase	miR34a	empty	352
2	HCT116	luciferase	miR34a	p1	36100
2	HCT116	luciferase	miR34a	p2	9178
3	HCT116	luciferase	miR34a	empty	295
3	HCT116	luciferase	miR34a	p1	48629
3	HCT116	luciferase	miR34a	p2	12568
1	HCT116	renilla	miR34a asRNA	empty	263
1	HCT116	renilla	miR34a asRNA	p1	17837
1	HCT116	renilla	miR34a asRNA	p2	23467
2	HCT116	renilla	miR34a asRNA	empty	339
2	HCT116	renilla	miR34a asRNA	p1	21222
2	HCT116	renilla	miR34a asRNA	p2	18228
3	HCT116	renilla	miR34a asRNA	empty	327
3	HCT116	renilla	miR34a asRNA	p1	21594
3	HCT116	renilla	miR34a asRNA	p2	24012
