experiment	treatment	shRNA	gene	alias	correspondsWith	Ct1	Ct2
1	0	shCtrl	Luciferase	miR34a HG	Luciferase	24.683977	24.490301
1	300	shCtrl	Luciferase	miR34a HG	Luciferase	23.927183	23.862356
1	500	shCtrl	Luciferase	miR34a HG	Luciferase	23.640532	23.54128
1	0	shRenilla	Luciferase	miR34a HG	Luciferase	26.67165	26.670696
1	300	shRenilla	Luciferase	miR34a HG	Luciferase	26.880224	26.875713
1	500	shRenilla	Luciferase	miR34a HG	Luciferase	25.579475	25.766232
1	0	shCtrl	B-actin	NA	Luciferase	14.591415	14.581839
1	300	shCtrl	B-actin	NA	Luciferase	14.763694	14.607136
1	500	shCtrl	B-actin	NA	Luciferase	14.82583	14.610153
1	0	shRenilla	B-actin	NA	Luciferase	14.472507	14.375695
1	300	shRenilla	B-actin	NA	Luciferase	15.089399	14.944916
1	500	shRenilla	B-actin	NA	Luciferase	14.442668	14.153774
1	0	shCtrl	Renilla	miR34a AS	Renilla	26.324717	26.201466
1	300	shCtrl	Renilla	miR34a AS	Renilla	25.397167	25.518946
1	500	shCtrl	Renilla	miR34a AS	Renilla	25.155468	25.028946
1	0	shRenilla	Renilla	miR34a AS	Renilla	28.951677	29.109118
1	300	shRenilla	Renilla	miR34a AS	Renilla	29.173786	29.59156
1	500	shRenilla	Renilla	miR34a AS	Renilla	28.090412	28.10599
1	0	shCtrl	B-actin	NA	Renilla	14.591415	14.581839
1	300	shCtrl	B-actin	NA	Renilla	14.763694	14.607136
1	500	shCtrl	B-actin	NA	Renilla	14.82583	14.610153
1	0	shRenilla	B-actin	NA	Renilla	14.472507	14.375695
1	300	shRenilla	B-actin	NA	Renilla	15.089399	14.944916
1	500	shRenilla	B-actin	NA	Renilla	14.442668	14.153774
2	0	shCtrl	Luciferase	miR34a HG	Luciferase	29.79904	29.916595
2	300	shCtrl	Luciferase	miR34a HG	Luciferase	27.938715	28.31448
2	500	shCtrl	Luciferase	miR34a HG	Luciferase	27.685223	28.168312
2	0	shRenilla	Luciferase	miR34a HG	Luciferase	30.545362	30.853638
2	300	shRenilla	Luciferase	miR34a HG	Luciferase	30.000761	30.31892
2	500	shRenilla	Luciferase	miR34a HG	Luciferase	30.355625	30.46857
2	0	shCtrl	B-actin	NA	Luciferase	16.074486	15.703113
2	300	shCtrl	B-actin	NA	Luciferase	15.271493	15.347286
2	500	shCtrl	B-actin	NA	Luciferase	14.999299	15.166742
2	0	shRenilla	B-actin	NA	Luciferase	15.080793	15.019565
2	300	shRenilla	B-actin	NA	Luciferase	15.05016	15.005278
2	500	shRenilla	B-actin	NA	Luciferase	15.606714	15.555742
2	0	shCtrl	Renilla	miR34a AS	Renilla	29.39437	28.92012
2	300	shCtrl	Renilla	miR34a AS	Renilla	28.412584	28.090363
2	500	shCtrl	Renilla	miR34a AS	Renilla	27.8797	27.782804
2	0	shRenilla	Renilla	miR34a AS	Renilla	31.81702	31.35047
2	300	shRenilla	Renilla	miR34a AS	Renilla	30.964653	31.20201
2	500	shRenilla	Renilla	miR34a AS	Renilla	31.234715	30.919807
2	0	shCtrl	B-actin	NA	Renilla	16.074486	15.703113
2	300	shCtrl	B-actin	NA	Renilla	15.271493	15.347286
2	500	shCtrl	B-actin	NA	Renilla	14.999299	15.166742
2	0	shRenilla	B-actin	NA	Renilla	15.080793	15.019565
2	300	shRenilla	B-actin	NA	Renilla	15.05016	15.005278
2	500	shRenilla	B-actin	NA	Renilla	15.606714	15.555742
3	0	shCtrl	Luciferase	miR34a HG	Luciferase	24.003557	24.366789
3	300	shCtrl	Luciferase	miR34a HG	Luciferase	23.625576	23.679613
3	500	shCtrl	Luciferase	miR34a HG	Luciferase	23.231928	22.968534
3	0	shRenilla	Luciferase	miR34a HG	Luciferase	25.599195	26.58184
3	300	shRenilla	Luciferase	miR34a HG	Luciferase	25.646618	25.747265
3	500	shRenilla	Luciferase	miR34a HG	Luciferase	24.661055	24.929857
3	0	shCtrl	B-actin	NA	Luciferase	13.736184	13.786394
3	300	shCtrl	B-actin	NA	Luciferase	13.674634	13.952515
3	500	shCtrl	B-actin	NA	Luciferase	13.252552	12.952383
3	0	shRenilla	B-actin	NA	Luciferase	13.622811	13.739271
3	300	shRenilla	B-actin	NA	Luciferase	13.807169	13.605845
3	500	shRenilla	B-actin	NA	Luciferase	13.3426075	13.214758
3	0	shCtrl	Renilla	miR34a AS	Renilla	27.351353	27.426428
3	300	shCtrl	Renilla	miR34a AS	Renilla	26.633623	26.821142
3	500	shCtrl	Renilla	miR34a AS	Renilla	26.195549	26.295464
3	0	shRenilla	Renilla	miR34a AS	Renilla	30.907974	30.662249
3	300	shRenilla	Renilla	miR34a AS	Renilla	29.943937	30.219051
3	500	shRenilla	Renilla	miR34a AS	Renilla	29.454811	29.457706
3	0	shCtrl	B-actin	NA	Renilla	13.736184	13.786394
3	300	shCtrl	B-actin	NA	Renilla	13.674634	13.952515
3	500	shCtrl	B-actin	NA	Renilla	13.252552	12.952383
3	0	shRenilla	B-actin	NA	Renilla	13.622811	13.739271
3	300	shRenilla	B-actin	NA	Renilla	13.807169	13.605845
3	500	shRenilla	B-actin	NA	Renilla	13.3426075	13.214758
