experiment	cellLine	Sample Name	Gene	Ct1	Ct2	Ct3
1	PC3	mock	miR34a asRNA F1R1	40	40	NA
1	PC3	miR34a AS	miR34a asRNA F1R1	25.42376	25.884798	NA
2	PC3	mock	miR34a asRNA F1R1	40	40	NA
2	PC3	miR34a AS	miR34a asRNA F1R1	24.64113	24.866596	NA
3	PC3	mock	miR34a asRNA F1R1	37.15934	40	NA
3	PC3	miR34a AS	miR34a asRNA F1R1	23.34607	23.0045	NA
4	PC3	mock	miR34a asRNA F1R1	35.480156	40	40
4	PC3	miR34a AS	miR34a asRNA F1R1	23.011873	23.165092	22.97865
5	PC3	mock	miR34a asRNA F1R1	40	40	40
5	PC3	miR34a AS	miR34a asRNA F1R1	23.510181	23.455418	23.416069
1	PC3	mock	B-actin	18.155056	18.320614	NA
1	PC3	miR34a AS	B-actin	18.165699	18.11351	NA
2	PC3	mock	B-actin	19.091707	19.169558	NA
2	PC3	miR34a AS	B-actin	17.9239	17.676058	NA
3	PC3	mock	B-actin	18.662762	18.762455	NA
3	PC3	miR34a AS	B-actin	17.70753	17.44999	NA
4	PC3	mock	B-actin	24.154873	24.288893	24.235867
4	PC3	miR34a AS	B-actin	21.72909	21.674055	21.595514
5	PC3	mock	B-actin	22.864328	22.94603	23.173182
5	PC3	miR34a AS	B-actin	23.88813	23.892307	23.77089
1	PC3	mock	miR34a	40	36.045967	NA
2	PC3	mock	miR34a	32.210747	40	NA
3	PC3	mock	miR34a	35.138733	34.4418	NA
4	PC3	mock	miR34a	36.30849	35.947876	NA
5	PC3	mock	miR34a	34.958385	35.51756	NA
1	PC3	miR34a AS	miR34a	31.321825	31.924217	NA
2	PC3	miR34a AS	miR34a	30.18895	31.69317	NA
3	PC3	miR34a AS	miR34a	31.2197	32.241875	NA
4	PC3	miR34a AS	miR34a	34.18602	34.81602	NA
5	PC3	miR34a AS	miR34a	35.980602	34.61634	NA
1	PC3	mock	RNU48	22.39229	21.771461	NA
2	PC3	mock	RNU48	21.123625	21.98003	NA
3	PC3	mock	RNU48	21.187124	21.618492	NA
4	PC3	mock	RNU48	22.197845	22.121792	NA
5	PC3	mock	RNU48	22.944998	22.715853	NA
1	PC3	miR34a AS	RNU48	21.550356	21.423204	NA
2	PC3	miR34a AS	RNU48	21.543951	21.488476	NA
3	PC3	miR34a AS	RNU48	20.985128	21.762297	NA
4	PC3	miR34a AS	RNU48	22.16587	22.354635	NA
5	PC3	miR34a AS	RNU48	23.478397	23.610582	NA
1	Saos2	mock	miR34a asRNA F1R1	40	31.58765	40
2	Saos2	mock	miR34a asRNA F1R1	35.26812	40	40
3	Saos2	mock	miR34a asRNA F1R1	40	33.937656	40
4	Saos2	mock	miR34a asRNA F1R1	40	40	36.467052
5	Saos2	mock	miR34a asRNA F1R1	32.884632	34.516193	40
1	Saos2	miR34a AS	miR34a asRNA F1R1	23.367453	22.646545	22.774656
2	Saos2	miR34a AS	miR34a asRNA F1R1	23.164948	23.31411	23.256683
3	Saos2	miR34a AS	miR34a asRNA F1R1	23.51015	23.525997	23.52713
4	Saos2	miR34a AS	miR34a asRNA F1R1	23.72994	23.776684	23.824137
5	Saos2	miR34a AS	miR34a asRNA F1R1	25.569492	25.822874	25.735931
1	Saos2	mock	B-actin	20.68417	21.011019	20.749573
2	Saos2	mock	B-actin	19.672916	19.762234	19.764565
3	Saos2	mock	B-actin	21.351133	21.243984	21.264984
4	Saos2	mock	B-actin	20.706787	20.602222	20.464182
5	Saos2	mock	B-actin	20.66111	20.675987	20.527143
1	Saos2	miR34a AS	B-actin	18.364784	18.415073	18.373003
2	Saos2	miR34a AS	B-actin	18.742758	18.977064	18.90609
3	Saos2	miR34a AS	B-actin	19.73302	19.64204	19.498283
4	Saos2	miR34a AS	B-actin	20.15337	20.380344	20.185448
5	Saos2	miR34a AS	B-actin	22.398626	22.507212	22.34391
1	Saos2	mock	miR34a	32.793255	32.744648	32.815952
2	Saos2	mock	miR34a	33.67277	32.49854	33.322586
3	Saos2	mock	miR34a	33.957886	34.33894	35.356804
4	Saos2	mock	miR34a	33.720585	31.973097	33.385895
5	Saos2	mock	miR34a	32.39542	33.54368	32.40975
1	Saos2	miR34a AS	miR34a	30.69164	30.533087	29.991894
2	Saos2	miR34a AS	miR34a	30.81977	30.301046	30.828007
3	Saos2	miR34a AS	miR34a	30.8288	30.208025	30.373802
4	Saos2	miR34a AS	miR34a	31.485966	30.900988	32.101288
5	Saos2	miR34a AS	miR34a	31.681015	31.86678	32.48275
1	Saos2	mock	RNU48	23.994446	24.010885	23.940817
2	Saos2	mock	RNU48	22.813377	22.877522	22.818623
3	Saos2	mock	RNU48	25.34766	25.439243	25.380423
4	Saos2	mock	RNU48	23.34396	23.263569	23.318495
5	Saos2	mock	RNU48	23.008043	22.975313	23.238707
1	Saos2	miR34a AS	RNU48	22.035046	21.984732	21.843468
2	Saos2	miR34a AS	RNU48	21.807142	21.92281	21.812046
