experiment	cellLine	condition	phase	value
1	PC3	mock	G1	31.24
2	PC3	mock	G1	30.67
3	PC3	mock	G1	39.8
4	PC3	mock	G1	35.34
5	PC3	mock	G1	36.9
1	PC3	miR34a AS	G1	42.92
2	PC3	miR34a AS	G1	41.82
3	PC3	miR34a AS	G1	39.88
4	PC3	miR34a AS	G1	44.67
5	PC3	miR34a AS	G1	44.2
1	PC3	mock	G2	23.05
2	PC3	mock	G2	22.31
3	PC3	mock	G2	24.9
4	PC3	mock	G2	23.86
5	PC3	mock	G2	23.6
1	PC3	miR34a AS	G2	20.05
2	PC3	miR34a AS	G2	19.34
3	PC3	miR34a AS	G2	20.21
4	PC3	miR34a AS	G2	24.45
5	PC3	miR34a AS	G2	17.16
1	PC3	mock	S	45.17
2	PC3	mock	S	47.02
3	PC3	mock	S	35.5
4	PC3	mock	S	40.8
5	PC3	mock	S	39.5
1	PC3	miR34a AS	S	37.03
2	PC3	miR34a AS	S	38.84
3	PC3	miR34a AS	S	35.12
4	PC3	miR34a AS	S	35.68
5	PC3	miR34a AS	S	38.62
1	Skov3	mock	G1	39.43
2	Skov3	mock	G1	42.73
3	Skov3	mock	G1	39.5
1	Skov3	miR34a AS	G1	48.46
2	Skov3	miR34a AS	G1	50.48
3	Skov3	miR34a AS	G1	48.94
1	Skov3	mock	S	37
2	Skov3	mock	S	36.74
3	Skov3	mock	S	36.71
1	Skov3	miR34a AS	S	36.09
2	Skov3	miR34a AS	S	31.01
3	Skov3	miR34a AS	S	32.79
1	Skov3	mock	G2	23.57
2	Skov3	mock	G2	20.54
3	Skov3	mock	G2	23.79
1	Skov3	miR34a AS	G2	15.45
2	Skov3	miR34a AS	G2	18.52
3	Skov3	miR34a AS	G2	18.26
