experiment	cellLine	condition	sample	gene	Quantity1	Quantity2
1	PC3	mock	input	miR34a AS	1.5000883	1.3186138
1	PC3	mock	pollII	miR34a AS	2.42E-04	5.02E-04
1	PC3	miR34a AS	input	miR34a AS	1.582539	1.4559218
1	PC3	miR34a AS	pollII	miR34a AS	0.001547403	0.001226593
2	PC3	mock	input	miR34a AS	0.12349488	0.1791039
2	PC3	mock	pollII	miR34a AS	4.10E-05	9.52E-05
2	PC3	miR34a AS	input	miR34a AS	0.14581838	0.17469983
2	PC3	miR34a AS	pollII	miR34a AS	1.28E-04	1.76E-04
3	PC3	mock	input	miR34a AS	0.49443805	0.52636164
3	PC3	mock	pollII	miR34a AS	1.37E-05	3.86E-05
3	PC3	miR34a AS	input	miR34a AS	0.56495047	0.64263856
3	PC3	miR34a AS	pollII	miR34a AS	6.22E-05	1.09E-04
4	PC3	mock	input	miR34a AS	0.70027596	0.7484133
4	PC3	mock	pollII	miR34a AS	4.42E-04	4.52E-04
4	PC3	miR34a AS	input	miR34a AS	0.5142221	0.7479415
4	PC3	miR34a AS	pollII	miR34a AS	0.002643083	0.001950689
