file name	project	grant	lab	composite	data type	view	cell	localization	rna extract	replicate	data version	dcc accession	date submitted	date unrestricted	GEO sample accession	lab exp ID	bio rep	seq platform	table name	type	md5sum	size	url
wgEncodeRikenCageA549CellPapAlnRep1.bam	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cell	longPolyA	1	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	"wgEncodeRikenCageA549CellPapAlnRep1.bam	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=1; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3422; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapAlnRep1; type=bam; md5sum=4cfc99373e471ba419ec43760eb75d6f; size=416M"	K16	021WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapAlnRep1	bam	4cfc99373e471ba419ec43760eb75d6f	416M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapAlnRep1.bam
wgEncodeRikenCageA549CellPapAlnRep1.bam.bai	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cell	longPolyA	1	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	"wgEncodeRikenCageA549CellPapAlnRep1.bam.bai	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=1; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3422; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapAlnRep1; type=bai; md5sum=6a1f2a4043e6ee827db74e49b69212f2; size=4.8M"	K16	021WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapAlnRep1	bai	6a1f2a4043e6ee827db74e49b69212f2	4.8M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapAlnRep1.bam.bai
wgEncodeRikenCageA549CellPapAlnRep2.bam	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cell	longPolyA	2	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	"wgEncodeRikenCageA549CellPapAlnRep2.bam	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=2; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3426; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapAlnRep2; type=bam; md5sum=19b5a4f9929fe434cb11983a93433584; size=295M"	K17	022WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapAlnRep2	bam	19b5a4f9929fe434cb11983a93433584	295M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapAlnRep2.bam
wgEncodeRikenCageA549CellPapAlnRep2.bam.bai	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	Alignments	A549	cell	longPolyA	2	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	"wgEncodeRikenCageA549CellPapAlnRep2.bam.bai	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=Alignments; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=2; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3426; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapAlnRep2; type=bai; md5sum=8382e9f1decfbe90bc25c2b19a8572a6; size=4.7M"	K17	022WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapAlnRep2	bai	8382e9f1decfbe90bc25c2b19a8572a6	4.7M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapAlnRep2.bam.bai
wgEncodeRikenCageA549CellPapMinusSignalRep1.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	MinusSignal	A549	cell	longPolyA	1	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-21	2011-10-21	GSM849359; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapMinusSignalRep1; type=bigWig; md5sum=cb45e712458ae6c29623d0e1cf7bc5b2	K16	021WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapMinusSignalRep1	bigWig	cb45e712458ae6c29623d0e1cf7bc5b2	65M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapMinusSignalRep1.bigWig
wgEncodeRikenCageA549CellPapMinusSignalRep2.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	MinusSignal	A549	cell	longPolyA	2	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-21	2011-10-21	GSM849359; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapMinusSignalRep2; type=bigWig; md5sum=cac38e9a81172791a918cdfb5c6775f3	K17	022WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapMinusSignalRep2	bigWig	cac38e9a81172791a918cdfb5c6775f3	53M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapMinusSignalRep2.bigWig
wgEncodeRikenCageA549CellPapPlusSignalRep1.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	PlusSignal	A549	cell	longPolyA	1	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-21	2011-10-21	GSM849359; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapPlusSignalRep1; type=bigWig; md5sum=189929e27bbae8fbc603a66fd646e238	K16	021WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapPlusSignalRep1	bigWig	189929e27bbae8fbc603a66fd646e238	67M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapPlusSignalRep1.bigWig
wgEncodeRikenCageA549CellPapPlusSignalRep2.bigWig	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	PlusSignal	A549	cell	longPolyA	2	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-21	2011-10-21	GSM849359; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapPlusSignalRep2; type=bigWig; md5sum=286cb07c282eb64f4204349d61fa3678	K17	022WC	Illumina_GA2x	wgEncodeRikenCageA549CellPapPlusSignalRep2	bigWig	286cb07c282eb64f4204349d61fa3678	55M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapPlusSignalRep2.bigWig
wgEncodeRikenCageA549CellPapRawDataRep1.fastq.gz	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	RawData	A549	cell	longPolyA	1	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	GSM849359; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=6dc8e90ede3de081cd9391bddb3046c7	K16	021WC	"wgEncodeRikenCageA549CellPapRawDataRep1.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=1; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3422; geoSampleAccession=GSM849359; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=6dc8e90ede3de081cd9391bddb3046c7; size=522M"	"wgEncodeRikenCageA549CellPapRawDataRep1.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=1; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3422; geoSampleAccession=GSM849359; labExpId=K16; bioRep=021WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=6dc8e90ede3de081cd9391bddb3046c7; size=522M"	fastq	6dc8e90ede3de081cd9391bddb3046c7	522M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapRawDataRep1.fastq.gz
wgEncodeRikenCageA549CellPapRawDataRep2.fastq.gz	wgEncode	Gingeras	RIKEN	wgEncodeRikenCage	Cage	RawData	A549	cell	longPolyA	2	ENCODE Jan 2011 Freeze	wgEncodeEH001158	2011-01-20	2011-10-20	GSM849359; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=5b90dc178a0d5c91d683b0d52fbc5eee	K17	022WC	"wgEncodeRikenCageA549CellPapRawDataRep2.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=2; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3426; geoSampleAccession=GSM849359; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=5b90dc178a0d5c91d683b0d52fbc5eee; size=368M"	"wgEncodeRikenCageA549CellPapRawDataRep2.fastq.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=RawData; cell=A549; localization=cell; rnaExtract=longPolyA; replicate=2; dataVersion=ENCODE Jan 2011 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2011-01-20; dateUnrestricted=2011-10-20; subId=3426; geoSampleAccession=GSM849359; labExpId=K17; bioRep=022WC; seqPlatform=Illumina_GA2x; type=fastq; md5sum=5b90dc178a0d5c91d683b0d52fbc5eee; size=368M"	fastq	5b90dc178a0d5c91d683b0d52fbc5eee	368M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapRawDataRep2.fastq.gz
