gene	shRNA	experiment	Ct1	Ct2
miR34a sense	siCnt	1	27.7531	27.697124
miR34a sense	si-lncTAM34a	1	27.90722	27.9007
miR34a sense	siCnt	2	28.912924	28.946493
miR34a sense	si-lncTAM34a	2	29.508295	29.418097
miR34a sense	siCnt	3	28.342144	28.430445
miR34a sense	si-lncTAM34a	3	28.828358	28.974634
mir34a asRNA	siCnt	1	23.777098	23.84942
mir34a asRNA	si-lncTAM34a	1	26.544477	26.330578
mir34a asRNA	siCnt	2	27.763725	27.375904
mir34a asRNA	si-lncTAM34a	2	30.342037	30.951597
mir34a asRNA	siCnt	3	27.541082	27.348137
mir34a asRNA	si-lncTAM34a	3	32.70766	32.261005
B-actin	siCnt	1	16.210232	16.078196
B-actin	si-lncTAM34a	1	16.074053	16.01379
B-actin	siCnt	2	13.537387	13.790601
B-actin	si-lncTAM34a	2	13.879137	13.86193
B-actin	siCnt	3	15.408551	15.4105625
B-actin	si-lncTAM34a	3	15.510497	15.890727
