FSC-A	BSC-A	Violet
355197.8	280550.4	13321
585244.1	275133.1	73003.03
295465	237050.8	15246.49
612111.7	502527.4	26113.61
261019.6	160919.9	10741.7
349076.8	310101.8	19145.6
318927	240885.9	15175.74
339261.3	272747.7	16755.9
183844.1	136110.4	14507.16
224391.4	97950	10747.1
248104.9	174595	11676.83
319815.3	178954.1	14670.73
275055.6	225662.5	14100.85
281400.2	118380.2	7276.411
187449.3	128701.4	8025.684
220626.8	142879.6	6952.924
347051.6	325326.2	13045.88
575063	512755.6	15396.71
193121.2	201049.7	11412.09
199468.8	116789.5	4563.877
81846.77	76850.48	4542.759
284232.3	162865.5	5758.368
413803.8	331642.9	17487.57
314161	177452	12114.75
286880.9	198033.1	10975.81
395312.4	236507.4	16848.07
292538.4	246736.6	14888.4
357924.8	165475.8	14335.02
611683.7	539696.6	20134.08
191806.5	303530.6	9597.682
116680.7	142994.2	5387.809
279983.6	203487.7	12544.15
201585.9	185508.3	9529.246
464668.7	350218.1	20867.34
176628.5	104957.8	8131.313
150235	136336.5	45112.11
228412.9	143050.1	7804.844
170167	214955.1	12327.74
519707.5	336233.4	25882.05
230616.1	239470.3	19887.98
101174.4	171235	5254.307
232817.3	178073.4	8036.094
451131.4	225469.8	6325.473
498502	566909.6	19189.5
236076.9	129035.6	14247.92
312171.6	202673.5	10519.24
354973.9	180807.8	9621.186
209482.2	141110.9	10803.48
338668.5	180700.9	6384.769
262435.3	202096	34989.31
315714.8	203338.7	37427.57
841310.5	992656.4	42766.29
330935.4	293256.1	16661.95
388184.4	280035.8	12866.91
193241.2	154801.6	2979.55
553689.1	522853.7	32991.71
91404.26	103786.2	5216.518
223733.9	163023.8	16543.36
309491	384828.9	10729.99
188652.3	329932.4	15103.4
279605.4	337132.8	124307.3
603367.8	402899.2	7061.198
245257.3	269149.3	7507.349
248829.2	211811.2	20239.42
324774.4	238782.9	48641.27
425050.4	288617.5	14284.54
241101.7	139171.5	7322.99
345435.6	258225.4	14776.09
660993.1	645240.9	26344.25
180648.5	127718.5	5846.186
238908.9	136396.1	6874.337
108789.4	102211.1	3312.631
223837	168194.5	9055.209
124996.3	132083.5	5244.856
273694.4	153654	25477.56
323324.5	341092.9	11595.71
278761.1	209710.6	17452.15
369204.2	241920.2	24014.84
407231.3	269571.6	10999.28
139698.7	140041.4	7305.022
389043.5	248297.1	15861.55
235163.1	220114.8	6159.237
260001.1	146519.8	7157.623
304719.8	156843.4	10393.94
374579.6	278949	23298.6
73839.55	69859.85	3680.779
301370.9	208503.3	11092.73
394355.5	325219	24034.28
