FSC-A	BSC-A	Violet
430139.3	286058.5	48554.17
470466.7	356935.3	18204.19
1271128	681614.3	35934.22
221738.1	100428.4	6920.307
200835.5	136174.1	8762.446
376278.2	165101	17431.21
767679	392040.8	36639.04
387628.9	192366.2	38372.1
124414.2	124048.4	17721.17
593513.1	317017.3	40918.81
562584.1	211616.9	14884.36
259837.6	124932.2	16519.32
659719.8	399729.3	36383.36
328542.1	172503.9	15654.66
333549.2	444579.8	19568.92
500304.2	245986.6	25060.45
531260.2	525799.7	44598.07
677038.8	252176.1	21233.34
332248.8	268532.2	20396.69
925219.4	307517.8	51710.49
642146.5	171718.2	33679.58
250055.8	242316	12195.16
894234.9	379691.6	39371.68
175380.1	89726.41	12336.91
479955.1	236480.9	17999.94
577103.1	247885.5	28231.83
448874.1	193183	16328.87
356368.8	252699.8	16931.96
317509.3	368090.4	62485.13
613558.7	323418.7	29291.48
87660.06	59629.21	3124.046
416620.5	288085.1	18091.09
711803.4	402226.1	39885.64
462548.5	204178.7	13701
445915.1	187694.6	222955.6
504801.7	161369.5	24752.08
378751.5	110959.1	16832.79
438709.7	400146.1	30563.94
1038368	939702.3	52776.41
1677366	421314.1	104564.6
118731.3	132017.6	18871.57
397199.2	227045.3	18791.02
437926.5	313746.2	15573.21
453895.2	264032.8	25845.48
326717.9	257212.6	17870.47
85803.43	106736.3	2685.854
370263.2	217152.6	8510.973
397599.1	299799	8784.342
419396.2	245558.5	28246.01
390963.1	245117.4	12909.76
567658.5	419516.8	38576
94354.9	85286.48	7159.632
392624.9	213648.9	19447.16
432447.1	212136.3	17046.6
827907.4	399304.3	37199.12
197329.8	94345.56	8174.833
458440.7	198070.3	19001.75
264142.2	161860.4	21238.17
349330.5	256394.8	8124.209
371795.3	260966.1	26043.29
453774.3	322286.6	16051.51
256106	157944.9	408.3229
304030.8	147491	22907.14
442260.4	200425	7852.538
275315	182230.4	12149.04
547627.9	257640.9	22788.02
304412.1	153119.5	7870.895
319883.9	153507.9	17143.33
404553.8	333534.7	48250.62
464565.7	344593.2	24637.98
754738.3	326565.2	31594.85
374004.5	160532.8	7047.703
452052.3	310810	19199.86
321402.2	270055.9	15974.65
427669.9	187591.8	20835.73
