FSC-A	BSC-A	Violet
396037.5	388521.7	470.3291
296648	286336.1	315.9294
333254	318324.1	506.9001
374456.9	155443.3	298.1171
296789.6	288686.5	258.2532
353493.9	355412	340.5867
440253.4	261966.3	455.4984
396865.8	224647.6	196.7267
829833.5	599802.5	848.7444
374723.7	267982.8	266.2389
615096.3	710113.9	1237.946
431408.4	297589.3	393.9071
646372.3	698593	681.1475
282614.1	203593.5	368.0442
1413601	956519.8	3090.508
438162.6	422590.8	519.4881
289767.5	156854	235.7868
329765.3	258593.2	358.8398
488508.7	426131	757.1676
95325.63	75764.29	154.5682
1209025	712053.7	1282.191
421295.5	359305.1	476.3702
245258.9	217278.5	193.0838
392784.1	285912.9	351.9301
358363.2	197222.2	399.0019
496158.4	335116.7	287.5904
417918	361024.8	446.4237
341994.7	237727.2	178.2661
267280.9	205018.9	451.2852
874842.4	620245.1	801.5818
537423.4	337702.4	-170.9286
537230.7	517363.9	1157.479
584390.7	618858.3	1248.044
533538.9	449932.9	581.0146
324898.2	193314.3	212.4778
372432.4	232634.3	152.7144
372930.5	143420.1	171.0323
874292.8	445090.9	831.658
302903.7	218172.6	300.5673
960652.5	917924.3	2182.635
310930.6	238033.9	362.9235
634749.4	392466.4	821.5073
380506.8	268894.9	231.6384
405721.4	209976.3	389.8494
314626.6	177624.6	237.2258
468548.2	260447	361.6789
452572.9	337173.7	402.3077
1769003	1076782	1799.216
326027.1	244300.9	321.9965
258682.6	211109.5	346.8353
791005.7	849003.2	1428.527
538406.5	348847.1	383.6008
471940	318691.3	371.9333
420540.3	296833.7	305.7269
292849.3	256645.9	447.8757
373457.2	255508.7	387.7752
229554.1	134091.1	140.4376
411004.1	357803.3	248.984
371789.2	303321.5	450.4425
663197.8	530477.4	835.5861
486657	329245.9	427.5742
355853.5	282699.1	443.3124
431254.8	371782.4	631.8848
330600.4	225564.6	377.9486
161760.1	143931.1	264.2943
339252.9	266633.7	217.054
496577.3	345433.8	482.0484
366685	187759.4	259.1347
295357.3	244846.1	484.7449
438644.8	280441.4	510.4393
1879349	925273.9	2581.3
153162.7	106688.6	179.3681
303042.1	191360.9	173.3269
491805.6	320651.5	641.8799
391582.8	224444.8	341.6238
709523.1	375085.2	828.3133
433590.7	274181.6	332.5361
499047.3	330611.4	308.0474
365215.8	248534.4	476.6166
387544.3	275399.1	289.6128
437061.8	289018.6	382.1748
420785.4	287333.9	212.1796
1611634	1117549	4510.946
339609.4	288276.5	333.1195
337114.2	232537.2	349.3503
488100.6	368660.7	568.686
620058.6	391599.7	542.499
500256.8	327476.8	645.4839
123844.9	125346.4	215.9132
416358.3	317556.6	397.9388
918326.6	963840.1	3592.236
497334.4	269064.9	485.0431
293447.6	186224.8	359.3325
457794	367544.4	549.8754
653052.8	342619.8	364.3884
487104.6	448077.3	978.2145
362133.9	216125.3	352.0079
591907.6	633104.3	930.1964
300542.6	320566.6	408.4525
416344.6	423208.4	237.7314
314090.8	236432.7	200.6029
410348.4	350883	430.9967
870599.7	694270.9	912.0081
278646.8	354866.3	397.7703
374973.7	194934.4	364.2847
929190.9	693085.2	1707.186
480185.4	417541	163.1632
406896.3	344098.4	563.6559
358945.7	291122.7	188.4817
322175.2	173488.7	239.3778
464185.5	321905.9	524.5051
858644.4	711146.3	1346.22
90163.29	24161.16	32.280029999999996
683102.9	375091.1	721.9448
470587.6	230412.1	722.1133
249192.3	198512.1	304.1453
345355.1	236298.9	263.1017
585199.6	491118.2	447.5256
377125.3	225327.4	401.3872
263930.9	278702.3	126.9551
417808.8	303214.4	297.7411
576332.8	353697	403.9022
483510.5	527787.6	411.1879
411949	217668.7	378.1301
348227	188418.6	372.3871
100159.1	102941.4	184.7351
69471.23	88187.6	62.86179
282751.5	163126.4	396.7202
486762.7	329009.3	280.2399
542558.8	349326.2	461.9415
336407.4	214292.9	221.1636
513794.3	288114.8	534.1113
436747.2	318521.2	481.0502
460323.8	402280.8	423.374
392219.2	344672	326.832
348015.7	271819.7	610.5074
401665.9	200909.3	298.9468
289748.7	207538	168.5173
292545.9	274464.6	305.1565
310941.5	173136.9	252.1342
424992.5	185284	350.543
430603	321368	463.7953
360641.3	207408.6	245.5616
287720.2	241730.4	333.2362
553295.1	336754.7	642.2948
315231.7	122092.7	274.4451
1099323	679826.8	1825.818
588119.4	341307.7	489.8397
394655.5	307492.8	195.7025
372235.1	294971.6	255.8678
747811.5	664618.1	563.8245
390808.9	251735.3	432.3839
71788.87	59083.93	99.51064
518715.7	273022.7	196.5711
385066.2	317780	229.7197
326582.8	265773.8	301.9544
215230.6	184723.7	184.787
651904.3	408679.3	560.0909
77694.83	94561.34	89.85256
161217.5	201920.5	125.5162
302197	158086.5	274.2506
799258.9	493688.1	948.1902
264754.1	219531.6	227.7233
376375.2	519506.4	379.1283
407899.3	352858.1	435.7026
936364.6	726611.8	982.8945
299567.9	194189.2	317.1092
536636.8	335483.2	524.0643
286058	200318.6	218.493
316193.5	226570.1	281.5104
607640.5	614797.3	928.6018
357792.9	322571.7	430.5819
326706.4	296721.8	276.7786
531575.4	436903.7	393.4793
734774.1	544295.1	996.7269
1633353	1044285	3585.611
254623.3	187743	145.8565
372246.5	391997.5	1268.385
1407156	1111215	2383.277
733703.3	315390.6	1149.856
440512.1	365317.6	514.1988
283654	162644.1	221.3969
214741.1	153729.6	318.963
455266.5	259415.5	271.2948
296986.6	264865.5	246.0412
231991.3	353638.7	347.289
419755.2	271000.2	211.2332
295895.1	355840	374.7076
341443.8	203927.8	328.5562
332977.4	412458.1	665.1501
430029.3	428874.3	688.0313
420025.4	305708.7	323.5392
391382.7	264663	392.4681
345411	346044.7	295.1743
297060.6	164893	243.6818
439087.2	352880.2	358.7231
572581.8	484813.3	859.7247
527998.6	431091.9	563.293
346253.6	203977.4	180.0292
404909.3	315008.1	272.7338
313521.2	212611.8	618.3894
288857.3	183377.5	232.2477
521062.7	379509.2	564.4079
217256.5	104831.7	89.89145
292617.3	384163.4	188.2872
79024.97	63019.29	102.9072
268184.1	241682.8	392.157
1141098	766180.4	1923.423
1353199	1054178	4691.584
399715.1	385250.3	626.5178
341135.7	243319.9	333.7677
232037.1	201195.9	280.9918
363488.7	203161.4	270.4781
833729.9	1263959	1932.731
250089	273675.9	466.3881
269780.2	236637.9	440.2918
209471.7	143943.8	226.2454
372368.5	378590.8	392.857
490162	297965	211.9333
332509.5	307390.8	252.9769
1199214	776909.9	1499.517
496320.7	375817	360.9918
418111.1	299219.5	354.108
376721.4	258180.9	369.3665
313149.2	255242.6	337.592
304034.6	201168.5	241.2057
84159.45	108212.8	133.2686
253493.9	214155.3	238.3148
122990.3	124751.7	139.2579
485636.4	324675.5	587.9632
436712.4	387120.5	363.3772
79093.15	58145.18	99.17358
450635.8	350937.5	812.9641
448285.5	397345.7	464.0675
512400.8	347416.3	255.803
684538.2	561294.2	947.1271
822126.8	489072.1	634.2183
322126.2	346632.6	257.2031
348830.2	224026.1	281.7437
207542	178467.9	293.1779
527108.3	449690.6	805.2635
394474.7	329146.5	495.3494
413718.9	244458.4	183.6461
304487.4	205710.6	289.3017
320847.3	283022.6	463.1212
316610.8	282829.3	245.7171
489348.8	379321.1	434.7562
422775.7	348285.4	541.047
357223.8	355465.7	479.7668
661438.6	698245.3	850.9223
249754.4	150193.4	156.5128
304578.2	251408.7	334.3252
373714.6	204963.7	226.5565
423267.1	422487	579.7441
351212.5	287678.3	483.4485
443240.7	372268.5	412.3028
496045.4	263777.4	456.0948
399251.4	259882.2	246.2357
291922.4	367261.1	1067.069
533604.3	591278.3	1099.491
409332.5	315087.3	406.4302
289993	177147.8	339.3551
429921.3	320656.2	538.2857
389768.8	311271.2	244.7448
350920.1	360800.3	610.3389
437828.7	445442.9	425.9797
437260.4	309691.3	300.7487
1065432	627370.9	1186.985
451093.2	300912.8	324.2782
324746	345280.3	557.6796
371194.3	213274	283.8698
318246.8	369865.9	523.3254
295132.8	248196	453.5409
708700.5	531162.8	927.9795
360706.9	232843.7	111.6448
328802.1	233843.4	360.8103
80680.78	48961.92	98.25314
318353.3	191771.2	67.51582
394118.7	320239.7	387.0881
322759.8	279210.5	333.7418
249192.5	227289.8	391.6643
289953	179406.7	206.1384
317966	228055.3	355.1451
377081.2	309387.6	459.1672
394474.3	275066.3	221.8766
403079.6	298163.2	450.287
453810.5	336290.5	428.2354
425294.6	400056.1	720.4799
311736.4	258670	360.8881
539860.6	329808.5	791.3403
422572.3	313615.8	515.6896
133472.1	164224.5	228.553
577094.7	428837.2	434.7044
913183.8	766809.1	871.5997
329277	289015.5	475.4757
333335.4	260236	347.0686
358084.6	341283.1	431.3467
212453.9	169099.3	159.8056
253353.1	366165.5	409.6452
265867.2	301333.9	234.4904
308797.1	222769.1	312.4162
455559.3	311205.1	281.1733
406866.7	261502.5	377.5856
402075.3	319586.8	470.6402
461584.6	282972.9	453.3983
135900.4	109534.8	161.6724
228260	230619.2	222.9785
280813.7	194160.5	385.3769
248883.5	353162.3	393.4534
424539.4	256087.3	239.2222
301274.3	228567	192.0726
295460.7	222071.3	238.8852
342225.1	258978.8	38.71011
310268.4	259216.4	369.0942
440227.1	281741	518.1917
429534.8	246300.9	399.7927
409774	222715.8	359.6306
269904	154718.2	271.1393
586361.4	438981	561.4391
302942.3	189078	250.4878
249709.4	175298.5	147.5029
740623.3	458407.1	614.7855
264046.8	132900.1	225.3768
262098.3	157739.6	182.6349
127807.5	175233.6	1520.338
451847.6	303080.6	610.7278
706853.5	401321.3	463.7434
64917.66	53722.43	67.50285
581391.4	456040.7	1210.099
368634.7	314801.9	304.0675
377544.5	302767.2	271.2171
411102.8	289005.2	356.4026
144464.3	144954.3	82.57983
192046.3	214306.9	161.3613
404326.7	381251.1	811.4603
345024.1	239854.2	519.0602
233069.2	286252.3	519.0084
422184.3	177983.7	455.7966
489241.4	347437.3	575.9716
369695.7	275271.3	333.5214
315429.3	185377.7	246.7672
349215.8	201321	319.4686
356564.2	275363.7	389.0457
729279.3	458238.4	719.3779
276421.8	255007.8	380.9562
678215.7	749219.7	1358.51
356498.2	166312.4	283.5976
525096.3	386742.3	491.2917
684632.7	581039.7	1045.29
674743.4	574565.3	889.3213
308674.1	210692.8	212.8278
327715.3	254273.2	245.1986
343021.8	356189	385.9862
247764.7	175126	327.7395
408236.8	330677.1	459.6469
170128.8	153917.6	239.4556
452187.2	316495.2	365.9959
89351.88	111689.1	41.03064
326984.5	198920	374.552
348635	211978.7	268.1317
316379.5	245845.7	362.5216
330016.8	173652.4	204.6735
304246.3	231871.2	343.3091
238518.7	209140.8	180.3792
