FSC-A	BSC-A	Violet
417525.3	183588.9	8582.015
354291.7	231115.3	4665.787
248521	88944.84	2953.104
399437.2	368279.6	11370.71
87863.59	79843.34	1439.508
331906.2	208326.3	5732.583
313698.5	191149	4395.23
325289.3	197042.3	6978.086
351937.1	185980.5	5096.524
86413.45	62967.13	1607.286
525602.8	505147.2	6784.925
310960.8	128913.5	3798.024
456668.3	145956.4	2821.599
556217.1	275922.1	21247.91
88109.95	24971.06	139.7634
246168.7	194574.1	5249.692
167349.5	116775.7	3277.745
146476.2	119691.8	3808.473
302297	111605.3	7693.912
305771.9	286779.5	7096.667
81538.03	288775.8	1103.484
549348.3	249897.3	7719.633
268806.3	174551	4058.598
289712.4	206871.6	5863.92
316489.1	141722.6	2348.638
647758.3	385737.4	10405.93
251461.8	121185.6	11944.86
316631.3	170499.4	2741.547
443453.8	306690.5	9009.161
212244.2	112613.3	4697.989
452321.8	271448.2	6886.834
247116.1	161625.9	6894.068
239310.1	105033.1	4663.258
314255.9	189613.4	6967.43
251077.6	106075.6	3914.271
563620.6	451306.4	8607.217
523532.3	308986.7	5606.937
594779.1	623945.4	14416.38
406114.6	227106.8	7380.757
413833.7	278862.5	6268.302
88195.9	50782.81	1864.943
223544.6	155549.1	6370.716
374856.7	213634.3	4477.188
181410.1	126589.8	2999.476
428616.8	194636.9	5256.822
154910.8	95184.9	2438.464
516644.2	211507.5	6363.69
369411.4	148282.6	7644.041
290423.6	134750.1	5449.815
800750.6	775335.4	41014.19
293549.3	124046.3	2560.714
535686.5	340767.8	11189.77
133585.6	60355.62	1366.806
65227.38	12841.9	51.27209
295569.1	217695.5	7181.14
267525.8	123723.2	4495.376
188693.8	67184.64	1253.554
204252.6	152548.4	7084.896
336111.2	394080.7	11601.92
285120.8	205626.1	4733.056
85952.25	100274	1333.813
254197.4	199752.5	9080.645
289019.3	104680.7	4558.653
67590.95	89133.17	1775.376
177218.7	118980.3	2856.497
267635.9	122051.6	2955.645
329055.3	268985.4	6769.161
428693.2	156365.7	3906.493
257755.8	169780.2	3335.331
293795.2	101056.3	4682.925
439628.8	255051	12209.62
422355.9	210529.8	8146.779
198886.7	153196.6	3894.307
231970.7	107369.4	3535.908
90712.67	62517.59	1373.794
98333.59	154018.2	6591.893
118132.2	48628.53	1708.404
410168.7	177709.9	5727.462
89137.1	46323.09	1040.765
122551.6	60829.82	1029.668
311423.6	160981.1	4560.533
255222.5	182351.1	2463.096
311665.6	191463.4	6190.194
1273679	783289.8	34516.22
224959	259545.1	10627.38
461725	290817.2	8400.067
646205.8	373666.6	16561.87
294177.8	109307.6	5713.747
285107.1	138565.7	3794.083
72103.7	62132.25	1967.228
126909.9	107241.5	1792.682
360620.1	172596.1	11204.72
200744.6	114745.4	3201.168
356238.6	133193.2	2740.938
326074.1	206910.1	11228.17
237272.5	144807.7	3781.054
197491.7	93757.48	2828.081
301534.5	134341.4	6996.21
488167.8	229586.9	15261.19
336073	252522.4	5166.931
261558.5	91557.73	3015.642
386933.7	178212.6	5805.699
336940.4	241429.6	7193.481
83269.73	109625.1	335.9845
426596	277886.6	22347.21
202553	70364.5	3280.208
381805.8	209174.7	5711.478
95053.65	59150.88	2451.934
398508	264621.3	18808.28
243309.6	111064.4	3084.83
505837.5	361868.9	14026.09
230894.1	120132.5	3059.46
856672.6	553401.3	28182.37
503632.3	313711.1	6981.742
278696.8	94341.2	15267.82
597071.9	293692.6	6556.411
375102.3	280897.8	11192.98
447419.3	210794.1	4259.914
438430.9	355209.5	27386.6
366539.3	259315.8	7441.13
94882.02	156051.3	4485.667
436101.5	393047.6	14057.67
164494.6	62392.25	3695.104
270351.8	133026.7	5527.404
258410.5	150374.8	4756.495
279958.3	169406.8	3505.52
233356.9	105550.2	6463.343
392693.5	158430.2	6603.975
324163	244013.3	5861.068
259063.5	201519.2	7461.522
262775.4	135337.1	5922.815
320017.9	170787.6	7718.116
301975.9	120587.2	3062.908
90851.47	65681.29	1102.992
293221.5	234570.9	9285.642
105168.4	68259.93	1319.631
353131	319751.2	17725.56
293928	140087.1	5080.851
352863.5	245625.8	6361.162
76941.6	38712	884.4339
192433.2	208338.9	4331.915
406325.4	351074.8	7033.455
73115.77	45839.13	1309.804
326450.8	181037.3	6302.241
432558.3	152845.8	6661.081
135254.4	49768.27	2227.465
403962.3	190807	4963.009
362572.8	180784.6	6697.886
552069.7	263416.3	9155.498
302929.3	439183.7	20249.39
251217.2	194253.9	5266.96
341e3	161316.8	7798.22
97671.23	128202.7	1336.678
444773.3	232197.2	7336.693
202088.7	67356.35	1246.087
262895.9	173131.5	5389.948
392031.3	185285.7	4959.444
437859.8	352424.4	40700.42
311033.9	167948.6	13440.35
249710.1	162688.6	4371.04
288534.3	247527.5	4166.846
276001.8	110910.5	7218.903
99464.5	53459.42	2227.646
132127.2	116110.8	2438.413
308009.1	197235.7	5646.036
295103.7	120375	2521.433
314406.4	232320	6018.488
352011.5	171684.3	7778.385
203774.4	89227.91	2452.323
656611.9	566516.6	25225.07
421210.9	248321	6636.32
341864.7	191190.9	5929.893
282310.3	198832	4774.735
224650.1	150880	2574.818
395760.5	190645	6916.677
123326	97898.04	3561.369
311518.7	134444.3	4199.619
269032	135696.9	4025.864
92068.52	37105.97	6853.245
186008.7	111824	7521.298
407268.5	279923.1	7484.001
335620.4	188200.1	4251.435
298583.6	144727	4065.741
184257.5	166374	2832.67
357158.1	220966.2	4324.046
685472.8	444006	20223.83
398747.4	207819.5	14244.79
389959.6	170026.6	6495.727
318669.2	232544.7	9742.048
401287.4	260310.3	11962.99
358724.9	190465.9	6425.074
260377	141291.1	2772.88
100693	44598.76	1025.96
437956	235565.5	6607.852
268998.7	112501.5	4844.895
277981.5	146677.6	2994.225
245992.3	94407.94	1933.716
377094.6	153768.4	4869.345
77136.48	49184.79	693.0613
650696.4	385816.3	13442.86
199417.3	169011.2	8593.514
210044.6	89918.51	3511.069
212778.1	118514	3140.03
354971.5	191097.5	6897.503
70850.11	68491.47	1600.169
308482.7	106913.7	3686.794
240686.5	179258.1	6374.489
120274.7	96037.66	1156.947
218474.3	257695.5	15149.55
125033.3	124815.1	2594.718
305390.4	276822.5	14251.09
788365.1	693437.5	25141.27
305879.5	108920.5	4097.217
680632.1	455472.1	9029.242
171244.8	155405.7	4107.757
412872.6	372259.5	9799.374
169509.3	224723.5	4557.655
326182.9	127748.9	5988.282
