FSC-A	BSC-A	Violet
273753.7	132491.4	247.1432
277894	162335.8	249.7359
385906.6	199909.4	235.6961
790418.6	465675.3	529.7554
318477.9	210072.9	202.8456
173716.8	137007.4	86.06711
192415.3	105689.8	98.60317
402313.5	270844.6	211.9074
76538.72	33707.98	85.79487
540182.9	291741.4	226.764
332047.2	185160.6	109.1169
92603.47	145324	87.81723
66917.56	67269.45	-12.06936
263399	241894.5	137.1966
443476.8	282815.5	287.9534
96197.13	41437.2	88.03762
208911.1	109965.2	132.9056
88003.46	50673.72	102.3108
340191.2	136197.3	171.5249
234869.1	246862.6	190.9059
414706	187086.1	99.48471
438017.2	229386.7	355.3007
172950.8	170621.2	32.94118
209398.3	138070.6	202.5475
366181.9	358470.8	711.8329
296693.1	148116.8	138.2078
331264.5	178429.9	212.1148
443935.3	416986.8	403.8245
95718.16	62362.38	57.42993
109327.6	105668.1	58.07813
229191.9	201618.3	150.8346
149246.5	94755.98	144.5471
274604	105717.2	141.6173
156117.4	132451.2	524.531
441336.4	372737.7	382.5248
257448.4	168053.9	183.8665
273303.2	119336.3	74.46445
396073	530589.6	463.9249
322338.4	135807.6	132.5166
254894.4	113858.9	170.41
301824.6	236217.2	263.698
426945.3	254310	488.7378
532167.3	565297.9	357.1545
303580.5	124106.4	208.2127
225807.5	88465.83	259.381
454677	300070.9	342.5183
503474.3	305785.3	312.6237
297329.9	213976.3	254.1955
76476.61	77690.47	81.32233
657154.4	440076.6	239.2093
127800.9	92337.8	122.4697
434718	298552.3	295.3039
524101.3	366430.8	324.0448
358986.1	173206	129.4831
315534.1	270587.6	431.4893
114059.6	120439.9	95.18071
358758.7	160308.6	353.395
163089	124492	171.5508
96754.54	30263.11	87.37646
135199.7	108149.9	230.342
448600.5	256127.3	401.1669
310864.9	218354.8	228.2029
494199.5	365223.4	550.005
450011.9	263714.2	391.4828
330680.4	193714	259.044
219476.7	96494.74	117.1026
223570.7	400019.4	234.8145
402374.1	296856.9	261.7794
399773.8	341566.2	796.7593
362749.2	219446.8	201.2122
282405.2	147331.5	87.66167
362124.5	279618	383.899
398930.6	286086.8	243.9411
292024.4	191061.5	181.8701
222362.9	213109.9	186.9001
401086.6	214406.7	314.3867
178468.6	86838.46	73.21992
158389.5	185341.7	246.3524
484137.1	256299.8	405.8079
107956.7	58960.3	112.293
363501.3	264906.2	362.6642
334882.1	239906.3	176.4642
315556.8	336695	380.6062
288415.8	91717.1	185.2277
240148.3	228588.4	292.6723
206418.2	275041.8	317.4851
