FSC-A	BSC-A	Violet
477747.6	254084.7	563.6301
353275.6	115606.5	100.444
410400.7	178133.8	322.6188
401035.2	198342.4	422.4406
267512.4	148130.7	242.8521
211063.5	131948.4	110.5559
111071.5	103452.8	245.1727
115093.1	68108.79	88.07651
193851.6	115873.3	199.3454
493538.6	353027.8	349.2077
331022.4	334698.3	654.3123
436569.3	197434	325.406
152118.1	124234	318.3666
427746.9	173831.1	515.0285
460670.8	234812.4	557.5111
351673.7	202846.8	270.8411
302658.9	212910.4	212.763
322740.1	138829.3	334.0918
74549.94	45715.56	77.74431
195412.2	93387.04	231.0939
435602.4	252831.3	443.7013
298608.5	123794.7	148.0085
221005.8	96154.45	155.2553
297433	126951.8	540.2821
317880.7	195647.9	410.6953
346722.9	156429.6	97.8772
190930	148809.3	196.3118
303527.8	108164.5	190.517
299232	206210.7	241.1798
354163.7	190048	82.48908
60099.81	333638.3	471469.2
457902.7	209655.3	299.582
346494.8	100063	278.8787
375847.8	178611.3	159.1055
337857.8	159073.5	372.9964
278186.1	221798.1	546.5566
245816.4	177756	187.8853
87925.3	46859.31	51.68694
501215.9	320303.5	364.5958
229600.6	93153.16	215.5113
112850.7	74834.83	90.65632
331067.3	105789	291.4796
311547.6	252215.8	427.3928
232246.3	96347.13	191.3078
398071.8	109865.9	345.8371
806998.4	503348.1	753.8618
196152.4	138427.6	130.598
324712.7	150435.4	183.4258
85202.55	53072.67	81.82793
290995.6	128464.4	359.0343
477058.3	402036.1	756.5194
324766.9	170721.2	156.4091
578042.6	358486.2	477.0573
234370.9	317067.5	326.0283
403105.9	209719.2	354.1858
314543.2	150727.1	158.9889
552614.4	273280.3	591.9691
258319.5	167526.4	336.2049
408362.8	196421.1	164.5374
337372.1	184167.5	308.8771
97752	72571.14	192.1115
968672.7	620443.1	754.16
279975.1	166869	185.9926
255125.5	137835.8	190.8152
334628.7	150892.8	166.3523
251061.2	128658.9	328.8803
265976.7	186978.9	260.5089
342616.8	150874.4	154.5034
307463.7	187511.5	324.9523
239329.1	153026.6	169.4377
97291.99	62708.27	106.3945
488066.4	181422.8	272.0338
366867.3	136613.5	139.2579
247347.5	109786.3	112.9412
326993.6	174078.9	254.0659
313519.3	374798.4	459.6598
426275.3	170521.8	286.0866
441813.2	283356.5	399.6501
381615.8	214913.6	297.1837
468834.6	275635.7	401.1539
736968.4	299564.2	716.137
475951.4	325254.7	704.9362
205771	130100.9	192.3319
361189.9	183681.9	147.7492
323609.1	350156.1	428.3132
229649.5	163507.8	268.4428
272802.2	211040.9	475.1257
291667.2	176146.3	118.2045
158767	148410.5	189.9725
499152.9	374613.2	449.7166
287349.8	124911.8	345.163
208327.4	156694.3	187.9501
194763.1	81784.68	157.7573
436403.2	178605.8	308.2289
393477.5	212967.3	185.3833
569435.1	293570	243.2151
251288.4	126289	145.6102
142357.2	164289.4	100.4181
445225.4	240793.7	135.6669
570069.9	315627.6	330.7731
349690.2	168402.7	284.7254
1303228	959013.4	1666.583
227859.4	108940.4	41.30288
108379.9	104116.3	182.4275
573009.4	316664.6	290.4295
417273.5	246032.9	294.5391
225753.1	107586.7	209.0035
385058	247988.6	311.4699
122094.1	99150.95	62.80994
650474.3	397014.6	355.91
196736.8	112842	266.2
276914.2	145188.3	165.2634
87711.58	49478	-20.11992
470160.3	195454.8	482.2688
215134.2	137897.9	264.6703
252010.7	134118.3	176.3864
413375.3	179878.3	137.5726
288200.5	186905.8	279.1898
365249.1	146654.4	253.664
424991.7	259434.9	436.5453
159022	156939.7	231.3921
418584.9	204166.5	265.9667
382821.4	157991.9	198.4638
539402.6	216920.5	359.0991
409115.8	279516.3	236.0979
367738.7	192378.8	214.202
235823.2	116345.7	220.8784
143747.8	174296.1	208.2775
211293.6	96622.48	61.51355
377369.6	208427	281.4196
136992.8	105571.6	20.56069
288489.5	171259.1	327.7654
231881.8	247412.3	360.7066
700064.2	349746.7	833.5377
251811.9	166732	230.6661
661299.1	385923.2	451.5056
562014.3	319041.3	265.137
367994.3	147438.3	248.3229
589967.3	268710.9	260.2496
393201.9	188159.7	289.898
348456	142535.4	297.3781
134041.2	61721.73	170.2285
84980.83	66740.71	19.82175
673289.6	400287.9	452.0241
137526.1	104197.7	127.4996
661918.3	408721.7	214.9409
116667.7	123703.6	241.7243
386301.6	182641.7	224.1971
395562.1	161668.1	168.9581
377482.5	290297.2	267.3927
322856.8	282631.8	565.795
360242.6	148371.1	402.8133
421864.4	221810.5	185.7981
269283.1	131351.9	188.6372
309513.9	172086	231.6773
631296.6	316139.7	664.4241
147556.2	76018.47	147.1528
325178.3	202752.2	399.1056
1674569	887972.7	663.4388
197627.8	98321.28	223.0174
386122.5	181013.4	374.4872
206442	99655.7	180.9496
624446.3	344514.9	457.1837
483262.8	226083.9	148.2029
162335.9	121218.9	151.1587
494902.3	285006.8	423.7369
422377	161139.8	126.5403
148239.7	97803.52	102.4016
619942	340057.9	565.9117
338874	123118	137.4688
423007.9	270494.9	595.8323
77047.19	52736.12	95.32331
102858.3	67590.4	104.9036
326431	147395.3	313.9849
462634.3	200212.6	433.8617
459943.2	232246.3	357.6731
132323.7	88661.22	142.3173
111436.1	58017.19	142.6414
468824.7	272765.1	572.7437
384342.1	190837.4	92.3157
528172.1	274824.9	248.9322
364467	279023.2	456.3022
151429	97378.24	81.17973
68363.29	102941	103.0498
107108.5	114585.4	136.1595
148898.2	104360.7	144.8712
514157	249557.8	363.6365
311043.9	169685.1	196.0007
377642.9	164858.6	201.9252
365252.5	187625	164.7967
424182.6	312022.9	776.8727
299746.9	145529.8	127.2663
267479.5	140188.4	345.7852
223190.1	189618.1	124.5957
109457.1	106038.2	92.65276
484454.5	203812.2	182.0905
100989.6	88378.32	53.98154
320876.6	245072.3	243.0984
1205807	737674.9	878.9372
268064.3	191094.1	254.74
341685.8	220907.4	318.1203
199062.2	111133.9	128.9257
280976.9	117313.9	75.29414
371661	213943.9	299.2709
358225.3	160164.5	203.3383
243974.3	237305.2	41.39363
302032.7	107748.5	280.7455
283775	175852.6	209.9498
298043.3	159330.8	270.167
115295.7	63665.38	184.2814
359320.9	144561.2	136.0558
364271.1	225086.8	305.1435
124893.1	62382.18	75.7738
230619.5	137306.2	85.36707
311922.5	147206.4	135.1613
156965.9	96143.01	169.1396
265985.2	102345.1	198.3731
476948.4	298050.5	510.1411
324169.6	144087.4	414.4548
293123.6	165704	79.19627
311504.8	161455.2	208.2127
280718.2	113447	137.4559
558304.6	201043.6	383.886
329433.8	180939.5	243.8892
771517.4	384972.3	558.613
119643.1	97660.99	136.9762
100778.3	82925.8	109.2984
346642.1	205093.6	270.9059
370728.4	130615.7	230.9124
425653.7	154978	355.7544
328398.8	128780	82.11313
506544.2	415349.9	333.5344
75168.98	75285.73	91.11005
246610.7	108340.3	192.4616
274199.1	120954.9	194.821
511244.7	317660.5	502.2202
304930.8	137184.5	179.8088
104651.2	69075.23	135.8743
299072.8	277188.3	98.83652
315009.5	186451.5	301.8377
292966.6	214092.7	216.3021
200521.3	98120.15	296.9633
336776.6	293231.8	319.8315
358978.9	112139.2	358.6324
142870.9	358225	240.9724
620713.8	378754.7	688.6665
223766.5	106707.7	261.0534
196198.3	87774.44	151.4309
320977.2	158447.7	410.3323
253545	82241.2	144.7934
372071.7	196121.4	195.7933
294654.9	216487.3	271.3856
105660.9	231758.5	116.2211
355155.1	214445.5	238.6
1040055	670139.1	1385.786
300164.5	121176.2	269.2595
314425.3	188899.5	335.09
282577.4	121096.4	251.4342
395985.7	224016	399.2482
388623.4	176841.6	267.8335
352031.9	151540.7	328.5303
298233.7	185638.5	140.3857
184200.4	152395.8	145.2601
385769.8	266186.3	351.5282
272008.4	193312.5	256.0234
567591.2	428761.2	639.715
330947.9	176624.5	130.2869
307280.1	191889.1	735.0901
509486.7	288096.8	758.5677
274609.2	181560.1	186.8482
502583.9	263804.6	317.874
219555.8	113998.4	72.88286
869350.9	479418.5	1344.859
392123.1	167386.7	263.5036
237379.7	148403.3	333.5603
394152.6	275039.5	728.2711
347550.6	157831.4	292.7889
392565	179124.2	285.9051
259948.1	110804.8	175.0641
275418.1	140477.4	118.4509
321127	189814	233.8422
253083	101283.5	67.50285
1028345	1126148	2186.667
943808.8	574334.8	519.7863
109902.4	74843.34	115.0025
740104.9	362029.9	524.9977
612433.3	288367.7	423.6462
292522.9	138089	263.9443
522465.2	406192.8	860.5415
234448.8	119816.6	268.3521
963152.7	463800.9	600.6419
457546.4	365912.7	509.6096
923447.1	484528.1	505.2538
216713.6	98323.58	87.89502
159092.6	154745.6	435.0803
316778.1	233849	230.5753
386971.9	131041.8	283.7401
235972.9	296708.1	254.5715
282057.4	121828.6	133.6575
419419.9	238751	176.1401
557688.3	251645.2	324.8226
445513.3	260071	253.1454
513225	278435.8	318.1722
358603.9	165362.9	102.959
244134.5	112451.4	245.3412
373611.8	177046.9	260.6256
250101.9	128347.1	164.2652
391918.1	375081.3	280.7196
297601.4	222639.4	597.4528
331957	132875.1	330.1119
169261.5	165475	139.5042
142082.4	63263.21	128.9516
396171.8	301684.6	374.215
71851.25	83693.02	92.34162
305746.6	159883	338.9014
152702.5	101284.4	231.6513
303141.2	177696.9	269.8559
76105.77	21853.96	79.11848
321927.3	139031.7	258.4606
164682.2	60112.35	52.10178
254037.1	173548.6	140.8265
322086.4	165710.1	321.115
387787.1	156408.7	263.2572
368725.2	134041.5	253.8325
171876.3	106280.9	91.96567
358943	197136.9	229.7716
255639.2	141495.5	86.74123
228895.6	94344.14	147.3214
335784.4	171688.7	285.8922
336532.8	167860.3	126.4366
70609.42	47557.41	71.05495
215443.5	116225.9	140.1653
540728.7	406909.2	563.993
300799.3	119427.7	296.7818
323151.7	151812.5	257.605
457551.8	234878.7	324.4985
324450.7	155290.8	170.2415
203225.5	173134.8	333.2491
437672.7	305965.6	515.8323
615711.8	335315.3	708.579
282334	275715.3	145.8954
208623.5	100991.5	273.3561
523537.7	250974.9	318.0815
323786.7	165842.2	276.3248
379344.8	246779	231.3921
350150.5	237557.5	336.9568
376153.5	221965	140.9432
275937.3	250351.3	492.614
235917.8	143820.2	169.4377
204706.6	167724.5	82.52798
567571.2	274187.3	463.7564
1059151	788302	1014.837
268213.1	133594.5	241.0242
438449	268785.6	375.0447
382464.7	244548.6	368.0831
174805.6	243729.3	176.8531
426680.4	152511.6	241.8409
578515.4	367348.3	375.7577
566448.5	289917.7	382.5508
369244.4	218540.6	347.665
409878.3	198100	410.9286
458351.4	331038.5	245.9764
605276.4	323124.5	394.1275
508330.2	179243.5	330.8768
371035.2	200149.8	53.41113
247965.2	101734.1	190.9189
308165.9	214496.8	303.2508
511603.4	222575.4	257.8772
87398.52	57960.54	106.3945
94959.86	45291.14	37.85449
288823.9	143816	247.2858
273877.3	112709.2	225.6231
407740.6	143597.7	220.9691
822431.8	440637.4	805.0691
267931.5	153537.6	129.509
384402.4	233717.7	151.3661
512752.3	362262.7	918.7233
509008.6	336105.3	600.9789
325490.4	128495	221.9673
269008.5	246490.4	131.5444
464663.4	213223.7	412.8084
283706.7	103956.8	183.2702
376444.2	170844.7	312.2218
266950	190214.2	250.6693
1158920	545834.1	728.9841
422450.4	189074.6	137.1059
722514.8	431636	500.6386
254970.8	142356.4	189.078
338327.1	433435.5	813.4697
100879.5	80728.52	63.15996
383582.1	212870.9	283.1309
537258.9	300758.6	415.7383
395610.2	209802.5	189.4021
380253.3	116586.1	99.51064
224712.7	208848.5	175.3363
154553.3	72520.86	118.7101
319164.9	115921.5	144.4953
121651.1	78365.8	139.1801
91356.91	50897.31	45.95691
781101.5	390123.8	545.6621
1208067	763565.2	1232.371
306155.8	237616.6	253.9881
371408.2	184969.6	359.3843
345713.3	190292.3	331.7972
201168.2	72689.24	34.39314
151266.6	138657.5	306.2843
243921	168759.5	297.8448
632319.7	407291.3	469.6161
666541.8	417052.5	263.0887
353361.6	269153.7	650.3842
347486	145417.3	325.1467
385640.1	348447.9	562.217
221091	92528.27	325.9246
373388.8	156217.6	389.7846
278348.8	124701.2	379.5691
434819.2	304773.8	369.911
385827.4	179386.4	212.05
320760	125489.2	112.2282
312909.4	151475.1	138.6097
269462.3	176081.2	268.3521
112574.3	134353	126.657
561981.8	273060.8	643.3578
227475.3	119268	252.7954
132291.9	108790.2	144.5601
467131.9	230944.6	494.2474
208150.1	95397.44	242.8781
294911.9	124024.7	93.97507
221738.3	110380	262.0127
375933.2	168768.9	213.5149
371142.4	219807.1	400.2853
74724.71	37500.27	82.77429
232981.9	116407.4	183.5035
257185.8	112559.8	223.9508
383652.4	333470.9	325.8079
873087.1	621243	1772.199
762568.3	396193.1	402.8911
311745.5	153783.3	269.817
269744.7	106241.4	147.7492
108166.9	71086.45	152.6495
104863.3	57050.66	148.9548
221654.7	120005.8	120.9529
246798.9	186097	79.09255
423559.8	191689	278.5027
92544.12	78795.54	87.19497
173523.1	119088.6	14.0269
414615.1	283436.8	252.8084
217326.5	161247.6	238.0036
359128.9	196614.7	351.2949
478470.1	209266.2	361.0048
409383	223006.8	425.7204
281855.6	130201.7	160.2075
172518.9	150629.9	137.0151
141580.5	196917.4	155.1904
341068.5	195905.6	79.49443
1111334	549100.1	1186.453
507796.8	299391.8	606.2422
515028.4	348216	832.2543
457631.3	251054.6	396.1628
100999.3	52647.73	129.7294
134599.9	55511.6	111.6707
263148.2	102436.3	244.317
331554.6	121425.9	281.4715
501770.9	468107.6	671.0098
295679.2	186760.9	265.4222
456324	182846.9	173.8195
305053.3	169083.5	402.7096
995309.4	635263.2	596.9731
626551.9	252424.1	402.7614
93570.59	66880.76	52.46477
655702.3	260953.9	633.0905
676409.1	372162.7	724.1227
536937.3	180418.6	492.1602
611933.1	363035.3	337.4624
171807.5	249725.9	266.3297
359239.3	184545.1	487.2469
1065531	475160.9	921.718
370390.6	219714	431.606
211299.1	119338	238.2759
403903.4	222867	427.665
247103.3	93064.07	137.0151
365255.3	208084	304.6379
610407.4	684019.9	1273.7
309287.5	168714.3	477.3944
946548.4	491083.6	552.0274
120940.2	59854.93	164.7967
81769.52	33770.34	94.45473
372476	195051	278.1398
445456	239087.1	341.0664
460979.6	301287.4	239.7408
330944.9	186032.1	332.3936
410602.2	240506.6	431.6579
293213	144591	287.7979
529346.9	228294.3	126.2162
379764.4	191394.7	138.843
82437.52	49752.56	82.56686
340104.8	241682.7	317.4721
279584.5	109274.5	152.9477
261903.7	123410.1	55.7187
355702.8	169322.2	151.4569
410848.5	207254.8	392.9867
955672.4	469792.6	282.5215
261548.7	164484.5	371.5963
447348.9	216261.9	231.4958
162823	203127.1	408.6859
242862.7	91341.48	167.7784
393202.1	233586.5	735.6476
291088.5	173347.1	383.886
203723.3	138166.4	353.8228
438082.5	261034.8	218.0263
409143	392103.3	335.9067
243195.1	151798.6	165.3282
438734.8	255980.1	507.2113
359100.8	308323.1	394.2701
612459	456180.6	546.3362
179061.6	116729	5.470752
596282.2	467851.8	410.8379
321530.5	168969.1	186.7704
263294.6	96910.65	316.1369
267313.9	121857.1	134.4872
479669	250998.8	402.4114
395241.8	186854.2	159.1315
1202457	824390.8	990.5172
311864.6	206932.8	217.4818
628247.4	323993.5	456.8856
480457.1	251426.9	201.1474
310650.1	187596	81.85385
393701	131763.6	213.7094
253215.8	98000.45	139.7375
290207.7	106247.8	415.5568
301805.3	119365.6	273.7969
545257.3	270315.6	444.168
442294.9	237562.2	229.4216
103916.6	62508.32	161.6983
342488.6	199620.5	333.1195
236608.9	183015.3	257.5402
342279.8	211317.4	433.758
466008.1	232769.4	191.4763
380844.1	170336.1	490.0342
321464	195659.1	234.1015
543766.6	347531.4	241.7372
155826.6	136184	121.5103
314604.1	96210.96	198.412
303814.7	156638.2	107.7297
581309.5	290145.8	265.1241
353451.9	172755.3	175.44
362824.3	133055.8	207.0589
209947	109540.6	149.24
545459.5	278196.5	375.8095
702544.1	412150.2	778.908
241881.4	224610.3	315.9813
459388.7	164026.5	146.8288
681395.2	530738.5	479.8575
90840.28	61175.33	305.675
408460.3	388147.3	415.6216
796123.7	368960.5	742.0388
381283.4	188944	373.0742
135966	112984.4	197.336
261326.8	146193.7	209.5739
377543.6	276261.9	369.8332
256895.2	127144.8	164.6411
384432	217436.9	277.699
356583.9	175370.2	286.0736
459701.1	273284.1	118.3601
251893.9	117491.8	273.5765
422768.7	193745.2	243.8503
388720.6	153747.3	238.5092
408655	175252.2	122.716
329534.3	191684.2	458.5449
