FSC-A	BSC-A	Violet
438727.6	227572	2872.119
183250.7	208641.7	9444.644
72194.12	42503.29	485.1338
126714.4	49927.27	762.3013
436209.5	243774.3	4718.64
95224.54	76872.58	1426.285
430597.7	251648.5	6459.286
828423.1	378272.2	9103.214
530768.9	184118.2	26402.31
354676.9	179823.2	2110.932
635685.2	251491.6	10758.48
121077.9	59428.82	1300.367
259529.5	159645	29858.21
103784.8	44523.23	962.6838
109116.3	79067.04	836.7139
232367.2	115228.2	1322.587
316509.5	115032.6	1411.998
104150.1	41927.45	1503.277
235761.8	100256.3	2986.797
377138.7	209309.3	5734.165
821771.1	375127.1	24046.2
290851.3	171713.6	3723.209
137628.8	75052.7	2360.046
75963.07	66041.16	957.3816
271519.5	136742.8	9621.225
471033.7	391021.1	7820.906
119884	51374.69	1617.787
337382.3	145249.9	2891.5
366870.7	133065.4	2376.16
363531.6	249967.4	3641.823
414728	296395.2	4316.929
153898.4	65186.86	646.0932
416832.4	147370.2	1207.442
108176.9	39236.22	423.8666
307451.3	125336.9	1708.767
226596.3	126229.1	1474.225
313316.2	146649.8	2935.24
247201.9	104891.8	3096.368
313451.9	177648.9	2213.166
455668.9	318814.4	10423.47
139059.1	105227.8	1671.911
359985	147489.2	2624.768
254865.2	113852.5	2100.626
336866.1	141677.3	3552.903
433890.8	121871.6	1911.898
324987.1	155406.3	29301.67
749750.8	412642.2	8919.102
128471.9	85779.84	2549.111
209155.8	128330.2	2844.882
162461.4	98801.34	1648.109
326547.2	122419.8	4162.374
234052.8	278505.9	8717.111
698348.4	225259.5	9813.634
658310.9	267181.6	4654.236
289637.8	96019.28	2463.161
313962.6	134992.5	1302.622
86708.84	37946.37	256.166
409456.1	216430.1	4314.466
276620.3	152328.7	2872.041
99726.49	52604.36	1122.282
1041555	714141.8	15911.59
708626.6	470635.3	13495.48
333889.7	135351	2334.883
90534.37	58002.6	1119.922
544259.4	437302.7	6389.864
233192.8	100574.1	2545.17
664084.4	340932.7	21901.48
609125.1	403544.3	9690.166
111647.6	59773.19	745.3186
424077.1	202982.8	3184.691
230618.8	136918.4	2773.814
155571.7	67932.65	1257.754
132267.7	57169.48	398.25
323583.3	150403.9	1795.418
411109.8	170763.4	3291.396
528793.6	186770	3733.944
270486.3	152400.9	3978.663
323719.6	239991.2	7179.675
92583.34	112454.2	1276.461
577205	245513	9078.777
713497.8	272187.5	4573.821
333955	178981.3	1493.399
553792	284674.3	6152.029
364857.2	117208.9	1773.055
574146.8	263534.1	12197.52
426388.3	211904.6	9235.536
431284.9	228580	4826.474
398484.9	232923.3	4767.916
89875.02	95402.04	1505.688
601171.5	313996.9	7986.727
146936.7	77591.41	1132.29
117879.6	179534.7	2235.684
363689.6	293625	2961.881
427474.4	208887.7	5373.821
287001.4	162697	3608.907
149755.7	57856.27	820.2887
266930.9	143811	7575.423
535060.6	174282.5	1974.177
260581.3	115809.7	2676.585
364917.8	262310.1	15198.53
496473.7	176187.9	3053.989
551814.2	266414	16622.21
293574.1	127856.5	4750.739
270635.3	107801.4	12378.13
131719.1	74609.54	2052.919
529282	253509	6306.558
358328.3	275616.9	9781.315
112631.3	46278.2	2948.865
334318.6	180654.7	2498.76
78427.55	51268.72	385.4158
138559.2	82169.15	772.9965
157927.5	86568.83	1693.755
400204.1	213298.2	37826.19
380161.7	236891.4	8986.008
459274	242940.3	4704.911
374091.6	154182.9	6284.74
301254.5	227861	4081.518
729301.2	339163.4	6222.604
501841.4	205952.4	3100.101
676519.6	296889.6	14573.27
315564.9	179124.9	7375.105
160956.3	108786.9	925.9312
339011.4	225110.9	4712.754
263633.2	112338.6	3999.936
383583.3	288622.7	3498.066
230524.8	138614.3	2348.262
257411	168041.4	1680.675
351022.1	118154.3	1560.694
631651.9	219783.9	5728.318
704385.8	428527.5	4129.523
312549.9	174599.5	4526.658
491332	305976.6	12094.35
415579.7	267719.8	12161.95
501434.3	299696.7	3880.345
237575.3	154474	2462.798
209008.8	120653.4	763.7273
265834.7	117539.8	1096.847
369040.4	149371.2	13826.25
265056.9	235677.5	6808.312
153379.7	100052	1278.198
82505.45	63827.46	1413.8
283101.1	138901.9	2152.054
94480.88	39267.21	487.6488
120514.3	126792.5	868.3198
139148.1	49738.92	1026.673
216296	118566.9	4050.145
380699.4	228177.2	3660.335
210249.9	124438.7	1754.659
304182.5	127353.2	2971.461
306444.7	173469.5	5902.902
122898.2	67358.14	1114.115
351630.3	150942.9	8325.369
228158.8	94019.9	2029.818
140399.5	75746.9	1032.481
243888.1	85825.61	2695.823
298262	116483.3	7179.817
423254.5	225554.8	5925.771
171662.7	117749.9	6267.019
241791.8	105598.4	2835.081
120177.7	89645.81	2019.654
334927.7	176511.2	3025.196
75573.17	81535.23	910.2449
286307.6	213439.3	1615.57
275398.7	99062.84	872.17
256071	133012.3	2579.135
593113.8	295907.3	5307.614
209971.7	67383.74	1547.86
131355.2	63006.23	953.1553
309823	199721.8	2992.061
