FSC-A	BSC-A	Violet
627388.3	608394.6	9847.664
367581.6	264649.6	2527.384
395942.8	148242.3	5109.254
351481.4	242017	2503.712
225342.4	151462.4	2807.74
555010.3	608060.6	3916.721
270702.2	260112.9	3463.595
283915.3	235255	2323.229
333793.4	255555.9	2671.464
409805.2	191822.1	2873.376
327579.7	174701.2	3493.036
211874.9	148513.1	1680.234
783034.1	677135.1	7688.934
658300	331928.5	6469.89
396108.2	372834.3	4395.905
357466.7	232452.7	3065.241
428663.2	312886.8	8030.286
339487.1	165894.6	2295.097
342943.8	162322.5	3614.935
204377.5	237707	4340.199
276858.1	178455.1	1191.418
359776.4	231351.9	73639.31
281809.9	163122.2	1615.039
373225.6	196416.8	3527.442
231081.1	174080.1	2764.013
496381.4	385563.8	5041.324
235624.5	101471.2	2816.141
538997.4	305313.1	7975.461
549189.6	335317.6	3217.333
338016.1	316820.1	2489.01
375512.8	203726.4	2991.996
303835.1	161508.8	4221.489
231000.9	201373.9	2232.106
274206.7	108789.6	961.3485
236396	111987.1	2598.14
335119.6	155199.5	4237.784
193464.1	126189.8	1974.021
713294.6	533057.1	15455.13
488676.8	263423.1	2887.559
362635.6	216072.7	2715.243
374256.5	270384.6	3387.497
299256.8	181027.5	998.127
370448	210123.7	3034.517
325221.5	228426.7	6018.061
133908.7	99717.78	1304.23
320951.1	214449.7	5002.614
200220.1	151271.7	3045.381
223666.9	116562.9	2375.395
158369.9	187193.4	1448.051
350903	272249.6	3405.154
409596.8	341545.3	4265.073
446639.3	275522.7	3511.095
265086.9	179862.3	2126.528
501948.6	338392.9	5201.415
506801	358777	4371.312
216041.9	160192.6	1698.837
255884.9	181333.8	1577.767
547876.2	593498.9	9747.583
115578.7	93083.78	1183.134
727294.9	521013.4	49622.13
269411.6	235294.8	2314.893
176237	95348.7	2067.348
281427.9	163951.9	1767.325
486644.8	234264.4	5087.138
602698.4	362330.8	5936.375
674721.2	497551.4	5622.688
449536.9	252260.4	8270.805
326020.5	220306.3	3990.667
126205.7	93429.74	1930.579
309564.5	226807.9	2621.864
395232.4	210164.6	4738.41
445689.2	294980.8	3217.619
694742.6	452211.3	2802.749
164773.2	112046.6	1220.704
126008.1	115256.1	2513.473
316948.8	221605.1	2016.063
245994.9	213792.6	1552.579
99058.11	141178.8	743.3222
186711.6	209336	1078.827
477623.2	339740.9	3896.303
471574	333368.2	3433.791
250513	121584.4	2939.323
361016.8	188929.3	3643.715
312717.2	164515.2	2021.715
361737.1	291974.5	4151.795
381795.3	228002.8	2979.278
361859	231086.5	2132.102
623001.6	306043.6	3504.963
312246.3	289637.8	6443.34
229668.1	123488.4	1004.933
217914.6	209350.6	2386.324
133038.5	230190.1	6664.517
173150.9	107736.2	1682.788
309838.5	185847.1	2515.25
330730.3	174081.4	5915.477
381949.6	261473	2948.294
425959.1	395952.7	8501.898
350889.3	266126.8	3854.222
227767.7	141844.2	3128.946
271261.6	153584.8	1832.417
447137.5	264393.4	2167.442
484209.1	265512.8	2265.034
281750.7	128274.8	3109.163
207216.2	109203.9	2047.578
326035.2	143506.7	1209.049
188076.2	138376.6	1333.995
307544.2	224547.5	3592.858
454438.9	298851	1671.626
253881.8	134595	4297.716
338599.5	195081.9	2397.136
249831	183982	2765.4
678445.3	579382.6	6258.644
286860.9	299941.2	2985.488
284444.5	175848.9	1615.544
236560.6	124358.7	2507.432
276410.8	182695.5	3074.122
179860.9	266078.1	11208.68
336151.6	132836.8	1664.612
458456.9	284724.6	3276.98
746192.4	302668.6	8214.774
338545.8	198030.8	25958.3
124122.1	200021.7	3773.522
359423.4	279013.5	10234.43
325243.4	193088.7	2542.422
589460.8	565167.3	6036.949
209931.3	112554.6	1284.836
349816.8	271784.3	19867.5
582657.8	482217.7	9761.999
452015.7	314241.7	5624.879
245219.9	178806	2532.738
625471.4	373329.6	21377.46
568810.6	706933.7	6533.958
198587.4	165989.4	1128.193
807823.9	756631.1	4822.221
176902	174880.3	18194.2
258723	309908.2	3024.6
627791.4	565115.3	33347.25
332987.9	168823	1753.13
531388.8	1113860	39759.29
77224.45	42087.66	1277.913
267079.7	130802.9	2044.505
511963	275219.1	3644.039
971637.7	689226.1	10507.68
396566.8	332977.1	2053.58
430321.4	195019.9	1212.446
341081.6	171276.3	4490.891
495421.7	313858.3	8512.97
316062.2	152315	3541.897
104086	100911.9	1855.531
443810	254318.8	3678.406
223494	117992.9	2235.645
314306.8	144697.9	2044.402
629141.6	472817.2	3915.982
365581.9	211801.5	3611.539
409823.4	220101.5	1472.864
346460.1	172878.8	1447.377
341088.5	273441.6	4322.283
202198	100548.5	2835.392
330368.2	199511.8	3189.954
158948.6	133072.9	2956.864
592679.3	328269.6	3821.216
374146.9	209394.2	3541.625
402464.1	351583.8	7792.282
384786.7	281549.2	2376.795
267430.8	128536.5	1390.089
272418.1	138289.9	2462.227
169048.2	80237.73	2215.434
389632.1	202207.1	13979.88
144787.8	90875.54	658.733
271401.6	114671.8	3645.491
437150.8	261569.7	3026.415
260999.8	153492.9	2562.568
390466.9	241275.1	2178.85
220829.6	133356.4	1729.743
292474.1	197740.7	1041.776
282270.5	175840.7	2845.621
172650.4	150913.1	1814.604
246771.4	118204.6	1602.126
258079.3	140021.1	2819.148
588962.8	290875.1	2664.826
283033.7	164700.5	2245.108
530418	606257.4	19803.37
258359.7	150770.4	574.7531
486057.5	220138.9	3902.5
835105.6	728455.7	17706.83
451905.2	272259	8028.315
250055.8	312515.8	5339.895
426938.4	240553	4889.607
252743.7	227186.5	2465.663
341995.1	294354.3	4833.513
248827.2	121558.3	2031.244
188699.7	178086.3	3142.765
94714.09	102686.8	1185.96
302920.2	191561.6	2879.029
284539.9	219233.3	2245.07
318968.6	213678.2	2663.738
244350	167545.8	2275.573
431211.4	303391.7	1398.879
248357.5	123685.4	1654.151
622518.7	416479.2	7560.942
349970.2	196535.3	2784.003
302914.4	194151.6	3086.58
516793.5	251979.1	3567.099
352983.8	233486.6	4535.201
327009.5	255190.2	2928.654
239711.9	170324.8	14287.32
353623.4	258473.5	2716.462
484140.5	230371.2	1921.478
356370.8	271494.1	6390.421
844913.1	711826.1	42715.36
265902.8	149557.4	1387.6
99493.49	94887.33	2245.562
423544.3	246216.2	4645.991
469614.5	325773.3	3923.073
258966.1	160302.8	1855.985
515441.3	420892.2	6661.159
297356.7	195435.1	4516.663
279872.9	227349.5	4713.208
341428	180018.7	403.7207
217862.5	179593.7	3421.424
497664.7	351843.1	2907.549
400485	248091.1	3379.278
894581.9	734303.9	37854.38
252208.6	145458.6	2605.97
253078.2	147477.5	1268.372
498683.9	270489.2	8578.632
99502.95	83942.95	1415.81
257795.3	175217.4	2894.689
265902.3	163700.1	1188.553
342483.3	164527.8	6601.396
306804	287766.4	37822.83
240814.3	145717.6	2270.829
291309.7	154215.3	2303.381
461328.8	366548.3	2331.007
186817	122078.6	1866.382
407272.7	313500.6	4302.72
266973.7	169462.9	2519.281
280925.6	163642.5	5188.062
323450.6	221845.4	2088.09
311278.2	164033.2	31376.85
563732.4	318157.2	2606.23
292056.6	244927.9	25600.01
387421.4	309586.1	2529.225
239494.1	197550.5	1936.867
323872.2	227857.4	1813.956
300677.7	184220.8	1617.865
262336.8	203758.8	3986.441
566806.5	650297.8	2557.538
366694.2	245758.5	4794.09
354537.2	247315.3	2567.338
421500.5	303712.1	3381.106
343858.3	253114.7	2776.212
896732.3	512455.7	4461.489
232378.3	118450.7	2270.505
362582	231352.5	2135.745
72247.84	63265.06	1669.02
176594	161544.3	4825.838
334350.4	241972.4	3522.607
233854.5	155364.7	1696.555
263230.7	197042.5	2874.297
364745	187262.5	4181.962
357250	265057.9	2371.299
236155.7	129069.7	2114.653
280359.6	156165.3	4323.203
177961.2	122887.9	1946.836
112106.2	194087.3	1086.372
413434.6	249262.8	10330.98
399710.6	273842.8	4759.709
343140.2	245776.4	1728.602
291024.3	164138.6	3165.491
293284.6	159796.7	1794.368
514900.3	395011	12015.47
359564.3	287204.1	3120.208
110137.7	255409.1	1339.958
256479.1	113300.9	2682.769
319906.3	196333.8	3237.35
106483.2	80991.4	1313.914
240489.2	370785.2	7146.85
682211.6	722392.6	14326.8
254463	120173	673.9007
268921.3	203192.8	1190.459
266334.3	156818.7	1542.363
553791.6	244304.3	2496.996
232930.8	94507.9	2672.021
229936.1	139579.1	1640.824
199092.5	158086.6	2042.405
228840.6	147466.9	1753.324
372631	186634.1	3506.052
181659.6	120081.8	2227.309
397067	209843	2352.968
253235.6	166218.1	1787.938
250826.9	175803.5	846.5275
111257.9	91416.96	965.5877
411793.7	187392.8	2827.795
335376.3	200101	3398.659
352454.9	171962.9	3663.679
293039.6	182516.2	2397.239
181581.2	140668.3	2004.058
436921.1	214812.9	5755.153
186888.1	163637.6	2708.722
289921.6	118115.1	2631.419
373699.6	242857	2950.213
153306.3	142168.2	819.9905
362191.2	273840.1	1720.461
184000.9	94892.98	1075.184
438668.9	353317.4	4937.69
560785.8	389221.9	1846.184
447117.9	295346.4	4188.716
104104.2	103825.7	1210.734
363736.7	368460.3	7962.329
396192.3	309151.2	3678.497
431137.2	262518.3	4715.166
71234.66	85972.34	574.5456
109175.3	105402.4	1226.356
625079.9	228241.3	9632.788
373504.2	237859.3	5879.217
282520.4	170223.4	1976.601
406359.3	215387.9	1433.428
133170.9	75968.39	2118.84
168004.1	82942.64	1522.191
439399.8	276344.9	3690.826
74687.38	56838.34	812.5493
262940.7	122066	1099.258
97281.55	80258.92	1490.106
354674.8	172512.3	1854.209
770034.2	723720.5	10790.89
277438.9	186441.6	3586.441
186428.2	113777.3	2396.125
268518.3	181072.5	2349.96
347869.7	187415.5	2508.106
304696.4	184449.9	1803.844
316840	213412.9	787.9049
470890.4	309326.8	3901.878
365894.5	217423.3	861.2545
460799	212562.5	7019.48
355990.1	211262.3	2484.836
261425.3	198071.7	2412.018
315575.3	155097.7	4915.82
381716.3	283997.5	5135.973
231498.4	149810.3	3579.142
298094.7	191091.1	3380.834
216167.3	217346	3351.082
353981.5	249669.4	5442.737
444421.1	223519.4	4356.857
139516.3	127585.1	1659.427
248600.8	148072.4	3205.044
321272.2	169859.2	3321.926
604343.2	352402.6	6171.047
91140.68	93732.89	1343.847
192159.7	196306.7	2722.684
89812.81	94819.99	1065.461
544220.3	481979	10364.77
206064.3	133411.8	2930.586
264333.3	328971.9	4363.054
101821.2	65161.26	1186.09
326785.3	158685.6	1457.528
231228.6	128327.5	879.3909
212481.8	187708.8	2954.284
183675.6	217051.3	1712.981
253402.6	188577.8	6390.033
373191.2	148756.3	1943.128
286863.7	237609.6	1545.345
824318.9	628603.9	7664.783
84284.45	53820.57	706.427
559806.7	361291.2	5904.834
