FSC-A	BSC-A	Violet
234716.1	125168.1	88.67285
123123.9	149339	88.54321
143331	84110.97	-20.61255
275905.5	129553.4	183.7628
184271	90058.3	58.37629
298532.7	119715.9	101.2997
392342	229136.9	193.2264
103264.3	62698.19	75.25525
91725.54	37018.46	3.331714
382704.6	223436	364.6347
283885.6	251584.9	350.4133
251924.4	83149.32	150.8216
99518.21	81428.03	78.3925
202424.1	120384.7	89.58032
323166.8	253881.4	141.6951
99347.67	85714.65	73.82922
435365.6	253510.1	225.3768
156802.7	384701.1	335.8938
419274.8	286941.3	404.1486
140462.2	62160.89	31.96889
226829.8	260861.6	280.4344
311826.4	189632.1	125.7365
142262.3	79540.12	88.51728
83013.81	50843.11	36.67478
102437.5	55454.48	92.63979
83130.23	33998.97	115.171
510823.2	292462.9	161.3483
319389.8	225788.8	389.3179
251070.4	150650.3	169.0748
321810.1	149708.5	414.1696
303637	150948.1	434.108
463676.5	226743.4	469.1753
123343.2	55693.71	90.51372
296466.2	236596.1	329.3341
192570.3	136269.3	209.8202
356827.8	298200.6	228.2937
278531	147303.6	238.9241
208157.8	177746.3	263.0239
418922.8	229997	144.7545
92538.74	63128.54	117.336
206938.2	122222.9	274.0562
260375.2	156779.5	149.4734
271457.5	130588.8	230.3679
254090.1	155962.5	227.3344
99956.53	63576.97	14.97327
211558.2	152928.2	172.0694
91750.8	85141.57	56.45764
247275.9	152234.9	106.913
316938.7	290913.2	351.0745
386717.8	264724.1	220.0228
461896.4	503877.3	546.2714
298424.9	189983.5	244.0966
99312.91	66856.23	144.5471
261096.3	97876.48	225.5453
437724.3	356066.3	470.2383
70897.37	70505.7	77.18687
137451.9	139337.1	109.428
221490.7	118349	318.976
241278.4	149471.7	191.7874
121862.6	47306.37	111.567
517234.9	376290.6	479.1056
160656	69855.05	107.976
156392.1	55571.52	49.78125
294728.5	120954	91.33044
366843.8	342309.1	320.5057
166056.9	97726.09	87.22089
827435.7	463707.9	1336.834
347058.8	154573.8	381.0599
86416.55	56972.42	79.26109
241471	93400.78	218.1171
96548.4	78909.24	71.02903
116555.4	113526.1	53.29446
508298.7	292861.8	374.915
173854.1	52342.79	17.42344
340772.6	240593.9	542.0711
568871.4	554373	502.4406
299981.1	177380	271.6837
155095.2	201513.3	258.5643
259027.1	407296.8	882.8782
1548351	1023389	2933.36
149276.4	68651.47	110.0762
84486.49	40803.82	12.62681
104396.4	113628.4	182.3109
78007.02	68552.14	189.8429
102327.2	74644	87.70056
192559.7	111773	135.5632
392123.7	298379.1	570.3713
206774.3	99672.16	147.4251
110214	56214.26	23.50349
639837.1	316143.8	477.8741
178458.5	140054.5	198.0879
278335.1	100163	46.09951
459256.7	322258.8	336.6457
261865.7	123382.6	132.5944
321011.6	242909	339.9255
399426.6	300283.8	400.3372
288221	165243.1	278.9435
115464.1	63673.2	62.39509
84307.77	48044.32	-11.79712
173717.9	80569.29	171.3045
145839.2	48411.16	50.72761
326610.2	180206	225.1953
222595.5	191937.6	283.429
223383.5	196284.1	114.0691
387409	269749	327.8821
283329.7	159037.3	301.4229
281967.8	174563.3	276.4804
119738.1	65044.78	42.4437
72107.57	48099.89	77.42021
186689.4	144167.2	222.7841
171772.7	72992.09	127.0977
499628.7	441319.1	480.765
162564	121915.6	164.5504
227126.1	116834.2	107.8205
636325	290540.7	594.3803
192913.9	142611.1	129.0164
513278	378117.9	244.8097
144659.4	118114	209.2887
250388.1	163020.6	161.2316
324031.9	220689.9	202.1974
312231.5	141620.3	176.8531
442042.3	232403.5	295.4076
422837	291712.4	333.2103
287435.2	141406.3	303.536
159062.4	154986	248.1543
367845.2	224413.3	463.6527
126277.9	56604.34	104.4758
371346.2	266322.7	296.2892
445900.8	413742.7	633.9331
120005.8	134020	128.3941
80503.85	58841.29	144.3267
104710.8	53120.66	82.25574
124697.1	126724.6	145.4546
1198466	895710.2	1818.027
367715.8	561636.1	696.8727
633718.9	452448	496.8143
312433.3	167367.5	210.2739
260282.5	155000.2	203.5068
256148.9	124241.4	211.5055
296444.3	144486.8	211.4925
74397.48	34820.12	29.98542
616406.1	303587.6	346.7964
103407.5	123790.6	195.0543
154384.5	95861.51	108.6502
222273.6	133643.5	78.62585
68055.24	34616.4	46.63103
128138	58321.48	36.29883
