FSC-A	BSC-A	Violet
362296.5	151126.8	7260.867
328022.9	142847.5	4211.507
131250.2	65905.27	1725.011
253405.6	173293.9	15375.94
357016.1	218020.3	4982.792
294577.2	129565.2	3341.553
273461.1	121292.1	3693.626
389859.3	177016.8	2802.606
92004.5	55207.87	770.5333
367637.4	139315.2	1236.675
464811.5	194449	895.3365
293135.9	142353.4	3738.688
438189.9	215898.4	19752.46
271535	122729.6	2907.419
484172.2	195046.5	2109.052
777322.1	401389.3	10910.31
686708.4	312992.8	4092.239
299210.5	199452.7	4110.933
249900.9	142452.8	3154.096
598354.6	234067.6	20819.18
914605.3	510800.3	6933.918
198098.3	104525.7	2105.488
391813.7	142353.5	3810.43
722912.2	463139.9	13877.51
288115.7	115940	2274.523
139569	71355.45	944.7029
461891	349314.6	5388.172
359460.6	140378.5	3046.924
356508.6	162208.1	2190.984
244137.7	202672.9	3627.588
158161.9	70091.85	432.5265
83405.22	32325.8	930.7797
167286	101636.4	1339.077
408976.2	250106.8	6758.453
84369.98	80990.18	1244.803
131764.5	119214	2395.463
205580.7	90948.48	1090.054
77675.11	48217.44	2190.66
396381.1	186903.9	2013.392
288123.7	130242.8	2292.854
156355.5	114790.4	2240.208
178805.1	83610.56	1606.08
1052038	572855.9	35916.56
247474	163314.5	1056.477
283318.4	132280.1	7422.929
426183.3	196406.8	4423.492
279126.5	109126.5	1559.786
141155.7	72164.23	1432.17
142116	87011.65	1459.252
324017.6	235496.9	6529.576
133935.4	125188.6	2508.21
268594.7	118698.4	1338.947
771914.4	304817.4	8377.134
524714.9	229018.7	2501.961
673245.6	424957.6	18160.24
252011.6	118882.5	4251.85
179210.1	151882.4	3210.281
82335.3	55146.04	1204.525
191469.7	137024.7	3711.14
576795.4	286407.3	8703.474
300736.2	142244.2	2139.142
242013.2	185999.5	2496.244
146689.9	83181.6	1821.164
304536.3	122262.2	1883.157
438626.4	143042.8	4264.685
99049.16	37991.52	712.9479
368873.8	158165.1	3184.418
440331.9	200598.9	3634.226
436553.1	143966.3	3458.734
350880.1	135307.2	3790.414
300330.2	107267.4	1243.287
464036.1	157699.1	3256.147
133121.8	95233.76	3015.045
97719.04	49893.89	1138.331
141620.2	91928.49	1974.721
