FSC-A	BSC-A	Violet
394070.2	276012.3	607.1108
277820.8	117176.7	162.0613
240659	141471.5	171.2008
291149.8	174600.2	359.2028
241917.6	153584.2	289.3146
77886.31	45727.58	1.490845
283292.9	154936.9	553.5312
241357.7	152281	336.6457
352223.1	131934.5	297.9356
304013	176136.1	301.9544
373316.4	339447.3	315.6183
258524.9	114636.4	253.301
164331.2	144236.5	182.6998
256596.3	132690.3	229.7197
300671.9	190243.2	239.2093
285325.3	125491.4	361.7956
402750.9	229181.2	493.0807
293551.3	199390.6	198.049
1032175	578092.6	307.2566
367717.1	137145.6	356.5712
350187.4	296093.3	527.072
107114.8	64683.91	84.69294
206274.9	132805.6	310.6661
310396.9	175568.4	646.3784
444138.4	212753.4	203.1956
400713.9	210689	425.0722
435677.3	261979.6	350.8411
538038.8	309131.4	379.8413
399012.4	174806.9	369.6387
321643.4	213172	341.6108
520583.8	427181.7	1323.429
660397.2	514401.8	542.2915
265974.6	90545.59	306.1028
140219.3	72608.73	115.7414
275874.8	150364.9	349.5447
274018	168385.4	278.6194
254609.4	121453	324.1615
135215.8	143432.9	219.7375
356091	175945.7	460.321
331399.2	148793.6	254.1825
292709.8	249741.8	283.7661
292396.3	130477.4	307.3344
165781.8	84119.34	24.29429
358792.3	172464.9	231.8717
431888.6	199403.2	392.8959
287862.3	202904.5	209.7813
223546.8	96512.84	169.0229
88843.71	118044.1	79.00181
193782.2	97814.24	270.0503
373966.4	230912.9	225.1564
367480.3	163721.7	424.2814
371428.2	316596.9	453.8779
575639.7	349670.6	755.3656
402179.2	270699.4	641.0891
319173.2	307058.7	1192.935
605737.4	451112.8	1667.879
158307.2	60565.23	-371.9204
225395.5	127930.5	284.5828
146756	106757.2	186.3945
215657.5	181728.4	464.5602
359512.7	192810.2	387.853
241936.8	93765.96	205.1013
225805.5	145431	115.7803
408371.4	251720.6	404.6412
357233.1	162933.1	287.2274
495958.4	348459.5	614.1243
404843.9	249822.3	152.7403
763978.1	689152.5	899.6146
347348	78600.6	304.7805
335723.5	215445.6	474.3997
131838.1	143352.2	253.5862
751657.9	612281.7	1230.919
117398.1	82789.35	403.5004
824279.1	620166.8	722.4244
620661.6	242285.1	602.9365
274736.8	191946.6	164.5374
355067.7	171080.3	270.7763
448387.2	211489.2	359.2936
376600	168375.5	103.3609
339887.2	209906.2	625.001
408628.7	246875.1	351.2819
658889.4	427110	436.4026
402025.9	198248.1	343.3091
399824	311677.6	70.2123
375087.3	152624.7	145.4157
177778	89147.48	141.0987
284928.1	197718.5	330.2804
473917.3	225949.4	307.0881
447968.9	292264.4	848.4203
131295.9	134789.3	148.2418
331564.2	222133.1	215.4335
532381.8	290826.7	397.0833
404261.6	218591.5	434.821
105013.1	93538.37	140.8006
467083.2	274324.6	635.9814
1887985	934079.4	2012.381
575648.8	287584.9	767.9147
661668.6	390069.2	481.3224
681437.2	399049.6	1509.435
243261.1	83169.23	231.3143
425938	305503.3	414.9086
1013653	638421.2	1268.592
384667.6	242134.4	339.5366
313799.4	146710.2	159.0796
495778.4	262075.4	434.0951
407229.3	185660	546.1288
229760	92032.4	79.67593
327470.2	200110.2	144.1582
278891.9	154409.8	229.1493
285722.5	227898.2	217.8707
386359.1	258487.2	173.7806
432642.9	257065.2	434.2377
334951.2	143631.3	320.0779
419482.8	216802.3	335.9586
275779.3	168497.8	300.7358
287511.4	163892.6	144.4434
407248.3	415111.3	607.3053
420803.9	305609.7	591.4634
89449.44	84058.73	284.6217
321407.4	151601.8	340.5867
273280.5	217993.4	290.9092
514178.4	370750.1	626.5566
478698.6	358349.5	425.4482
490149.2	276312.2	428.741
236027.5	121503.1	213.1649
537911.6	214251.5	162.878
859359.5	622885.9	994.5101
158560.8	113639	138.3893
682595.1	407199.1	417.4106
508523.2	244435.9	308.1382
230698.2	98609.3	338.0977
392639.7	245792.1	377.4819
355191.8	213633.1	284.4661
465439.7	216393.3	124.8291
216154.3	102244.8	285.4254
291471.4	259863.3	469.6809
400590.3	249351.2	217.793
378678.5	257786	326.2876
481789.9	255100	648.0507
466534.3	355286.2	461.7859
415036.7	266481.9	246.5987
443776.8	292012.5	339.783
341292.7	164330.1	229.3827
288123.4	123102.3	171.6416
387973.9	194017.1	270.6726
910845.6	532985	995.1323
641683	231751.7	473.4663
194704.7	91605.99	281.8345
224409.9	71076.19	187.4705
484864.1	325109	1271.95
404629	178305.4	647.3507
243218	106209.3	158.8981
444301.8	234020	302.3044
266593.2	80714.3	216.0299
292234.9	142635.5	338.4866
366325.2	167986	614.0465
202866.8	105491.8	228.6048
334358.4	200332.5	178.2272
114196	75806.23	154.1015
215446.8	163730.7	220.658
420810.7	185780.4	136.9633
194388.4	93010.92	365.3607
309016.3	200472	190.7633
279859.8	110977.1	361.6789
553333.6	303067	778.908
390535.5	316910.6	257.2679
307764.4	179692	394.9183
287105.4	173249.6	92.66572
405014.6	223736.9	150.6661
1188016	717725.1	2496.633
393043.1	186600.3	496.7106
263749	171228.3	281.9771
403028.9	227173	380.7099
419920.2	284970	507.9891
621044.3	453375.6	1596.915
270705.9	196532.6	193.1616
360950.4	169295.3	325.1856
510709.9	380935.4	338.2532
148584.3	125781.5	209.0553
325296.2	143204.3	220.2172
313009.3	182412.9	360.8492
430100.8	405543.2	471.5995
322181.1	180603.8	376.704
228444.5	155553.1	155.5016
277313.7	151533.7	76.65534
97008.66	91988.09	206.6829
218588.1	114594.3	304.5861
369903.8	204183	-45.61985
282448.2	160624.2	545.351
304437.5	133684.8	147.1788
356924.3	138186.8	231.4828
650819.3	273662.1	1000.123
287227.8	165210.9	339.1088
474425.6	220861.1	365.6459
391072.9	368831.8	863.9121
228742.9	193082.6	247.8173
900054.8	471990.9	1439.573
674783.3	234399.8	190.141
389954.6	241202.6	187.4575
292433.9	110731.1	254.7918
386658.6	138287.4	479.7149
441347.9	370927	644.0579
512951.3	241705.9	478.5871
366349.8	182643	163.3447
123262	104372.7	190.141
562136	507218	698.2209
459910.2	285908.8	484.9264
320657.7	142313.6	286.9811
1000196	530778.3	947.4642
406166.7	207194	122.4048
365301.5	184701.9	345.3704
333503.6	195131.2	370.7277
354339.8	160802.3	245.1986
1906720	1024419	1617.929
266811.6	110743.3	348.015
72637.66	72554.42	60.55422
334174.6	144407.9	261.7405
565024.1	161360.6	381.2284
419871.3	233748.5	641.5428
270723.5	133642.9	398.1333
1013007	368571.4	344.9944
308794.6	226131	220.3857
414457.3	193050.3	324.7967
407507.7	232136.6	487.2599
465379.2	213954.5	346.8483
505702.4	281411.1	625.1954
100935	69034.68	119.9287
421250	180923.9	858.8303
461543.3	238824.5	300.5413
312879.4	260423.7	226.6473
682473	282751.9	280.7585
198214.6	97816.19	242.8651
71639.49	66263.05	87.68759
407253.4	206884	159.3
700778.7	464562.7	1019.18
156199.6	78170.94	39.00827
435961.3	284980.1	358.775
150426.9	128369.6	193.1487
542656.3	345767.6	732.0955
360634.7	183278.3	262.3109
607311.8	522046.4	965.6655
316819.4	150532.8	288.4331
388761.9	474027.6	495.116
403462.8	191943.8	222.7063
572194.5	316030.9	809.8138
309306.4	110457.9	259.6144
284217	151774.4	329.5026
935757	529125.8	840.3697
93659.98	128735	218.5578
926205.1	910046.6	2318.16
312217.3	185562.5	300.8006
297002.1	175024.7	314.659
480067	329090	163.228
602167.1	269020.8	986.304
241153.3	124811.6	314.9701
565535.1	248104.5	452.1149
275588.2	135522.2	355.1711
244351.8	87600.75	79.0407
266713.4	136796.1	214.3057
371145.2	237136.7	450.3258
380428.6	277487.4	362.0938
628352.9	528152.9	1063.97
235163.2	101665.9	236.6165
1212639	601509.9	2419.343
305256.5	173351.6	421.5461
421909.3	345654.1	393.0126
496640.5	289785.6	265.2278
342663.5	227924.4	292.2963
319295.1	248936.4	183.2443
674132.4	254068.4	802.4115
535479.3	209156.2	245.03
456631.9	274191.3	573.9363
874093.6	544608.3	557.7444
304075.9	120564.4	258.8236
550776.9	162076.2	474.0108
1102152	896459.6	3213.548
312214.3	203827.4	375.991
226331.4	144278.9	49.50901
352726.3	216251.9	315.4498
491218	261929.8	499.8997
402045.3	229504.2	333.2621
268659.8	126647	309.3438
623211.8	439512.5	271.7097
350202.5	116952.7	84.0966
499287.9	194405.2	350.6596
327412.5	216169	477.2518
273040.3	161087	189.2595
351531.4	255738.9	302.9656
277087.7	159248.7	256.6327
244492.4	123877.3	237.4332
512102.2	315167.8	810.8899
409498.7	226790.1	242.3595
1124495	782307.6	1782.493
364678.8	189234.4	262.7387
424254.1	207845.6	528.2128
376295.7	213379.6	354.834
290311.8	238833.5	301.034
113844	92470.27	118.2953
688458.8	377290.2	648.6082
890938	785223.3	1340.269
331668.7	167244.7	125.3995
343174.6	178351.1	104.6703
360189.4	196387.8	163.9151
641123.4	404459	447.1238
373318.7	185683.5	545.688
296100.6	253611.3	328.6211
241624.8	195534.2	380.1395
314476.9	207647.1	339.3033
364063.3	158310.1	312.4681
455135.2	279812.3	474.1664
372835.4	218435.5	220.995
241084.7	179421.2	166.6764
941907.5	433548.4	542.2137
306200.7	209603.9	292.8667
310801.5	269553.6	323.267
367102.2	133624.6	429.4281
264752.1	101283	105.2407
297736.3	218091.9	242.8781
316102.5	132077.5	306.401
346478.6	189844.2	445.594
612096.3	273725.1	543.7046
452394.7	165443.9	400.2594
227694	62593.11	257.6698
320918.1	119495.9	128.9127
433747.1	246326.1	299.1412
307521.2	158258	267.9242
305434.7	149735.4	217.2355
562749.8	444354.8	616.8726
355922.7	158613.2	206.67
261361.6	110778	258.4995
203127.8	81510.1	367.0071
287399	170685.8	217.9615
336964.9	182528.3	927.1498
383827	208231.8	318.6389
359620.8	235393.5	166.9357
95307.46	107049.1	176.9568
116185.4	85525.59	-56.41875
109349.5	78520.15	212.6333
543438.3	249346.9	251.3175
194772.9	74231.66	180.9885
179338.8	82334.45	337.3069
335708.8	164425.3	180.6774
273578.4	240936.1	308.929
247334.7	131185.6	341.5201
657065	568984	534.591
294844.7	132710.9	86.40417
372591.9	168509.7	429.7781
252099.5	113721.6	285.5681
363532.2	272033.6	237.3943
228294.5	95585.87	242.4762
245467.5	122455.2	335.2197
340560.2	167338.2	407.7136
393746.9	252077.6	159.5333
376964.3	192145.8	235.0608
136933.3	86261.22	324.3689
287015.6	152913.5	217.7281
328802.9	330118.9	122.8845
427060.5	267131.9	612.789
193013	259254.2	422.5443
102397.4	60849.95	138.2726
206907.4	124350.7	264.9425
258244	130079.1	344.8129
195586.8	121429.2	332.6658
323133.8	168253.6	229.8753
339374.1	163715.8	395.6183
497316.2	317758.3	486.0543
417712.9	263439.6	91.13599
257554.8	94182.38	287.8497
286067	116217	330.6564
711085.8	848638.7	1477.297
514513.2	204417.8	289.4183
543807.8	304511.3	307.6714
342549.8	212818.2	198.5157
287987.8	148636.1	430.6726
509995.9	307800.2	799.0409
322551.6	153862.4	357.1805
453573.4	219774.6	494.0011
515924	286367.2	401.4521
639392.6	351442.1	337.8513
1061305	653631	3349.461
336738	200650.5	327.3636
880557.8	504004	677.8547
481178.8	151445.1	17.85124
190840.5	93669.8	336.1012
487670.5	303138.6	396.6554
959102.9	511396.1	671.4635
289816	157626.4	168.9062
293054.3	208054.5	178.2532
480087.6	220818.1	261.4812
438782.3	295890.3	360.6029
688465	375222.9	264.9425
474299.9	274395.2	633.0645
241917.2	105038	162.891
219045.1	106602.3	152.9218
681344.8	474792.7	913.5767
205956.1	103934.3	395.9813
351505.8	358920.3	525.8793
409689.8	154038	233.6348
740839	506350.4	931.026
221396.3	122209.6	139.9709
345681.4	194653.8	445.6718
370349.5	209275	267.0557
128600.6	58705.73	221.6303
441982.6	234335.1	313.2978
341626.5	241224.5	239.4426
1082171	725281.1	1376.153
78379.05	53124.98	156.9276
444177	242822.4	277.8546
1173311	757776.4	1667.075
410343	265201.7	538.8431
368161.3	207267	215.3428
