FSC-A	BSC-A	Violet
311407.2	160077.8	5807.657
313089.6	157373.3	1831.237
117514.1	64601.61	2462.227
228433.5	93839.11	3284.862
93236.49	52022.3	1865.656
457336.8	269231.6	3190.447
333496.3	190389.9	5346.273
269299.8	141282.7	3451.811
143407.2	157381.4	2788.489
234839.8	226765.8	4317.732
189373.8	102027.3	3854.961
244720.5	106079.8	2590.181
278277.1	140608.4	2528.11
569047.6	460916.9	9001.992
589815.8	247797.4	7122.439
110357.2	53102.91	2726.198
182396.8	99353.38	1674.05
300329.7	185882.5	8068.854
391062.8	164554.3	14109.87
360095.6	157189	3540.147
114524.4	61530.18	3612.744
280618.1	138836.8	3480.993
324068.5	154248.7	5002.017
336690.8	202956	5421.8
420356.1	198325.8	6916.677
426380.2	227623.2	5382.092
221426.1	209043.7	6574.962
187146.3	183702	4349.857
286504	146162.3	3955.328
158346.8	76803.13	4273.889
250798.8	133680.1	9723.471
73150.64	44895.48	2836.235
183658	86959.44	1067.86
272625.7	133400.8	8637.799
257053.6	104385.6	3221.56
386786.8	190802.6	8081.701
599917.9	730561.8	37152.46
167015.3	73163.4	1511.237
340587.5	132575.5	2148.955
330140.9	152061.5	2081.115
242225.2	108556.2	4333.483
242310	196284.8	4226.999
318768.3	213759.5	7384.361
239464.1	99126.51	2443.78
281762.5	141568.9	3763.424
232238.5	114297.3	3002.794
148586.3	97784.57	2893.418
201280.2	124415.7	2961.583
568841.9	512700.3	16689.36
271559	153337.8	2301.047
150635.1	111623.2	5546.409
296156.8	184312.7	2010.346
145703.3	69660.82	3155.625
243112.2	128521.4	4195.729
199362.6	80545.7	3274.517
335190.1	305133	7918.991
370042.2	401193.4	8299.662
297761.2	140946	2819.667
183253.1	107720.6	1276.085
353618	141036	5507.673
125801.4	77987.33	2489.283
327563.3	288398.9	15268.19
87718.02	58985.92	1788.275
254958.5	101428.9	3839.392
166204.8	88325.91	2645.031
670434.1	297236.3	19335.14
258157.5	177294.4	5287.961
241873.7	149835.9	3195.606
207184.1	98193.06	2475.878
279071.4	132852.3	3444.486
373437.7	169092.2	9578.249
225606.4	102864.8	2232.495
97716.41	40329.55	1128.686
399546.4	274192	2388.515
100515.1	186352	3317.816
618072	410740.7	26901.62
422627.6	229126.1	7556.262
269119	144273.1	4640.351
336377.5	240971.4	5498.481
435263.7	243466.9	6142.863
297481.9	106103.7	2719.625
284329	111719.8	3398.789
258102.3	117437	4087.805
344779.5	180061.4	2921.9
316345.1	144272.5	7116.139
542980.1	280271.6	4808.674
346677.8	229285.3	11030.28
284715.3	281474.4	3266.531
550738.1	297105.2	6504.076
224342.3	267188.2	25569.19
83384.94	35192.36	1687.364
432735.3	159659.7	4126.801
172173.2	111481.2	1950.336
163700.9	97898.43	3494.786
331071.8	157795	2536.925
174953.7	179162.3	3246.165
112838	45267.39	1581.099
493808.5	253158	4262.403
79120.07	50978.81	2053.062
86308.48	55620.56	1182.901
95314.7	112470.1	962.3079
229122.1	256570.1	3102.577
546983.3	526202	11363.1
356103.7	215311.8	2664.334
96916.13	64532.88	1047.869
113287.4	57740.43	1362.684
155014.7	62795.71	2373.71
83291.55	78521.84	4416.854
132027.8	52625.8	1359.91
182249.6	108172.1	2425.177
507580.4	358714.3	8996.029
341646.4	142778.5	6658.514
133684.8	53258.73	2144.055
290819.2	99315.21	5724.973
330280.3	187909.6	5088.797
504587.2	287366.3	6358.595
426687.3	222165.6	2306.35
416500.9	260780.2	4089.53
233478	91281.34	2619.414
262067	142922.4	5699.279
172594.6	104705.8	2330.735
324472.1	190325.5	2962.775
108237.7	57866.16	2234.011
197377.3	96458.25	3539.887
159763.1	84899.88	2231.12
293942.9	291852.1	8430.662
267548.1	109555.2	2821.975
254144.5	125830.3	5275.866
172131.2	117328.9	2440.902
263999	124377.6	3882.756
360028.3	353446.6	5946.461
189974.3	78477.57	2689.717
296734.6	223036.8	4581.405
220437.4	109164.7	3203.488
307998.4	101953.3	2624.094
216301.7	149725.1	3341.398
232219.7	91531.7	3138.656
95386.78	48252.46	1506.712
345889.1	205992	5272.093
389723	211591.9	8263.013
194609.2	85877.06	2254.792
417982.3	203264.2	5300.277
229913.5	105387.8	3551.957
298243	173437.5	4479.716
359909.5	326412.5	9223.156
282790.6	145903.4	2310.913
351189.2	157900	5057.464
362736.6	249009.3	3890.34
271548.1	158547.4	3297.398
223311.9	164788.5	2490.748
274844.6	109021.2	3022.383
325863.8	147011.9	2825.125
263361.6	165708.2	5359.677
256640.8	124863.3	4311.367
131270.8	47630.57	3983.044
160358.7	160036.9	2625.183
463585.1	199570.4	4178.604
349367.4	185889.1	5547.161
352494.6	193830.4	4809.504
278354.1	215918.8	6465.664
140057.4	96643.46	1636.247
199845.1	78587.09	3668.58
289537.6	96713.04	3399.45
568003.9	325135.7	9068.315
328711.7	124937.4	5276.151
170326	122979.4	3298.669
304721.6	200249.5	4990.519
77746.91	64753.07	1547.575
413266.8	237573.3	4627.038
92436.4	50849.84	2513.798
291914.8	118725.8	4248.376
276084.9	120335.3	4493.302
316912	193528.7	1889.613
807892.5	610861.3	16413.5
380515.9	212837.8	6240.559
243593.1	149371.2	1917.511
301506.2	162045.5	3282.633
349232.3	272030.8	8732.305
370811.7	136985.1	2322.749
144622.4	75401.88	2135.304
382807.3	213233.8	11867.27
483639.3	260959.1	1617.242
328781.9	248253.1	6361.253
671474.2	274704.4	6869.734
375559.8	186090	2760.604
329409.5	153423.6	5794.68
156316.3	59670.2	1723.028
741378.6	466996.2	7788.782
132846.4	155702.1	3168.706
238059.1	122828	3357.486
415686.6	301628.2	7085.687
388611.1	168682.5	6969.53
120621.7	194992.5	1902.836
178678.6	115920.9	1954.822
688218.7	419569.6	10755.13
243736.3	133527.8	3336.938
311017.5	334512.9	8417.529
200277.7	125678.1	3315.729
384098	241209.8	5530.709
519955.8	375369.6	15369.86
204450.2	101187	3171.597
175344.4	82167.05	2675.288
191519.7	83547.26	1960.202
802703.9	591537.3	6089.867
277797.1	92904.7	3470.609
569181.8	274465.1	6435.25
352448	209333.5	9994.778
288691.3	141258.9	3230.894
332028.6	141647.3	3519.858
354767	166152.8	7184.834
218838.3	128875	4080.649
696659.2	539711.3	14676.47
108667.1	309117.8	2884.344
315483.2	192841.5	3345.08
77794.23	52833.59	712.0015
83399.09	58106.77	794.2702
299842.7	142253	4245.952
317116.4	174512.2	2932.44
273468.5	101419	2959.301
401106.8	209498.9	7041.376
250074.3	163138.6	2295.032
240554	118738.2	2367.747
255633.9	98046.41	3792.683
214939.6	71696.66	2781.203
273832.2	172443.1	3068.327
202701.3	101217.7	3050.1
85362.09	63535.59	680.59
271352.7	219098.3	6035.601
127509.4	130051	4622.617
406419.1	225154.4	2974.832
249670.5	154386.5	3085.919
191522.4	85959.11	4293.646
171832	142950.4	2384.133
319442.9	149213.9	4680.604
296601.1	206858.7	2863.524
288971	130090.3	4165.511
235994.9	98008.78	3912.313
286047.4	106175.7	2937.69
366703	221631.6	4032.514
88905.64	49407.28	1583.51
338843.8	175751.4	4587.549
178799.5	117543.2	2873.13
335492.2	164594	5203.242
301481.7	172459.7	5227.99
400468	273199.8	5143.79
745966.3	402371.6	5821.567
336792	232490.5	3001.226
200378.2	327477.7	5322.03
249057.8	110771.9	6499.992
184072.6	80345.74	1698.215
198046.6	96808.26	4007.468
243972.1	126651.1	2919.839
190902.6	227088.3	4073.804
287979.8	148936.7	2535.823
116676.3	123096.2	2736.05
147176.2	73200.3	49680.71
483655.1	297620.7	6868.633
211772.2	62620.75	1819.712
1060216	761027.5	26005.84
212253.8	140445.2	2848.123
262124.5	174404.3	1857.165
243218.6	107542.2	3848.933
224565.8	143077.5	1235.042
281438.4	113641	4164.785
456143	281396.6	6549.864
305940.1	166110.8	6959.25
296684.5	159177.7	3002.172
432456.6	174210.5	4668.937
404429.8	125630.6	2211.247
399062.3	155580.5	5951.271
247384.9	127908	2790.965
307424.3	238324.4	5088.538
563638.4	313535	10262.6
185957.5	180937	2881.193
321343.3	121886	4101.495
147433.5	95173.81	1956.053
203246.8	136143.7	2176.128
434455.1	138733.5	5353.442
446668.8	230598.8	3832.845
214299.2	106838.2	1676.371
255663.1	118854.2	11035.45
493049.6	382614.9	6619.778
339336.2	264045.4	8224.821
531618.5	310406.1	6238.602
269925.2	129633.8	2859.349
253247.3	133787.9	3423.057
92954.62	57612.23	1318.062
254860.8	142418.4	2200.331
102864.1	78961.85	2362.224
251398	117416.1	2663.051
550869.6	387205.2	6592.709
254867.8	144712.1	4215.253
228589.9	103337	3954.861
386529.1	244336.1	2738.15
236169.9	86704.96	1771.085
394246.8	219448.9	4998.18
228934.1	143596.9	3659.233
302534.3	189911.4	3437.758
293277.8	149125.3	3725.452
298068.4	116326.1	4347.705
232932.6	113587.5	1922.658
274831.2	71636.45	4008.207
453049.3	555673	7617.854
137419.4	65417.81	2122.302
70915.66	44403.3	1717.557
185711.7	141038.7	7495.358
75214.16	43643.95	196.3248
