FSC-A	BSC-A	Violet
251308.5	180908.8	1506.388
274248.9	144188.2	3427.063
281059.2	165009.1	1656.536
115916.6	149298.1	2460.529
270000.7	154327	5109.254
85837.59	82967.27	682.9883
266847.4	124573.6	5750.149
267613.6	217653.1	2299.194
284862.4	200459.7	1673.933
360902.1	328201.4	2455.032
230843.3	137588.3	2324.408
437984.3	304606.3	1420.166
473716.1	227998.5	2007.857
494376.4	332459.9	1281.932
240049.6	136061.4	804.1746
243626.8	284207.8	2972.718
341260.8	247196.5	1756.422
255573.3	156715.7	3042.373
300941	200080.8	1249.82
111197.4	62245.68	1060.431
215359.3	150347.8	1401.589
453980.5	226757.5	1333.036
108869.4	92832.83	513.3821
210031.7	93070.43	1258.869
295598.7	194478.7	1290.864
273980	144952.8	1551.412
254528.1	145042.7	1912.106
440974.9	315904.2	4103.051
231471.5	226458.8	2414.74
296963.8	184915.7	1406.152
391350.8	284258.8	1352.559
267077.3	177256.9	1645.011
263788.8	113033.5	1099.064
515845.4	390925.2	3303.271
466301.4	198016.3	1759.262
191514.6	176179.3	2457.236
305364.8	198801	2229.02
215252.6	211804.3	1820.205
376832.5	299142.1	1602.036
1053255	647812	3459.862
181392	109530.9	1555.845
320667.4	160500.2	1236.066
299481	159722.6	1155.184
318082.9	213932.8	1774.274
283540.3	150894.1	1658.636
491573.8	189896.3	2485.666
188217.6	72542.17	620.4507
601452.3	405061.6	3611.928
199199.7	174730.6	616.4578
407627.5	262312.8	2182.065
289191.6	161444.3	2907.692
241605.3	173349	1263.199
219449.8	118364	2976.646
302199.2	177087.7	1781.183
324784.5	201832.4	1850.696
473301.8	790053.2	15815.66
511881	351853	4438.413
256469.6	111670.9	1098.247
451815.1	213576.8	1827.516
143487.8	131875.3	1249.937
246578.4	127778	1964.726
110742.1	55207.35	450.4425
234168.5	143770.6	1453.82
1397231	1176875	16528.46
111747.2	83766.43	855.8486
275983.6	173250.4	2425.747
189915.1	84441.95	715.4499
273625.3	194938	2548.605
453661.6	306183.2	1798.386
237526.2	110917	1451.564
366203.2	231863.7	1102.37
407533.3	269004.9	1735.006
450430.6	370929.5	3384.049
396684.5	358014.2	1060.483
244181.8	156085	1078.075
587682.8	297746.7	6936.032
83513.44	119370	2161.971
326682.1	296949.6	1486.476
275189.8	107665.4	1460.626
290808.5	166616.5	1799.45
426978.5	255924	2326.055
201336.1	115279.5	863.238
322306	200313.8	3003.132
408849.3	248837.7	1743.303
324849.7	188202.1	2333.859
334524.8	216755.2	8551.848
224167.3	240537.3	8069.139
279843.5	306885.5	3469.805
346977.9	153264.8	2355.042
233901.5	151740.3	1673.026
344152.8	249975.9	1501.903
332059.2	226635.6	3715.263
342127.4	232391.9	1998.613
282687.8	304310.7	2933.982
355569.2	356406.8	2712.235
275141.9	191012.4	1895.953
374714	224367.5	2765.802
368237.7	193373.2	2590.557
279857.2	184800.9	1663.005
271784.4	193853.4	14698.29
311333.8	135052.1	554.3998
264848.3	125370.7	9815.047
240861.6	261228.2	1125.717
113529.6	133544.8	1016.886
358212.3	300533.1	2714.141
344233.4	175349.3	1318.309
265624.9	151609.5	1171.959
286620.8	168609	1720.02
240891.3	131646.5	454.9928
486304.3	305028.3	3529.594
553534.8	238183	2842.172
280572.8	199831.7	2984.075
128084.4	113334.4	906.6281
218816.4	131977	900.7554
505123.4	329539.3	2735.843
404182.1	237383.4	1648.291
201855.2	205232.1	2372.115
533162.1	382149.1	7249.472
277067.5	375246.1	6513.111
315815.3	209942.3	1861.871
127587.2	175921.3	1491.985
343018.6	251936.3	1292.977
280043.8	286765.3	2745.436
389750.1	309493.2	8498.151
217939.6	166720.1	780.7878
184466.8	97353.22	833.81
477217.3	343443	9578.055
339676.5	185831.4	1086.294
378150.7	266723.7	1772.666
224836.3	102868.1	893.3271
363428.2	403092.7	8281.124
344769.7	200241.1	1929.062
428586.6	341834	9278.136
266160.7	151127.4	1248.291
328334.5	140006.1	3907.374
245878.8	185220.2	1839.56
204030	158980.8	3083.067
229831.5	158342.8	557.6796
282943.2	241284.8	4432.722
379161.4	279991.3	2275.651
256644.7	103810	1376.464
132583.7	82637.02	1129.127
198113.1	168620.4	3124.422
818268.6	747059.5	23492.21
483323.4	252212.9	3218.643
192543.5	109668.5	1188.8
267336.5	149342.6	1804.843
326572.7	155483.2	895.8162
181755.7	73404.95	516.9471
345522.7	248319	1853.457
186698.2	86817.41	505.5649
331822.7	226851.5	1408.07
262239.4	130229.5	2358.205
873938.1	1085991	11850.06
515939.6	282711.1	1807.072
520399.5	306194.1	3351.121
221523.1	178899.6	1546.758
290911.9	208091.9	1309.48
243719	123555	1322.224
321294.3	208104.4	1647.565
460701.7	265313.1	11455.63
387966.9	168168.8	2037.946
432867.9	204439	1778.643
288496.5	158548.2	1379.485
191064.9	122340.4	2076.008
335249.2	201592.8	2215.201
316144.2	220949.3	1947.536
602956.9	400951.2	6311.134
275727	192796.9	804.6931
