FSC-A	BSC-A	Violet
491165.9	189828.6	268.1965
350899.4	156595.3	384.1842
164016.5	83323.39	151.9754
93013.85	66237.96	187.5612
317249	141234.1	256.6846
112288.4	84822.5	380.1395
323287.5	133277.4	467.6326
76091.13	51255.68	80.76489
113346.4	92786.7	767.1109
105008	95827.23	209.1331
344862.4	154147.8	183.8925
85678.59	69498.19	194.082
79664.23	69590.01	505.9927
281594.9	162376.2	166.5986
284704.2	123681.7	490.825
324675.4	219041.9	759.4752
71592.03	59092.77	116.4674
309186.6	179470.9	219.4005
252816.6	103683.9	56.76877
440024.8	213558.1	674.847
357786.2	154216.8	325.769
256658.4	116682.8	865.0918
72318.01	39211.85	87.67463
132290.8	77654.43	294.7594
288178.8	106813	210.9091
81517.73	42650.19	178.7588
260560.7	89581.25	406.5209
433643.9	406063.5	996.3898
495318.7	152726.2	802.8652
91686.2	72085.7	220.3857
549339.6	327583.9	658.3959
287628.2	172408	567.7137
123795.9	37915.95	222.5766
100684.8	36877.35	186.226
581553.8	245484.1	260.5737
306446.6	122171.8	360.9659
384381.7	177189.1	757.9973
321330.3	104363.8	349.2206
340944.5	134694.8	127.5385
444831.1	131828.2	600.7326
420883.1	213896.2	794.5813
152025	68155.35	179.2255
354854.6	102491.1	367.2145
278096.1	87645.75	176.0752
119024	104116.3	399.339
483128.3	279050.7	571.9399
156917.2	82065.58	136.328
190057	75855.02	230.3031
485528.4	320409.8	1092.271
154170.7	44286.88	108.7409
314567.3	125345.8	291.7907
327765.2	138579.8	559.2224
483561.2	204664.6	984.9946
346712.7	106955	221.6043
299652.9	128124.5	332.1991
172739	135405.7	680.8882
90995.74	39537.56	159.7797
1017030	371451.6	976.0366
297056.1	100010.6	140.9172
142653	97568.05	327.9599
235854.8	88621.55	190.5429
91051.54	67687.66	235.709
366453.8	117620.8	472.87
412186.4	147491.5	244.0448
497762.6	189192.5	262.0775
538268	280964.7	1021.423
1353151	389959.9	1081.731
311945.1	160801	161.3613
455101.5	160681.8	470.7699
85505.32	106337.2	190.2577
484526.7	231870.7	568.8156
328013	148318.1	283.8698
244695.3	121249.8	199.0083
589617.4	233951.3	577.631
630743.7	242613.1	485.1079
224064.9	159408.9	467.3215
174990.9	79300	274.3413
416918.8	148417.5	529.1851
630729	241671.1	464.0805
125823.3	58163.32	283.805
196359.1	91492.55	273.1487
301007.7	248414.4	434.86
543851.8	169177.5	236.1239
163107.6	72853.66	299.4264
638465.4	402417.6	1139.628
282507.7	101982.6	353.7839
406504.5	193266.9	622.8231
