experiment	shRNA	belongsTo	gene	Ct1	Ct2
1	shCrtl	1.1	Luciferase	24.622107	24.310753
2	shCrtl	1.1	Luciferase	23.717682	23.907831
3	shCrtl	1.1	Luciferase	25.70495	25.765871
1	shRenilla1.1	1.1	Luciferase	26.011784	26.116844
2	shRenilla1.1	1.1	Luciferase	25.615564	25.887676
3	shRenilla1.1	1.1	Luciferase	27.32292	27.381294
1	shCrtl	1.1	B-actin	17.827196	17.752161
2	shCrtl	1.1	B-actin	19.152008	18.945091
3	shCrtl	1.1	B-actin	19.542204	19.529438
1	shRenilla1.1	1.1	B-actin	17.823822	17.83001
2	shRenilla1.1	1.1	B-actin	19.854752	19.686373
3	shRenilla1.1	1.1	B-actin	19.532509	19.458426
1	shCrtl	1.1	Renilla	24.925177	24.458355
2	shCrtl	1.1	Renilla	24.92196	24.943632
3	shCrtl	1.1	Renilla	24.920761	24.930882
1	shRenilla1.1	1.1	Renilla	29.477282	29.263218
2	shRenilla1.1	1.1	Renilla	29.391747	29.428976
3	shRenilla1.1	1.1	Renilla	28.16517	27.930567
1	shCrtl	1.2	Luciferase	24.008	23.935226
2	shCrtl	1.2	Luciferase	31.892996	31.883736
3	shCrtl	1.2	Luciferase	22.29056	22.28127
1	shRenilla2.1	1.2	Luciferase	25.790749	25.662859
2	shRenilla2.1	1.2	Luciferase	27.512344	27.341005
3	shRenilla2.1	1.2	Luciferase	23.310066	23.38873
1	shCrtl	1.2	B-actin	18.689692	18.524519
2	shCrtl	1.2	B-actin	24.621624	24.601746
3	shCrtl	1.2	B-actin	17.734707	17.531567
1	shRenilla2.1	1.2	B-actin	18.54635	18.298615
2	shRenilla2.1	1.2	B-actin	18.949787	18.709995
3	shRenilla2.1	1.2	B-actin	18.007336	18.078373
1	shCrtl	1.2	Renilla	24.791044	24.76023
2	shCrtl	1.2	Renilla	30.433018	29.951931
3	shCrtl	1.2	Renilla	23.4977	23.401999
1	shRenilla2.1	1.2	Renilla	28.391567	28.377241
2	shRenilla2.1	1.2	Renilla	30.105843	30.109144
3	shRenilla2.1	1.2	Renilla	26.01792	25.931803
1	shCrtl	pool	Luciferase	31.892996	31.883736
2	shCrtl	pool	Luciferase	22.29056	22.28127
3	shCrtl	pool	Luciferase	23.717682	23.907831
1	shRenillaPool	pool	Luciferase	27.633623	27.753569
2	shRenillaPool	pool	Luciferase	23.28903	23.188559
3	shRenillaPool	pool	Luciferase	24.5757	24.522953
1	shCrtl	pool	B-actin	24.621624	24.601746
2	shCrtl	pool	B-actin	17.734707	17.531567
3	shCrtl	pool	B-actin	19.152008	18.945091
1	shRenillaPool	pool	B-actin	19.26838	19.13982
2	shRenillaPool	pool	B-actin	18.08074	18.092098
3	shRenillaPool	pool	B-actin	18.94256	18.833025
1	shCrtl	pool	Renilla	30.433018	29.951931
2	shCrtl	pool	Renilla	23.4977	23.401999
3	shCrtl	pool	Renilla	24.92196	24.943632
1	shRenillaPool	pool	Renilla	31.416859	30.75884
2	shRenillaPool	pool	Renilla	26.516844	26.388971
3	shRenillaPool	pool	Renilla	28.167875	27.998535
