Cancer	r	p	r_mutated	p_mutated	r_nonmut	p_nonmut
BLCA	0,51	0,00E+00	0,42	2,26E-05	0,46	6,24E-08
BRCA Basal	0,57	9,54E-05	0,54	1,03E-03	0,64	1,39E-01
BRCA Her2	0,15	3,39E-01	0,1	5,82E-01	0,5	1,78E-01
BRCA LumA	0,34	9,85E-07	0,48	2,04E-02	0,34	4,22E-06
CESC	0,14	8,51E-02	-0,01	9,91E-01	0,16	5,11E-02
HNSC	0,54	0,00E+00	0,44	4,99E-11	0,63	0,00E+00
LGG	0,63	1,35E-31	0,4	4,37E-09	0,73	1,44E-13
LIHC	0,57	0,00E+00	0,51	4,65E-04	0,51	2,58E-08
LUAD	0,28	1,26E-05	0,26	4,91E-03	0,29	1,43E-03
LUSC	0,23	6,85E-03	0,31	8,71E-04	0,06	7,71E-01
OV	0,23	8,37E-02	0,21	1,48E-01	0,54	2,97E-01
PRAD	0,47	0,00E+00	0,49	1,40E-03	0,46	0,00E+00
SKCM	0,65	0,00E+00	0,66	6,24E-03	0,61	0,00E+00
STAD	0,37	1,09E-08	0,36	4,35E-04	0,38	7,99E-06
