experiment	cellLine	Condition	Gene	Ct1	Ct2	Ct3
1	PC3	wt	miR34a asRNA F1R1	30.828682	33.15489	40
2	PC3	wt	miR34a asRNA F1R1	38.29127	33.825813	33.274055
3	PC3	wt	miR34a asRNA F1R1	32.92771	33.922886	40
4	PC3	wt	miR34a asRNA F1R1	40	40	40
5	PC3	wt	miR34a asRNA F1R1	33.681767	30.603052	35.2069
6	PC3	wt	miR34a asRNA F1R1	40	33.135868	40
1	PC3	mock	miR34a asRNA F1R1	36.51239	36.32734	40
2	PC3	mock	miR34a asRNA F1R1	32.601177	40	31.042461
3	PC3	mock	miR34a asRNA F1R1	35.486702	33.81334	32.747513
4	PC3	mock	miR34a asRNA F1R1	34.629486	40	40
5	PC3	mock	miR34a asRNA F1R1	35.480156	40	40
6	PC3	mock	miR34a asRNA F1R1	40	40	40
1	PC3	F4	miR34a asRNA F1R1	23.011873	23.165092	22.97865
2	PC3	F4	miR34a asRNA F1R1	25.970493	26.000908	26.044928
3	PC3	F4	miR34a asRNA F1R1	23.510181	23.455418	23.416069
4	PC3	F4	miR34a asRNA F1R1	25.304394	25.20156	25.427443
5	PC3	F4	miR34a asRNA F1R1	26.16093	26.225758	25.754692
6	PC3	F4	miR34a asRNA F1R1	27.606848	28.225786	27.574284
1	HEK293t	wt	miR34a asRNA F1R1	25.619034	25.471783	25.648153
2	HEK293t	wt	miR34a asRNA F1R1	25.610136	25.40104	25.35885
3	HEK293t	wt	miR34a asRNA F1R1	25.726402	25.541069	25.802776
4	HEK293t	wt	miR34a asRNA F1R1	26.754105	26.859266	26.963148
5	HEK293t	wt	miR34a asRNA F1R1	29.20304	28.728115	29.306084
1	PC3	wt	B-actin	19.693336	19.656265	19.586071
2	PC3	wt	B-actin	22.135553	22.310528	22.289087
3	PC3	wt	B-actin	20.249153	20.320963	20.265137
4	PC3	wt	B-actin	23.778748	23.735926	23.789036
5	PC3	wt	B-actin	21.812859	21.836985	21.838312
6	PC3	wt	B-actin	30.222513	30.474108	30.135221
1	PC3	mock	B-actin	20.399157	20.419477	20.531961
2	PC3	mock	B-actin	21.617025	21.61297	21.618526
3	PC3	mock	B-actin	20.571903	20.56446	20.679699
4	PC3	mock	B-actin	26.000544	26.026497	26.108608
5	PC3	mock	B-actin	24.154873	24.288893	24.235867
6	PC3	mock	B-actin	22.864328	22.94603	23.173182
1	PC3	F4	B-actin	18.922405	18.991386	18.969782
2	PC3	F4	B-actin	22.120802	22.198961	22.168707
3	PC3	F4	B-actin	19.460062	19.144566	19.174318
4	PC3	F4	B-actin	21.248915	21.154892	21.20537
5	PC3	F4	B-actin	21.72909	21.674055	21.595514
6	PC3	F4	B-actin	23.88813	23.892307	23.77089
1	HEK293t	wt	B-actin	17.419554	17.586414	17.41025
2	HEK293t	wt	B-actin	17.387333	17.378984	17.449003
3	HEK293t	wt	B-actin	17.895826	17.777935	17.742844
4	HEK293t	wt	B-actin	19.284136	19.305466	19.276424
5	HEK293t	wt	B-actin	21.311476	21.38727	21.230373
1	Skov3	wt	miR34a asRNA F1R1	36.69967	40	40
2	Skov3	wt	miR34a asRNA F1R1	40	40	35.228165
3	Skov3	wt	miR34a asRNA F1R1	40	40	40
4	Skov3	wt	miR34a asRNA F1R1	34.68572	37.208794	40
5	Skov3	wt	miR34a asRNA F1R1	35.51563	40	31.298458
1	Skov3	mock	miR34a asRNA F1R1	40	35.60345	31.794682
2	Skov3	mock	miR34a asRNA F1R1	40	34.301247	40
3	Skov3	mock	miR34a asRNA F1R1	40	40	40
4	Skov3	mock	miR34a asRNA F1R1	40	40	36.714188
5	Skov3	mock	miR34a asRNA F1R1	40	40	40
1	Skov3	F4	miR34a asRNA F1R1	23.448265	23.336138	23.335655
2	Skov3	F4	miR34a asRNA F1R1	22.479393	22.212341	22.389133
3	Skov3	F4	miR34a asRNA F1R1	23.626656	23.648394	23.63236
4	Skov3	F4	miR34a asRNA F1R1	25.640747	25.626656	25.46722
5	Skov3	F4	miR34a asRNA F1R1	23.92846	23.94805	23.975367
1	Skov3	wt	B-actin	18.527988	18.641603	18.355228
2	Skov3	wt	B-actin	17.202797	17.574709	17.345459
3	Skov3	wt	B-actin	18.76069	19.004112	18.710524
4	Skov3	wt	B-actin	19.498093	19.644747	19.45045
5	Skov3	wt	B-actin	19.94685	20.032705	19.925116
1	Skov3	mock	B-actin	20.831985	20.982233	20.70287
2	Skov3	mock	B-actin	19.488487	19.892181	19.471523
3	Skov3	mock	B-actin	21.482006	21.455978	21.265509
4	Skov3	mock	B-actin	21.521997	21.741192	21.40306
5	Skov3	mock	B-actin	23.220953	23.450407	23.440363
1	Skov3	F4	B-actin	20.013304	20.203178	20.047096
2	Skov3	F4	B-actin	18.400917	18.454357	18.411524
3	Skov3	F4	B-actin	20.227722	20.394459	20.464113
4	Skov3	F4	B-actin	22.317081	22.698584	22.486513
5	Skov3	F4	B-actin	20.505108	20.640636	20.540613
1	Saos2	wt	miR34a asRNA F1R1	40	40	32.518734
2	Saos2	wt	miR34a asRNA F1R1	40	36.726013	40
3	Saos2	wt	miR34a asRNA F1R1	40	40	40
4	Saos2	wt	miR34a asRNA F1R1	40	36.04292	40
5	Saos2	wt	miR34a asRNA F1R1	40	40	40
1	Saos2	mock	miR34a asRNA F1R1	40	31.58765	40
2	Saos2	mock	miR34a asRNA F1R1	35.26812	40	40
3	Saos2	mock	miR34a asRNA F1R1	40	33.937656	40
4	Saos2	mock	miR34a asRNA F1R1	40	40	36.467052
5	Saos2	mock	miR34a asRNA F1R1	32.884632	34.516193	40
1	Saos2	F4	miR34a asRNA F1R1	23.367453	22.646545	22.774656
2	Saos2	F4	miR34a asRNA F1R1	23.164948	23.31411	23.256683
3	Saos2	F4	miR34a asRNA F1R1	23.51015	23.525997	23.52713
4	Saos2	F4	miR34a asRNA F1R1	23.72994	23.776684	23.824137
5	Saos2	F4	miR34a asRNA F1R1	25.569492	25.822874	25.735931
1	Saos2	wt	B-actin	22.512064	22.25437	22.232985
2	Saos2	wt	B-actin	27.79871	27.847683	27.791119
3	Saos2	wt	B-actin	19.60072	19.551533	19.60608
4	Saos2	wt	B-actin	19.431284	19.575233	19.553026
5	Saos2	wt	B-actin	19.559757	19.721642	19.622652
1	Saos2	mock	B-actin	20.68417	21.011019	20.749573
2	Saos2	mock	B-actin	19.672916	19.762234	19.764565
3	Saos2	mock	B-actin	21.351133	21.243984	21.264984
4	Saos2	mock	B-actin	20.706787	20.602222	20.464182
5	Saos2	mock	B-actin	20.66111	20.675987	20.527143
1	Saos2	F4	B-actin	18.364784	18.415073	18.373003
2	Saos2	F4	B-actin	18.742758	18.977064	18.90609
3	Saos2	F4	B-actin	19.73302	19.64204	19.498283
4	Saos2	F4	B-actin	20.15337	20.380344	20.185448
5	Saos2	F4	B-actin	22.398626	22.507212	22.34391
