FSC-A	BSC-A	Violet
728075.3	423392.5	41414.88
477188.2	353470.1	28439.25
412366	191115.1	23414.79
338999.6	245389.2	18797.45
758627.9	472350.4	41262.94
119355.1	98378.53	5971.144
406309.2	204413	8049.706
125880.7	249840.1	8136.278
324976.5	166936.5	12603.9
338328.1	192670.6	17489.24
96843.56	152751.6	4797.266
292324.4	155832.1	18613.13
291262.9	153121.7	14896.92
211829.5	112467.8	27614.59
342734.9	247779.9	11737.42
272381.9	123203.8	17961.96
459972.6	220404.7	12771.35
312618.5	166866.6	7655.552
743942.6	397254.8	50557.98
442871.7	331789.9	15675.56
342071	192814.1	23000.73
494243.4	392352.4	12841.24
1056630	699622.3	49343.46
237693.8	201134	9354.636
275011.1	184853.8	15322.37
402819.2	395503.1	52142.93
252409.2	274872	7688.856
512642.4	215131.1	69313.77
528230.8	267013	18372.34
246073.5	184073.2	11910.03
306367	212470.4	10739.94
149715.8	104802.9	6105.722
617635.3	408153.9	23554.79
353859.2	208540.6	18571.28
511230	233232.6	20905.89
104124.3	70544.09	9709.431
298586.6	155138.6	11821.93
359822.8	146642.7	12884.29
352195	132970.7	9487.359
282755.7	130638.2	10128.9
311540	192500.4	10610.64
656630.9	510311.5	29581.81
348864.8	137861.7	6876.476
462788.9	304360.9	10397.67
643304.2	503830.5	48604.41
220964.3	160423.7	12329.52
271333.8	152314.4	7443.904
435189.3	297638.1	13869.51
317175.1	249690.3	12936.21
323542.7	171936.2	15679.07
769798.7	467742.9	380587.9
512e3	442272.8	20993.75
311546	207083.6	19927.07
259929.2	253463.3	15768.6
185124.8	121795.8	14614.69
421611	246345.6	24913.04
1268774	1133857	88306.1
131782.6	206302.9	5399.178
545215.9	312666	15242.29
311257.6	120025.6	15568.14
364550	188130.5	9757.954
582955.3	392863.2	21774.18
340083.4	240731.4	21676.77
138893.5	101822.3	11768.65
303098.4	178711.3	18251.19
506237.1	268849.4	11380.71
260487.8	138803.8	9385.23
677029.1	363674.1	21680.53
558595.8	339700.7	40495.43
266110.5	167444.2	12609.05
738542.4	386783.4	40448.04
429368.9	224099.1	24890.84
185410.1	222077.9	19960.58
863851.1	712023.3	23420.43
483052.9	312744.5	9033.923
305338.1	524727.6	28309.95
326016.5	233180.9	15496.67
173202.5	181805.1	13067.47
477212.8	440501.2	32641.36
260632.5	109206.8	9467.888
340934.9	306199.5	19310.69
424166.6	273647.6	34630.78
496639.3	287816.2	20286.21
293661.3	176660.2	16742.3
150361.5	114594.2	4115.082
344822.3	179746	13177.41
262841	123722.3	22787.79
418607.9	177697.6	13863.64
229704.8	114189.4	10027.67
285766.6	127490.8	38312.12
260084.4	151699.9	13063.16
127784.8	94090.07	10292.13
562417.1	292680.6	14282.95
154458.5	216624.7	8181.613
418865.3	263006.4	29659.49
268150.6	100116.2	12740.6
363242.5	182199.4	12242.35
497879.6	289646.5	41156.63
414003.1	223161.8	13958.36
294129.7	239268.9	21908.82
379328.5	206313	18047.67
247943.5	110891.5	10273.97
265822.9	202707.5	13285.27
355670	216665.3	13022.98
185709.7	165387	13424.03
344172.4	231774.3	19551.25
110734.3	92572.19	5598.342
453938.6	231946.3	26268.75
215158.2	153662.6	14378.47
381903.7	231199.2	16529.86
123987.7	112479.7	6297.004
314368	144189.5	9542.041
328593.8	192364.4	14570.78
456239	319867.5	17650.19
408782.3	223457.7	14210.69
473033.6	181830.9	18059.83
391497.7	197303.4	28630.54
435336.9	303514.6	24173.36
492261.3	253631.7	28846.22
126166.3	123792.3	9344.641
334190.8	203188.5	15349.62
847118.4	707597.1	47451.94
270604.4	127680.2	14442.64
302051.8	226437.3	16012.74
596494.9	517830.6	26948.81
332414.8	219682.1	30591.42
254454	191975.2	12588.51
353266.7	232265.5	35824.56
166636	162841.3	11857.91
594037.6	473433.5	26148.51
380224.6	273249.1	18449.99
323593	241612.8	9174.373
295030.3	183631.3	13927
83426.48	149213.1	8943.071
342044.2	126662.5	4932.92
641097.4	547420.9	44565.95
372436.7	304428.8	16899.8
349025.9	223989.3	10800.46
177601.8	116018.6	46497.07
209993.1	134733.5	12880.2
336818.5	258993	11827.53
376358.5	211468.3	14808.68
376131.6	221723.7	27852.72
316080.8	247664.4	42459.89
496288	353199.8	16873.63
503213.8	276932.9	27057.33
318506.8	177857.2	10476.94
417804.8	342187.3	19760.55
458393.2	321173.7	15749.14
383002.7	190121.9	8605.298
350848.3	239236	8077.215
543565.7	506586.9	45067.45
260026.4	138405.9	11902.88
432592.7	299448.4	13878.57
629775.2	344380.7	34087.75
388693.2	193685	6412.771
492120.9	219012.4	15375.35
984483	493837	32186.3
547809.4	318356.3	21699.4
582872.4	332905.5	20440.57
273897.5	118022.5	8469.955
416641.3	333525.9	22069.73
713520.3	521287.3	17308.46
211625.8	153178.2	19306.17
297052.2	133650.1	8203.029
791994	465106.9	45838.98
590058.2	278415.8	12554.31
401162.3	282837.6	41112.4
327665.2	268626.7	8513.061
79921.54	48006.98	3854.676
514531.3	311743.9	21808.06
245003.6	171491.8	12098.57
417548.1	219510.5	19380.7
781354.4	550689.3	76084.45
503665.3	221938.4	16851.21
896195.3	495197.4	25766.16
410945.4	332989.4	16183.05
509506.6	373850.8	61588.73
174864.7	199862.3	10290.22
269966.9	156216	6958.654
345997.2	195391.3	11141.67
684880.7	516236.6	49956.78
785421.3	381652.5	23987.94
472590.8	273189.4	24520.26
429332	234835	13013.62
155391	132768.5	10585.55
874968.3	658641.1	30654.93
164199.9	172608.1	12316.46
374873.3	237660.3	15488.88
417691.5	249132.7	10630.19
401458.2	219818.3	16378
315093.4	178837.2	11355.56
339700.3	221764	13435.16
244759	170635.6	5976.511
215408.6	137980.3	12117.22
322369.2	143647.7	8769.979
511857	265261.5	28554.86
281104.4	202919.7	18458.59
302431.2	127096	9782.404
480507.2	204074.3	13983.92
142245	135930.1	13103.31
454171.1	247679.9	38651.89
365636.1	311060.8	15083.45
470538.9	221103.3	14300.16
321208.6	199645.6	21877.21
328069.7	159314.2	12311.86
502038.9	335310.1	14653.98
271215.4	257464.9	25177.66
335636.7	197110.8	19733.66
354690	153450.7	19143.94
289571	232105.7	6932.104
249648.5	171019.7	14789.88
602118.5	248775.9	31073.87
517560	285275.2	28687.79
86090.4	66106.75	4758.258
256976	115168	14884.42
746099.6	260355.8	63994.65
281042.8	173778.9	9593.508
324281.6	171065.5	12286.44
288700.8	390547.4	18779.45
354059.3	196379.2	22642.43
75003.55	69156.7	4133.866
128302	101391.9	8691.586
218209.8	115099.4	7798.129
179629.1	125262.4	11999.96
405045.4	172257.8	28263.36
191463.6	167846.8	10681.64
344438.4	195524.3	12595.17
411100.9	303052.1	25263.65
142475.1	315152.3	349.6355
352437.7	188018.9	24682.37
301189.6	155508.6	5643.236
441090.4	308951.1	25333.48
512132.4	462151.2	30333.88
317747	240628.7	12626.68
376662.9	314362.1	10994.9
703323.8	420359	15942.04
614467.5	249182.5	28928.67
398967.7	305675.3	32804.12
745998.1	481612.2	54819.96
353287.4	170322.5	12370.87
619926	425679.9	35027.64
388790.8	313041.7	18332.07
307346.9	237891.6	17038.05
466921.6	447231.2	159520.6
380272.3	239642.3	17104.37
249767.2	122213.8	29496.13
437592.1	238581.7	10840.61
624535.5	344546.1	22174.73
778387.3	399263.3	55724.47
276578.9	168277.2	14107.97
430219.3	218954.3	19531.58
784517.9	486050.6	27222.55
429416.3	180239.7	17071.56
429262.1	241367.6	13556.79
193738.4	171910.3	5822.293
389961.8	359648.3	15610.26
240925.6	301097.8	24695.22
387593.8	174899.5	24257.26
235848.5	156471.6	8388.36
326203.4	142219.9	22239.71
107818.3	142063.8	9286.005
410898.8	234047.2	18401.46
735713	494923	39012.94
560467.6	390116.8	41143.92
327835.5	185443.3	9071.712
323871.8	194508.6	12667.9
179283.9	129937.1	12301.78
360698.7	171204.9	25894.92
366565.4	237097.3	30323.35
557043.3	289173.9	32030.76
348639.8	178178.7	16149.98
413480.1	197671.2	13731.03
295046.9	195043.3	7128.143
177036.5	93200.3	9470.675
309694.9	248378.6	15005.68
346549.8	257396.4	29184.72
386969.1	216386.8	22045.25
332849.6	215904.9	17650.07
489008.7	260139.2	13105.69
368025.4	175112.8	14168.34
242884.1	131923.4	9344.783
112195.8	109722.2	11974.41
387692.9	220359	16299.29
482978.9	282234.5	30421.18
133950.8	147653.8	8436.067
309441.9	198185.5	8962.323
336392.2	189732.1	13377.62
359730.4	246023	26602.27
285420.5	144762.1	21236.41
430554.8	259726.8	19406.97
349755.1	156489.5	8970.62
665782.1	399231.6	36411.98
395186.9	180283	18913.39
309876	172415.6	18999.32
403062	180934.1	12450.51
336517.5	197247.7	9011.663
251894.9	250804.9	17127.17
636029	351841	30395.67
690944.7	348516.8	33205.13
212715.3	235934.9	9930.219
354227.9	191411.3	12731.76
113974.7	91232.2	6623.421
346173.3	182012	16589.3
398389.7	288403.3	19294.53
442960.4	197405.4	20865.24
307736.5	140423.1	15323.52
438320.3	278943.8	19726.01
292525	136537.2	16486.93
106152.5	219325.7	7916.515
357354.2	205405.7	24288.19
139554.6	144278.3	3974.281
309445.4	208936.7	8365.544
393099.2	285690.5	6901.898
339704.3	145715.7	7844.125
562100.1	285198.2	22106.43
753652.6	483407.1	43058.51
328577.7	166933.8	17736.84
297726.1	297026.9	23408.79
345819.9	262199.3	19885.25
338778.6	164586.7	15116.09
493294	232600.8	23583.4
279175.6	114620.5	12573.17
566997.3	257560.5	10916.48
379698	271483	11694.63
472365.2	362067.9	22350.72
366993.7	253223.1	17766.56
168235.1	104911.7	6680.955
381085.6	246626.1	16009.05
502733.2	304403.1	16361.37
441218.2	458019.9	15398.64
271228.9	251770.8	11899.17
463666.6	249269.4	17616.31
394985	337285.8	47558.81
359966.3	221139.7	34284.92
290925.8	142451.4	6116.274
387656.1	190194.1	11773.11
614298	355918.3	33785.47
722734.2	486329	37633.08
133219.1	139904.8	11123.52
455185.6	341117.7	20818.25
372774.6	286766.8	23694.51
304982.3	129130	12554.58
216173.2	127525	11101.3
615515.1	388296.4	21647.78
234505.3	183009.8	15725.75
465292.5	215204.8	15532.55
263606.8	263069.1	24429.45
553181.3	215403.8	7960.54
371994.9	311241.7	14568.7
735917.9	470993.6	48061.52
372711.6	264203.3	23665.98
239916.8	143143.2	17488.37
340891.2	218540.7	14776.27
409893.4	184431.8	15066.01
329316	209541.8	4002.944
396868.7	243513.7	24818.18
263688.9	142839.8	14055.44
423109.7	219177.5	19266.63
72541.31	65479.04	6521.525
984617.5	736013.9	17874.24
105437.3	102139.6	4603.236
961520.8	683208.9	95296.85
551269.5	447170.8	24822.08
88475.66	92520.19	10674.98
518492.2	335446.8	33832.09
297341.9	185934.8	8911.193
445205.3	320472.9	12195.76
963862.4	778959.7	47547.61
234868.2	161473.9	13385.35
538791.6	690223.9	48780.76
540497	374573.8	22360.19
1299098	803598.9	93661.37
335415.5	158908.8	10143.46
393464.1	251792.8	25935.47
354704.4	245014.7	44652.81
260509.4	134459.4	17463.54
272227.9	164765.7	21955.45
292572.5	237202.8	98886.5
647470.8	325995.5	9745.574
344221.7	203111.4	12375.19
417640.9	297168.5	35309.31
233168.3	131929.4	18337.95
471802.4	314233.8	19728.28
415356.4	219316.2	25185.9
294861.2	159574.7	9016.162
334583.1	350529.3	23396.34
279822.7	132408.7	9894.528
213393.8	122911.4	12141.08
261127.1	158531.4	10675.59
243393.3	146376.8	10215.06
405604.1	269969.6	10190.05
522798.7	249976.8	26240.58
378081.1	193341.5	9300.2
327167.4	218679.9	101953.6
213698.1	125149.6	12314.74
299341.5	187012.6	9847.457
391019.5	240016.3	23448.87
323364.5	164167.4	14322.82
362907.9	186347.1	19596.61
222931.9	115200.6	10813.9
191146.7	126850.8	12062.96
501516.8	285577.4	16766.84
512349	292068.5	9340.414
301107.3	179460	10750.03
329305.6	187238.8	15966.67
166841.4	107141.3	4920.397
372350.4	197817.1	8682.407
386188.6	194179.4	9011.768
424505.8	205892.3	6654.586
344443.7	177019.8	6245.667
381872.3	294094.4	17064.42
143346.6	118424.1	7848.441
726871.6	396034.8	15822.68
317922.3	123009.2	11363.53
471451.8	341033.8	8790.63
122693.9	163786.9	4307.893
108681.2	140236.8	8931.948
193260.4	265443.8	12328.2
347872.7	157557.4	17702.45
328277.3	197065.8	21768.39
390141.2	258634.2	27616.26
235769.9	119794.7	12963.67
326158.7	192433.2	22022.98
251447.2	126181.5	10043.41
111363.9	86780.73	6982.442
333098.2	206989.1	8917.533
596303.6	327086.1	27552.02
1223253	802942.1	126877.6
352485.9	196042.2	15753.02
554367.9	347396.8	25489.67
275562.3	158089.9	16181.46
88395.23	60559.5	6882.231
494754.6	357853.1	32696.62
476185.5	277763.3	27550.16
512480	319559.6	18195.86
399735	227092.8	12317.5
517830.9	221673.1	17464.07
143993.8	130329.1	8696.875
232770.3	134793.5	10897.79
185962.6	201425.3	7381.95
415061.8	370671.7	23654.04
315077.4	291411	7427.414
322212.8	249917.6	17767.41
463507.7	390465.3	19781.2
257630.9	208985.2	7834.039
385665.1	157513.7	11959.08
81351.52	57110.98	8009.971
700857.9	336132.6	19910.76
435363.2	307615.3	21701.84
331093.1	166566.8	17464.88
359912.4	311653.2	13068.19
81401.63	98856.77	7207.158
88300.03	115701.7	5369.102
294121.6	164351.2	15631.91
207959.5	126893	8162.66
440710.7	274738.5	51951.72
81886.68	97415.09	4855.24
853581	464868.9	16224.68
255428.8	116795.5	10184.09
702146.1	457967.1	12817.4
479009.1	187931.7	12120.28
454778.2	292779.5	9819.118
325829.6	177525.1	43923.51
676322.1	375638.1	42280.24
749725.8	539607.1	34572.23
676424	322179.2	31581.16
288499.7	187399.3	28000.68
236711.3	236156.4	27785.83
428945.9	305448.6	8285.544
332252.9	211980.3	27161.34
421904.8	240427.7	12894.33
391861.8	280372.6	12821.38
463071.2	282885.9	21536.96
428077	238404.9	13189.4
723602	485310.2	29312.81
262443.5	165139.8	11913.05
175962.4	98696.02	4839.567
202164.8	197971.8	12890.49
249357	319788.9	18449.36
226904.3	119639.6	9121.52
280189.3	91769.34	10077.16
129880.3	155121.7	19149.82
323756.7	141925.3	11542.75
603666	359614.4	53497
681187.6	461031.5	34719.67
414052.4	258808.6	35793.74
478821.2	238134.9	21885.92
1411186	911863.6	37107.89
391115.5	186804.7	17957.81
672220.1	727378.5	84544.92
370699.8	160678.2	22816.63
325707.6	277066.8	14674.75
425036.2	234448.5	25787.01
340687.6	180936.7	12790.45
209888.9	219828.1	12590.96
517102.7	245927.5	40448.65
435923.4	344222.1	38887.66
392396.8	277855.6	16282.18
165347.8	116188.1	9145.27
292849.9	126239.4	10738.61
309659	161963.3	14304.23
700209.9	427456.1	22780
757211.3	584696.2	49389.82
541609.8	268360.1	36324.74
473310.7	297119.2	24102.32
298065	248453.6	23599.96
568710.8	320666	23818.67
263102.7	152500.6	11689.76
603892	278483.3	17092.03
364003.5	202756.9	10617.17
137460.5	116040.8	11416.4
835936.4	482657.8	30717.79
376424.4	228282.1	27083.64
467196.3	266090.3	40392.44
544752.4	213810.4	22797.78
369250	269651.2	9429.009
217736.5	264266.7	19518.14
368157	377629	37324.46
220729.8	141625	13655.83
1363860	547574.1	86444.22
892799	561887.5	34938.71
326880.4	205257.3	22399.11
1238783	593235.1	67644.3
803895.6	492774.7	34483.38
582432.5	377531.3	30190.08
488188.8	381266.3	18742.32
331426.8	177452.9	14174.47
659636.9	431730.4	24336.95
487806.9	632916.3	42434.88
768461.4	347442.5	31470.67
411930.8	210889	10854.22
458041.3	309914.6	16095.09
105056.1	103410	11893.41
420482.7	195425.9	12475.66
367641	201128.7	17533.15
317615.9	151684.7	16613.16
675082.4	493134.6	33388.39
428128.8	326047.2	20444.99
375421.3	201710.3	24895.64
494491.8	248605.8	19836.38
427464	235304.9	9596.749
346170	199414.4	33808.34
379473.7	325882.1	11143.03
276628.8	178144.4	14849.94
564290.3	297310.7	26992.56
336249.3	191697.4	13774.56
375277.9	267304.5	12579.62
416270.8	221005.4	12215.79
468915.6	228143.3	23640.1
385888.8	177254.3	16686.31
210013.3	198311.9	6310.227
542353.9	220066.8	25645.16
283879.3	135817.8	23921
645688.7	317224.7	46914.08
402026	406033.4	42633.76
438858.6	248845.8	17319.92
472028.1	352215.2	26262.32
208350.7	141105.9	14728.59
327738.5	162164.6	11979.34
618675.4	361929.9	18863.05
371860.5	317247.7	19129.08
278476.9	158539	9184.446
360934.2	244593.3	20729.81
374797.6	192248.1	10436.82
314255.6	131990.5	7316.534
380220.8	212435.7	23278.93
381602.7	251933.7	20119.91
431072	233080.5	24572.66
