FSC-A	BSC-A	Violet
490106.2	252371.9	8754.551
588506.2	267992.4	7088.539
367737.5	216832.1	8194.383
510281.8	225854.2	8028.549
456185.7	333178.5	7926.834
598063.4	427858.9	10081.56
423676.4	268754.4	6895.144
384587.3	281214.4	9025.418
469871.3	306670	3116.047
329642	155680.3	4537.198
315469.3	186934.5	4848.46
275161.7	164508.8	15791.12
415623.8	226910.4	4518.491
458890.2	411810.9	6569.841
348349.6	156458.1	4703.044
838208.9	430541.9	7393.941
385790.8	208183.8	4373.983
397753	249769.2	14965.8
345123.8	120296.4	17954.27
302737.9	170145.5	3159.255
360567.9	189585.5	7422.89
380443.2	179072.6	4065.663
988732.9	505512	26600.69
518544	344725.9	7831.783
334332.5	173999.5	7307.913
309398.2	151875.9	3584.755
82651.59	63502.5	822.4926
272581.4	134057.5	4016.634
445243.5	289155.2	6516.573
395418.7	181961.3	5265.093
1067257	568769.9	28996.45
532000.9	278447.5	11906.05
455567.3	211885.2	4419.499
353982.8	269431.1	5332.751
342044.7	169780.2	9506.131
254215.6	146993.6	4817.866
277105.3	121632.6	4314.258
271371.3	152362.7	5009.744
242040.1	96173.65	10804.61
562749.4	285799.6	10059.93
465166.8	275363.5	4067.595
426941.3	210050.6	6092.914
286003.6	154396.7	2994.938
388450.3	172715.7	6775.345
444588.1	220922.7	4952.573
368076.3	204530.5	9562.667
111561.3	112957.2	761.1216
406817.9	305513.4	7960.125
347906.4	250108.9	6549.605
570766.2	398730.1	6233.572
456716.8	263295.3	6490.762
562506.1	241865	4432.151
975472.3	711386.4	21367.37
225217.9	172082.5	5283.113
566020.2	425889.4	11810.34
449844.5	245474.2	5725.945
569759.4	441402.7	11238.95
781620.1	526923.5	9095.98
348633.5	172611.3	7129.647
279562.6	165470	9204.929
425866.9	267998.6	8310.046
373577.5	274599.2	4767.449
767582.9	525181.8	23054.38
328337.2	128883.8	4220.996
279744.4	123606.6	4042.73
460460	263020.9	12560.95
87814.13	60623.71	900.3406
159463.6	93486.72	1873.668
246255.8	136066.6	5707.757
387384.2	250436.1	6728.156
201833.1	186479.9	5545.203
429030	262545.4	8660.719
206664.2	139503	3952.385
342644.3	176212.3	11203.87
303812.2	134670.7	4279.048
392302.1	192091.9	8698.158
413902.4	289293.2	6462.89
128064.9	69501.83	1675.191
379690.6	235745.3	5450.567
266249.6	109171.8	2839.45
354563.8	229753.9	5955.458
623516.1	350921.6	10540.3
501566.3	234594.7	8884.371
71982.17	34912.11	1822.862
133747.1	58911.93	3927.792
250283.9	122431.7	4440.085
240033.5	131130.7	4623.654
297297.9	174927.5	3240.202
103772.9	59479.73	1537.904
104338.5	154273.1	3056.97
75988.72	40736.07	3473.396
70807.97	41549.86	1730.028
160006.8	94844.24	4478.394
72131.7	43137.37	2128.615
386375.3	167906.3	7349.359
229005.4	129161.4	6212.052
100720.9	123566.6	2000.623
394940.4	145816.6	5878.88
458117.2	277577.8	18137.82
214451.6	165481.3	5322.64
539640.6	290635.3	11627.84
314580.8	141931.9	2712.922
182418.8	154761.2	2495.259
334099.8	246286.5	6463.551
268164.8	140541.9	5970.911
100363.6	56676.12	960.454
352901.4	107693.8	2032.06
124508.7	63359.24	2966.25
331294.5	158286.2	10069.89
405048	183183.2	10842.72
265675.6	101177	2041.628
446879.3	231326.9	9119.225
546142.2	388175.3	16453.07
590903.5	351747.7	8061.814
358165.3	190815.6	4345.527
1009410	840385.9	18339.31
256040.4	366038.4	8539.053
198249.7	103421.7	1564.791
208749.6	95133.94	2643.423
288195.9	159435.6	3894.229
521398.2	393202.4	9405.143
116286	82154.63	2103.4
75636.36	65435.53	2645.549
926521.3	619438.1	23282.35
337629	191194.3	3165.18
102824.4	68183.35	1642.237
397760.6	164406.3	8460.297
324195.2	143624.7	3600.96
364933.5	271439.4	5497.367
353564.8	198310.5	3709.844
316506.4	192656.2	4478.238
395268.5	162701.5	10763.72
433646.9	235804.2	3744.833
435204.2	384336.4	18404.13
516686.5	225533.6	13522.31
248377.4	91384.52	2112.955
575758.2	329523.4	12770.91
336611.7	156293.8	4099.771
310422.6	304188.9	7767.119
