FSC-A	BSC-A	Violet
322523	180145.3	5176.991
66004.75	13196.37	754.4711
485430	287152.3	3064.088
235932.7	132741.5	5132.097
157340.6	108210.2	1607.558
304784.5	145295.3	2402.075
239785.2	62092.35	1565.167
70831.08	52052.65	1065.319
287432.4	92040.56	2480.856
134402.1	96006.45	3744.133
482724.5	236714.7	6033.578
96676.63	22820.8	197.5304
141549.1	64552.58	1025.286
216355.3	106235.1	2475.463
198357	103787.4	6237.564
300189.8	200693.8	1932.926
362436.8	240664	3020.14
382337.6	223385.6	5436.527
353146.6	212394.8	2810.67
381483.2	262171.3	3602.594
499078.8	277336.3	4092.148
359655.7	213280.7	2426.914
364351.3	254102.5	5434.972
272132.3	159967.5	1827.037
539436.3	318447.1	5149.741
130666.6	43011.34	1199.106
534438.8	350458.3	15684.37
365423.3	237885.9	2531.623
472664	188670.5	8213.452
108325.7	78302.82	1568.589
262180.2	97081.2	3192.741
322949.3	133220	2379.064
218723.1	65915.79	1640.966
208201.5	120549.4	2171.512
161902.8	67855.96	1173.463
250802.9	89473.94	1822.888
883593.5	338926.3	7768.545
129642.3	306129	3744.613
177277.5	67394.75	2165.575
261423.8	244552.6	4476.579
392104.8	162893.5	4380.452
571162.4	274687.9	9558.479
87183.41	44516.48	870.2514
582878.5	305883.6	3552.735
381871.4	274648.9	5410.6
380218.3	166194.5	3397.505
311385.7	136479.8	3163.871
1017335	813872.2	33580.68
633126.6	288351.3	3356.151
322891.5	222252.3	12025.39
402873.8	211502.6	3745.132
247572.7	83925.92	1542.376
111476.8	51120.31	937.7932
298521.8	97666.1	903.2833
670213.3	404598.6	12944.38
241489.4	162658.8	5622.014
307295.2	164789.1	2872.404
156088.5	191609	2485.199
294055.3	170141.1	4357.13
774425.4	479851.2	9908.05
426868.3	403713	9170.821
484998.8	266270.4	3431.406
197477.2	65627.16	1031.729
250549.8	179575.4	1813.399
138492.1	256856.2	4141.852
77563.1	33309.5	740.2109
99824.48	41502.76	846.5535
433728.9	230370.8	3529.465
411875	248921.8	2653.328
240901.9	140862.4	1562.47
279223.7	159372.2	1992.417
112713.6	159908.6	1529.179
419544.4	184631.3	6900.809
181740.8	63887.54	1710.401
337614.1	188755.2	5437.681
1441962	756564.1	24289.71
711775.6	556168.4	9637.767
134638.9	120364	2686.295
513503.4	252790.3	3900.854
196049.2	67945.27	1413.697
335041.8	215444.1	5892.454
845396.4	398705.7	14890.5
596614.6	352003.8	2953.026
414504.7	355160.3	6840.579
437666.4	241079.9	5605.822
620951.4	379094.6	8769.537
442694.4	167405.3	8395.996
269780.8	171479.3	2280.578
257273.3	234206.5	43902.8
174649	76839.96	1947.652
200251.2	82622.66	1182.966
238323.8	112798	2046.346
233228	83132.73	1194.88
536143.2	314028.4	9186.43
420135.9	329303.6	7071.66
252801.3	174824.3	6305.262
528819.4	423838.1	6519.736
556218.9	335404.5	7638.388
124516.1	75709.56	839.7086
407187.8	138281.4	1697.476
92426.33	69207.34	5419.376
206677.1	78929.38	2054.838
535855.3	256915.1	3529.192
346638.1	167422.7	2984.14
297001.4	179666.8	2420.704
274823.4	193751.5	2938.17
196285.2	94709.59	1610.838
268464.6	94114.39	2034.42
113324.1	54489.73	289.4183
122957.2	81672.22	499.3163
227314.8	263158.3	3876.3
338290.4	143147.5	2791.769
311867.4	136376.8	1351.911
217829.7	100177.8	2278.685
425384	277579.2	3198.99
414237.2	208859.2	6693.063
256119	267888	8563.36
298167.6	199593	6219.286
199431.8	188920	3127.144
486974.3	202163.7	8586.215
258578	126090.9	2502.999
344118	199143.1	7038.822
98086.16	57293.5	771.5704
526784.4	278573.1	6850.613
284205.4	148178.1	1983.523
372321.5	192580.5	8541.296
125005.7	69034.09	1120.571
343067.4	157692	2958.756
318695.8	200200.8	9173.361
281892.8	240673	2710.771
393511.8	165915.1	3465.942
98730.59	57883	752.1376
195243.9	119834.1	3793.305
255989.5	85503.45	1111.483
1172447	599228.6	15623.81
418567	256769	5621.314
327094.4	126170.5	1935.713
314334.9	109289.7	2271.347
360040.5	189636.6	2729.957
433282.3	208984.5	4377.548
328295.6	161480.3	4423.155
124507.3	49078.46	829.1819
403665.3	179163.7	4258.669
164592.9	113681.2	3849.205
463455.8	319689.6	6222.954
285290.4	153096.5	5042.568
352678.2	143584.2	3393.448
465582.4	158098.4	2501.184
285910	110683.6	2872.948
425666.7	166377.4	7431.77
608544.3	355282.4	8907.175
290963.5	145750.3	4316.683
227848.4	101666.1	2917.557
229645.7	203241.5	4148.593
283851.2	132264.6	5369.556
1896276	1274765	42484.6
266337.4	95664.7	1989.733
230676.6	159829.3	2369.938
239334.7	91372.07	4266.421
331430.8	294259.7	17588.86
233660.3	97929.26	1444.006
286779.2	195150.6	6213.387
329031	81375.06	918.8141
397635.7	224635.8	6530.496
394961	269767.8	7604.604
313179	249550.3	3416.99
169172.8	98302.85	3629.727
417540.4	143509.9	5534.689
332908.9	325396.8	7508.827
364592.7	109375.7	1147.458
466623.4	184769	2661.767
245507.5	69618.51	1740.425
310868.3	159887.6	3869.338
444558.4	207946.1	6701.282
470991.1	255835.1	2292.452
88173.73	32036.32	680.3696
116590.4	54355.27	692.1409
308834.4	242894.4	3107.97
304595.7	100797.8	2598.529
