FSC-A	BSC-A	Violet
244299.1	92359.73	251.3823
339611.9	139911.5	225.6491
688203.5	373545	698.2079
263114.2	115600.5	314.9701
262266.1	95556.91	215.278
137217.1	46852.31	138.7912
234554.4	82786.26	160.8427
288871.6	109941.3	214.6427
108998.5	42011.88	46.81252
279064.1	101806.1	252.4324
172710.7	133310.7	131.5573
199393.6	72193.9	187.1723
94452.77	73237.95	124.4272
81536.84	55193.11	56.83359
217726.3	84279.77	248.5951
358887.7	151722.5	316.3961
426799.8	276353.9	384.5602
208129.5	104881.6	210.7277
277782.3	118873.3	255.1419
232928.3	97787.5	289.5739
582891.3	183271.5	405.6653
957666.4	642330.4	1089.004
166791.9	120242.6	171.8101
253716.4	78035.62	134.6687
84543.52	27078.76	27.02966
300163.4	102949.3	226.751
106392	75406.08	-39.20273
101734.8	90299.38	113.7839
140746.9	49003.78	-17.50122
1016134	625834.3	2048.68
409809.7	176450.8	373.865
504451.5	190458.6	370.4554
1018261	652129.6	1684.875
164987.6	88778.98	54.34453
217888.6	146831.8	165.6134
137342.7	71839.62	223.9249
69515.33	26220.92	25.55178
224518.3	145382.6	277.5823
112857.8	91112.57	186.4982
735930.7	281533.4	617.1967
259652.5	83563.77	90.66928
455335.1	133452.5	376.5355
410861	264293.8	546.5307
371789.7	282008.2	522.742
136192.8	63549.74	62.09692
175025.3	70230.61	122.9234
117918.9	56989.18	94.29916
670888.6	499041.5	898.4608
218442.7	84751.34	143.6008
392200.8	147805.3	256.4383
254446.4	186973.5	291.5703
293730.9	129097.6	290.235
67030.93	57734.77	73.50513
130363.8	66244.06	-10.25442
373723.1	147257.1	163.3058
126721.3	70858.48	223.8471
103081.3	64231.91	-10.55259
202268.2	77190.52	133.5667
389648.1	302543.4	210.6239
187011	85997.15	128.4849
107167.7	66583.61	74.5552
133347.9	55437.21	177.0994
128470.8	44530.03	126.8644
197094	117707.6	285.3736
210330.2	130443.2	168.1802
104805.1	57740.82	137.054
619075.4	227885.3	570.2805
90521.03	172634	157.1221
286647.7	113929.9	254.0399
84399.49	54950.41	7.661645
262355.2	378173.2	493.0547
409603.8	266707.7	234.9442
306743.3	135284.9	135.2002
173049.6	147457.2	357.8416
155287.6	121833.7	294.552
551578.1	304663.1	944.2233
323497.7	241604.9	395.0479
270833	99180.14	58.9856
229444.1	124666	213.2556
235039.8	94759.59	219.1412
1433807	598105.3	566.0802
164185.9	127704.1	192.2801
500524.5	326961.4	418.0588
300766.6	99213.9	24.30725
155104.7	93615.96	101.5978
396590.6	287001.3	271.8523
399037.2	247544.9	478.0037
338122	131483.7	171.9268
316711.7	227925.7	494.5715
296838.5	214747.3	212.05
82340.71	67686.19	40.65469
203151.1	105561.8	173.4825
268051.7	102541.6	51.20728
774329.5	401345.7	494.6623
98132.98	66201.26	125.0883
266867.4	138400	177.4494
255338	114881.2	118.4509
98174.83	46648.75	63.86001
182571.1	59272.19	45.87912
255105	284875.6	459.6987
175659	57383.13	40.31763
265774.8	142879.9	196.1822
221384.8	139107.8	244.8356
84347.39	103803.9	210.4813
482272.2	204748.2	338.7329
291164.9	130387.9	236.435
346772.4	177254.3	298.869
293324.9	226260.8	1447.714
482342.5	179017	386.8936
270363.3	94247.57	169.7618
309655.9	139269.6	264.1777
136426.6	96964.68	187.2242
114557	217263.7	1488.991
144926.1	34239.27	109.8428
305330.4	171382.8	289.5998
90983.34	41614.21	101.3904
74435.53	56110.6	83.03357
92337.46	56891.45	86.09304
72473.8	132729.1	403.993
154725.2	60440.81	266.9519
355943	179254.7	258.8366
120782.3	148536.8	92.19902
102641.1	71220.34	47.40886
270750.9	154160.1	309.0845
93599.39	62272.35	177.4235
406600.5	164182.3	232.8959
293697.2	110320.4	295.291
327119.3	104873	229.2141
255415.3	109889.8	131.1684
287432.3	104954	287.5256
313217.7	119876.4	121.9381
160704.4	74483.23	177.3716
76786.86	85684.84	170.3582
432667.9	262363.6	713.7775
226629.7	122503	192.6431
443698.4	192294.7	306.3492
188262.1	112078.7	295.628
93827.34	72662.56	193.8617
65055.7	19917.32	40.12317
179900.8	91159.68	178.8884
275433.1	164244.1	253.9751
531612.3	267945.9	696.9764
303150.8	199466.9	87.46721
337671.3	192175.5	250.46190000000001
261135.8	153094.1	62.87476
210867.4	101621.2	191.6578
192636.9	152006.2	126.2032
371950.4	98386.84	258.8366
107944.1	46972.81	66.375
173427.5	87355.5	106.0833
175357.7	139382.9	346.9001
266186.4	126452.4	93.48244
247821.8	136694.4	234.6978
165676.5	109973.5	144.4823
220214.7	89446.79	183.6461
136974.3	119841.5	301.5136
266137.4	139262	199.5917
113961.5	49210.54	-59.34858
451515	178919.1	133.3852
517575.8	242603.9	666.615
153786.9	82837.91	79.01477
159247.7	97479.79	147.1269
373583.8	135804.5	216.0688
143994.1	52830.96	83.33173
261634.9	237662.9	217.1059
277552.5	165624.8	265.2796
352370.9	180345.6	391.7292
244705.1	119630	132.1018
332529.8	133004.8	314.1664
187365.7	95574.79	23.1405
259159	138366.3	296.5225
455791.5	175631.3	285.218
146103.8	84034.08	98.4865
127731.4	72978.71	97.06047
337573.8	302575.8	459.7635
240049	166172.9	186.5112
133299.6	77649.93	219.2968
138703.8	65203.92	95.63445
156172.3	108140.5	167.4932
80912.42	25150.6	31.35959
96103.16	37497.54	72.00132
483224.5	190489.6	226.4528
435733.1	189691.6	336.1531
582808.4	298978.2	1014.734
292070.3	221513.1	629.1494
365266.7	162536.3	377.3782
335878.6	141160.2	261.4164
394233.6	155483.8	429.454
94654.16	47573.1	152.2477
141160.7	73405.16	173.8714
73461.63	34113.64	46.30693
147639.8	63517.04	36.51921
296490.3	166505.6	299.4783
115973.2	93628.65	157.3425
189982.5	73510.77	189.1299
130807.1	84682.55	110.5818
344000.3	171541.9	388.2289
270703.3	147532.2	287.8367
462202.6	188700.4	406.8839
344683.7	316847.8	867.7753
307509.3	146691.6	300.5932
447504.4	240814.1	343.2443
363449.8	109149.4	249.334
346750.9	193994.9	312.3903
212889.8	139970.7	278.075
78474.17	48109.34	53.89079
325896.6	135652.3	91.01931
343344.8	143806.4	311.6254
347181.1	151963.7	221.9803
1156601	1044388	2838.024
93958.2	38868.71	64.223
443601.8	217025.1	430.2837
416511.6	156114.9	391.5865
279328.1	150212.9	254.8178
103846.6	99274.51	114.5487
155882.3	88796.33	-22.16821
88593.56	137272.6	605.6848
207760.8	115346.2	1295.713
172216.3	72727.01	290.6499
203978.8	99571.79	-19.3032
181793	67235.32	-68.8511
167518.6	68474.65	113.745
75470.58	22985.47	44.47903
391089.2	113714.1	406.845
473973.4	250962.7	334.8696
126014.6	121168.8	153.181
210895.5	144126.9	190.9578
229629	139221.6	100.47
85465.81	47243.13	25.49993
457502.6	138044.6	217.054
1138152	457714.4	1690.644
177502.4	103217	204.5309
321139	204533.3	161.0501
173679.4	103598.9	0.8296875
515651.7	191563.3	424.9296
73855.56	40986.46	26.13515
275357.8	154999.3	170.41
275653.3	102752.8	192.4616
373550.3	114683.9	249.2563
569021.4	424954.5	442.0679
1316965	950762.1	1735.434
95848.61	48661.22	52.07585
79389.46	47386.79	194.0561
304083.7	87211.27	172.7565
436408.2	172148.2	478.3148
409769.9	288474.8	362.6382
436856.3	175298.7	244.1355
352107.4	165947.4	447.6034
234916.1	177659.4	175.4141
241792.7	140578.7	86.22268
148418.5	97457.22	53.86487
289900.2	112632.9	231.1069
239444.6	142758.9	350.8411
354490.6	172063.9	249.5544
475374.7	264104.6	562.3726
423022.5	285325.6	530.1443
340995.8	118124.4	221.6692
87692.47	44197.3	73.59587
183814.2	156088.3	227.464
284338.6	105557.8	178.1365
345728	144848.2	400.4927
371610.5	179854.7	201.0307
314567	177613.9	178.9662
80392.57	52996.51	32.74673
426317.7	182550.3	87.27275
381560.8	331235.5	535.0836
153151.1	70953.45	184.2425
371885.4	146238.7	117.1934
354699.7	211577.1	259.3033
530215.2	188518.5	458.3116
279342.1	209045	215.0317
274426.1	204680.3	183.4387
78111.89	57042.05	64.8323
191249.2	104712.2	64.66376
352432.3	280670	524.7514
1100053	869985.1	1127.766
419187.4	188846.8	209.0683
83209.9	62418.06	29.20759
69597.23	49068.83	97.90312
151682.6	95533.47	65.02676
89190.88	128893	135.3039
451251	311157.5	236.9665
201433.4	84010.52	167.6098
1643571	1189962	2861.32
103115.8	56615.28	101.8312
66632.85	35927.24	31.04846
426594.2	200973.1	193.9524
444857.3	246763	539.8154
122656.1	52987.11	35.37839
496740	271364.9	596.7527
239640.7	103575.3	339.4459
120141.9	48621.28	-1.024145
120300.5	97161.38	150.5494
274642	131606.2	519.5918
100761	51786.03	45.90505
400542.3	161594.5	289.5609
219151.4	91894.97	170.0859
254337.7	83537.28	135.0316
98448.6	58717.07	-33.40789
254001	113263	239.3259
113032.5	83607.79	100.6385
268493.7	453139.2	1235.807
262011.6	130447.8	195.0803
89546.78	46975.34	98.08462
160940.1	92536.16	253.8844
1141080	495620.8	1240.253
325146.3	263990.5	482.567
388575.7	157768.5	329.6322
326173.7	165468.9	334.7789
398205	200695.8	364.4013
117448.8	72779.45	81.89275
303854.9	108174.4	317.9777
287687.4	224488.1	422.7258
286591.7	167970.8	247.7654
337122	139852.4	428.4039
111840.6	57413.16	32.21521
143101.8	123234.9	288.6405
306152.6	123188.7	300.282
64913.82	40294.07	54.48713
144018.7	76963.88	-15.90666
456744.4	328298.1	707.2308
242841.4	226005.5	191.0744
266263.9	152070.9	538.7653
181624.4	142970.1	55.51128
628400.6	198043.8	580.146
529483.3	418718.4	586.7576
735884.9	349729.1	1745.896
321252.3	259928.5	181.4552
241184.1	95849.81	153.9848
291403.1	496833.7	751.1135
243891.3	202265.5	214.3446
307151.5	176033.5	152.6236
149626.8	55995.06	131.4147
483567.3	227773.6	274.471
105050	42799.6	82.89096
145893	57136.07	89.25623
217581.8	140189.1	297.1837
261528.4	124600.6	343.3091
272175.4	138192.8	312.6237
453247.6	357945.2	238.8333
70152.67	49450.84	115.4821
185412.8	105570.7	190.6985
441498.2	271559.7	305.6232
99500.92	63978.16	149.1104
234094.6	159382.1	209.9758
627642.3	359845.9	820.3146
499421.3	185809.1	87.16904
85019.6	49746.92	63.44516
264865.3	323027	240.7131
261425.1	180687.8	165.5875
526784.3	152688.1	212.5556
192669.6	100519.5	119.7732
408158.2	218364.2	378.3893
136655.9	184920.3	226.8288
425907.2	369919.8	404.2523
506312.6	472219.8	975.4791
344294.7	136605.6	75.09968
389050.6	184714.6	181.4164
