FSC-A	BSC-A	Violet
286927.8	130200.3	5081.201
243167.5	79388.24	2187.562
192072	62183.12	2208.68
85701.02	104494.8	1922.593
158859	99206.41	2672.385
102981.6	56599.92	574.5067
172188.8	57965.47	1612.511
386032.6	215747.4	5095.824
280198.3	149889	22031.21
224421.4	132757.8	2235.995
353195.3	305564.2	5932.486
219825.5	143579.9	5359.781
89767.32	109265.1	2109.312
105153.9	55207.37	775.8356
333599.7	210105.8	5997.175
305324.5	130632.1	4830.168
241085.4	102619.7	5135.351
111924.6	39128.85	2161.128
97869.39	44024.5	1199.741
187512.6	102228.1	2895.363
310532.3	197372.2	7094.359
361544.1	252625.2	8475.297
262521.9	123035.4	3388.664
431869.8	243498.3	5785.294
264294.7	137863.7	1896.069
205421.9	131288.5	8652.798
253397.9	101138.2	7046.173
139006.5	55369.39	1185.001
343679.4	189539.5	7209.297
198304.8	115151	3230.946
405029.8	239747.6	2990.855
290978	104094.5	2356.001
210274	120351.4	2990.816
308562	167803.6	1853.314
309102.7	132967.1	4850.288
177298.5	103062.5	2241.167
126109.9	54621.71	1212.407
262989.4	115137.4	2164.551
523584	395502.8	3631.801
388910.2	203333.6	4345.696
488233.8	427010.8	11767.06
109487	103990.1	1387.665
260205.1	127971.9	11591.85
518635.6	235069.7	6670.298
434352.8	273132.6	3046.82
814312.1	508547.6	5331.87
1306204	863769.1	28395.56
237330.2	121248.3	3568.369
405252	161026.1	4163.864
248897.7	113831.6	1526.988
98441.59	107645.6	3882.834
316833.7	207162.6	6249.18
85845.92	64021.03	951.3534
279716.8	149450.2	9536.506
366891.8	291297.5	6988.963
389953.3	222218.2	7292.642
414582.5	258617	7668.063
395599.9	217155.3	7737.678
161152.5	113289.7	1498.999
733933.6	393173.2	7316.975
164701.3	65765.34	2382.279
295780.9	151040.8	6101.664
81211.35	48991.91	434.7044
248006.1	195481.3	2163.436
389429.5	154286	4728.739
371013.7	212670.5	34020.22
325102.9	246478.7	4990.804
234113	99726.41	1431.6
255509.3	155680.5	1710.803
137996.6	155753.4	1066.032
90585.6	141568.4	1087.707
423403.8	437467.3	11807.96
404819.9	179937.4	20902.33
413632.3	592506.9	6325.939
351498.6	119731.6	5186.363
276653.4	131458.9	3006.593
339374.7	182403.1	10354.23
504276.8	446842.7	12050.28
808726.8	638930.7	18478.59
386276.3	362862.4	4841.33
104630	106860.9	5365.343
131746.6	55813.54	1353.881
191944.2	77228.58	1732.271
166273.6	92841.72	1320.331
82038.11	96909.31	1420.892
628226.3	331638.6	7635.977
201975.6	106899.2	2172.835
405132.1	232516.5	5684.967
321037.2	308450.1	9642.058
187239.8	73875.79	981.3906
366069.8	241285.2	3417.081
81433.81	57481.97	1528.505
281493.5	99462.48	1274.193
297241.3	248195.6	4251.993
362377.2	178664.9	4686.049
216504.8	98026.97	2704.574
89947.66	45001.69	888.3231
116001.9	59983.36	4974.054
74231.16	48946.64	938.6617
558283.8	285676	6092.589
156767	51536.83	1819.997
228761.4	68621.52	2008.207
242164.9	127010.2	516.7657
399109.5	326631.4	8417.775
289512.1	195129.4	4637.149
215907.6	98529.13	3603.307
72110.82	37611.56	902.8426
258788.7	135007.2	1455.777
360446.1	202750.8	6944.315
319189.6	155085.9	4532.414
486661.7	288054	10960.26
75356.18	81899.89	1464.995
893326.2	576823.9	12107.79
86883.02	84858.46	1277.706
294358.7	159891.6	4955.386
136839.9	87807.43	567.1173
288900.3	122858.1	14773.23
439425.6	274617.8	6281.331
241701.4	167297.6	6995.756
721416.9	345108.9	8519.75
249025.3	79002.28	3157.894
209179.1	100716.6	2776.977
115831.1	67816.13	1694.261
734124	442102	20680.03
64122	73846.59	785.027
76444.83	81325.24	1535.103
232708.2	77975.09	2749.429
234767.6	83973.07	3060.51
269851.3	151672.3	2913.992
121023.9	54067.65	2836.3
308292.2	236135.3	49387.08
294843.7	122247.6	6573.368
634817.9	421824.1	4599.852
95067.88	44903.91	904.6445
434683.8	264474.3	5204.746
256646	170907.1	4803.165
284868.7	160921.1	30631.06
357428.4	216268.6	21487.04
245546.7	89809.04	4869.164
278871.2	133850	2568.44
166419.7	99126.34	5372.589
288918.5	138913.6	3156.17
431857.9	196473.7	20575.98
324124.9	204738.5	4098.034
489044.3	325609	6449.342
375604.9	149872.1	11314.42
245910.6	215842.6	3602.957
162886.1	76759.39	5996.8
408097.5	159471	2703.342
360100.2	270144	7734.969
207363.3	76690.02	1811.402
241671.9	115637	5240.189
403744.1	264107.7	4765.012
73143.41	28305.79	530.5463
345052.4	187278.5	6918.634
277106	156166.5	2016.283
220009.4	108370	3079.567
253456.3	122126.8	3823.55
223967.4	193910.9	4094.845
592310.9	251055.8	3989.098
93886.55	23087.61	396.0072
233247.5	128682.6	3010.288
224633.2	96566.34	1818.831
807951.8	451728.5	16336.14
83952.82	194452.4	5639.736
77012.21	27409.23	582.8555
122690.7	36135.26	947.3605
136351.3	59403.81	2164.123
79798.55	40962.64	2209.6
553886.8	248274.3	3040.001
212651.3	103946.8	2435.444
281403.1	147329.8	2101.573
1005004	591026.8	74228.41
610760.9	322758.3	9372.682
186631.2	73480.13	1261.034
164961.8	123837.1	1189.124
360470	182898.9	3619.045
220734.2	143717.4	3304.542
322825.1	140126.7	6779.208
266414.9	144207.8	5422.721
515954.4	614905.9	11985.78
392712	184009.8	1881.057
126467.9	124658.8	1588.566
266534	132518.5	2655.091
885566.3	1073272	87989.85
248695.8	111911	3132.719
93065.94	43068.98	808.1675
399741.1	243142.9	3402.483
96599.15	41296.73	1054.935
298260.2	179132.2	4495
139993.3	93694.65	1098.597
249022.9	243963.5	5780.329
170872.8	85341.94	1236.157
285110.1	258034.1	4201.123
372541.9	154768.1	5871.037
339784.8	205487.2	4446.347
258708.3	131306.2	3151.814
227424.1	151881.1	1065.5
290035.8	91479.88	2837.44
317553.2	154123.2	3745.183
309491	223150.6	5707.796
396709.2	200251.1	28969.3
597478.2	335180.3	7830.655
249706.2	114896.4	5778.566
70586.83	46176.62	1101.54
81841.1	54839.55	1809.937
220560.5	114092.8	4028.12
340681.7	182811.5	4565.874
316992.5	154916.8	2654.598
206063	61603.19	3350.369
531132.8	476273.8	7182.656
328458.8	180441.7	3443.605
439299.9	259187.1	4834.706
252176.3	147109.6	5395.587
244104.8	94048.6	2945.87
215180.6	137172.9	2143.692
281506.3	133662.6	2733.315
473212.7	270454	5409.834
226256.2	157607.5	3908.632
352143.3	207519.4	5405.854
402941.5	221386.9	3912.715
224250.9	78229.43	3860.419
270242.5	110996.7	5425.689
277011.6	266922.3	3029.487
317870.4	214741.4	4077.629
269128.5	166104.5	3206.664
269421.2	138210.5	78901.89
217631.7	111781.4	2268.664
736843.8	545279.2	11086.06
378414.1	339315.9	1479.657
449870.7	183269.7	3073.357
552792.6	259764.5	5663.835
341406.4	192070.4	4144.6
256072.4	351888.7	5818.857
959780.2	558031	6325.55
538399.9	333112.3	4671.685
329306.2	221619.6	6802.841
291006.8	134996.4	28836.9
121740.1	94849.15	3471.866
311235.8	190613.5	5270.499
97130.38	186109.4	4812.408
147543.6	68888.6	5123.32
345008.8	304996.6	3967.151
97005.71	65378.01	438.4769
104230.2	40389.23	815.3624
386506.2	290727.5	4854.657
310472.5	194952.9	4678.115
453995.7	266098.7	2375.136
276564.3	158368.4	2088.907
213748.6	92154.34	1696.879
343371.7	147796.9	1029.435
334371.8	205931.1	5882.018
398069.3	204443.6	5647.501
381878.5	316868.4	10494.35
406459.7	441767.2	7193.611
327628	248277.5	4653.38
344019.6	188922.8	6007.274
364829.3	272924.2	11787.33
689577.5	340164.6	7722.135
268394.4	157153.3	4033.253
457241.6	299733.5	4334.521
479270.6	213177.6	1871.879
242788.6	123155.5	3520.079
359728.9	190572.9	3382.506
539428	500551.4	8311.913
638237.6	287086.8	10515.41
246839.6	111150.6	1595.632
143565.2	106916.7	1680.571
79308.48	37028.69	235.0219
184449.8	181163	5116.527
354182.9	147857.7	4597.168
328524.6	159981.9	2594.381
544968.7	334591.3	29729.71
431039.9	255102	7615.922
318641.8	227624	7231.284
308846.8	188567.7	4086.094
449589	191413	3124.486
672802.9	353191	8167.845
820423.3	695276	8244.202
291723	232277.3	6252.188
353508.9	147999.8	4182.416
406801.9	268550.1	5737.769
237704.1	116482	2980.821
770738.8	368630.5	26173.62
235896.1	101329.2	2193.642
273923.6	118968	3028.294
459355.2	293877.1	10101.07
617471.3	361828.7	5985.249
322067.8	185267.6	4823.414
243165.4	173932.3	4152.339
377173.2	484586	13704.3
373302.1	220624.6	4627.31
403166	222403.1	8368.332
486919.9	251149.3	9518.058
408088	199040.8	5995.62
566424.4	789321.4	16703.7
399821.7	221875.2	4523.664
909026.1	817613.7	10044.43
242595.1	128847.6	2766.489
598426.1	476155.8	12542.15
222185.3	193943.8	2365.4
225675.4	197494.7	2464.25
402898.5	324411.1	20590.55
238619.1	147538.1	9278.071
596165.4	438101.1	3962.237
147797.7	209034.3	7750.344
334543.2	176035.7	7321.538
483008.1	271011	6035.989
222768.3	145739	3044.37
732032.1	474911.3	32134.66
706573.8	433367.1	34750.34
472379.9	306875.8	7121.778
84650.02	95034.61	3086.113
82881.84	102270	1094.487
287191.6	152067.2	4173.639
362872.1	141219.9	3929.633
555594.6	436270.4	7970.146
364972.1	208717.9	3359.262
592742	365280.3	9766.29
251367.6	242512.5	2547.893
672277.2	365433.4	12852.11
330136.6	275813.2	6579.072
268785.9	127727.1	3810.443
1123124	810237.1	21436.61
289937	127572	3364.616
344105.2	157846.9	2799.365
321424.4	172783.2	4536.77
297916.8	187866.1	5079.477
375716.6	201936.9	2766.139
355707.3	143286	4128.136
406466.5	221680.8	4234.608
128424.4	95744.49	1726.528
222561.5	168120.7	7772.512
287197.1	143569.9	4132.129
379056.9	204617.3	13484.94
107102.6	126307.1	78594.48
599716.4	330954.6	7564.52
600552.6	450580.7	7207.819
236448.1	102608.4	2361.265
524216	341020.3	11794.11
665303.7	389093.3	21008.71
124278.4	57588.86	3117.875
488251.1	331727	8789.527
511959.6	266692.2	5153.461
401988.3	257172.4	12723.92
431768.6	251585.9	7446.925
266873.8	109129	1344.457
203657.7	207144.6	4482.516
781853.3	600656.6	5426.545
503133.3	507311.5	5559.528
91804.08	56965.84	225.7009
240349.6	149097	1889.341
372126.9	191552.4	2581.974
407331	479659.5	12360.09
354456.3	314460.7	17675.83
131751.3	54591.84	1755.58
347523.6	130984.4	1891.636
258373.2	199338.3	3164.83
270961.4	160477.6	3272.819
357092.6	196055.1	3892.492
256604.7	137125.3	6451.857
240241.3	133044.6	4795.49
511118	465678.4	14034.86
286048.2	109726.5	2244.292
264656.9	162426.9	3213.211
399525.2	225054.5	5012.259
203369.8	132102.9	1659.453
299474.9	171515.2	2964.59
89365.88	46646.52	1060.872
206037	185884.5	7756.385
273490.5	210569.9	4556.164
348959.8	159554.8	4514.044
243300.7	139844.6	2444.208
296275.5	159853.8	4814.132
296151.9	198870.6	3442.71
414719.4	207402.5	11398.99
162145.4	79204.07	2086.262
352965.4	236964	3349.747
452485.9	191092.6	14487.59
286959.6	145776.5	4745.333
268564.3	170032.9	1986.298
168920.7	112899.1	2054.397
421534.2	177200.5	1713.966
228643.2	108639.3	3021.19
609436.6	279197	3643.936
269673.3	192099.3	2711.872
365785.3	197851.8	5869.533
746835.6	317570.4	11141.47
494059.6	278213	6711.031
392315.8	200578.3	6412.175
481290.5	247815.7	4195.224
349719.7	189920.9	2431.464
434093.8	190107.2	3495.357
610886.7	531931.6	26964.29
482131.6	244036.9	3164.428
573269.8	332559.1	51587.46
511949.9	355769.9	13994.86
249984.4	173042.3	4666.5
366855.4	387892.1	12581.16
174403.4	174097.9	3820.659
294442.9	132024.5	2573.172
263683.6	216835.4	4149.837
391247.3	155081.7	3708.431
342028.3	203403.5	45383.62
446744.8	193097.8	18678.56
443420.8	192058	6335.403
307773.3	175214.9	4441.576
278048.2	195619.3	3849.53
182810.7	143422.8	3224.217
223566.1	457149.9	6455.694
299089.4	153596.9	1903.135
211679.7	98344.91	4207.475
525506	247623.5	11561.14
251791	242251.2	6398.796
412318.8	261989.1	8915.044
488561.8	257137.9	6082.102
239409	170136.3	958.7169
214128.5	102687.4	2880.351
320493.7	139201	3121.129
182131	116208.8	2081.815
102373	181862.1	1805.244
391086.8	200793.7	8486.782
249514.1	191705.1	3496.99
710151.4	589987.6	9659.856
304844.1	187437.8	3843.022
341845.3	237185.3	3035.93
247255.9	158314	5181.645
711867.7	410469.7	5985.106
407456.7	321938.4	14588.69
284916.3	156865.1	2543.264
338223.5	179481.1	32206.93
442414.3	247767.4	7036.877
328439.1	248788.7	3818.559
324574.4	164342.8	5684.928
222003.8	138795.4	3002.561
407434.1	292995.3	9378.981
314610.5	185408.1	2844.713
302910.8	184676.3	8467.647
420929.5	317022.5	9493.815
377255.9	191321.4	2185.812
658841.3	219596.6	5505.793
255121.9	112170.5	6751.206
555208.7	373919.7	6924.844
361241.4	234136.1	5329.083
300623.6	182538.2	3966.904
71510.28	37582.22	26.19997
293486.5	144950.7	7917.215
274439.6	135311.7	2355.094
329464	278696	3125.874
234666.7	115035.3	5488.811
242244.9	469397.3	16050.14
367611.8	353790.8	6353.293
283904.2	141016.8	4514.446
325336.1	186425.3	3949.26
414579.6	248287.4	4823.142
349433.3	190698.7	4001.233
412751.3	195842.8	6601.059
307639	137092.8	5061.975
279462.6	166740	3684.37
160172.9	140845.8	2558.302
315527.9	136600.4	5214.21
339778.6	203226.2	5373.575
512924.9	533857.3	11271.32
460692.9	280691.8	5105.274
367820.6	192248.3	2658.189
303351.4	262463.2	5334.151
315564.4	151088.3	3920.597
234294.8	261684.8	2721.479
330344.4	166700.9	9185.094
579757.1	456974.3	39416.99
414093.1	240186.6	8527.981
248343	145405.9	3681.595
245761.2	154657.8	3857.736
732294.5	351738	12813.76
320412.8	143716	7511.251
351442.8	179961.4	5968.266
539923.6	284060.3	6892.771
405859.3	245186.8	431.6449
285916.1	143801	5234.226
253938.8	111786.6	4179.512
92830.53	97218.56	1300.055
85386.47	144046.5	2540.322
306386.9	187949.8	1668.916
446945.2	287242	10657.45
362157.4	299969.9	4224.133
387946.4	192246.1	6282.368
287324	149537.6	6353.085
521989.1	342724.3	13151.44
313981.1	158440.5	6744.996
452653.7	238855.4	3390.505
355752.5	143605.8	1610.021
89361.7	87190.72	3183.537
320879	162415.9	5132.058
208204.7	148629.9	4583.518
301187.3	201095.4	2602.431
610802	287701	4513.915
579768.5	388188.6	8618.586
468253.9	209923.4	4222.435
296004.5	160072.5	3961.641
285845.9	188652.3	7314.032
269636.1	115436.4	11284.61
209838.4	149514.1	2150.174
221938.5	183743	3330.482
508039.1	379425.1	3758.394
313109.1	159568.7	3269.876
83111.65	33196.95	1769.633
257847.5	171854.3	5525.083
302312.3	143997.6	2860.659
297937.2	171360	4145.067
371948.6	207493.1	4284.143
220046.3	179728.2	4369.886
234653.3	103461.3	3416.614
377442.3	254306.5	4919.515
463939.4	201511.5	4743.738
582803.3	394682.8	7491.261
176352.8	133842	2282.626
435196.4	269132.7	5179.869
358850.5	164935.7	6847.553
114215.8	146361.6	5638.595
129643.8	70230.18	1057.489
205376.1	116109.2	2930.495
356965.4	209072.1	5361.998
376818.1	330007.3	3432.236
338674.6	198073.7	6062.54
395466.8	244541.9	6366.866
381519.3	172556.7	3007.112
185368	136083.2	2345.449
404829.7	361928.8	18426.69
191688.7	215631.4	2382.564
970964.2	437438	11003.06
424345.3	181408.1	6004.292
134793	104795.3	2895.026
393614.2	334486.2	4019.097
445923.6	235482.4	5755.659
304965.2	230407.2	6342.248
306638.5	258064.2	3982.604
99267.13	35660.15	783.9899
203573	147369	1310.569
277276.5	190027.6	4981.327
357371.8	207883.5	9608.715
298103	257367.9	4683.197
297721.2	376016.9	7993.481
205497.2	74521.55	1617.385
115912.1	69165.56	765.0107
244783	119003.1	4770.159
422104.7	258663.6	5602.517
312583.7	126930.4	4697.457
72112.17	47738.62	883.2542
447378	218582	6102.883
251411.9	133424.9	4486.457
244561.7	149409.1	3483.858
444536.5	168076.6	6501.055
462015.8	347602.4	6885.849
472301.7	259155.8	8456.991
142976.5	112712.1	1409.756
315986.8	153068.1	7320.605
270299.4	180096.5	3114.647
399218.6	268052.7	4301.942
286714.1	150133.9	5601.194
958714.8	1095306	58145.68
412283.6	392571.6	17504.32
254379.1	208308.2	11803.43
420724.8	388779.2	10321.23
474488.2	454476.8	26045.96
243003.4	133840.9	2823.478
219083.9	262742.2	3864.516
229358.1	197107.9	1894.332
440786.3	238619.7	10634.84
80728.32	59733.17	1828.489
225323.6	148802.8	4108.561
380653.3	458204.1	2824.243
619624.2	527042.1	13907.12
1049113	750002.9	22824.22
362449.8	250188.6	7616.933
359610.9	226659.9	10343.92
884624.3	445271.4	11105.82
320339.6	168067.1	3271.406
678317.8	566172.9	5936.271
262370.2	151597	1469.843
284864.3	203614.8	9942.365
240794.5	136607.7	4357.739
190353.2	104664.6	1720.629
254431.4	141678.7	3708.314
216158.3	131876.8	2784.574
169578.7	176257.4	5399.749
156351.1	92197.89	2706.065
729685.5	456936	16451.76
403296.5	217837.5	3375.635
547140.5	401837.6	11336.49
364062.5	199261.3	6207.864
446744.4	285944.3	7017.847
292676.8	142515.4	6313.234
649998.6	461214	8632.665
395007.5	162302.1	5875.743
119107.6	239567.2	8408.701
375400.6	193488.1	2663.776
234073.1	119372.2	2451.649
324393.6	235418	4651.293
311664.5	173060.9	3303.09
245214.8	107168.8	2951.237
228849.5	147660.4	2425.591
282090.6	206083.1	5642.86
384605.7	199014.3	5414.204
320031.2	179735.2	3139.356
236460.6	97974.52	3926.781
364553.3	306720.9	2412.42
253276.6	201474.9	7238.686
424614.8	165901	5330.807
451260.9	253960.6	19272.04
284525.1	273569.2	6448.279
279723.2	155983.2	2347.056
305587.8	158130.3	3361.064
373730.3	153961.9	4749.183
154533.8	139818.3	3405.024
315459.6	131887.3	3592.65
333934.6	220467.6	2724.564
295971.9	149334.9	4193.915
264012.5	147143.6	4513.487
306884.8	152985.4	3908.567
296994.6	212775.7	4160.779
468433.3	300004.1	4391.769
365074.1	259047.7	6969.686
987660.6	479462	26233.91
321929.1	146934.6	5300.342
249447	128216.6	5581.191
271027.8	99784.67	8950.124
223518.4	112746.6	2705.546
454248	190995.5	1941.806
116349.7	114828	2775.745
256228.4	125262.8	3141.91
420194.4	254304.1	15456.16
492121.3	235433	11999.71
314669.3	181052.4	3851.215
239753.4	117542.8	2033.447
483001.7	351886.1	8201.149
364479	146378.6	1625.306
401760.8	306549.3	4978.125
353814.2	268928.4	3727.656
389674.5	227177.1	4188.47
310186.5	208905.6	10139.84
363256.7	195212.7	2881.09
205623.1	235442.9	1177.184
363755.4	212502.1	4643.917
270597.3	156899.9	7651.521
266958.1	206084.1	6454.567
280377	188489.5	2884.11
413445.1	231479.8	7220.9
299656.6	421782.8	10550.36
342603.6	167327.9	3584.781
347444.2	225190.6	5777.775
