FSC-A	BSC-A	Violet
346583.9	160801.4	2289.626
105830.5	112172.2	2716.423
408454.2	195686.9	4077.888
439642.7	213288.5	3582.279
457690	217676.9	4118.128
632544.8	293134.8	3198.432
342301.5	284054.7	3947.42
554695.6	357033.6	6037.506
256960.8	102695.5	1122.386
699895.6	462943.9	6127.1
68054.74	45808.3	870.2514
434221.9	197190.5	4417.736
287580.2	152240.6	1639.735
378996.1	212393.5	2764.493
253551.4	141371.3	1501.449
247471.8	122073.4	6363.405
277005.5	135355.8	2589.571
627065.8	240022.3	3692.628
359754.3	138707.3	1701.08
484000.5	239238.3	2943.602
503471.2	183402	3120.545
365763.4	195180.2	2572.537
368961.3	150042.2	3166.01
142225.3	83084.76	1920.014
450792.4	156144.6	1866.473
662010.8	398610.7	8045.168
94229.55	55546.27	1020.516
256655.5	181005.4	2147.452
78635.51	52627.08	505.3445
320478.4	106565.9	1302.557
95327.73	103892.9	5049.595
426721.8	173844.2	1417.314
311609.9	158766	2102.091
128757.8	92967.16	1253.087
265776.9	125557.6	6894.275
371367.8	166016.9	1604.966
156418.4	119988.9	1902.642
231928.3	124220	535.1354
311803.2	169132.7	1876.844
515642.3	446702.8	15479.41
817518.1	470080.2	5359.651
579983.5	259683.9	3357.447
426760	163085.6	1346.427
334769.4	166702.8	4025.994
276369.8	112189.9	1845.964
334176.5	172551.9	2926.126
185192.8	165960.8	1977.405
396112.2	211341.9	1853.211
360655.1	163103.8	1640.111
465528.4	181062	1525.16
223750.9	177535.9	9720.903
166241.2	173165	1235.469
334977.7	206238.7	707.6845
475928.3	168703.5	4628.256
544421.2	262081.5	10846.75
261050.5	100199.3	1432.028
367034.2	208451.2	2408.894
484683.2	173906.7	1584.949
155274.4	99050.79	1996.915
193359.2	133033.1	3791.659
280137.1	129054.5	10596.42
270528.1	107468.1	2028.858
220075.1	75274.03	542.9138
501943	207611.1	3488.823
108023.9	83525.63	1265.974
343026.7	212717	3386.992
311759	156234.1	2656.193
148203.7	85867.83	526.1385
506135.4	202692.5	3912.664
450607.9	217812.1	7440.158
186447.8	126461.5	2377.638
148975.7	64496.27	766.3849
544518.2	216264.1	3222.078
325850.6	206168.6	2603.702
240878.2	114521.2	1464.956
479928.7	421313.4	3723.209
298101.6	179965.3	3283.631
453685.5	193473.6	8001.947
791735.6	395967.8	9198.421
559948.9	193241.1	3118.718
373721.5	149880	1546.706
706073	247409.5	6104.879
396376.8	228615.2	4028.625
556152.6	254140.5	566.2747
349082.9	145294.9	872.2479
176334.8	79638.59	882.2949
350244.9	174357.9	2208.978
351715.9	152917.7	3032.287
855458.5	603984	20379
302312.4	137460.2	2418.215
841346.1	337120.3	10328.2
238684.2	182959.5	2683.961
505833.2	296912.1	2696.51
536683.4	310491.6	6236.242
626821.4	269241.3	4805.9
299318.1	188042	1740.84
438978.2	191510.9	2599.476
903760.8	402052.9	4314.997
472241.4	252816.5	3452.861
312430.9	165246.7	2264.606
433490.3	249670.7	2255.298
686945.1	406922.1	12394.57
270497.1	256446.7	2141.41
588024.1	317274.6	3649.523
204753.2	129477.7	942.9917
264113.4	100787.2	1486.32
496163.9	154915.9	1996.293
66951.38	32504.15	477.3814
438461.2	265072	3889.718
727602.6	252674.4	4300.089
225898.6	156632	1003.403
203266.7	111722.5	1799.813
244429.8	195838.1	1735.797
461946.8	211651.6	2969.166
436567.4	240541.6	3032.378
369559.8	166031.2	1585.092
609625.4	298735.3	1560.512
361020.4	194645.9	3316.015
288671.5	116313.5	1527.844
360890	228266.5	4719.029
116285.4	88731.5	125.8662
307125.7	163976	3080.967
347888.6	193873.3	4823.687
281543.7	129890.9	2431.736
155285	84979.13	1735.875
410388.4	356596.1	1952.566
406982.4	202250.4	2435.703
446848.3	163241.3	3409.951
78006.88	50276.22	885.6655
241893.2	106118.2	1741.371
127332.8	67385.31	1613.029
265185.4	156370.5	2797.045
74881.5	48036.65	445.5681
355521.5	155191.4	1577.923
281952.9	126560.5	1668.346
270244.8	173872.1	2295.253
134178.1	105259.8	15478.16
368920.9	152684.4	3151.477
386854.1	290572.8	8420.641
422725.4	209785.7	10456.38
336722.9	253908.7	4521.097
126229.8	84518.07	1970.767
327322.1	195219.6	2805.407
226295.3	111365.1	1996.215
346223.2	177284.3	2991.827
322111.2	138906.9	2861.929
428556.8	174038.5	2638.406
293329.7	145074.6	3076.287
476938	196667.2	4470.836
232857.1	118170.4	493.9752
487307.9	181343	3846.742
97692.13	46970.67	302.3044
159175.5	199114.1	7284.928
621245.6	308575.7	3137.113
505264.3	187963.9	4139.454
765827.7	470262.2	5242.652
478947.4	198366.9	2411.552
535454.4	196846.8	3498.3
119912.7	117284.1	1227.523
499923.2	230823	2284.531
166699.4	71794.32	1002.898
121104.3	113519.8	624.3268
410246.9	219913.7	2189.96
466413.6	139510.8	2640.921
444841.1	265831.2	3102.201
197920.9	89736.84	1250.806
628676.4	307053.1	3179.92
341463.4	129501.3	1757.887
476600.5	186857.7	3090.093
687255.8	347695.3	3875.12
400710.4	211709	1233.032
281001.4	124593.5	2371.506
200832	231430.8	1258.882
844298.3	423057.6	12416.03
546509.8	216345	4437.739
351182.3	246407.7	3238.205
160022.5	83774.39	2153.441
452074.9	183318.6	2004.019
219248.5	156626.1	4957.862
371739.2	122341.6	2121.602
353843.9	139748.8	1087.928
457690.3	279207.1	846.2164
119982	195760.2	2526.878
308129.4	126987.6	1730.067
139944.9	57005.2	199.8639
628185.4	171042.3	217.9745
567528.6	266019.4	5564.183
309533.4	190951.2	1771.474
386768.7	154373.1	5332.622
108704	53955.33	116.3896
92713.35	78973.22	1001.861
296376.7	101087	17014.61
539845.8	242596	7972.286
273843.7	293235.9	28309.47
341678	121936.5	1087.772
201236.2	160679.1	5267.18
945028.3	812005.3	16438.7
188241.3	101402.7	1346.868
279851.5	115699.1	3163.702
569131.6	263212.1	2573.574
316645.3	167683.9	8716.853
367845.7	179261.1	10253.59
348911.4	138314.6	1785.137
406564.3	200938.6	1762.969
463786.4	161475.6	2606.787
405902	160018.1	2567.429
322648.4	169669.6	3170.716
521192	307176.8	6471.809
123993.6	113500.3	420.133
805956.6	460273.2	8840.151
190882.6	144775.4	1974.993
268102	98353.32	672.6951
649419.6	436084.5	74142.65
217191.5	101193.9	4410.165
390412.9	320715.5	7053.134
503592.6	262802.9	3762.62
73142.85	53559.1	626.5955
647706.2	347883.1	3475.392
447189.9	224823.6	3443.748
