FSC-A	BSC-A	Violet
239603.6	114343.3	2562.334
329021.2	249741.2	2562.853
470534.2	248592.1	1412.828
317478.7	161872.3	5884.701
301496.1	204067.3	2102.156
403553.9	159922.7	1293.392
301223.4	145086.5	889.3472
327594.6	234986.1	1142.402
393810.6	181414.3	638.639
178097.1	130705.6	785.1047
472674.1	309925.3	3813.075
399233.9	321035.7	2319.197
346302.8	225004.9	1460.963
368216.6	196133.9	703.8602
385619.3	261123.4	1350.718
298015	172780	733.1844
409962.5	179490.7	2507.912
217106.6	113537.6	4867.958
358771.6	197099.8	3210.852
472319	300336.3	1512.222
413116.7	396580.4	2877.784
226798.3	167572	891.8881
326996.3	186732.2	1743.614
486203.8	341835.2	2511.646
349626.1	145436.3	1693.794
304816.2	217943.5	1557.622
254047.9	161166.9	1696.879
228793.6	146716	774.5781
242854.7	142315.7	1031.82
170419.1	193060	5778.242
364592.6	313238.5	1597.408
102699.6	50461.25	180.8978
328596	323244.8	2471.911
252293	145226.8	1560.357
426386.3	214385.2	1849.853
88455.41	67973.77	808.3878
272558.7	103257.9	485.0172
124555.8	139590.9	1353.22
325896.6	288932.5	729.9435
129052.8	110902.5	1429.046
478889.2	317196.8	3180.477
255545.6	128920.6	1763.799
486968.5	310696.2	5363.346
507422.9	304688	1479.994
467720.9	294885.9	2094.041
379726.4	290692.8	3317.907
317368.8	253245.1	1698.772
239167.5	101128.6	556.8889
325546.8	259334.3	7089.394
127865.8	88313.16	835.949
255601.5	101404.3	1703.413
338853.4	272571.1	1511.094
367401.8	213089.6	1964.285
292612.2	332056.8	2769.821
488720	285453.6	725.1857
307241.7	129019.2	2794.349
290422.8	211865.6	1115.515
256666.8	145376	1777.994
259922.5	149318.3	1275.93
136592.6	165939.5	1575.693
504754.6	297026.2	4563.942
400292.7	373653.1	1775.557
401960.9	322181.3	3245.673
239480.9	111131.1	893.5475
231938.3	173654.5	2022.169
371788.9	225562.9	2386.518
443757.1	411210.9	3709.442
364505.1	218362.1	1439.508
147544.1	129740.6	1373.379
721247.9	613781.4	36744.51
252185.5	129576.6	2984.619
297025.2	215868.7	1189.824
559653.4	444279.3	4144.185
413510.1	280701.4	3059.097
181097.7	254060.3	2522.418
372487.4	344803.8	1981.009
373813.7	263290.6	2863.757
118830.4	56700.12	775.9523
201691.4	175529.5	1255.2
385714.6	327345.7	1101.423
371031.6	274603.2	1172.154
261285.3	150197.8	1135.868
113955	175045.5	741.8573
320259.3	172014.7	1840.078
440375.6	338238.3	67375.05
484912.2	272728.3	1548.521
135545.6	257866.1	3352.326
572160.9	500858.3	3071.334
147922.1	83259.99	1249.483
433898.3	415185.7	3324.999
326073.4	178558.3	3128.285
312226.4	204559.5	5543.985
296572.8	204979.8	1916.941
318330.4	197219.6	1649.25
139886.1	92364.18	600.4474
242127.1	124717.7	1033.013
522814	280593	9833.923
92165.17	89952.13	785.8826
219677.1	178302.8	1822.771
222139.6	138849.5	1486.865
382481.3	347884.7	1111.081
443872.4	304967.3	2511.931
822495.4	559479.9	4627.867
269722.3	146837.3	1883.624
286859.2	167550.7	388.9808
120779.6	66774.25	828.8837
324041.9	241606.7	1407.344
214321.5	112792.9	847.4739
324666.8	251996.3	1726.113
262673.1	193312.9	1984.548
302713.2	141819.2	1213.327
488278.4	328779.4	1330.222
363814.6	209141.7	1432.067
104002.6	85686.14	787.3734
233976.2	149460.3	1294.961
337298.6	235378	1174.06
236988.3	120093	1751.768
1308895	1039191	31757.34
196121.1	156878.9	1486.061
233948	125836.7	1052.446
330124.7	317457.8	1996.254
396451	285334.7	3742.539
281333.7	302336.6	2125.206
318503.3	307768.3	3083.093
233269.5	146762.5	1840.506
112356.7	114348.8	4443.664
166411.3	147065.1	6946.13
283031.3	191997.7	1515.152
837492.4	626995.3	20195.41
242796	131566.1	630.9125
319970.2	193419.5	1917.913
261443.2	149071.4	1240.681
95090.88	53526.37	414.9086
242721.9	200148.4	1749.266
528365.9	323809.8	5521.428
364064.9	184389.6	2230.343
176691.4	115648.5	1710.867
248445.2	173271.6	1320.668
98440.27	70938.8	768.2517
281867	210788.7	2024.347
99887.23	43044.37	125.7625
238456.4	156674	1560.383
462165.8	407618.6	6885.083
353793.9	275187.1	2022.467
384388.9	322904.5	1341.851
397935.3	217944.6	545.3769
296108.4	255704.7	2108.404
284243.7	165364.8	3918.342
294017	259344.4	1449.684
345418	200737.3	1931.668
372357.3	164991.8	1816.03
225884.5	101105.3	1327.993
318251.5	254593.6	6518.815
348295.8	195584.4	2363.78
345334.1	184648.2	349.4021
360369.8	143740	990.4005
211586.5	177224.4	1861.171
246730.5	131754.4	1051.629
277401.8	128141.1	1015.408
241103.7	122883.5	1376.633
85210.03	74927.41	647.8303
245490.1	103501	1480.707
388223.2	166456.8	1828.981
137574.9	106131.4	105.5129
212245.5	99981.65	1238.464
532874.6	341519.8	4840.423
472727.2	226869	1363.384
328895.9	184306.5	711.7941
377309.9	199570.3	2794.491
470718.2	360771.3	2411.059
151807.5	134670.9	1176.173
159466.1	72579.61	775.8615
449244	275919.3	3277.434
188369.6	88934.38	909.1949
115094.6	96139.66	947.2308
192281	85532.22	961.9448
274843.3	140779.5	1487.565
292672.3	213150.9	5163.171
162541.1	69377.07	999.1641
279691.1	167518	1809.782
234853.2	137781.7	3846.574
305749.3	115478.9	5862.96
259059.4	145033.7	1445.316
185499.3	66342.92	1169.613
401456.5	159080.3	1219.317
349512.9	229134.7	1385.384
285478.8	154922.3	4011.202
255399.1	130324	598.1658
255594.6	141707.2	1266.803
229134	147380.8	1457.566
289719.3	175894.8	3727.06
309841.6	115550.2	1743.005
259322.4	156311.8	965.2896
115802.1	85146.8	730.851
133419.9	124111.4	784.7806
563861.3	294398.8	1397.259
74253.16	70155.19	722.3596
298177.1	171623.7	449.5739
126629.7	104784.6	813.7808
262210.2	168849	709.1235
196622.4	95654.52	1185.247
246971.7	112687.5	1018.195
357635.8	310895.8	2714.647
255120.5	149738.6	1400.798
350807.5	153126.4	1921.18
269956	171422.1	909.9208
545905.4	340946.6	1469.117
466418	334144.4	1825.585
208696	87750.35	744.5278
517799	275313.9	3264.768
251947.4	92962.38	687.8369
310424.6	223493.1	2259.706
282171.8	135401.7	1783.258
155294.8	220288.8	1802.302
189691.3	81355.91	619.7636
219424.8	94456.65	1333.334
88925.01	60357.69	562.2947
205688.3	117711.6	1292.433
271213.8	122415	557.0574
244738.5	196876	746.0706
265576.6	146357.8	3292.057
305527.1	171694.2	994.5101
287239.8	232007.8	1852.394
355774.8	223692	1494.552
346559.8	196342.5	1057.683
332708.3	175297.9	1007.617
358348.8	181686.1	1718.101
379738.7	170359	3043.397
247508.3	163384.3	1167.059
233892.3	178951.7	1230.388
248513.2	149000.4	1777.281
283910.9	128721.5	1915.1
138271.2	130009.9	1200.817
316839.3	141078.1	1566.605
228923.6	154789.8	1755.256
200548.4	156031.3	1755.269
537703.8	313731.9	2215.343
498066.9	270920.2	61279.85
332266.7	201788.7	1392.592
297083.1	125910.9	693.541
236797.3	159889	1018.104
551699.3	487009.8	3680.208
296572.2	248163	3211.02
414804.9	254984.1	3049.244
316112.3	127742.7	1148.91
354009.8	207434.9	4012.161
257565	198138.5	1517.9
316982.8	258083.8	1662.214
356663.7	170135.6	2768.939
295805.7	172535.6	1098.753
310940.5	283040.1	2275.833
294078.9	228861.7	1102.629
150632.4	89326.19	35937.41
88870.51	129169.5	2117.803
396298	212088.2	2513.02
70844.38	87630.38	163.5132
372456.3	252238.3	1783.776
194996.6	119377.8	1057.955
217616.2	124906.1	4114.511
153955.4	143268.6	719.7928
293669.7	159925.5	1383.763
350022.2	164652.4	1245.892
256938.2	150050.3	1320.162
514810	411300.7	5688.35
234562.7	114397.5	761.6142
72363.27	51715.33	359.2806
396054.3	276339.7	1502.058
234343	120136.6	1546.187
312783.6	331165.2	1822.785
156703.8	112583.8	11117.75
402416.6	235345.2	2503.206
425582.7	275604.5	3818.481
266088.9	167735	512.332
224262.3	143066.8	1205.406
447921.2	214976.4	2540.814
117849.3	102981	759.4882
270550.5	109989.2	1438.756
377147.5	304356.4	3518.614
342298.1	183396.8	1167.591
306719.7	196313.1	2159.262
215093.7	106876.4	1118.367
233850.3	135853.1	1230.064
504896.5	317841.1	2576.75
259249.5	151621	1223.724
331515.8	234449.7	2018.565
238772.8	191134.6	1492.076
174661.7	123403.1	632.3644
394378.7	177408	2390.239
365406.1	178895.1	1963.274
560733.4	408505.8	3921.505
238409	112140.1	475.6961
264198.4	204141.8	1885.789
423230.6	184688.5	2016.374
328179.5	210734.2	1342.201
318028	237522	1469.454
397976.5	332321.7	3883.495
316137.2	141559.7	1899.245
330482.5	177966.2	2222.59
291024.8	154665.7	1357.835
105884.9	100911.1	1489.004
261608.9	123303	1307.419
513357.7	472895.1	4152.793
108149.1	76346.34	804.6542
182568	85437.9	1770.851
241786.9	152970.4	993.5248
412979.4	347114.3	25081.12
260205.1	176366.7	1142.389
78456.48	49498.59	369.3535
408692.7	218277.1	710.2384
539316.9	415662.9	2301.061
288219.1	217237.5	2871.315
303735.4	211975.1	1493.476
469123.4	306656.4	3774.443
420632.6	477691.7	1763.747
399669.3	297309.8	2507.043
633290	349851.6	14949.04
475060.9	268985.3	2169.309
193592.4	179423.7	4041.097
497353.3	364508.3	2451.182
410745.8	188657.3	1791.853
317698	409960.9	1827.089
582058.8	347778.2	4270.051
341163	223587	2648.661
214892.2	152643.9	1068.443
234149.7	165330.6	1156.545
377018.6	214800.1	2376.588
312819.6	229110.6	2493.354
243231.2	202683.5	1481.29
454269.7	282636.2	2125.348
679022.8	415540	5920.015
325628.9	267357	4936.822
251310.5	234121.4	1978.39
267542.8	106253.1	1074.419
318465.2	281542.7	2341.793
123880	137783	812.1733
201995.1	117589.1	1295.298
210184.3	109982.7	1568.148
121649.5	123086.3	1429.15
210002.3	153953.5	907.0947
435272.5	410917.4	3767.909
231799.8	168795.3	1546.654
218779.5	82206.95	1428.138
639624.4	390698.8	6367.696
277819.8	127861.7	2930.78
335503.4	173444.3	3751.471
270261.1	197962.3	697.5986
399803.2	206529.1	1523.436
118417.8	116348.3	951.7164
421612.2	380617.5	10264.4
216465.9	168663.8	1419.025
239446.8	136924.6	1583.925
339929	238456.4	3375.882
289452.6	164201.2	2235.878
392960.5	293016.4	4783.135
281890	124730	1093.424
736309.1	903304.7	10495.87
291128.4	123991.8	1444.641
225210.7	140809.1	1778.059
543922.4	411632.3	2308.333
279604.4	135517.4	1332.478
323722.8	158800	1094.28
260785.6	149224.9	1569.393
78020.2	99184.95	102.0256
376638.5	409610.5	2514.446
269393.6	134237.7	1239.19
219118.5	137137.1	943.1213
425572.9	350054.4	4484.409
546972	458949	6726.613
658269.5	360748.9	3430.291
279705	109227.9	1167.344
285876.5	239641.2	1573.165
375171.4	150235.8	1369.814
310998.2	226573.4	2655.078
134029.6	208129.2	5492.985
290440.1	228649	1022.097
307956	270379.4	3172.167
236652.1	121373.4	1176.121
410703.1	274509.4	1500.386
284179.1	178279	1123.578
71787.65	55379.25	592.1635
91140.84	67203.55	903.0759
586371.4	296601.9	12004.29
