FSC-A	BSC-A	Violet
471008.7	409471.3	660.3664
236172.5	122570.8	217.9874
243377	180965.6	156.9924
318436.3	332873.6	1076.61
333056.8	202903.8	387.6844
136286.7	64364.25	131.9073
127184.5	126596.4	144.1971
108687.9	82258.76	250.2545
425572.4	528677.3	666.5502
265084.9	102841.5	141.6173
580222.6	378206.8	913.2526
379183.5	227585.1	417.2939
562572.5	233811.7	344.411
150551.4	159780.3	227.9307
113293.9	77995.96	108.1575
127859	77812.33	97.09937
403822.9	144529.1	205.7106
417434.7	170945.2	273.4598
239868.6	160534.6	128.2645
121803.1	188273.6	217.0151
237799.2	132727.5	329.8526
390449.7	187039	117.9971
308924.4	162176.7	170.8378
112335.9	135281	157.4202
388412.8	178821.4	214.7594
173224.3	125586.7	114.8339
351156	293663.8	371.6481
289988.8	101028.4	70.70493
585914.5	576419.6	1427.231
441669.7	273752.8	600.4604
411137	190653.1	81.62051
366840.7	194550.6	479.9612
371704.9	152704.8	248.0377
405126.1	335749.3	334.8178
581355.8	343363.9	391.3273
135039	65608.07	48.13484
145713.7	266316.3	487.5062
73357.05	106896.3	278.9435
459292.2	233985.4	396.9277
373178.2	262619.4	360.6288
343858.5	281427.1	479.0149
882863.3	651590.9	983.8668
218196.5	89168.84	121.0307
297575.7	195113.2	311.8199
303302.6	239115.9	307.0881
173892.8	94122.68	187.2371
147406.9	103137.5	175.5826
508201	241946.5	237.7055
74029.84	45465.27	44.79016
281591.5	215309.6	142.084
78236.12	150997.4	127.5256
296994.5	154424	54.40935
112482.7	129911.2	102.8294
195247.3	153873.1	189.791
87025.05	133386.2	175.7641
195220	265971.3	271.606
400796.9	228064.7	470.0179
488593.4	224993	383.3545
525959.1	575286.5	1003.961
442878.8	428455	337.5532
255544.9	161048.8	551.444
188896.1	145030.4	238.8852
544513	619293.1	526.7479
299488	183877	155.0867
174923.1	135106.5	214.4872
299084.4	134019.1	88.32282
311379.4	208873.7	298.8042
88968.45	87430.82	95.16775
241280.3	136178.8	220.5543
203897.4	82440.84	84.53738
455672.3	253627.4	381.0469
267756.5	90397.05	111.8004
163448.8	121491	227.477
623012.1	294000.1	1091.078
167467.4	95712.4	119.2676
334524.6	303326.1	329.5026
90840.54	58147.78	25.25361
361907.5	318648	468.0215
837946.4	446599.9	499.4978
317548.2	174515.3	112.0467
389398.1	448888.2	1455.013
356907	499285.9	156.072
304459.9	218201.8	247.0394
129870.2	221019.2	196.597
96772.04	108166.4	163.1762
