FSC-A	BSC-A	Violet
135550.8	109951.1	86.19675
68485.83	38414.93	79.62407
234132.8	78278.94	159.4426
81773.36	24016.52	23.02383
278389.3	139607.2	299.2968
410839.6	226176.2	360.1233
360595.9	186736.9	288.2775
337872.1	121818.5	371.2333
200572.4	81035.48	164.317
327681.4	155163.8	414.2604
373583.5	155373.8	425.0074
504412.7	240626.1	400.5316
209955.7	104419	183.4646
537814.6	372317.8	633.6738
195259.6	59507.96	158.95
228859.6	108338.7	359.5529
457610.4	183410	388.9679
261106	135442.5	266.9519
199790.4	105104	200.5121
352739.9	182958.9	295.9391
607278.8	240533.6	144.7157
74625.84	26983.89	19.21245
595125.4	353977.8	619.608
276828.3	110721.6	128.6793
685034.8	380321.3	1032.455
303791.3	181067.6	489.8268
226168.5	104213.6	278.5287
542363.3	276376	306.8547
313399.5	271711.5	568.9323
269671.7	153856.4	207.3182
373801.1	182961.9	231.3791
551023.8	469040.7	497.0217
474941.3	356127.8	191.243
247627.7	174890.4	178.2013
354992.5	177593.1	489.5934
320065.6	99554.76	133.9556
357422	138932.9	564.5764
302259.4	146469.4	226.401
374005.5	176800.2	370.3388
418667.8	260851.9	460.0617
229619.3	115554.5	140.7746
282040.3	135599	189.8169
417026.4	217509.7	456.1207
484630.3	166269.1	544.4305
77834.88	36124.62	41.05656
293622.2	156824.7	155.0867
117169.2	58909.25	77.6406
505417.9	218623.7	585.8372
204752.2	118182	335.6216
369667.7	100889.6	154.1663
245578.7	141265.4	37.78967
194583.2	101704.8	92.36755
272083.9	129928.3	88.08948
250609.5	147923.2	293.8001
284268.6	145839.8	295.2132
357210.2	135409.5	442.2753
550868	287769.8	299.232
249078.7	93900.95	226.025
367536.9	140084	215.978
313969	258266.8	278.7361
399474.2	189718.9	213.9427
269467.7	77518	247.1561
379058	157430.1	230.0697
95954.91	72061.87	93.54726
277788.3	163847.7	148.9678
83768.45	51050.27	16.02334
270716.2	188155.1	396.6165
244053.3	106727.2	150.6272
399745.6	175120.7	169.5544
261760.7	115891.7	271.8912
246385.9	84425.66	183.7758
366941.2	140240.3	208.6534
245532.4	107944.6	350.7504
98834.19	44207.42	29.68726
721844.6	532265.6	627.1271
366946	120811.1	225.1435
280289.4	177332.6	339.77
223873	96769.73	199.2806
419180	209644.3	349.091
452187.6	213338.2	56.28911
383968.7	184485.6	389.7587
88524.39	47827.48	116.7267
283400.1	101859.5	233.194
380166.1	168478.9	298.7134
299773.7	150314.5	245.9764
364859.7	148724.8	154.6849
282898.1	125608.5	210.1313
391440	190099.5	227.114
90364.3	24907.32	69.12334
69476.5	38196.38	12.8083
418639.8	169651.9	376.9763
331983	145387.7	230.4198
490856.3	232070.3	294.915
318346.9	145165.7	230.342
326452.8	138597.3	297.2874
335344.6	90610.69	181.6886
91065.48	22313.67	-18.48647
301893.4	109385.3	488.1544
116826.1	69842.07	34.89873
227255.8	126800.8	184.3721
168628.6	108288.3	107.6908
660315.9	443887.9	420.0811
400218.1	191206	220.3987
257156.2	106961.5	91.88789
372839.5	231435.5	450.1314
600961.9	358725.2	430.2967
257410.8	90740.86	118.7101
211236.3	261981.4	449.924
264742.2	130167.1	221.358
396423	182103.5	344.9814
274423.9	123937.4	184.0999
331318	151483.5	288.2256
297420.4	124860.1	179.0569
393051.3	266702.2	537.9227
214461.6	92597.91	147.6066
439975.4	197258.4	89.56735
284243.5	126786.1	427.5354
533931.3	176004.4	185.6037
428849.8	255998.7	286.2033
312855.5	125535.4	312.5977
351240.7	167028.8	426.7834
453826.8	207760.2	543.173
217352	151252.3	512.5005
292512.6	95403.09	264.0869
157684.1	70827.38	26.58889
321721.5	154934.2	227.814
235723.3	149291.4	531.3889
224752.5	124986.7	121.4585
360503.2	193610.9	166.1708
336314.8	202877.8	197.5434
326657.2	127169.6	225.5194
276592.3	162650.7	196.5841
280771.6	138183.1	135.1094
461108.9	310425	347.1075
233121.8	107772.8	296.6781
71334.37	27460.12	43.83083
75359.55	47576.07	110.4651
245747.2	109564	229.0975
258285.3	86206.38	386.7251
98297.31	56779.44	65.83051
91844.29	44694.85	134.7335
380359.8	176231.1	197.323
193690.6	95776.42	31.24292
320728	150734.2	208.4071
341186.8	138364.4	432.8376
299505.1	126377.2	344.9814
318843.7	158459	222.5896
387922.3	113256	121.4974
429084.5	210135.9	399.2352
340508.7	156368.1	159.3519
589404.8	283944.5	629.655
77243.26	31983.78	52.07585
252024.9	128707.7	360.5251
490297	240101.3	424.7481
191765.5	78451.1	285.231
119892.7	42890.62	100.8978
100008.4	41129.99	83.0206
150524.3	65987.88	276.4674
338602	119143.3	248.2451
366134.4	155552.4	152.2217
359311.3	243158.7	772.5817
307144.1	191601.7	164.2911
318571.4	163130.7	305.688
392738.5	160548.4	366.1385
132834.5	266528.3	596.0397
258431.5	138842.9	336.7624
97497.42	98960.14	69.88821
304840	237718.6	591.2172
265724.7	113932.6	380.4247
101728.9	38982.13	147.2047
304852.6	150660.7	173.301
273782.2	136578.8	93.18427
69463.21	39553.93	92.47126
96765.95	54261.16	85.71709
81300.7	26966.99	22.5312
440608.7	222563.8	243.8244
226049.5	153275.9	191.9819
466630.3	206665.3	378.156
268047.5	103324.2	212.413
222924.5	112013.1	139.8153
273245.6	217405.4	163.8373
223787.4	94887.67	326.9746
355054.8	150977.8	194.4191
118262.2	64219.85	211.1295
625412.6	285019.2	280.3566
397192.9	171477.2	200.3306
432884.1	157592.2	256.6457
292225.7	136621.8	221.9673
93612.52	154561.8	415.9197
155857.8	81122.41	173.8714
462617.3	307707.7	691.4537
267326	80168.5	313.6737
253521.8	127124.5	279.3195
98144.39	107063.6	130.8962
1372806	860632.9	1130.19
315403.4	120693.2	213.9297
390766.8	248657.2	443.7791
464844.4	236712.7	205.4514
