FSC-A	BSC-A	Violet
275321.8	171784.7	249.5933
304418.4	175654.9	145.4805
237126.4	122257.4	247.195
225261.7	99581.15	150.4327
394105.7	282097.2	357.4268
256168.5	129032.5	193.2783
293569.1	165425	181.8053
439579.7	198834.2	214.7853
466494.8	267785.3	630.9774
394002	236257.9	339.4459
398639.8	209266.1	449.2498
332794.3	192400.8	242.0872
408508.9	238143.7	405.782
303212.1	224542.8	483.993
283064	213659.7	230.3679
243352.9	131669.9	258.2921
368896.4	321522.8	211.8814
252157.4	110209.8	239.8575
279700.9	170813	259.3292
285912.3	119879.7	215.8484
236068.2	196861.5	348.5595
313370.1	174271	274.3413
327119.8	181025.1	321.452
517272.4	249190.7	742.6351
268760.5	248186.1	220.1005
359142.1	134624.8	129.0553
289825.9	113482.3	356.7786
387670.5	223626.9	483.5782
484105.2	249520.6	428.1187
300531.6	227546.9	351.3856
461317.8	281834.8	254.9863
473108.8	289670.6	618.4024
332830.8	241036.2	303.536
441806.4	271318.9	607.8109
359544.7	263800.5	237.2776
201117.2	112954.4	266.0186
227159.6	127252.7	305.8695
488382.5	238709.2	580.872
259390.7	122008.6	395.9035
411921	143274.5	405.5746
197027	112304.2	114.8599
491234.8	272268.4	472.1181
457077.2	187925.1	224.3527
541682.9	282299.2	758.114
294305.3	220894.4	141.8377
454590.7	295491.9	521.5882
479120	290177.1	512.0079
322806.1	143477.4	218.3374
487680.5	291261.6	381.2025
82542.21	49921	117.323
386135.1	203729.1	306.8936
406358.3	303373.5	476.111
224364.3	97243.57	329.2822
175119.1	159967.6	253.4955
341942.1	174915.2	342.4406
99081.24	95414.63	148.0603
452179.4	374345.1	543.7823
427687	305310.6	592.8895
262113.6	194412.6	459.0376
269207.3	171685.8	285.5162
209450.3	195235.4	198.2175
741585.7	528259.7	372.8927
320314.5	163945.3	125.1402
240182.9	178941.4	249.0359
104499.9	155498.4	192.6171
175492.2	193433	177.1383
220135.2	98754.66	238.9111
296639.5	161267.2	598.2565
369662	212756.7	347.8594
315042.2	218047.2	403.7467
289786.1	160400.3	382.46
270615.6	240649.8	366.7348
184534.5	136338.2	298.5708
366166.7	291199	269.9077
112158.8	197899.2	227.5547
102072	186079.9	244.8226
381717.5	138428	310.9513
836607.8	564001.4	672.7209
222601.8	150920.7	105.3055
358736.3	243276.5	294.7076
245477.4	145116.2	253.1325
145681.5	376660.5	277.7119
202465.8	97790.55	180.5996
518182.8	362901	375.8095
200591.4	82473.52	241.4131
324099.9	151358.1	180.094
396079.2	152433.6	404.9005
293789.9	118507.4	205.8921
298663.4	201818.5	383.9897
284693.7	207861.9	247.4543
348157.7	118634	230.1216
77066.43	120811	70.83457
372010.3	187806.9	299.8931
113766.7	69215.13	215.0706
335950.8	169403.3	343.4906
318398.5	128075	342.4665
230826.9	140676.9	196.5582
527096.1	300039	673.5247
462568.5	333073.8	388.6567
526130.6	231862.2	1202.412
104164.5	97660.77	87.06533
198383.6	138722.5	319.3
81026.02	83621.39	97.70866
324487.6	240770.4	373.4501
175284.1	190441.7	308.7215
224474.1	143318.9	194.2117
356658.3	171998.4	287.1756
881880.5	633743.9	1417.028
230671.4	167469.4	348.8965
344330.4	213904.4	362.5994
334418	127521.6	340.833
292445.4	178418.5	233.3107
346796	234566.6	195.7933
331967.3	193196.1	491.4991
609548.1	422964.3	655.9327
380132.1	353035.4	584.4111
478917.6	264611.4	231.3921
275918.5	113341.2	264.6444
235676.3	125976.1	480.1557
296401.8	195778.3	333.9103
331541.9	248648	473.6867
150679.5	132814.9	125.0624
191245.4	251255.6	234.27
280587.9	179658.3	233.5829
451775.6	165574.2	204.868
505712.8	399927	528.2257
331545.4	189548.2	286.6181
217347.6	98518.02	306.4399
523369	352104.3	435.2229
612238.4	455388.3	833.4081
444447.3	256836.3	464.0935
374662.1	304502.5	171.136
188876.2	159248	260.3274
308291.3	272367.6	486.6247
475660.3	332805.3	3583.044
481616.9	231383.4	749.48
304229.4	167868.4	294.4613
256579.6	232778.2	372.5426
480867.3	288698.8	577.4106
296338.7	219801.6	608.4072
219082.6	114559.8	249.0618
307554.3	203936	487.5192
374710.3	310956.8	199.8769
334834.8	162951.7	158.8463
234765.3	164094.5	285.0106
656803.2	364653.2	586.1872
393301.5	213985.3	665.902
229568.4	127263.8	403.5004
546646.2	418297.3	903.6334
459858.9	243778.1	350.8022
457861.6	266218.9	530.2481
145011.3	106044.3	223.7175
624647.7	412362.4	811.0454
402339.7	201017.5	414.3511
332425.3	302543	416.192
294175.1	149852.2	78.30176
475194.9	277276.1	411.0194
669013	376014.5	381.2414
294727.4	249889.7	323.2799
439037.5	246702.2	314.7757
890943.4	701688.8	1845.031
125895.4	105621.3	113.4468
1445442	1098415	2980.743
589903.9	637119.9	639.5853
718217.2	566719.1	1502.823
340957.9	156324.5	153.9718
1155715	807525.6	1293.859
693205.8	326409	1113.194
255226.2	211640.8	366.0218
693509.4	424278.8	1056.464
95688.04	74965.67	235.9553
608316.1	456991.3	666.3168
511962.4	349937.8	686.8127
253450	150314.1	375.0447
445656.2	262268.3	463.6786
370533.1	238189.1	313.6348
273706.9	168762.1	270.4522
285016.6	193425.8	408.7378
376558.1	221914	595.8063
364646.4	201348.6	413.6899
338386.5	180035.5	297.3652
567860.1	294741.6	539.1802
355485.6	198775.3	233.8552
317768.1	185389.2	497.1254
326853.5	168718.8	353.7061
292867.6	115190.8	186.6408
340627.7	233261.5	267.1075
82602.41	100132.3	-7.117163
470065.3	191477	484.2523
797586.5	672471.9	1366.236
393666.3	139629.2	402.8003
283010.1	175331.6	343.8018
335669.5	156191.3	268.4039
170912.7	177571.2	342.259
93483.79	58454.23	30.05024
439609.5	248830.2	310.8994
446470.5	273487.8	450.0277
263778.4	129723.6	228.0344
93199.14	74442.95	96.10114
652971.8	460808.3	694.0595
372787.4	253767.1	449.6647
314601.6	189236.9	325.2505
501686.3	216856.3	372.037
348787.3	222160.8	410.812
220450.8	155827	264.6833
227513.9	142400.2	210.1702
415406	345168.5	400.5187
640262.6	362910.2	833.2526
277294.5	136598.1	199.6436
553253.2	317178.2	258.7847
482827	215390.2	384.7287
189905.6	112184.2	267.0686
137057.4	101951.4	133.6704
390888	261627	246.6116
135447.3	168706.9	307.7233
272797.9	284792.5	519.8122
425328.3	236420	493.9622
264758.3	186222.4	420.4052
631847.4	356296.6	1192.313
134835	123251.1	325.5486
337294.2	206118.1	139.8931
236059.2	131265.4	384.5472
352804.4	228532	428.7669
369799.3	236350.6	357.2582
258974.9	120941.7	278.5935
325936.6	197968	395.7739
252617.3	152552.4	322.9299
234273.5	137559.5	293.1908
439726.5	536900.1	1190.615
415689.1	188851.9	337.3457
734743.8	453583.8	469.4865
500499.3	304459.1	430.906
493301.6	366222.3	714.7887
325153.6	198677.9	265.15
465443	322959.5	724.1486
354774.2	211790.3	552.2737
203288.1	165622.3	237.6147
307981.1	207158.1	390.1735
368733.3	213835.1	540.3599
266493.3	165310.1	325.5616
378007.7	234607.6	401.2057
376127.7	236988.9	281.3418
197226.6	131553	122.9752
322479.5	124874.4	137.7281
398451.5	218796.9	118.049
398588.4	154219.8	263.2572
353938	349458.3	406.2617
188993.1	140469.9	268.741
238330.8	101812.3	239.287
267983	181208.7	181.546
283072.2	126396.1	239.4945
518229.8	213316	229.5123
550096.3	329143	432.5005
431313	303647.1	345.2148
451223.1	220841.1	704.0157
467206.9	330384.3	443.5328
340304.6	202665.5	338.3569
348162.1	270170.8	532.5297
173856.7	197904.1	216.3021
347989.9	218590.4	172.212
171053.4	197872.3	340.9108
373387.6	289668.1	441.9901
344146.4	237800	520.3696
333268.9	200352.9	229.4734
401857.8	306597.8	584.2944
404024.8	387073	295.9391
422236.1	319291.2	504.2426
169991.9	123490	238.3666
398060.3	183846.8	773.8651
291185.4	266410.4	334.7271
204324	275490.8	591.9691
241671.4	79178.91	101.52
273316.4	185649.6	226.6602
340182.3	260718	443.1698
241102.2	125058	113.7709
517136.1	426155.6	602.5475
243822.9	140819.2	164.3559
371323.9	336187	644.9783
510703.3	282749.7	371.5315
417594.9	208906	572.7566
450402.5	347717.2	192.5653
386470	279112	268.4169
1032770	675711.1	681.7827
412995.6	491035	524.6736
349054.3	185119.1	187.3927
447885.4	218270.1	275.4951
790937.9	434404.7	436.3897
381859.7	216514.2	341.5849
527357.7	324682.7	359.7343
295504.4	125509.1	292.9575
99564.02	105073.3	108.352
458670.5	285695.1	453.152
315628	201419	373.1001
961985.7	712037	1817.677
330355.5	212021.1	342.7906
488052.5	319965.4	474.672
276434.5	128492.6	176.9827
934710.6	865827.1	1382.557
332216.1	164770.3	292.0241
653119.8	437102.4	930.6501
214678.2	108829.8	117.4137
441164.6	230415.9	499.8219
140959	122348.9	178.681
738036.9	436051.9	512.5005
397818.3	322886.8	253.5992
487242.6	288239	599.0344
504554.6	267392	349.9985
519999.3	292798.6	376.4318
691975.4	494021.7	642.4633
704579	415077.9	1258.649
1058367	588183.1	1381.274
557071.6	306431.8	728.4138
105736.7	69176.99	138.5837
262225.3	186513.8	309.5123
368660	301990.4	604.7903
248664.9	213702.4	331.7713
135841.6	119559.5	156.1239
120239.2	84703.64	31.38552
565611.4	370228.7	696.3152
492657.2	277581.9	307.3344
246389.2	203454	458.2597
432090.8	354638.1	356.6489
307831.8	162588.4	352.2023
548577.3	273792	443.1568
297241.7	155380.8	180.3403
650525.1	469459.9	1168.667
535586.9	314979.5	665.4223
372989.8	198918	391.3921
406194.3	202308.8	404.8745
243400.5	157391.3	331.0064
544882.7	280792.8	197.5693
292687.3	122114.3	272.9153
290441.6	143412	216.3799
107142	113742.6	131.2073
300965.4	214073	411.5768
339827.6	170023	344.1907
514324.2	433738.9	566.2617
574928.9	341533.7	336.6068
463951.8	347111.2	569.6064
676778.6	469293.6	990.2579
284043.3	196368.2	435.3396
554593.9	292796.3	388.7475
289543.7	179972.3	356.2082
