FSC-A	BSC-A	Violet
283271.6	160148.2	14661.82
353131	238090.4	7483.846
223171.1	227382.5	14387.51
77142.36	81717.48	10617.73
120597.9	146846.3	5302.273
132833.9	115628.5	4463.524
88435.48	64444.78	3474.044
450066.9	669124.7	42489.98
267898.1	198216.5	8680.009
134797.8	164612.1	10992.32
272637.8	166315.3	6295.306
233678.3	170309.1	7117.033
2352613	1373042	210792.1
129082.9	147503.8	9633.449
341828.6	320125	16235.6
233933	248761.5	22300
261781.9	226151.6	7047.547
188212	356908.2	19002.59
448219.3	536714.1	18906.83
170375.3	166089.8	9023.124
214513.7	378259.1	18252.13
406050.9	362645.2	22377.29
304316.5	606754.6	13373.97
332599.1	192667.6	20493.89
177296.1	155665.2	9962.058
242191.8	146785.8	7229.845
283154.8	188439.5	12647.15
293057.4	268844.5	13918.55
373622.2	331473.5	29063.53
92688.8	55325	4915.924
76789.04	49039.98	2070.381
80087.41	97906.78	6180.264
87614.13	77481.59	5943.557
94315.11	80314.86	3833.078
187866.1	140770.3	7067.796
218265.7	143998.5	13360.44
218446.8	117168.5	6478.446
353249	203120.4	11446.78
252037.9	205073.1	8136.006
113087.8	111066.4	3006.476
179152.9	133213.3	6927.359
318008.5	218211.7	19692.04
386983.9	258945.4	15879.73
142189.1	106565.8	5031.86
747471.1	592492.9	36748.83
213422.8	288755.1	9860.615
403161.6	212795.4	20035.99
99819.67	106091.8	3733.918
262581	171147	13464.35
218847.4	160308.2	16594.33
186633.2	147111.6	19371.76
163487.5	166028.7	15073.5
252116.2	146489	8204.352
389531.3	319482.7	96970.95
519178	549379.1	23075.72
296798	201937.2	25038.14
242102.1	119536.3	9985.237
81477.99	84948.95	4452.634
322572.2	205283.7	27479.16
171250.9	161474.9	8038.608
238148.9	219310	16391.93
171060.4	142637	6444.144
226583.2	191847.5	19536.13
320762.8	95826.48	7594.272
341424.8	199804.3	9692.396
150179.4	158098.2	7866.526
195126.5	132761.1	6525.401
517958.5	312225	11875.14
220256.5	135559.5	14158.01
210290.3	154060.3	9704.971
123963.3	77100.96	5361.868
219051.3	129085.8	7298.165
260773.6	117034.8	7024.782
122933.9	193495	3733.853
314093.7	193153.1	15550.12
347104.3	184309.2	17237.25
375432.4	248090.9	13549.32
92384.11	138887.1	3083.326
147183.2	116309.1	8115.471
538209.1	412970	31360.45
679796.6	579097.1	52573.77
310885.2	207080.4	23668.71
230223.1	193220	8098.58
194014.5	109696.5	11027.7
306911.5	297816.8	20314.68
81889.93	98233.73	3692.913
213384.6	194318	6589.78
94873	87398.88	7375.079
228400.4	187634.3	37319.9
280354.3	182421.7	11186.43
133019.4	187138.8	5145.929
267158.8	152908.3	7511.265
163644.5	143763.9	7515.244
285404.9	160748.8	7324.831
121783.3	109570	5776.816
124133.3	78333.54	5542.636
200079.8	161874.3	5475.808
