FSC-A	BSC-A	Violet
362421.4	199125.8	12433.64
343072.9	199733.4	14179.01
353924.8	357679.4	21020.25
293326.5	149903.7	10683.96
229005.7	213736.8	25735.03
386624.3	279088.6	31495.54
365849.3	195463.5	17859.07
248246.2	91982.7	9334.918
382301.1	250074.6	16679.18
366197.8	198055.6	19782.04
236400	152213.5	11479.05
364346.1	208196.1	19483.77
328826.5	162563.7	23837.93
533668.4	264803.9	27287.85
526571.7	384752.8	35603.99
84122.98	127371	4088.415
199641.3	116052.1	9808.941
447364.1	177616.8	17645.65
709409.6	511486	29084.46
630704.1	354002.9	25527.76
513526	275790.2	22969.87
406002.9	196719.1	19708.63
1039285	765177	74637.16
89929.71	62972.44	6629.086
652744.8	446490.4	26736.6
413048.2	417569.2	20521.59
520344.5	339460.5	27292.93
268540.6	293447.6	13910.5
382926.6	188350.4	11231.16
279077.4	163156.1	18651.23
227721	155490.3	8181.198
305866.4	184869.4	24497.07
729552.6	476022.3	42183.06
452546.5	282997.1	15539.72
297356.9	126840.8	16589.59
314988.5	157682.3	9181.244
400468.5	236500	10773.98
229285.6	173805.5	12648.48
507477.5	378292.6	22495.01
262253.8	144354.2	12306.18
360996.8	146304.5	16519.58
99165.43	153707.2	4300.076
1092527	881388.1	35745.15
285163.4	160532.1	19519.38
825413.6	470644.9	30169.74
400276.5	159391.9	18490.18
412358.7	276207.5	15251.37
564472.3	276527.5	16784.6
203350.1	121911.2	8689.317
292851.3	383660.3	17213.15
224412	210583.1	14170.57
74449.3	95286.49	3959.943
300688.8	165085.2	18365.22
192912.1	122984.6	9169.913
397365.1	288838.4	62380.61
301349.4	169465.6	6868.127
390314.1	179293.3	10036.24
309264.4	216263	12797.58
492934	454243.6	49354.23
107533	111437.7	4982.701
1577771	1116962	93282.27
635086.6	869389.8	56347.39
988201.6	808658.6	60869.87
643640.3	420206.1	26123.01
120476.7	162124	4618.948
604719.3	353476.8	33109.38
128035.1	94388.19	15299.79
601564.1	289998.2	27257.32
378015.5	189175.1	8073.274
347982.4	171305.5	15057.67
570752.8	360855.6	13222.92
184881.9	126623	9314.616
460032.7	243174.8	30276
280967.8	178188.6	15985.46
373481.5	172942.9	19050.54
286536	182702.7	11783.4
189911.1	133669.1	9873.255
276360.7	265563.5	18797.65
300820.4	178208.9	15747.61
456221.3	361022.5	23606.5
414163.3	273031.2	10634.04
773918.4	353476.1	26966.93
417324.8	298318.3	18885.57
169072.6	104162.1	6344.84
335353.5	143442.3	11594.53
126162.3	83812.42	11374.17
93528.4	86712.16	5325.595
221789.9	246799.9	12012.59
523524.5	284920.5	11362.61
142595.7	118116.5	13685.68
368640.5	190675.5	15441.38
245048.2	117476.3	7238.751
222841	158471	10659.93
376300	230424.5	12592.62
108998.6	78356.76	5179.389
587785.7	399977	11937.54
282211.8	179887.6	13244.15
332064.9	145657.3	8637.306
273018.9	222730.1	10912.19
190765.3	122770.5	16728.99
365329.5	156512.7	5549.494
91430.25	80768.59	4468.658
469228.5	233771.6	10542.84
662281.3	384720.8	11173.67
342491.2	138999.7	8593.099
108282.9	157376.2	7157.856
341025.8	139972.9	10336.53
321933.6	176037.8	8943.447
334381.2	319235.4	31700.3
470410.8	295787.7	32277.37
161062.8	99045.25	11557.33
475085.3	216521	22413.23
471404.1	325690.3	8800.729
335286.6	151298.2	13749.46
525586.8	418080.8	13283.71
478926.5	268835.8	21261.78
264489.3	150306.4	6118.077
379287.8	158968.6	7783.519
194699.8	90340.78	9599.276
99610.83	117058.2	8170.814
401498.5	159454.8	66527.71
238325.5	141565.5	8863.564
309320.5	133913.7	7155.121
276097	243641.8	13968.92
346254.3	189361.7	19660.85
356521.9	225297.8	36828
397961.4	165773.3	8715.335
314408.5	223443.6	21709.15
474822.1	248538	11907.14
252995	142066.5	20434.7
483006.9	254621.5	79010.01
593512.9	377789.9	17438.97
837813.4	550776.6	26642.82
468009.6	266651.8	17230.99
346353.2	159578.6	14937.42
442238.7	297443	22843.29
368386.8	169237.8	11153.1
316801.8	267114.3	16114.58
438228	217848.2	11593.12
478586	221377.7	19822.75
709065.1	269587.1	21913.54
318991.2	160733.9	10237.98
293191.9	138007.1	12262.34
354440.6	258549.1	17299.9
429909	215190.7	23694.64
313673.6	191320.8	15896.92
361168.2	227173.4	12305.72
512865.9	347943.3	25110
399788.7	191712.7	22295.43
403930.9	289358.9	29415.31
325234.8	186427.3	12547.88
434596.2	214314.6	26636.17
295726.7	206884.6	12290.9
456766.5	216679.8	24279.22
250926.4	224618.3	15366.55
560040.8	292239.4	16805.05
375471.8	338927.9	18643.31
241077.2	155418.6	10687.28
358075.4	255388.2	9450.218
87563.14	67185.25	5710.674
416631.9	174303	35395.43
91819.53	59119.64	5340.776
469397.4	236652.3	65548.34
698876.4	396011.3	32696.27
426788.8	356938.6	32507.71
352094.8	353407	8120.826
548831.3	269191.3	9950.637
83994.48	92291.2	3991.795
416495.4	231294.2	35069.88
317439.4	267835.3	33561.51
347084.1	160426.3	16342.2
485722.7	273721.3	10869.7
244707	138609.9	8536.02
112667.3	86255.49	3085.258
304345	171028.4	11541.78
373404.9	256542.5	56190.71
257175.2	145649.1	13688.5
367109.6	212162.8	21951.57
550076.4	258993.5	22967.3
347913.9	235325.5	22702.27
339856.4	138741.1	5773.691
155447.5	321736.5	18333.92
142561	200679.5	12580.89
298923.2	224031.5	19921.54
132550.3	148958.6	7379.435
327301	398005.7	13321.63
214425.7	100497.3	10439
875496	525212.1	58794.78
406508.5	236192.3	24711.63
539947.1	338119.6	24910.71
291405.4	241654.7	15639.84
347910.9	201401.3	26717.91
94972.02	69097.16	4539.233
248758.5	205491.4	12771.63
111130.6	95627.19	6653.653
398931.2	190537.6	16704.94
423510	244787.2	22962.54
281909	116650.1	14259.14
293767.3	220747.6	27271.39
265433	148164.7	10583.33
291536.6	157442	20692.37
671796.1	339528	28917.91
398076.8	255696.3	17828.44
160354.1	154385.7	13660
186689.5	164312.5	6402.154
351393.3	216929.8	12846.34
178337.6	140507.1	12099.94
236826.8	271774.8	22335.2
428632.4	238663.8	23176.02
236157.5	130796.7	9923.581
266766.8	285984	14822.86
425945.7	230982.6	8588.679
721352.3	428751.6	37325.3
445584.5	388052.1	16896
285124.3	266688.7	9693.343
221398.6	155548.2	14460
103691.7	100545.1	5342.085
537510	295170.8	31299.52
545999.9	333280.7	29775.49
95755	126533.1	8505.489
303220.7	203749.9	8837.909
287291	286799.4	10309.09
400357.1	240663.8	14657.06
130212.1	124812.3	7896.045
208535.9	228031	13503.8
353724.8	277108.6	22324.13
351953.8	244162.5	21836.65
578456.1	352825.5	36899.34
401474.9	212093.9	21446.4
232197.8	355895.2	24862.83
321476.4	230049.7	7506.753
370259.9	189729.7	24418.84
436697.5	399223.2	26708.3
514506.5	303588.7	16265.72
470958	289211.4	33449.11
460360	294148.8	14942.49
222497.4	277314.4	13057.75
635123.4	348146.8	22249.86
170769.5	82046.29	6736.661
305918.8	216390.8	8737.996
384243.1	202617.9	13572.03
202817.6	166698.1	13973.97
188375.5	295284.9	9666.961
423860.9	175219.2	17880.78
374761.4	195957	21943.06
364028.5	197735	21862.36
220151.1	236126.8	10969.22
426453.6	420269.2	26982.97
347301.9	177523.5	12585.71
326093.3	199785.8	13869.33
101361	122791.4	12237.01
391495	280791.3	18709.96
374576.2	163245.4	10075.62
289018.6	164046.7	13243.42
364070.8	220198.4	18617.75
526503.5	310262.5	20331.83
326322	138681.5	17071.66
141609	155360.3	9081.033
513030.4	257645.4	8993.54
309282.7	226317.4	21799.13
125253	185666.2	8872.276
2371193	1260434	158513.9
184634.7	160761.2	16395.89
489874.8	262679.6	21992.16
344794.7	215196.8	11916.27
553432.4	581734.3	81073.91
676560.1	432644.2	27240.53
295111.2	185942.6	9753.274
104442.9	77265.02	3568.927
279488	177946.2	13540.81
819413.3	408268.5	31466.14
414476	286313.5	19431.72
1287116	1091426	50287.89
309633.3	354849.9	27863.1
133366.4	155495.2	19455.78
498044	218174.6	10423.78
881986.3	916475.1	55116.68
658414.6	464082	24074.07
114540.9	78140.51	9341.866
233985.2	141653	20093.71
387605.3	472698.4	26498.88
102222	103237.5	5621.431
343659	188801	11212.6
374711.9	171876.5	10358.51
359023.6	201671.2	22726.44
603916.6	308783.3	37892.94
612570.9	454515.3	49253.05
691574.3	345848	23564.13
125505.2	253942.5	6806.834
448608.7	260111.1	10268.34
415005.6	282167.3	17715.4
657748.9	341113.6	28694.03
113319.3	104216	2714.439
493030.1	224671.8	26235.6
312551.7	172969.5	24442.97
357619.3	297382.4	21185.02
190240.3	216769.6	8772.221
412695.1	192085.8	18314.83
480057.6	243314.8	20684.3
178311.6	124823	17144.34
222861.7	156536.8	8000.028
123829.6	86787.38	7568.318
104415	128949.2	8702.852
322876.6	165033.1	49246.73
565451.8	342343.2	20418.74
212881.3	142812.4	12929.46
1744280	936516.3	60662.17
368332.8	200940.5	17615.63
476981.1	328233.7	21504.51
208475.8	115488.8	5935.377
295377.6	176326.2	7122.245
254854.6	107128.4	11348.19
443036.1	308320.3	112011.5
273254.8	169783.9	10346.99
681758.3	594096.1	143171.4
430433.8	273002.8	23668.31
546432.9	237063.4	19206.92
126931.8	134214.8	900.1202
104459.2	78246.22	4727.028
311870.1	160720	11080.7
240637.6	177955	16148.96
345585.4	215867.1	16896.52
475758.7	304552.4	31722.13
302292.3	237219.7	26436.94
417923.9	228571.5	40051.06
493538.8	325551.9	37998.74
181971.8	121629.9	7948.004
466500.8	290987.7	13691.09
450123.7	211451.9	36143.87
460928.7	264055.8	16983.97
462016	331771.8	15004.03
287038	160657.5	16642.79
584740.4	416314.3	38904.05
107109.7	77948.83	5092.583
398687.5	294915.4	19024.94
145309.9	158429.9	8810.063
85356.84	92456.03	4435.652
251902.4	192429.4	9725.882
446927.1	212795.7	9054.717
532089.3	286037.1	17210.52
317765.9	146851.9	9970.445
497700.8	347256.3	30911.39
277806.8	209807.2	21555.93
406163.4	263285	32769.13
346613.8	157728.9	18837.73
412335.9	306904.8	18863.36
204452	130089.9	14346.72
212193.5	116085.6	6387.933
204456.9	137405.4	20813.63
448141.6	272358.5	27830.51
413369	240636.2	6092.797
251571.7	808028.4	694.3836
401956.6	272100.2	20152.89
326452.1	239905.9	17238.94
285887.9	201454.8	14083.31
398403.9	385843.2	27917.39
599903.8	568361.9	28400.35
537527.7	293154	22514.17
902324.9	534281.8	57521.52
320496.6	136794.6	10946.77
438100.3	294657.2	17469.59
686761	556915.9	26616.38
439713.9	210388.7	18919.93
381648.7	292625	13669.84
366774.1	216162.5	8648.74
238368.7	234623.3	18515.77
399235.8	176765	15725.68
331760.7	245853.2	11034.64
411236.4	245872.8	11793.37
70039.83	89335.05	7079.192
570179.4	500295.8	70158.22
160635.9	128623.2	9195.219
323116.7	178185.9	13337.87
406038.4	253710.4	6662.041
344205.6	157135.2	13884.44
350579	193316.3	13997.5
163338.8	95713.9	10114.89
451973.6	281241.4	15682.45
531133.9	327795.5	31288.38
372851.7	291226.6	18262.16
358313.7	163859.3	10887.57
143220.2	95345.77	10703.37
326922.8	166756.5	12416.79
413832.4	179577.8	15589.53
448586.1	356791.5	22791.98
350377.2	327164.7	21000.47
424997.1	210529.9	17058.3
277797.9	193441.3	15488.64
460944.7	253312.6	17614.91
473738.4	256966	14576.27
291797.7	192976.5	13315.6
162025	153274.9	19890.99
426888.8	267481.8	17348.82
422815	161849.5	10305.06
760370.2	555115.1	23284.43
430044.6	231626.9	9796.521
432595	358115.7	20452.52
487236	278057.1	23328.95
580350.1	293033.8	27138.47
404100.8	231128.1	18777.33
319933.3	154259.5	14919.36
146492.6	144207.9	18044.37
446564	374980.4	15429.57
122124	145244.7	9207.431
498081.1	306344.9	9784.608
306869.3	270090.9	17557.22
323594.5	247221.4	15009.15
363596.7	178906	21082.77
365891	173966.5	13300.54
385113.3	209693.7	23697
147832.4	145275.2	10646.8
299957.2	136549.3	20216.85
359098.3	153216.2	11876.42
70488.03	70239.55	14689.05
257329.5	192333.1	15671.37
268189.2	203333.7	15951.07
397084.4	221947.3	19100.73
684470.9	422826	33818.1
714567.8	316860.6	23544.05
400256.3	186270.1	24242.43
155475.1	173603.3	13267.22
470827.9	219561.8	31030.17
267303.1	336684.3	32541.42
360920.5	217366.9	17739.34
478510.4	240167	27412.06
456054.8	231388.7	15504.86
413316.8	303201.1	21639.64
602295.9	357725.3	52130.61
530821.9	996000.6	27989.35
445167.9	354637.6	28866.07
352099.5	185254.7	10293.97
88167.71	85056.79	3100.944
379125.4	352321.1	41924.99
292017.1	159171.8	12887.89
408140.9	201316.8	11022.89
405204.8	178559.6	11488.03
576906	342434.1	17569.15
385023.1	232314.5	29729.44
405748.4	173555.8	17457.16
748717	406758.7	35400.54
617601.5	417972.8	15278.21
89735.27	84612.42	1688.842
343236.9	192687.8	16135.79
504164.6	279167.7	20937.4
177452.1	146375.9	6904.452
832925.2	483776.5	36484.25
499549.8	274978.3	13970.46
343536.2	194063.3	21800.54
169316.5	86211.71	7967.942
200430.4	209247	10967.99
367184.3	250421.1	10349.55
353987	194521.8	10841.8
324743.6	155954.5	13629.96
443084.8	193117.7	38991.38
485331.3	220989.9	17953.49
188041.9	127589.9	36207.2
707282.5	588009.3	24425.84
126674.5	107185.1	7191.731
488850.3	284346.9	16487.46
371060.4	190379.3	9406.206
203637.8	191090.4	13612
269353.6	217132.2	13528.27
423148.3	234130.1	22289.85
360057.5	217089.3	10351.23
305061.3	146126.4	11751.56
453887	241147.5	13454.56
343467.8	134623.2	10117.81
448727.9	232676.3	25337.96
139900.4	157765.7	8954.727
216621.3	207307.8	12605.62
270725.8	130356.9	8486.264
377792.2	169799.2	23642.49
254836.8	144891	19022.65
458641.7	280696.6	19537.53
269617.3	276088.5	9798.648
199227.2	100797.8	14283.11
108793.9	145088.8	10772.23
436222.6	347165.6	41904.2
330164.8	164081.4	17565.63
392871.3	206969.9	31109.81
316470.1	139328.1	9655.747
980841.3	599876.2	26164.29
125307.3	144363.4	6197.247
430827.3	227616.8	16744.91
417116.7	296608.8	70167.17
440133.3	248637.1	10468.23
489743.7	357731.2	20038.26
400792.5	218387.7	20734.33
369886.8	267758.5	21323.1
334634	151368	13266.63
369760.5	219063.2	17326.09
387703.3	360681.8	7284.837
310768.3	126996.8	8047.709
337961.3	165235.3	7768.52
383496	229531.3	13832.39
432804.8	270162	16901.04
495289.2	357989.1	36681.79
317894.1	240080.7	16399.5
508250.2	335854.7	19510.83
366211.4	280547.1	11960.88
660577.8	347189.3	19841.98
399037.4	231765.4	10898.59
502577.1	440244.7	62017.8
472301.7	254588.1	28440.13
401624.9	224254.6	71945.79
594125.8	456793.1	24593.09
272995.6	154673.6	16149.4
498303	308923.3	12120.9
265147	178688.2	13966.95
175691.8	145925.6	13971.17
226257.5	204546.4	16326.75
98980.82	80513.09	4684.882
146985.8	96523.63	16682.44
824403.5	614536.7	14140.29
373382.7	254071	18894.68
709188.1	453628.1	32703.6
132522.5	172788	6406.043
238329.7	170911.3	17029.87
321117.2	160699.8	11518.76
73797.72	59154.09	4905.903
373807	168100.3	24708.51
376256.8	282874.4	11878.4
312941.9	193698.9	34286.99
387548.5	254551.2	5385.657
432445.8	351295.3	45942.82
912289.6	555881.4	24946.74
470563.1	222773.8	15030.33
111663.3	111906.2	8726.199
410565.4	282447.4	15460.97
279855.4	183874.6	8986.838
343957.2	171335.8	9439.173
334267.4	200115.4	10776.07
447042	216740.7	14688.83
391521	196238.6	14121.25
448534.8	252887.9	21218.25
361733	213212	19189.17
580424.7	347903.6	18262.21
433588.8	280082.9	30098.57
340259.4	217403.3	20353.38
634856.9	584439.9	25454.06
313384.8	205877.4	12447.37
116452	108440.1	8965.331
146482.1	140509.5	18487.71
367552.6	212314.8	19955.77
472940.5	428494.1	21199.45
425284	277418.1	18478.04
253572.3	292545.8	20332.76
276900.4	193584.4	15265
238687.1	262539.4	16682.47
565002.2	321356.2	21234.15
344573.7	293333.1	16864.95
472639.8	234676.7	14178.14
315279.1	164706.3	21028.86
171389.8	184361	12159.16
281629.7	204947.1	24717
410007.9	248099.4	12797.59
241880.5	155489.7	11953
128666	122766.8	6625.262
303257.5	136576.1	3920.014
604052.6	287299	17459.37
