FSC-A	BSC-A	Violet
462372.8	302996.8	564.0967
375576	222035.7	401.9836
477629.1	266141.7	316.3832
106170.2	79766.05	150.679
354984.3	218184.6	357.2712
390270	201844.6	175.2974
311644.7	199232.4	208.2256
284150	179675.3	436.7267
355914.7	195533.4	277.0249
195442.1	193155.4	249.2303
389520.8	250344.5	466.9455
461567.3	259258	353.1617
474645.3	256368.7	391.6643
836173.6	519162.8	1351.34
341249.1	182492.9	376.6522
440087.3	241403.9	301.5914
367912.9	248812.8	533.4113
251574	195336.9	373.476
482561.3	319180.3	736.7884
295305.2	170311.7	293.6186
531697	268763.5	1138.629
453702.1	233387.6	353.8617
602141.4	316284.1	627.5938
519138	260778.2	460.4636
455574	389784.5	582.7388
472884.9	352388.2	459.3357
150671.6	128627.3	136.8984
379907.8	307120.1	516.8305
412532.5	199135.1	512.6172
324882.8	197575.2	264.8518
450115.5	241301.4	233.7385
386325.6	235283.8	121.5492
530204.6	240540.9	385.0787
304634.5	175688.2	264.5018
589868	286851.1	484.2912
370073.5	220923.8	275.197
155613.4	145777.8	167.7265
526513.6	439231.5	1026.92
762637.5	392825.4	822.8167
366955.5	182195.6	438.9565
526524	189678	420.846
272924.3	167178.6	348.7928
309913.6	176042.9	258.9273
425075.8	197149.8	491.7972
524721.6	273360.4	532.2704
235159.3	156826	237.2128
544864.2	329848.3	641.8021
586715.9	322445.4	849.0295
318790.5	169955.8	217.3003
583634.2	289750.3	484.4078
444150	282106.4	217.9615
523749.1	284357.3	664.2037
394733.2	200638.4	375.7836
401006.6	325718.6	488.1155
430949.3	235588	333.7807
102178.3	256242.9	419.9126
539946.9	287601.4	257.9291
305946.9	193510.9	224.1971
548895.3	310250.6	523.2735
528329.6	393141.3	689.224
361144.4	175004.3	319.1833
413265.5	263291.4	421.2997
548231.3	195222.2	651.0713
749743.5	426586.4	626.8289
641852.9	445073.8	593.2784
507811.3	270067.9	627.6068
470021	277472.6	363.5198
569438.9	376307.4	645.4061
146353.2	199625.8	238.2759
509758.3	284753.2	475.735
447664.8	336732	354.7433
343955.3	328767.8	388.4882
764814.8	336955.4	601.6531
419584.9	247839.9	453.5927
351711.5	162012.6	395.5924
394847.8	265940.6	346.3038
562980.2	381256.1	440.24
577490.9	201127.9	581.0016
494971	259239	214.6427
415058.8	183154.7	194.5747
572530.3	386865.5	404.8616
459697.6	364595.6	514.1599
362266.2	205399	233.6737
402237.2	175797.3	329.2044
418729.3	242561.2	818.746
594055.3	467952.8	516.1564
