FSC-A	BSC-A	Violet
742997.4	487198.4	11121.97
375923.4	159619.5	26153.82
108864.3	48726.82	3980.802
78981.05	53755.95	2186.162
268687.7	163325.1	24214.46
248803.9	111082.8	4643.437
371018.4	248926	5835.49
297367.7	121341.1	7687.028
511368.2	277204.6	14195.8
92719.41	48095.97	1674.672
268407.3	155252	4646.548
532614.5	150951	8876.645
397814.2	216750.9	6416.194
606077.2	262312.2	14239.69
86951.12	37255.45	1240.746
219302.7	101922.6	3819.09
153555.5	72398.73	2975.661
474531.6	348960.7	11306.62
158610.9	134095.3	5518.044
188058.7	77485.02	2066.726
243650.5	97776.34	4737.892
239751	126713.8	3377.632
207603.1	97185.56	1952.799
534597.2	226734.7	12323.17
314589.8	114207.3	3143.349
346440.2	133322.3	4557.123
237816.1	108031.9	2729.27
228808.6	118495.8	2798.38
276467.3	121205.9	6072.262
411686.7	226011.6	20867.05
386233.4	198337.6	70786.52
291719.2	150480.1	45034.68
124270.3	63294.85	2146.466
127634.1	55737.09	4899.434
141892.1	67293.7	1555.068
498536.4	268882.2	14464.51
664036.1	383384.2	10133.6
124023.6	100543	2296.549
326151.8	244413.5	11465.66
294976.3	118260.1	6959.276
260714.8	100239.2	5034.881
292639.3	197652	5559.827
167889.9	152341.7	17053.88
588578.1	322652	18201.81
66963.36	32488.21	880.6096
157400.9	121036.6	6373.102
819878.1	400808.4	13228.39
295932.1	138942.2	3616.997
366867.5	207460.9	60130.15
281695.8	141292.8	1435.632
416500	252138.4	4147.258
114316.8	95866.93	4279.035
92173.65	132019.7	2615.81
921008.1	575525.3	17441.7
308362.3	278357.5	36181.04
197746.1	88766.32	3491.792
393297.8	175452.1	3025.417
290134.1	131700	5282.685
503651.4	383008.8	17577.2
372836.8	211605.6	8286.672
134702.2	113741.5	4704.328
230311.7	111024.2	4855.344
469762.1	211922.3	5155.976
257578	121597.1	10503.65
286801.1	177947.6	7677.668
473531.9	287090	10259.15
72628.25	41904.44	1603.358
218758.6	110842.5	7108.114
365181.9	175310.1	9664.498
217875.4	90816.34	25247.77
349905	124818.6	8427.408
347165.8	226587.5	7890.665
84210.52	96068.01	6992.01
443700.4	259134.8	7303.726
256970.8	94905.4	4044.324
382767.1	177338.3	4890.463
98766.2	48173.39	2095.998
222248.5	125310.5	2940.049
274831.7	137772.4	5195.464
589306.9	360815.4	7997.267
94626.02	72673.45	2661.223
234117.7	107381.7	2604.246
388313.8	269916.5	23646.29
223241.2	141805.3	2873.039
367505.5	215011.3	8325.771
479895.9	343575	8112.27
345616.9	220364.5	8624.641
276774.7	134361.9	5558.167
234494.7	133128.2	2204.791
84724.8	49079.88	3146.499
372700.4	178492.9	9991.861
266159.2	165206.2	5558.465
452618.1	275213	7977.536
296423.1	121457.7	3173.84
750011.9	399447.1	8530.146
348376.8	197576.2	9808.591
475654.3	220688.2	8696.745
258854.9	267506.7	9335.189
328634.7	232577.9	14451.35
585336.4	433351.5	17406.05
404967.9	239347.1	7120.196
649938.5	320492.6	22283.05
334592.6	196028.3	7206.938
355208.3	305802.1	8044.896
499185.1	297971.3	16874.83
394124.6	153328.3	16222.62
1018286	581701.3	27139.36
435458.4	354031.6	16902.29
82155.03	36762.8	2623.498
298509	123586.8	2888.207
