FSC-A	BSC-A	Violet
179554.3	310018.9	60947.69
100458.6	108717	6531.689
400597.1	183838.8	6619.143
208266.3	137810.1	2609.276
249234.1	121817.4	4239.275
117025.7	76616.92	1332.063
103035.5	63863.43	2247.105
396356.7	166927.2	6214.968
321340.4	187110.2	9337.887
138369.1	60207.58	2420.769
135633.4	79977.73	2077.226
125458.2	52870.14	1490.793
172656.4	199497.7	11747.38
321357.2	203397.1	6285.168
590897.9	469233.3	6135.5
480602.2	355019.6	15261.19
201534.4	147187.3	2348.288
414512.7	367109.8	6796.359
265546.3	122735.2	3462.701
528564.3	395008.2	10970.54
105548.6	71427.9	1186.686
310826.7	215888.9	6007.585
305474.9	236607.5	3470.505
169686.4	116557.8	5363.372
330300.3	214511	4590.285
491252	270270.6	5591.186
461470.2	343511.7	16472.06
224164.6	358695.9	4597.713
99749.99	51330.35	1326.644
378972.9	279435	8377.679
88052.59	54767.11	1591.418
139421.2	76547.85	2840.694
382670.2	316232.8	14546.21
145096.8	106724.7	5655.332
324823.3	152954	4918.53
276023.5	130390.3	4974.3
366236.4	240017	8907.732
430806.8	238875.7	2816.646
599945.3	247254.9	7376.673
254653.5	138791.5	3423.796
279631.2	138011.5	11932.46
564920.8	555197.4	30682.62
286495	159352.6	5244.96
323654.9	233121.4	8225.846
249524.7	175126.4	3110.213
454809.8	229743.3	9174.736
226817.5	123337	3422.759
504801.8	445180	20441.23
98787.69	79851.73	576.2957
384792.7	204744	5807.333
914753.4	966737.3	33535.3
297825.7	184928.1	4647.585
137427.1	94941.01	2420.937
446443.5	319341.3	12414.04
106597.2	110914.9	1579.531
597801.9	647394.1	16909.81
240535.3	126788.4	3384.671
131543.4	166679.7	3905.326
292641.2	182858.6	3950.92
181372.9	116009.6	2755.159
110768.8	127376.4	2120.137
124563.1	72152.19	2234.646
144870.6	72701.16	2994.29
95575.66	51166.94	1379.498
96752.06	75955.02	1278.989
187372.2	94647.66	3776.245
186774.2	124490.1	3200.066
268968	225257.3	7982.54
220526.9	136458.8	3124.629
675795.1	822241.9	30670.99
188755.4	167837.9	5407.436
828528.9	555663.7	17452.36
298674.7	216954.2	4191.14
182165.3	125886.2	3664.055
91171.93	70180.19	1780.587
68479.09	38271.66	1922.554
105111.4	62064.55	4161.181
78626.16	64252.63	1029.046
100366.4	60799.96	1059.965
169899.1	123910.6	2124.726
279682.1	167525	3545.851
86532.32	63488.97	378.6097
99447.92	80674.17	920.3827
212319	125834.2	5134.171
273543.1	115786.8	1585.714
253784.4	120409.7	4731.617
229808.4	200928.7	3632.476
159493.3	68831.16	1891.506
107875	54980.03	2864.392
89283.48	72671.23	2227.413
215379.2	160410.1	3578.26
272817.7	139781.7	4737.114
80647.87	40777.35	700.7618
105483.6	91519.16	3212.096
589435.9	318235.7	22361.54
249638.7	93529.1	3683.773
114046.9	82856.88	1834.413
128604.8	94039.76	1909.863
340170	171725.7	5739.441
