FSC-A	BSC-A	Violet
353425.3	171900	9405.312
297954.3	153410.6	10140.73
296388.7	147628.4	2233.739
105429.4	110409.7	2695.603
336170.5	172108.1	6691.404
303403.2	135154.7	7044.267
69767.09	42031.09	1777.709
216026.9	181921.7	5066.137
86604.34	54696.63	3439.21
101769.6	147274.6	2591.179
219902.7	139905.7	7068.704
320769	160173.9	6511.893
211267.4	79908.48	4030.35
300522.1	170830.2	6136.848
138761.8	62756.03	3433.791
288555.8	175261.9	9656.681
285896.7	148881.1	1738.649
220515	115161.1	7151.284
507067	234809.8	14270.02
435844.3	196915.3	7713.695
90228.45	32453.03	2174.053
426920.4	195041.2	9799.686
335542.9	104754.1	2031.568
170082.7	63376.5	3448.453
397639.3	170219.1	7291.047
466526.2	212353.8	6260.044
478960	206814.2	8090.931
157605.9	70791.83	3281.842
238665.6	106505.2	2447.436
377943.3	210004	9249.551
250595.3	79473.72	2279.696
322435.2	146824.6	8763.12
556225.9	202731.7	14030.48
309024.8	170415.1	7005.22
340897	171216.1	2758.918
219934.9	122236.4	6060.102
570630.1	479679.7	29514.94
252970.7	153272.9	7241.071
88881.14	80224.4	35527.31
366603	231317.5	14444.83
345353.4	153998.4	5221.781
339936.5	194679.5	4732.771
292903.5	185739.7	3825.456
257813.3	105450	4446.438
355653.8	181934.8	10917.24
267604.5	94818.46	3679.988
231122.6	89209.05	3696.932
226198.8	107293.7	3175.888
217526	181178.6	4577.269
273770.3	138261.2	3108.476
342341.2	181900	9333.349
355869.8	196632.7	8521.435
399401.1	127334.9	7556.716
142915.8	91918.65	3351.095
235691.8	83510.13	1765.134
402141	213331.2	6653.316
268145.5	111303.5	5943.907
115234.8	83387.8	3856.595
83148.85	28371.82	733.1196
202112	95299.23	3591.717
251891.6	106863.9	3751.652
383141.6	157689	4226.298
262883.4	118673.5	4141.515
375126.7	170284.2	3594.465
356193.6	145435.6	5967.734
453648.1	290216.7	23644.25
311636.2	180086.4	6568.623
341079.1	196532.8	5164.156
150749.3	80423.29	3765.212
340308.4	257975	11500.39
346206.6	131911	3349.098
110758	82884.72	3315.107
224089.3	195415.6	37662.24
288288.7	155320.4	3443.372
290809.9	144634.2	7802.044
285964.3	120437.7	7042.18
327651	150398.5	7418.638
203024.5	106084.3	5733.944
285990.2	170611.2	5970.82
573663.6	355394.9	13585.5
282666.9	275123.8	5545.657
78063	105675.9	1704.061
119035.3	42570.67	1144.683
441120.2	212096.1	15080.28
372745.5	152249.4	6148.736
211273.8	89552.34	3546.11
354821.5	222641.7	11845.47
305970.9	154438.6	6634.453
277248.5	182384	3429.228
85395.78	44024.98	2363.131
253960.7	124783.5	4006.937
426594.9	301198.8	9217.128
217525.2	67399.23	2099.706
153259.7	94768.86	5970.95
206119.7	124168.6	6058.689
425430.6	201814.5	12626.37
245642.6	83775.06	3711.335
250697.4	105257.5	4233.312
296824	183983.4	19985.72
88932.67	42840.51	2387.555
360707.2	170721.9	6446.451
146281.2	108882.1	9972.545
210461.3	77435.03	3640.396
301741.6	127596.3	3756.099
193257.6	110488.4	5927.949
77216.77	63629.48	814.7142
308636.7	159803	4747.264
464087.1	240267.2	18159.29
224985.8	89366.29	4231.432
229020	151377.7	9385.204
549761.8	391256.6	26610.01
243784.3	106337.4	6802.18
218006.7	96214.4	17080.13
188162.5	71876.45	5138.177
268232.1	178873.2	10187.56
601880.9	670164.1	9620.965
325367.6	139246.5	7649.654
175028.3	74909.33	4046.904
230817.9	117611.3	5855.688
654539.3	540363.2	17824.29
287723.4	136348	4086.807
217349	147285.8	8653.057
260010.4	197731.3	4187.563
423806.9	240326.6	4065.611
295717.7	160070.9	8416.752
406620.1	169422.8	6761.11
128362.5	127679.5	2848.369
109489.8	76804.86	904.9427
222233.3	123092.8	8378.508
357148.2	173218	5302.468
328762.8	151362.7	8181.833
396538.4	156337.8	7372.318
84567.14	29236.77	1369.749
1302353	947445.3	42905.56
107948.2	45757.06	1863.828
531184.5	282744.6	11775.92
262012.6	146267.5	6713.131
621618.4	252431.6	15781.86
226950.6	114812.3	2281.057
368536	211461.1	15800.59
384271.9	284554.5	8643.697
1077174	1164356	75170.46
70872.67	71042.99	2891.176
471541.4	346775.7	20606.43
608901.2	357019.9	14761.54
372610.4	142118.4	5364.694
334236.1	192816.4	5852.836
422356.8	257431.1	4064.743
266159.3	109804.6	5739.428
144646.3	55731.52	4550.577
227195.5	151686.3	2582.337
100363	33395.1	1409.652
84668.09	78397.71	2913.214
140983	135392.2	3143.128
394223.3	223726.7	17550.76
303127.9	121828.6	5891.17
272198.1	163504.9	27381.41
309969.9	149357.8	6788.775
190202.4	82013.81	4116.287
134767.1	86400.04	5523.385
96773.16	68082.26	2215.551
461029.2	159850.8	16944.18
311043.2	187126.4	6876.515
333893.1	290565.1	8388.62
287852.3	133085	5546.24
108862.9	51327.21	2567.468
275022.8	217140.9	9656.305
284313.9	143429.7	5255.279
210934.4	97988.93	2819.096
146798.4	220856.6	4921.849
231544	147927.9	5567.358
395739.6	151539.1	11302.85
404491.8	173580.3	8087.236
89753.93	53297.24	2275.625
187339.5	119834.3	596.8305
273023.5	136026	3513.026
308374.2	134074.9	5906.48
159090.6	89789.55	3046.768
262718.1	149435.1	5501.632
229220.9	244772.2	9730.549
195581	86735.08	3222.26
151641.5	124033.4	4487.546
305575.7	155362.4	8017.167
202687.4	84297.89	6162.685
405409.9	158838.6	12756.41
384958.8	152385.9	7724.688
328307	123223.8	5539.46
211550.2	89642.68	3846.185
326672.8	181725.4	3570.534
313084.2	131344.5	5051.643
386354.6	267125.3	12129.85
327400.7	146544.2	3355.386
181331.3	111854.7	6463.589
543439.9	426472.2	11391.27
309573	272490.6	11482.02
189246.3	115594.3	3920.299
1383353	677350.8	102655.5
285455.9	136525.5	7894.723
280508.3	210580.1	4600.851
246541.3	96408.93	4253.652
297713.7	109323.1	6179.811
350117	224092.5	9176.499
224420.3	142459.2	5958.88
239184.4	117187.3	6235.296
76662.3	75657.02	1976.756
81690.47	53520.57	1508.19
125462.4	75861.3	5691.708
196601.2	112863.2	3479.178
324557.5	166197.6	9981.841
273946.5	115719.6	5438.614
92490.77	46718.6	2071.315
483016	411376	13337.55
197052.6	115797.7	6758.751
189822.6	92739.66	4771.584
240453.1	137919	6443.923
146719.3	117819.9	5240.916
404329.5	177279.4	6327.689
169361.5	133874.9	4081.829
301821.4	123726	10755.65
304119.3	254338.3	9452.267
99340.61	83973.77	713.9072
333077.7	179195.4	6368.085
77594.34	59865.95	1140.898
115368.2	55454.51	2781.19
482789.8	314164.9	9501.879
