FSC-A	BSC-A	Violet
170917.1	96982.47	230.3679
460345.2	187953	146.6473
292079	153716.5	121.977
380546.4	273936	261.7275
188126.9	221636.3	125.3217
189621.8	87800.73	154.1533
141427.8	94956.46	114.4709
545198.2	275001.8	232.3384
153197.9	138169.2	256.8401
111247.3	74663.33	174.8048
633413.5	337386.6	508.754
495975	300745.9	477.3296
472394.2	240463.2	409.1526
90925.95	95743.16	100.8718
209743.7	125313.7	189.2206
204524.4	133970.5	284.4661
287668.5	131903.8	152.5458
148403.8	77840.1	103.0238
353646.6	182880.2	357.9453
113357.7	61142.02	53.8519
154241.4	85756.72	66.73798
152551.6	134937.2	180.2626
384716.4	170825.7	184.9555
523189.7	467047.5	560.2076
264971.5	225291.5	114.9506
199651.7	146422	160.5056
499835.8	260271.6	200.3177
153188.9	118236.9	38.32119
411688.3	170052.2	183.5684
199415.2	211089.1	338.2014
109870.4	108556.3	91.12302
268710	204320.6	336.1142
191326.6	92640.04	162.4113
232926.7	140737.5	84.8874
235411.3	240682.2	274.4451
290369.3	210398.4	183.7628
255992.1	159634.3	255.9067
364718.1	180090.3	294.928
91473.99	112973.2	159.4426
291855.2	112786.5	220.3987
135907.6	129712.7	141.0987
302710.3	228701	435.3396
266331.4	188331.2	234.3089
118068.3	109109.2	96.60674
464339.3	239573.4	155.0738
118568.7	55668.3	54.44824
116588.1	132121.7	136.5484
278109	145245.6	176.7234
360332.2	190343.5	197.5045
438453.3	212259.7	309.8753
374488.8	336259	543.0305
320202.8	202739.2	272.4097
367772.5	148004.7	214.0723
444347.9	202405	204.9328
455473.2	224719.5	321.0372
467294	198543.9	411.1231
443000.5	224376.6	219.7894
110490.1	89795.23	82.6965
307483	132877.3	275.91
253935.6	137960.5	147.101
396715.1	187557.5	419.9515
292912.1	151313.7	372.5038
407025.3	214869.5	306.6084
73257.27	51162.09	125.4902
195494.5	172208.9	329.2563
452302.3	372090.2	329.2822
83849.14	72946.48	167.9339
100658	123641.4	71.18459
269500.7	109272.9	101.546
328994.3	315636.7	348.4947
236069.3	220872.9	297.054
353354.8	230830.5	347.1335
349191.1	188758	195.4433
414929	447765.4	524.1421
130792.5	170402.6	101.8571
216452.5	116479.8	24.98137
103428.4	124608.5	219.932
293828.3	212899.8	203.053
81100.93	67941.19	78.00359
491956.6	261828	365.0106
97773.2	123111.5	189.2076
452843.1	381291.1	357.6212
96248.06	133726	155.2553
474769.9	506058.8	480.039
205601	133492.2	69.57707
213137.7	160684.5	142.0969
209758.6	228482.5	119.9806
153801.1	160465.4	70.3549
77213.55	81702.7	139.5431
313655.3	220856.5	290.0795
434015.8	288860.5	330.423
77412.66	57911.25	57.63735
247319.2	134027.6	159.0796
199016.7	455923.2	428.5595
477677.5	334281.3	340.7812
219893.7	141791.3	141.345
234189.3	124115.8	427.9632
515253.3	281994.8	285.6329
482525.8	302811	429.0262
326322.4	196747.6	101.3126
210440.8	373052	3117.369
101314	96923.75	195.3136
179166.7	98119.77	151.3661
401192.2	143891.6	315.1386
401085.7	183960.4	628.8124
279498.8	171370.7	200.0454
80572.31	69977.07	155.0997
435149.7	338899.2	331.525
505404.8	451708.9	712.4034
139407.5	126284	76.37014
120109.3	103669.4	96.45117
310597.3	202292.7	133.3982
240128.6	166974.6	139.7894
247518.2	164158.6	266.8871
413597.4	180232.7	257.9032
213556.5	129990.6	169.9822
332758.9	217361.8	170.5267
110644.7	63012.69	47.60332
242350.5	149537.2	142.6285
113563.6	155788.1	181.2608
296180.6	197530.3	192.0078
523316.7	230156.2	405.5486
238991.5	104183.1	182.2201
442077.9	254326.6	282.8197
491484.9	193453.9	351.0745
101827.6	71183.73	135.3557
301078.3	150748.9	159.2741
333427.2	132956.1	235.1775
519102.1	258681.4	930.5723
630576	388468.1	1314.756
623524.9	299261.3	780.7878
379039.6	210281.1	233.8552
595782.7	630438.9	713.3757
263024.6	134392.6	88.30986
338706	122127.3	197.1804
426368.4	159066.8	172.912
203713.3	327887	178.2532
191603.8	213057.7	216.8207
458767.1	223937.9	561.4391
432466.4	204272.5	234.5423
279897.1	146166.6	122.8326
167658.4	122280.3	130.7795
450717.2	281781.8	518.5028
279213.5	147540.6	170.3193
345387.4	183788.5	216.7429
232525.4	91267.62	165.1337
301789.2	145060.8	346.8223
400686.9	234962.3	224.3397
462219.5	317623	446.4626
429048.7	287418.1	653.7678
95974.1	74138.54	133.3074
510679.5	361475.1	428.754
487260.9	311647.4	458.2597
681595.3	308347.7	637.563
92027.7	30983.71	43.13078
281635.7	190131.2	138.9467
1081464	729375.4	2176.841
272210.1	93000.66	178.7069
578875.4	420839	887.5063
281538.3	159305.4	212.5167
366197.2	217165.7	292.6334
150525.6	102081.6	6.222656
385591.8	289574.2	462.9786
593493.3	284619.3	208.6664
481144.1	255257.1	198.9176
328245.8	136331	344.0221
218299	182513.7	195.3914
263718.4	218551.4	287.3311
887998.1	505737.9	929.0814
168314	71964.36	67.23061
91389.84	69200.5	150.0438
273194.6	115619.6	122.2752
444290.7	187800.5	366.9163
214959.7	162718	137.2485
542754.2	360197.6	343.1795
81247.98	92696.66	104.2943
625934.8	376852.9	450.0666
382707.2	305384.2	483.3059
665073.9	690743.1	650.1379
585320.3	232547.4	91.90085
187368.2	152039.4	178.7328
908934.1	824671.9	1449.114
441823.2	407170.3	603.8569
516835.9	221490.5	113.732
403618.2	592488.2	1029.513
442642.2	160180	343.7758
600985.3	436521.3	485.5357
254207.3	277983.6	339.4848
227247.1	141787.2	115.9748
262776.8	167915	120.7584
675517.3	511595.3	699.6469
636913.4	274289.4	459.4005
403670.9	216198.7	246.2616
381260.3	194925	281.8215
234329.7	109087.6	149.0585
606485.9	400036.8	469.1883
79219.29	98548.08	29.9206
185323.1	171385.2	212.9963
456414.7	128379.5	252.8602
79958.52	54887.46	128.9257
93543.83	65373.23	54.09822
133360.2	82413.59	116.2989
356183.2	216306.7	348.8706
295928.9	132711.5	83.65583
82519.94	74610.68	53.90376
123296	120680.3	187.1075
408870.8	230032.3	1788.028
104980.1	79470.19	549.8105
159577	112458.1	761.1605
394748.8	199394.8	2459.207
87707.45	15353.28	-1376.633
699308.2	576429.7	816.4125
278991.4	132523.8	237.3295
221465.8	121784	178.3828
320271.9	148050.2	285.7625
627941.6	285475.7	329.5285
