FSC-A	BSC-A	Violet
582667.8	925477.3	1858.694
284479.3	155754.7	266.5371
381237.3	319587.3	325.5486
261904	137611.1	115.3784
298925.6	138754.3	122.4826
365305.3	284240.8	195.6766
176113.6	219544.5	183.8665
322314.1	169947.5	213.9686
391618.8	293383.2	343.5814
332664.2	267989.4	238.7166
354402.2	213482.7	347.0686
322936.3	214663.3	293.9687
347698.8	335847.2	288.2516
304656.9	259819.8	139.582
294301.8	179844.5	80.27226
103048.3	132044.8	150.0049
209518.2	150361.5	75.20339
432222.2	329113.3	262.6479
548013.1	492218	518.088
357956.8	316306.1	414.0789
164950	126419.4	109.8817
264834.9	421352.2	460.8136
275817.2	232598.1	358.2176
212489.1	165260.8	219.7116
186186.1	146835.2	263.0887
485335.2	366507.4	358.1527
454302.3	263379.6	383.2767
112253	101096.9	94.20842
145443.5	141786.6	335.0641
1096288	879747.4	1248.576
285928.3	153322.2	258.8884
168825.1	226742	96.50302
96296.48	85791.68	43.88269
463374.7	309192.7	242.7354
300857.5	231043.4	362.1456
352482.6	209220.4	134.6168
384139.5	255530.2	257.4624
208260.2	127149.7	211.7129
337760.5	208811.7	188.2224
274883.2	277095.7	266.7316
367038.3	238609.4	187.5353
147672.1	154485.2	96.52895
94903.69	100009.5	150.1475
137844.4	151272.4	175.0122
316374.6	260790.1	233.2977
429826.3	271992.9	412.6528
382011.4	346804.5	316.6035
295214.1	197021.8	219.1153
113727	143350	134.3705
822000.9	696295.8	923.1051
383197	322943.4	214.0983
254079.1	151006.6	359.1898
224207.5	141658.7	126.3977
140754.5	128757.6	157.4591
77888.49	85223.45	61.04685
424021.8	303730.3	273.3302
100532.8	79652.27	81.93164
430187.9	211844.3	282.9234
306024.7	244608.2	337.3328
262334	289330.9	131.3888
234086	91188.44	154.5552
287075	259677.3	299.8542
467711	264438.5	466.1029
369167.1	380863.5	738.1885
93291.64	73358.62	79.27405
587617.9	361498.5	324.8875
314562.6	215374.6	346.7316
286031.1	278983.3	111.1911
410970.5	356595.6	403.5004
247306.5	165370	172.4972
157201.5	107515.8	171.8231
772130	513766.3	668.3132
247272.5	315625.3	225.8954
417146.8	344853.9	481.115
490192.8	237345.3	411.4602
331104.9	198917.9	387.4511
253473.7	264940.5	198.8528
421045.9	192708.3	322.165
385642.4	272109.7	408.997
326322.7	236582.6	188.1835
144055.6	163398.3	63.39331
241071.9	116709.9	115.897
179764.3	179603.2	217.0151
432936.2	431829.7	677.1935
414621.1	383562.3	308.6826
319242.6	194216.9	201.0436
454863.5	395256.7	196.5193
296306.2	237699.8	122.9623
304024.6	152590.9	202.5604
90427.15	112025.9	129.8461
194161.7	92583.46	300.4376
492691.8	283609.8	431.2041
342422.7	308434.9	402.3595
195259.3	326480.4	488.1025
132927.3	202723.5	94.44177
352618.5	311076.5	325.0171
261803	109842.3	96.28264
75438.38	48941.75	55.16125
247250.7	204771.8	219.1412
220113.1	168127.7	188.8447
191580.9	205146.2	217.8318
283939	337356.3	253.3917
491420.7	615867.9	783.6787
441313.8	285643.7	308.7993
154440.8	134223	163.7725
305579.3	180965.1	146.4269
317219.7	298053	286.1774
187632.3	215852.3	88.19318
256853.3	182314.7	148.19
229897.3	351106.4	347.0557
215971.8	188940.4	184.1258
198691.1	329432.1	46.66992
273631.6	150835.7	188.702
334263.9	258599.9	332.7954
111421.8	118893.6	97.77348
78736.94	78747.67	70.84753
627163	502518.4	266.8742
231442	88379.45	86.67641
133079.3	84734.44	84.2781
72493.09	66777.85	21.94783
93377.56	147575.5	148.5918
260833.4	156972.3	94.67512
192139	260112.4	251.6675
468016	247100.3	388.9549
794974.6	502547.4	694.5651
123253.7	142492.6	208.9386
96975.04	64891.29	31.7874
387309.3	239708.3	291.2462
347928.3	136262.9	281.8993
159251.6	133928.5	128.4978
191462.6	282987.7	443.1698
218480.2	117216.5	149.0974
434044.1	275272.7	1018.921
249118.5	106651.8	299.3487
156707.1	70360.55	187.1593
347372.3	211465.5	389.7198
324093.3	99368.06	51.4147
370858.8	271514.2	375.0836
162356	219281.5	228.3974
185944.5	127259.5	181.1441
916129.2	684019.7	829.6486
81708.14	96953.7	125.9829
272061.2	251476.5	208.4849
313533.8	159586.7	270.6985
507074.8	392454.1	537.0282
341239.5	215441.2	404.3041
391442.9	274509.8	427.4187
577211.5	431345.7	776.0171
238556.2	151668.6	179.2384
662906.4	706242.3	613.8132
323696.9	222892.5	106.576
322443.5	178433.8	169.2692
494074.1	452277.9	411.0972
623698.5	575946.9	624.0417
84169.07	81583.26	106.0055
289515.3	139152.2	275.547
271564	234696.6	288.8868
379111.5	516342.1	1083.183
212179.5	166145.6	280.8881
368776.1	395423.5	319.1056
86396.92	74897.07	78.21101
377738	254821.9	222.9267
515432	364476.2	593.3303
243946.5	180974.8	188.6372
399906	282003.8	274.1469
683833.1	366693.6	465.7788
184096.5	177578.1	254.1955
360044.8	389572.8	436.5453
419735.9	284628	414.3641
283820.6	185079.8	260.1848
325791.2	172536	176.2827
369945.7	172245.4	302.6804
329934.6	231383.1	265.6815
399037.7	210069.4	263.8017
485588.8	285176.3	348.5595
557749.6	370218.7	646.5988
389774.8	240278.2	341.922
288100.2	249039.5	278.9824
357250.6	215351.5	319.1574
241780.1	158620	240.039
323427.2	185761.5	183.2572
82144.87	99213.41	90.3063
533927.3	509568.8	702.4212
329503.1	265328.2	287.383
515885.7	232675.3	317.6147
547691.9	282372.5	367.5386
270824.3	115975	256.4383
225619.5	256992.8	214.9539
103209.1	66994	115.5988
246030.5	238196.6	142.6414
263478.7	161327.5	324.7578
126192.9	97223.1	253.5732
445474.4	548602.9	562.2559
573998.6	417364.3	496.6717
764535	793087.4	1911.743
157158.7	124343.5	138.5967
273357.2	166884.9	230.679
254281.1	164445	216.9633
298066.9	166960.9	180.3144
156383.3	206758	210.0665
469407.8	746205.7	547.8271
513114.9	388849.1	175.6734
296291.3	176500.4	320.752
143661.5	151925.9	199.2287
303292.5	246032.9	327.5321
275091.4	172181.3	222.5118
113469	69368.02	70.8605
334674.3	194045.2	154.3608
172654.1	334949.8	435.6118
118171.6	121908.6	165.0689
244946.1	169652.7	89.72292
351336.3	342307.6	391.1847
849067.5	753328.4	1451.24
536183	705676.5	580.8849
764063.9	441878	471.3014
431786.1	266533.8	589.454
377060.4	193346.6	233.194
420159.8	331660.9	286.3718
419105.9	212289.7	383.8342
134013.7	205139.7	119.2287
267371.5	127149.5	239.3648
367070.6	288990.4	245.0171
544856.9	311115.6	295.9132
339156.7	260356.1	362.1586
301030.8	190250.8	220.7876
89766.71	86336.97	57.33918
323274.5	413088	673.7581
482847.1	216893	217.5337
117583.1	98218.7	-0.4018799
152626.1	165503.3	224.6768
298784.5	209301.8	156.6035
168230.5	175754.6	114.6395
391521.8	720940.2	1027.503
302234.3	237239.6	202.5993
88015.73	157036.8	156.9017
371079	315691.2	378.7005
110992.5	89946.39	137.5207
470126	466424.9	538.6487
262201.5	137103.3	156.3572
126639.9	81477.16	65.48049
254791.5	178117.3	175.0252
301163.4	294169	198.8787
294292.1	107678.4	217.9485
125756.2	122604.5	167.0654
278380.9	220685.8	190.6985
108475.8	91747	161.3353
270423.1	207331.2	219.0116
551326.9	269158.8	502.9721
134929.3	124727.1	108.0798
265832.6	155537.1	165.4708
261966.2	270686.6	234.8275
408561.6	359090.8	374.3576
238820.3	170841.8	246.1579
254787.1	120725.4	132.6593
307655.3	117961.2	279.5788
366112	160889.5	252.5102
232111.1	115858.2	217.4948
444695.8	263604	196.4674
271360.9	188592.5	154.4774
110881.7	183855.3	209.6646
90229.41	98734.63	112.9153
422090.3	157611.7	292.1667
279844.6	115442.2	250.5267
261864.6	110987.2	70.5364
581085.5	527742.5	1183.057
379870.9	221643.7	334.9604
428252.3	386918.4	300.7228
320013.2	391941.3	493.9104
285334.6	317295.9	149.9271
304868.9	273642.2	197.6601
547859.3	377008.4	634.309
154142	196215.8	256.4771
81608.59	135090.5	97.82534
269776.9	146947.7	122.7419
250957.4	120848.1	103.9832
415735.4	261746.8	266.3037
172691.1	455229.5	503.2444
197293.7	256536.1	413.8844
414206.3	293912.5	281.4715
