FSC-A	BSC-A	Violet
302083.9	145548.8	390.4717
116172.5	74007.37	169.9044
358510.8	119683.7	263.9962
409615.8	133944.8	274.821
340653.4	201145.7	412.1732
530483.9	204985.4	486.6506
337040.5	135532.5	214.0723
273896.1	167042.4	201.29
309989.2	133361	318.7944
273745.9	115809.1	294.3316
376110	145803	484.5894
256058.8	155010.5	204.7643
123606.2	133337.1	214.2279
266291.7	125515.6	834.2897
168142.6	126549.3	268.4687
295761	188595.7	196.0655
643783.3	276760.2	500.9886
95287.47	82761.51	130.1313
141529.1	66352.3	124.3105
380142.5	201883.2	181.9738
824845.3	519691.8	339.4718
190514.1	165166.4	730.462
116121.8	101499.1	78.49622
130295.3	73233.77	154.5163
299788.8	135262.7	260.107
375608.3	127517.6	225.312
372523.2	175289.1	220.3339
165815.6	181882.3	176.1919
403359.7	149790.2	367.2793
176385.8	258996.5	574.6104
288798.4	108810.2	359.4362
519580.1	298195.1	224.1841
425432.4	124543	315.8387
340772.9	226396.8	426.3557
653407.1	287837.7	159.7019
323590.8	137421.6	246.5598
571959	198617.2	292.037
302735.6	129841.4	435.5211
384764.4	194695.8	222.0451
580683.1	204039.6	324.1226
239965.8	114299.9	271.943
106745.2	111631.3	120.8103
348235.4	205260.8	149.8882
243752.8	289322.7	523.9736
288473.4	155575.9	277.9842
87099.59	67468.29	134.6298
515129.7	228009.4	827.5873
282392.6	114039.4	203.5846
183118.2	202174	180.6644
253903.4	101836.5	247.4413
219738	198000.9	94.33806
579350.8	187243.7	651.2657
390131.8	186420.7	210.8314
475005.6	242574.7	597.3879
505295.8	188638.2	319.689
691633.3	208375.5	634.1016
423907.6	182148.5	251.0971
111376.6	89377.6	143.0433
368847.2	130533.2	468.1382
331994.5	125954.7	133.0222
106614.4	77744.98	119.462
159575.5	143268	226.8029
376459.8	195094.3	304.236
107971.5	91269.4	69.9271
879203.8	281922.3	466.8937
513255.8	203788.6	189.1947
390938.8	163490.3	362.4438
98444.74	96625.07	166.5986
367804.4	211363.9	455.1225
499010	209103.8	497.3199
249439.9	141496.6	331.162
501757.3	297999.8	627.6456
700635.4	250673.6	928.3684
274151.2	115585.4	288.2127
468369	209484.5	366.657
595481.4	226792.5	408.3748
444350.6	260791.2	229.1493
114441.4	65703.91	132.4389
607512	355952.4	891.8881
741473	438021.1	1410.495
299435	181630.5	109.6613
240587.9	261389.9	227.0751
217685.4	116065.2	357.5045
491472.4	184047.1	216.1725
585891.8	241360	449.1072
949616.2	510357.8	351.2949
208238.1	114351.1	130.6369
503978.8	266415.4	178.4865
359269.2	199293.4	294.4872
91106.13	62095.43	37.18037
119631.4	61768.64	100.6515
136828	146446.9	149.4215
130843.6	120922	318.8982
113519.1	78657.98	-8.504296
168945.8	97821.24	274.0562
272047	362222.6	605.3089
267949.7	99096.98	260.6904
235650.1	282416.5	295.291
268910.3	125011.5	118.5546
665055.1	249618.8	674.0433
356365.3	146667.1	541.9285
509855	336003.8	495.129
375836.7	295010.9	367.4738
782161.9	514540.8	920.1234
326111.9	133512	272.1116
140141.3	98044.23	72.72729
389217.1	202345.8	237.6536
494902.2	209534	363.455
260263.3	146959.7	117.5045
62101.81	288831.1	486570.5
429376.3	349274.6	1101.371
114355	131682.5	150.1086
480351.8	202652.7	-42.1196
430939.8	162745	349.4281
217419.1	137461.5	360.8752
944165.3	442290	304.4953
318392.4	205550.8	163.1373
270546.9	218974.8	264.3462
351728.3	145145.7	227.0751
591806.7	450319.6	778.4672
326004.2	172603.3	338.7458
242549.8	109717	155.3071
397683.3	191850.2	263.4128
434796.4	150096.8	227.8918
275915.8	144245.7	220.0487
217936.4	159996.4	396.2406
72162.65	87222.61	131.4666
143779.6	150743	259.6922
695389	874287.3	1535.816
175406.5	91302.31	337.6439
288430.8	134627.2	399.6631
103814.3	110278.9	79.00181
297109.3	147740.9	605.1274
348217.7	136762	168.9321
197464.6	177756.1	325.9635
241740.6	365786.7	666.0057
313302.2	252174.5	443.1957
241682.6	119789.4	314.8016
226678.5	102466.8	144.8971
216882.6	161519.8	192.7986
212087.2	81812.05	206.8904
318889.3	207390.7	339.6404
239663.4	99877.3	210.0017
264634.2	108060.9	200.0325
223890.8	107927.1	207.2274
264743.7	159405.6	208.096
83059.34	71484.82	93.56023
303939.5	134290.7	696.393
290461	121513.2	331.8231
242592.4	181157	335.1289
337894.4	159409.9	379.2061
127325.8	99326.16	161.5687
92219.2	53714.06	130.2869
196983.9	163406.2	393.2719
365420	130606	315.709
2023724	1440126	6641.583
105563	92177.09	148.2677
100228.2	86921.96	155.3849
880694.3	695141.8	897.4885
474545.3	243007.1	224.6768
187705.1	91919.12	111.4633
355467.1	234647	469.6679
559912.5	252595.2	376.0299
758615.3	358257.9	552.8441
259208.8	144166.2	479.1704
391180.5	151871.7	82.35944
510686.1	208841.7	800.8429
505757.7	215538.7	313.6478
249243.4	100056.6	289.8332
486872.8	306700.8	793.985
456099.6	394683.9	763.5588
261744.5	213556.2	233.2329
83923.15	41684.29	106.3685
289692.8	160444	325.419
143771.4	82426.25	210.8832
445021.3	187350.8	316.1239
362970.2	203508.3	187.289
302644.9	116360.4	259.3551
183645.1	145494.5	194.471
133002.9	91061.61	267.0557
340587.4	175319.3	221.3969
277445.2	120130.3	283.7661
379383.5	159610.8	245.2504
178196.1	160190.1	43.58452
348253.8	153848.8	321.6595
206215.8	146673	537.0541
75732.23	101916.3	48.96452
373276.6	183159.5	336.7753
591277.9	407224	734.4808
253199.8	161929.9	229.603
106068	130869	56.133540000000004
309309.6	140861	478.9241
176254.4	118609.5	45.45132
70990.99	50989.05	78.70364
379939.4	123415.3	395.3331
447314.8	133297.6	179.3032
702588.8	218513.2	642.1133
177646.8	137587.4	315.9554
323527.3	147761.6	161.102
346345.7	199544.8	634.6072
465525.9	287142.8	620.321
129861.4	126038.6	230.5235
134912.2	117466.2	385.1954
126029.5	113009.1	253.7418
275941.8	125550.1	264.9425
386555.1	135697.6	262.5961
119427.8	82314.37	86.8968
413221.1	192740.2	441.8604
404277.2	144987.5	297.6893
346631.2	152973.1	373.6705
291256.1	109275.9	336.9828
248806.5	95685.56	253.7418
548508.3	286464.6	38.80085
489325.5	187953.2	857.7802
368962	206872.4	246.495
280510.7	115679.5	339.4977
356025.4	146089.8	279.9547
365165.1	196178.8	490.7601
217231.6	151553.7	220.2431
475919.3	262557.2	407.4154
549866.8	246128.4	350.1541
118081.7	74926.35	225.7269
583829.8	180945.9	338.7199
386645.3	157534.7	227.9048
265328.9	81909.53	146.4398
449085	210256.5	297.9097
275886	153163.6	524.7643
376246.6	155152.8	325.8597
1314001	624421.7	1255.732
223639.8	104148.5	37.89338
1149586	553358.4	1180.619
162439.2	161043.3	154.0107
450688.9	211318.4	199.6436
315411.4	151995.8	156.6683
724467.1	317491.4	446.1644
607889.3	270123.8	245.6264
684083.4	254595.6	287.7849
367782.4	269846.4	522.5475
283994.1	136971.5	261.4423
75047.52	71669.69	-40.12317
381244.6	228275.9	367.2534
275032	106790	268.9743
334819.8	114791.4	219.4783
263556.8	171044.3	237.4721
339366.3	119552.5	427.3928
1025303	662774.6	986.1614
218984.1	156168.8	231.8328
195090.4	117289.8	157.6277
142647.3	86274.45	403.2022
267375.9	153715.9	378.6357
735901.3	354143.9	767.8628
380142	246053.2	297.8967
595659	312947.5	528.9387
146979.1	71329.85	77.89988
143319.2	93846.86	392.4551
284251.8	246927.5	512.2153
330591.3	224704.4	300.5413
211683	84967.73	100.5348
402495.3	193322	221.0988
558803.8	523415.6	628.2549
433069.3	203263.4	333.3658
428895.2	218189.8	396.3961
418087	161730.9	312.5199
519746.7	388157.3	563.0078
385436.8	236359.6	566.9747
410562.3	210549	313.5959
299495.9	150548.8	238.963
560019.3	287549.3	574.0789
401353	115790.7	269.078
283221.3	132132.2	490.436
