FSC-A	BSC-A	Violet
326346.8	136909.8	504.3852
351284.8	185858.3	301.034
222073.5	249597	370.5592
500066.3	282647.9	624.638
797742.1	253983.7	459.0894
350806.4	83875.55	179.0569
485062.4	234905.7	711.9885
266754.6	120213.5	355.56
325042.6	261927.2	438.7232
495721.7	266856.6	319.8315
390741.2	336649.8	447.6034
377002.5	196563	528.3553
108274.6	57179.23	102.9072
390633.9	311901.7	602.6513
249621.2	111203.8	335.7512
394855.2	347868.3	511.4634
177155.8	183884	150.2383
376703.6	202110	287.6682
301665.1	220878.7	145.0916
380884.2	193435.2	336.7494
247086.3	173791.8	98.70688
763116.1	429255.9	911.7098
377906.4	171535	377.1837
356624.1	193555.5	257.1772
324927.8	206585.1	435.2489
147528.6	119694.3	179.8996
359127	201008	408.7378
1029334	362447.2	944.2491
213472.1	98236.16	135.9132
496339.4	268387.9	288.472
293611.5	160856.8	304.8583
531323.7	243221.9	439.501
356496.6	222960.1	251.3953
125348.3	98215.89	6.948633
452087.3	227898.8	316.1498
289900.5	162509.5	232.0403
1009986	585987.4	741.8054
278327.3	152824.5	134.3964
244925.3	190735.7	447.4868
371678.4	157407	557.7963
406540.3	164480.9	320.9076
113544.8	117011.7	232.0662
441898	216429.1	439.151
341664.4	132808	238.6389
278039.5	184620.5	155.2164
276923.8	147318.6	399.6501
139826.4	95873.5	132.9185
493244.9	208075.8	593.447
898388.4	625361.3	451.8556
593820.6	319705.8	390.2643
318133	149781.9	376.1855
346185.7	149897.2	434.4321
559110.5	309049.6	418.5644
115791.8	100717.8	133.3723
406163.2	176981.2	366.7348
571115.8	307442	568.2063
704145.9	330661.2	306.6214
714711.1	468570.2	962.1523
563710.3	270184.3	834.8471
780773.8	372924.3	779.9192
365219.8	258100.5	221.9803
325722.2	228684.5	159.3
222738.9	200240.4	345.7722
608099.2	239961.6	338.7588
119841.3	118043.4	170.8767
692341.6	284646.8	332.212
355534.3	172633.8	356.1823
272582.1	152027	176.6456
117007.3	155992.1	227.9048
129642.8	132118.4	185.3444
311780	182518.6	172.6528
441074	244572.3	525.4904
387030.3	174280.8	420.483
175573.8	188111.7	714.5554
487796.7	216814.4	394.5294
377394.7	181179	547.853
492100	324947.2	705.6233
489673.1	347050.4	413.4177
366481.9	148256	321.9058
343581.8	142313.2	173.1843
143221.9	166392.7	307.464
198676.7	161545.9	366.1903
392539.5	162686.1	316.461
314480.2	214287	346.7445
492668.9	196616.1	272.8246
488987.7	339029.6	731.9399
415293.3	273183.4	830.1282
620064.3	373334.3	1529.101
337116.5	186287.9	200.0195
744484.1	513484.3	260.8071
271604.6	101929.4	263.361
742137.7	478065.9	856.1078
341927.8	203737.5	411.0713
281432.1	161316.5	242.7354
80314.8	42941.98	130.7924
419977.6	207973.8	563.4485
314845.2	170600.3	118.1397
340850.2	139397.8	383.4323
