FSC-A	BSC-A	Violet
205479.1	95057.8	1744.483
314213.7	242367.3	3735.02
405032	185325.4	1914.387
257218.6	110214.8	2870.498
261812	111593.6	2534.436
137259.2	87864.4	1683.28
261339.4	150196.3	5293.056
105602.3	41877.04	857.2357
256702	124553.6	2975.246
340732.7	129638.1	1715.107
120570.3	45848.57	682.1846
270544.4	85727.74	1561.316
211414.9	52656.3	1439.456
117468.9	58676.36	254.3122
127072.5	48761.34	1127.558
308024.4	153477.9	3477.648
509331.6	329309.2	10613.27
308004.4	138189.5	4418.449
251225.7	100535.3	1781.961
485140.6	418721.3	10010.87
78044.14	90799.55	1021.397
959744.1	356034.3	11709.68
212366.9	118448.6	2049.406
243978.7	80079.57	2230.796
411872.7	170851.9	2830.479
304761.3	141852.4	4033.409
262286.5	143689.3	2913.227
294783.7	127098.1	5133.38
251483.1	89000.7	1002.677
347531	170933.9	3190.459
289806.5	125689.6	2341.65
81047.24	76181.1	1518.147
377078.2	157040.1	2429.338
144461.8	55644.2	993.6026
148221.2	77372.04	2237.33
176608.5	102956.2	2349.234
536301.1	308560.8	4694.579
471967.6	228085.8	3905.196
537569.5	247541.3	4133.425
532873.6	175868	2519.592
114753.5	33068.76	1190.135
244064.5	110197.4	3060.587
67049.63	21639.49	527.1886
246106.9	118208.1	3987.206
300750.1	116195.4	2027.886
242235.6	85362.03	1320.292
470669.2	332198	10224.36
236499.2	70217.95	939.8026
155632.3	70112.83	1481.446
255486.8	181852.1	4561.842
299963.1	144885.3	2484.849
269719.1	215646.6	4887.002
198567.8	90448.98	2153.532
382292.2	188506.9	3062.61
242889	123210.5	3177.91
181181.9	87605	966.3525
296457.1	163025.5	2170.916
439982.3	210504	3277.162
88426.88	62705.59	1102.81
193340.3	130615.8	2925.18
379471	170842.7	2287.928
159174	84790.37	2368.369
318723.8	116249.1	2590.012
298259.7	197236.3	1236.157
176729.5	163964.1	1628.301
260597.4	112948.9	3024.276
316859.5	149238.1	2154.841
93453.13	45409.13	974.6754
241736.9	314228.4	14420.53
81685.25	58514.43	1120.26
368552.4	208230.6	3301.91
501133.3	279601.9	11559.49
94866.77	85223.4	4043.741
195122.8	112207.5	2925.491
90433.02	33706.75	697.4171
109643.7	41093.42	548.2808
347168.5	208013.5	6550.927
394585.9	148715.4	2864.172
756247.4	383973.1	14455.39
353569.6	176264.9	1343.834
270190.3	124606.7	3517.914
424837.8	216757.8	3537.93
165101.3	89707.57	1890.248
314559.2	135961.7	1916.721
70453.98	50125.1	560.9984
189195.8	95516.79	897.3329
251352.4	177721.3	3267.646
279652.6	106389.8	2276.636
398129	295882.9	17183.59
312834.7	130270.9	1235.262
308882.3	138901.3	1797.946
361063.7	130698.8	3998.847
100599	50583.66	1213.859
362935	201175.1	2738.863
296174.7	92715.41	1390.297
460109.1	242070.3	4842.38
116070.1	91889.49	602.379
354697.3	166060.1	6748.146
335085.3	173946.9	5121.609
110704.3	63900.32	1489.95
194805.1	128438.4	2577.126
99498.51	50804.24	995.4564
296137.1	179832.2	4995.354
425209.5	165391.2	4074.582
179087	81247.76	21300.06
285745.6	140535.2	2047.306
296222.3	268779.9	8505.865
102063.5	54985.14	930.2352
195609.6	103735.3	1123.034
271914.1	243961.9	17181.13
87053.02	41990.18	549.9661
428664.7	171281.9	2515.548
247891.9	109733.3	2031.295
286463.3	205503.9	5814.009
861599.9	556396.4	12768.53
427266.2	174899.1	2768.926
104994.6	88549.6	2134.656
248784.1	113133.1	1886.722
178334.6	142614.4	3486.749
387054.6	205064.6	7709.547
343717.9	136017.2	4029.857
877880	802562.1	198814.2
293371	221605	17290.63
158542.9	80803.03	1442.658
224258.3	148634.1	3169.614
94223.6	44371.17	1128.868
287626.4	131813.4	1190.355
352404.1	212472.9	6965.771
406933.5	323566.6	27545.71
301393	150957	2462.772
519424.7	325144.8	6573.977
1086881	758487.9	21972.94
159027.3	99783.13	2022.26
360791.6	189200.4	2514.886
667874.7	287602.9	4601.563
454499.9	203095.5	2587.666
68250.45	42216.35	1057.722
425972	361933.9	14619.75
302704.7	135022.8	1955.288
237877.2	156206	1208.803
117671	71545.47	1907.828
374102.3	322339.7	13821.95
264432.3	137640.7	3981.541
417543.8	190471	2362.431
307335.6	187264.3	2441.524
153731.6	95142.1	5509.773
412415.7	161641.1	1789.065
430467.4	237706.2	2816.193
700158	438326	17657.73
85049.66	68190.19	1070.686
250823.2	211353.3	3991.069
267184.6	105806.9	1633.175
230277	126055.2	2380.866
258047.8	127791.7	1482.392
407743.6	244809.8	3273.324
105433	60525.65	2110.764
366836.8	161426.9	3216.011
501277.4	264899.6	6994.278
358547.5	149731.2	4984.957
71139.88	49633.91	774.0206
226739.1	96622.52	1866.188
293332.9	161200.1	4181.729
192683.9	95610.67	3777.619
410525.6	220044.7	3824.211
325345.4	239807.6	5150.778
152632.4	124031.2	819.3942
694242.1	306832.8	5023.771
242895.7	109590	2618.857
273047.6	141736.4	4047.397
244974.1	154286.8	2605.919
362611.8	192692.8	905.1501
306411.1	152004.2	2544.613
675066.9	494531.1	29268.99
681790.1	490107.5	31274.47
94968.09	176995.4	7247.527
762184.5	630736.8	18474.48
247779.6	103470.2	1552.086
259305.6	122825.9	662.7388
303544.9	162035.6	3179.051
75597.65	50585.04	994.4712
160085.9	95148.09	3052.719
813791.3	306772.5	3534.248
657262.4	215160.1	5003.353
77560.43	64025.89	831.9951
84963.05	66918.21	2066.518
506529.6	306543.1	7336.123
152275.3	114596.9	2740.847
277270.5	168132.3	12412.47
431815.2	626989.4	42786.26
454927.4	143261.3	4312.78
361152.6	193566	5938.021
317761.5	125859.1	3027.076
364066.7	147144.9	3570.184
373624.5	152230	3229.351
270374.5	137103.7	3186.726
274994.3	110467	4706.662
307668.7	197621.4	3580.011
320506.6	157944.3	1077.297
284763.7	183340.9	2789.163
344782.5	324109.4	7043.865
877708.1	388419.2	18216.28
122600	176708.5	3540.108
266013.9	92604.96	2771.675
384151.1	174822.2	5694.016
220275.9	159092.6	1971.104
323309.2	220522.8	3540.536
514254.9	138986.5	4900.173
206454.2	84785.23	3781.236
321227.3	112011.8	2004.668
342629.1	161013.6	2802.995
339331.9	151632.3	2279.683
460158.2	167969.7	2936.77
172250.7	125699	2077.524
333261	185161.3	3841.077
370241.6	140096.5	5129.983
448318.6	198751.8	6045.051
396171.3	196919	4211.377
982950.3	610605	36904.75
188187.2	85213.16	1321.433
295716.8	133971.6	3778.98
272020.9	122018.5	1489.859
269124.7	116067.6	3655.201
128451.8	51472.96	775.1226
382184.5	194135.1	1881.809
155869.5	95791.91	2315.736
500926.8	219239.8	2833.072
158668.2	112636.2	2194.757
333894.3	225062.4	6929.589
251950.3	154294.3	3639.995
342107.3	157041.5	2835.094
348012.7	169516.6	4709.332
308435	162170.7	2204.168
398622.5	246418.4	5958.997
268215.3	165396.4	2522.211
312962.1	124878.3	2212.569
69271.85	56705.22	1543.141
87979.69	51789.47	718.3279
281538.2	126300.7	2744.477
101669	86111.46	1521.206
576422.3	432830.2	23736.15
220491.8	127879.4	2080.13
357232.8	177515.1	3123.877
431637.5	253752.2	3932.161
361521.2	119381.8	2750.997
671458.5	457330.2	18059.21
430863	168875.2	4134.242
425052.1	163451	20499.14
488984.9	257477.6	10154.65
177988.4	151956.1	2965.42
457013.4	306921	3375.065
470873.5	188887.3	4334.858
273828.3	170661.5	2610.495
306745	115657.4	1524.201
646565.6	301266.1	9547.823
579964.7	327891.4	11151.41
202614.1	103549.1	7133.057
406988.5	217211.5	4342.61
418910.2	161674.8	6813.744
443112.9	185425.8	4753.383
194498	143039.3	2632.845
