FSC-A	BSC-A	Violet
413856.1	415470.6	482.3855
409500	167130.4	250.5397
72134.55	66487.56	163.9799
102128.1	76422.06	106.0704
364135.2	167751	346.7057
699991.1	355006.5	335.9456
334515.3	130835.2	190.3484
504949.6	585567.6	824.3075
89512.36	86159.48	167.0783
223760.8	163381.3	246.1838
183682.6	134331	204.2976
365811.3	182716.2	327.6617
271989.6	179018.1	236.6943
136733.6	116882.6	148.7993
569338.3	396415.9	930.7927
120843.9	86850.48	127.9274
416817.2	305875	265.6815
168760.9	164566	115.1191
167541.5	109497.4	312.2347
180610.9	100254.4	135.2131
376864	192072.9	308.0085
266267.6	111359.4	186.6019
176896.3	133983	261.7664
347426.7	188138.4	228.1641
242474.3	173138.6	119.2676
237055.1	73265.38	98.91431
259836.2	117759.6	214.1501
177708	137646.9	172.0564
258983.4	145819.9	133.7352
372780.2	259956.5	485.7431
563275.1	214928.7	296.1466
327709	122736.3	184.048
445932	187119.1	226.6991
97014.79	108365.6	57.06694
352052.3	111109.2	16.98267
237820.4	129060.9	201.0177
562100.2	414960.8	416.3994
299290.1	129305.5	142.5118
740450.3	287875.2	698.8821
401306.4	142819.4	140.6061
295255.8	194878.2	467.5159
253193.1	137306.8	322.8132
187271.2	97346.65	108.0927
396756.4	256380.2	304.7287
618982.6	329714.6	759.3715
233269.6	133549.1	181.6627
320770.3	149201.5	206.9681
237260.4	161480.5	307.6196
273827.2	154116	314.5553
414129.8	354409.7	337.5402
100697.8	79190.55	151.5865
339590	238849.3	431.5282
262544.4	111251.6	159.1833
129386.7	177651.8	51.95918
167556.5	110436.9	189.9077
290010	98301.18	189.5966
536777.9	285061.8	378.0912
443229.4	233869	246.2098
266082.8	171840.2	236.3572
216019.7	372543.9	357.8027
112611.3	100813.5	135.7317
85858.15	71597.59	-6.248584
110707.9	68054.02	87.25979
83141.13	178858.7	1364.304
214993.7	183897.4	88.46542
70503.66	34991.73	90.81189
164444.9	84687.23	140.8654
73549.8	98952.73	40.09724
314367.5	193436.2	287.9405
135299.5	95895.52	57.10583
322428.8	159544.8	173.9621
104010.5	65060.16	24.38503
344718.3	211154	353.6672
122776.9	142074.2	122.2363
150874.1	165664.2	20.13288
177690	107437.1	102.2719
476301.1	417203.4	365.3866
464651.3	260867.5	443.8958
360926.6	247019	462.3434
282354.7	167932.7	206.7218
168960.4	92353.05	111.567
164998.4	124438	100.4181
258970.5	86468.27	108.4687
120979.1	71293.69	119.0861
316240.6	211783.8	151.0809
344923.9	140311.4	219.0245
549650.1	164686.5	84.84851
548002.7	332262.4	852.2705
304485.6	181757.8	109.6484
364376	183432.9	299.0894
127239.4	134319.5	281.5622
421960	245259.8	261.9608
289674.9	147055.5	87.71352
135709	130463.3	148.164
303538.8	163554.2	261.3386
143328.1	105342.2	66.01201
385912.7	307623.9	240.2593
403091.9	250770.8	377.1967
126050.6	92595.8	74.17924
251074.6	277368.1	151.405
307861	199340.3	227.2436
386867.3	202517	261.0793
268295.8	132338.3	229.4216
321526.8	127647	249.0748
225945.2	128708.6	286.6959
279285	324012.7	176.7623
411126.3	250252.5	282.7549
668659.9	452377.6	620.2303
312332.9	179754.8	301.0599
590247.4	243806.1	220.295
105214.3	119274.3	118.6323
302110.3	233578.8	257.5661
249414.1	126792.1	113.5764
238827	145165.8	258.9143
502993.4	207699.6	469.9402
681051.1	697772.6	1083.792
160927.2	97348.89	82.81318
268112.4	147722.5	286.8126
157516.5	78562.35	79.11848
634998.7	305420.5	156.1239
87809.68	118686.8	154.4256
287608.2	153881.1	112.9282
455225.7	579835.9	870.783
301854.1	176855.3	313.3626
282265.2	109514.8	187.0167
90583	82924.28	79.94817
297660.7	132449.8	111.7356
146401.7	129995.7	178.2532
491678.1	354444.6	537.5338
278581	182792.4	231.6254
121904.4	116928.3	172.0824
242620.7	191232.5	312.6755
168766.5	130200.4	91.31747
350916.2	217022.9	316.6295
406913.5	167894	224.223
172120	168860.4	96.36042
785799.1	335939	770.9741
186037.7	140354.1	195.8192
219309.8	151573.4	317.7184
178671	183267.9	311.6125
251828.6	153698.8	159.6111
295360.4	119819.6	287.733
331516	156949.3	311.8458
507644.7	239565.7	446.7867
130318.1	350791	323.9152
1710511	966600.3	1996.085
152901.9	148615.8	102.959
110619.4	105163.4	111.943
120629.6	69439.58	116.4544
314559.4	148825.7	204.0513
426554.5	156889.5	219.4135
140704.3	132934.3	159.8056
454060.2	190312.7	396.2665
426218.9	163969.6	241.7891
255295.4	141955.8	288.1479
236675.8	175339	269.1947
71694.73	68565.84	78.61289
375055.4	261469.8	346.5112
121374.7	83695.05	115.4821
335683.1	167533.9	317.4981
368842.2	275526.1	411.175
132360.4	67000.34	137.3522
106346.7	60817.88	49.49604
101815.1	100699.5	154.8275
402446.6	156730.4	149.4604
263802.6	149719.9	178.2143
106134.6	269824.3	315.1127
696528.7	395926.9	622.3823
342855.3	158753	254.8178
290639.4	172893.4	309.5642
184010.4	96741.87	226.375
140522.3	70546.28	123.9994
593779	449316.1	575.6994
140219.5	73679.02	158.224
510476.7	230252.7	408.1025
102068	66164.97	24.25539
92756.65	68761.53	121.2899
68616.36	46296.09	57.97441
273804.3	142499	239.287
301878.9	106829.2	162.3595
235613.7	250062.3	196.8952
529749.6	334828.2	312.5847
308143.5	106590.6	252.3157
493435.9	305482.3	412.3417
374546.2	211268.9	315.4368
77692.57	82082.64	121.0177
142472.5	117717.7	270.7115
164655.4	128664.5	43.54563
136743.3	94538.53	8.711719
338878.8	276108.9	261.5979
156139.5	77841.77	123.8957
220531	120541.3	149.9271
405312.4	171239.4	34.92466
252128.9	216763.7	374.0594
133971	131996.2	179.731
212811.9	246789.5	215.8484
483839	211012.4	442.2234
216504.1	166078.2	211.9463
394303.2	177687.7	345.6556
291252.7	176685.9	198.8657
343414	130711.8	123.3901
124034.6	121516.8	58.72632
378626.8	241317.1	140.7487
208535.6	157547.3	163.3188
131085.2	141459.3	169.1396
486089.6	240331.9	316.0331
380381.6	232581.2	337.7346
242544.4	186711.6	215.5761
203605.4	262112.4	492.588
435278.1	118340.5	199.488
377491.4	317929.3	750.0504
413285.6	192580.8	478.8853
451189.7	261792.7	386.6473
117118	93853.03	180.7811
312807.4	198552	309.0067
271099.6	137112.1	185.6815
278378.8	142169.1	334.1048
76671.35	52706.97	113.0838
287692.2	125230	296.7299
332844.5	383225.3	576.218
439310.8	252370	340.133
307848.8	205636.3	209.9369
80338.96	60929.94	38.87864
257537.7	124780.3	260.3274
472333	211489.2	563.2022
368488.4	211502.7	250.46190000000001
195723.2	138742.3	160.5704
77438.18	62923.36	40.51208
113264.1	150286.8	181.909
137743.7	120723.8	209.3924
386259.8	495520.6	470.1865
312475.1	162411.2	632.8052
243440.6	146680.6	193.369
543073.4	392218	719.3131
331950.2	350051.4	193.7839
78219.99	71226.79	29.07795
91233.23	73194.88	111.9041
442698.2	403883.5	451.0518
293760	186652.4	235.9424
316235.2	374635.3	618.2728
352331.1	263309.3	379.5172
232994.7	119852.8	204.2328
403826.4	197947.7	107.9112
273135.9	146637.2	342.259
506755.8	254103.6	504.45
107777.9	228757	334.5326
381005.9	206059	375.4465
182596.8	137415	238.7166
279072.8	126029.4	154.0496
277535.2	161249.7	221.5654
337473.2	185041.2	124.2198
303030.4	131352.6	397.5499
261611	117772.2	217.08
517606.1	210871.5	408.4655
113484.4	62038.09	16.3604
431377.8	239014.1	208.809
304608.8	187062.8	195.7933
198551.2	206801.5	389.2142
381082.8	216001	586.6668
230547	107752.4	205.3347
113249.7	85557.3	130.8184
307745.8	252686.8	281.5882
241569.5	109450	115.0154
305472.7	247299	259.3681
169355.8	120409.3	175.7382
311025.1	150094.1	166.106
258786.9	153640.1	331.3694
408572.5	264869.9	225.0657
155798.1	88492.34	104.061
470858.9	217185.1	298.3634
76860.56	69217.22	62.00618
262525.9	168440.9	286.5533
953737.6	587635.1	624.5991
702727.8	599381	1033.829
446065.3	285300.5	473.5441
444412.4	277309.6	523.1957
397984.8	186883.8	341.8053
396808.5	225882.7	560.065
503491.3	321910.3	492.8603
755094.2	426276.2	694.2799
247526.6	110228.1	98.27908
616217.9	488243.1	413.2751
342422.1	173618.2	300.321
339e3	331751.2	639.715
148886.8	81371	103.698
364655	255118.8	497.6569
351479.1	154352.1	122.8715
347181.7	164676.4	220.632
529430.4	386144.3	214.902
223942	92479.66	110.504
361681.2	160022.8	97.66977
399941.1	200084.6	335.829
331298.9	207274.8	389.7198
165054.4	97082.3	173.4306
412609.5	220511.4	368.2127
347551.9	186626.2	267.4446
179785.1	169553.6	168.3747
410701.9	354405	539.1024
97553.46	65301.47	157.4332
190157.5	138645.3	232.6625
102475.2	90212.89	118.6194
213895.3	124895.2	178.5254
381804.9	179628.7	377.6504
316092.1	167769.1	113.032
106905.5	86782.77	39.6824
179026.6	121203.9	144.0545
109517.7	93636.63	52.52959
271438.8	110758.1	223.4582
85484.87	49029.98	74.34778
284983.7	130486.6	132.4518
114331.3	177331.5	281.4196
191457.5	84626.41	133.476
313626.1	216891	203.3512
79221.53	83829.19	121.1214
279775.6	158530.5	267.2501
421907.3	285242.9	550.8607
96624.63	133718.4	141.4487
297971.8	159380.7	106.9389
395615.8	199434.5	409.4378
285723.8	174948.7	215.8224
322491.1	199827.7	347.8335
796248.1	467493.9	794.5943
656790.3	616901.5	521.5623
199909.1	96885.88	110.6596
110617.5	61759.33	-23.03679
327793.6	167959.5	291.0129
305558.4	96430.67	239.9871
347748.7	183983.8	263.3869
154711.7	159994	125.2828
92977.73	153499.3	188.0409
330958.3	133446.3	149.24
241835	311797.7	318.0815
365279.1	191313.8	248.4266
192125.8	119445.4	173.7158
255924.5	130779.2	170.5267
128558.6	69773.41	134.526
428409.5	231193.9	264.0092
187888.6	117138	212.5685
91110.7	72539.86	181.2867
276485.9	104678.8	138.6875
182396.5	100341.6	218.1041
320819.3	186591.7	273.7709
682160.6	273486.2	656.4384
404875	209426	343.7888
114249.6	136744.2	131.8036
111479.1	122681.7	37.94524
153041.6	107592.1	117.4397
110596.4	91010.67	186.7575
263918.8	162942.2	283.1957
344862.3	175116.4	151.3402
181343.8	154995.3	279.6306
132157.6	111690.7	136.1336
149151.5	86063.37	198.386
85281.14	57694	70.679
333018.1	331140.3	387.3863
103558.9	72512.64	73.16807
424075.9	369976.1	344.5277
