FSC-A	BSC-A	Violet
347130.1	207856.5	5500.841
145477.1	80978.7	905.3187
357006.3	243916.3	4910.039
371917.5	189271.1	3472.696
476401.5	300943	2768.175
535690.3	417270.3	4885.654
358428.1	233168.5	2171.72
1293628	984321	13735.62
316578.9	172250.4	1945.241
439257.2	297394.6	2463.796
522075.7	409920.3	5338.883
104074.7	103854.2	1066.226
116921.4	81951.07	1300.289
331838.6	154377	3208.311
191986.9	233313.6	6109.17
278413.3	145260.5	2543.874
666521.9	349354.8	26350.98
294872.9	162219.1	1213.47
102617.1	180226.8	1658.221
230886.9	127852.8	10619.23
600844.1	350311.2	1743.822
335550.5	214878.1	1479.657
783482.7	475708.9	9357.721
361281.9	267900.8	3085.88
333811	156885.4	262341.9
543184.8	377838.4	5754.09
334942.5	211554.8	2601.926
389991.7	263339.4	2500.665
139282.5	99163.29	2146.09
301688.8	263699.7	3017.872
627997.8	320770.5	2629.993
365022.9	256596.8	3669.267
241513.7	105234.8	1688.427
299124.8	276048.9	5101.632
390817	284464.3	3774.313
98884.3	73058.14	2612.479
260287.3	129730.9	3532.706
349254	275924.4	1836.059
227722.3	158407	1446.249
254264.3	146991.9	2561.025
340235.8	191495.6	2238.925
329269.2	241343.3	4573.924
486360	336703.2	2640.856
271754.9	140812.8	1076.234
304439.5	118912.3	1588.229
185993	177463.2	3981.787
660683.7	403671.1	8782.644
502078.8	441285.6	4245.627
364442.4	204922.8	1552.916
439458.6	246728.4	7156.275
657869.4	682397.6	22654.53
393348.1	393945.7	4546.389
372586	159790.2	753.9396
284565	189207	2523.105
317018.4	252889	6111.491
565163.4	372688.5	5603.93
318252.8	178108.9	1736.302
199179.3	118789.7	1263.057
395388.5	231938.8	2533.438
590473.5	515574.8	8981.898
475263.3	310104.6	6220.141
299728.8	203817.9	2771.74
311688.8	300647.9	10504.76
303728.3	142463.9	2100.25
224816.9	205782.1	2221.099
471486.3	354364.4	2203.3
268608.8	167197.8	3953.474
299552.5	205797.7	1762.01
343081.6	176929.3	2389.37
584399.8	327319.5	3092.699
246689.3	110563.1	2847.15
459393.6	258548.7	2934.955
410440.8	231886.2	3410.016
233915.3	172794.9	1944.178
120494	219186.8	3202.347
257811.8	175035.4	2533.723
452639.9	275067	3106.337
355892.7	274425.9	3986.934
153776.6	112997.3	894.0012
767411.1	553373.3	15219.75
320446.6	180059.5	2357.764
176637.3	138784.2	3552.657
380863.8	211314	3093.23
429937.3	366515.9	4041.81
92896.04	90607.33	4469.734
265449.5	158930.4	1692.109
305938.3	143795.7	826.0706
290640.4	202014.7	4037.843
287277	216760	3754.66
202716.4	91052.59	1926.923
406851.7	228448.3	4564.811
361207.8	247389	3380.095
403875.3	240739.6	2153.571
363996.1	239089	2342.999
463446.5	422072.6	6433.876
1599900	1163358	27745.77
150018.3	147075.3	2656.102
402432.4	330394.2	4200.228
355771	197042.3	5329.705
307727.4	236887.5	3525.122
303699.4	190454.3	1932.446
188792.4	72324.78	1531.603
255555.9	163509	2409.905
297043.6	130834.8	2395.8
430979.9	215673.6	1861.041
252740.8	153772.4	2051.571
328973.3	235238.1	5305.67
562772.8	417356.6	10756.72
361520.4	243071.4	3086.956
245650.5	138895	3976.679
317616.9	203746.9	2950.278
418666.7	253965.3	2970.463
282772.4	198769.3	1622.817
563353.5	287439.2	5684.021
210963.6	163487.3	2629.215
432052.3	340373.6	4522.432
508850	386701	3451.059
651761.4	436047.3	9700.006
353282.8	236596.5	4747.226
337496.5	190776.1	1666.635
357287.4	257394.2	1141.378
653731.6	613396.1	13933.16
425105	268279.7	4301.67
86158.8	78862.77	1062.104
562812.5	386756	8694.555
453202.2	335696.2	3241.511
259593.7	177486.5	1829.37
438993.7	178027.5	1135.713
482401.9	354130.9	5177.405
341823.2	231427.8	1948.521
249800	174525.8	5070.895
422238.1	235688.3	3434.997
346182.1	203842.7	2823.128
327563.5	191877.5	3238.296
297826	188911	2281.744
237351.8	152297.6	1116.772
342489.7	175056.9	2800.027
596839	259309.3	5605.796
373865.6	166341.8	2186.045
88212.97	90384.66	948.5402
509714.9	262288.5	3501.203
100129.2	126977.5	1421.281
440102.5	199410.1	3026.557
214777.8	144912.8	1691.577
442470.7	235823.1	5843.696
320002.8	135043.2	934.4096
123944.7	91162.55	3016.86
553547.4	524521.1	5591.186
276719.7	132040.1	2858.779
353934.4	202324.3	1441.323
642385.8	308459.9	2153.246
443632.3	286010.8	2676.663
353688.2	254490.7	3378.137
278703.8	177271.5	844.8422
232186.7	121596.3	1644.428
334178.5	213377.5	2239.145
274174.6	202247.2	3274.076
286581.5	176494.6	1676.202
84163.25	94778.2	638.3926
72392.3	74705.09	307.6326
