FSC-A	BSC-A	Violet
461875.3	153136	489.6712
272588.7	131138.5	326.9098
427474	210311.8	561.3484
253977	60643.19	171.0712
599611.3	439830.3	1350.265
292800.8	90193.56	278.399
269607.2	91466.96	134.1501
542176.8	173813	287.4348
405319.4	198736.5	468.6697
280270.6	84402.03	124.7513
778495.8	298752.9	394.4775
386940.9	152714.5	350.2189
321087.4	133260.3	577.8384
394787.1	165749.9	292.4908
327250	117040	209.6128
994346.1	475081.4	2182.726
280209.9	113449.6	324.2004
417229.5	182406.6	423.8536
87632.48	54755.89	46.20322
231180.3	91986.38	159.287
253837.2	102943.8	221.8636
88287.74	54316.24	118.036
224463.7	135836	219.945
726652.2	248357.1	1153.045
337166.9	120020.2	574.766
125183.7	104408.1	281.1733
302854.3	113524.8	99.14765
360143.6	136637.8	216.717
88899.7	35214.09	84.18735
152775.8	85307.61	204.0124
315180.2	110300.7	367.3052
281119.3	106940.3	190.2707
813677.4	518419.2	424.3851
284375.9	174450.2	1297.372
457046.5	238964.3	545.0269
101228.3	51692.58	85.9634
371615.6	113521.9	296.2244
77029.25	29606.4	80.49265
376171.5	162931.9	339.4718
233358.4	117783.6	336.4642
167250.1	68488.13	88.10244
493297.6	136492.3	422.4276
268894.4	125884.3	286.4496
618229	273910.7	627.2827
102422.8	38953.63	60.80054
350266.2	116415.8	276.9471
343289	81866.25	150.3938
84368.96	48427.68	145.7268
233022.4	68369.34	328.3358
284097	118023.3	216.0299
142098.8	54965.89	167.532
171453.7	93420.01	197.8156
109035.6	45631.37	20.02917
177121.1	66159.88	63.79519
619864.5	198462.8	400.752
140051.6	53339.8	124.3235
228859	102337.6	502.1683
366904.1	115176.3	431.2949
358367.6	226459.9	319.5074
340336.6	115864.2	368.9776
282667.3	113289.4	223.9767
423895.5	90255	58.28555
409468.6	134923.5	222.2655
744441.3	382929.6	818.6293
416053.1	170654.8	167.1302
664452.1	193892.8	239.5334
389155.4	145850	472.9737
847570.4	680980.8	2105.034
256982.8	76727.91	279.5528
331384.2	159426.1	445.8533
804116.4	372191.4	602.1586
417045.8	185258.7	170.5397
268123.8	187887.9	434.5099
436879.5	178477	528.8739
128318.6	62144.56	252.2639
235429.8	129833.3	53.50188
298118.5	95308.16	245.5616
260176.5	148635.4	393.5052
396532.6	151738	354.458
352230.7	166855.4	424.4759
347551.6	140639.4	273.1098
490056.8	179953.5	272.2282
100991.9	38872.62	45.07536
388011	143784.9	312.0792
541667.6	281290.7	627.9049
344884	136211.5	389.0327
175371.4	67537.84	356.1433
172559	104260.4	422.635
514431.4	198262.5	583.4518
300087.9	157793.8	608.6147
325643.3	143728.5	305.675
90889.45	44022.79	100.82
304253.1	161588.5	506.9001
416051.2	197727.2	501.5072
262057.8	169126.8	262.5183
135757	55817.39	92.76943
105408.9	85564.5	347.3279
76663.15	51575.45	100.1459
106843.5	56923.52	173.8066
1223803	467053.1	824.7871
302079	91923.72	444.2976
180715.3	63157.29	202.8845
340291.7	126887.6	143.4581
85123.66	38284.39	49.52197
522079.2	174345.6	287.6812
190245.5	71667.08	82.24277
327143.8	95638.58	187.6909
289204.4	146766.5	353.9654
313076.8	126215.6	392.4551
376638.5	180822	690.9482
349751.6	163322.5	182.5442
251167.2	92698.49	265.8889
138272.2	68638.13	165.9245
78077.75	30804.22	115.5469
322703.8	128785.2	470.0957
589215.9	245073.5	933.6966
418191.5	106555.4	138.3763
279431.9	86148.3	370.0406
263798.3	89044.27	182.3627
156596.2	63360.15	320.2853
171126.1	68965.84	233.6348
228371.4	81175.63	220.7228
97421.27	32983.86	60.632
652240.1	324758.8	963.6691
151692.3	63004.47	144.6768
823823.3	394152.9	1343.834
156191.4	92229.64	67.13987
122324.5	65980.79	168.4136
385327.9	150789.3	355.923
332154.8	121244	294.3705
104139.3	66077.97	140.7746
370796.8	125571.8	125.9051
260235.7	109601.7	416.9957
143386.5	49242.32	232.3384
329367.9	114128.7	198.6972
70148.26	35687.64	62.29138
412804.1	151670.1	206.2162
1034607	739866.5	1719.229
151044.6	102167.1	406.4691
221516.1	278753.3	667.4965
429955.1	382872.5	2836.818
282412.1	98010.87	105.2407
428823.6	126833.3	455.2003
493174	197913.6	412.0435
500720.7	301012	3412.038
67385.35	24299.23	65.88237
83067.95	36954.71	69.79746
219308.6	83409.12	261.6108
255429.1	107087.4	267.4705
188505.7	93071.62	346.4204
352497.3	184046.1	275.4822
138802.9	105015.5	386.3751
86224.35	80275.79	162.8651
265686.1	114614.1	172.5231
279540.5	86435	449.5999
274745.5	136688.9	212.2055
604345.3	319382.3	1753.895
523995	293391.8	1235.34
308349.3	88779.41	130.2739
93292.59	55490.39	140.3209
310584.1	103354.6	427.2242
239646	80096.54	106.5371
147609	54075.92	155.0997
262770.8	91408.38	238.3796
322359	107619.2	473.933
409115.6	108829.8	156.2924
227078.8	94996.45	331.3175
250365.1	101965.9	413.4048
76854.35	65019.54	24.70913
293724.3	153019.6	454.9669
612161.8	201248	410.6434
353422.5	120450.4	322.6836
391497.1	121009.6	592.2283
335995.2	106056.6	289.4183
360632.7	123076.7	407.3636
186261.7	100229.2	360.8363
99152.23	28553.41	13.65095
375652.9	186746.7	552.1311
255411.1	79282.05	171.9009
318652.7	112708.3	504.1648
1125527	523486.4	2625.611
154309.8	78403.55	395.9424
230427.2	91037.88	195.7803
355702.9	167159.9	256.3994
748258.9	400956.5	1101.293
616924.3	217537.9	489.7101
293945.4	188023.1	416.8272
268008	117667.7	226.9325
256141	86803.45	359.6825
129013.4	66347.84	91.75825
300662.8	121100.6	301.7729
475205.5	224625.6	315.2942
330236	111981.8	187.5742
521095.8	220210.9	607.2275
427526	151201.7	403.254
385204.9	222627.8	929.1592
841573.2	382664.3	988.793
589754.7	211885.9	526.2682
361693	135413.9	206.2551
731962.9	206933.6	286.6052
172592.2	75999	146.7121
369961.5	111705.3	101.7923
595901.5	244748	662.4795
122465.3	54494.57	134.3446
232344.5	106896.4	209.3405
269268	115234.4	220.0487
83676.47	41308.11	59.8801
387968.3	232444.4	381.2155
340085.9	164233.5	386.6862
280343.9	122908.9	326.1061
543320.1	236953.7	294.6817
199722	87722.8	343.7888
127843.8	45772.46	47.24033
95459.85	33323.93	48.45893
250910.1	78245.49	90.1637
243607	94490.28	388.6308
688036	277160.3	162.0483
349298.7	184980.5	493.1584
403100.1	194697.5	423.7888
341025.1	106009.6	441.3808
300112.9	122529.7	261.0015
258021.2	68388.65	191.4763
483867.4	166107.5	96.30856
392919.2	233279	500.5479
283931.8	136511.2	172.2768
115790.8	52143.94	124.2198
269164.8	74645.77	269.817
340080.3	129635.6	528.7313
255960.9	92908.64	60.65793
260581.1	100723	133.1259
401070	155231.7	387.4252
450450.3	130220.1	281.64
156813.3	67912.76	186.5889
299824.5	122256.7	186.1741
83282.25	33562.65	21.44224
226823.1	91849.2	161.4261
251925.6	99411.7	205.957
134169.1	56451.2	261.2738
70229.55	22241.07	48.42004
143800.9	43649.63	41.84736
84591.13	65343.37	216.1336
768241.9	367748.3	1303.698
412291.3	176194	214.7724
385007.3	131064	533.7872
337504.1	144120.2	256.9179
433214.2	142399.8	382.6285
316648.5	101370.4	129.2368
164696.8	115877.1	814.0012
266960.5	130679	327.9729
444978.2	111373.1	149.7456
80307.07	33554.45	159.5204
346651.9	124194	208.0182
384462.8	288611	1024.768
95866.55	36587.91	61.92839
86459.14	41257.65	151.6254
443922.6	141234.5	238.1073
125084.9	42919.38	87.01347
520776.9	164410.6	261.0275
75984.28	27628.71	54.176
141479.6	60849.21	257.9032
607193.2	228234.6	734.8957
390378	158069	565.6005
207401.5	119569.6	232.6236
252208.7	111398	268.378
545451.2	201649.3	300.4635
303337.1	177283.8	1139.368
874862.6	256969.5	379.9061
353780	116420.3	308.0733
183757	88179.41	367.8497
459645.9	177814.9	419.8478
351774.3	311157.4	522.392
397343.4	174066.4	141.9543
392991.2	236874.6	450.287
223007	135189.2	264.8907
204085.8	126337.3	163.617
165760.8	87927.55	394.309
436219.4	151214.5	276.1044
316627.3	139478.7	176.8531
98273.36	74335.27	166.5598
66608.58	31491.96	58.35036
90144.22	60142.32	115.5729
141849.7	135503.3	224.1712
426449	173645.9	330.799
171204	94685.71	218.1171
107104.2	32911.38	27.28894
452194.9	161805.5	361.8734
224117.3	119626.7	298.9727
243046.9	69136.37	212.1407
225929.2	102571.9	194.0302
140477.8	173412.7	483.9023
84253.35	43114.02	41.73069
1097628	480532.9	1922.451
105023.3	56031.32	69.77153
92659.8	25191.71	61.24131
263436.1	154078.5	361.5623
377672.3	162128.3	176.166
251291.7	81502.49	408.5044
149613	66430.25	128.5497
339187.1	131164.6	562.4633
631668.4	317677.2	626.6345
187262.8	100480.8	422.6609
286003	235757.5	442.5994
241248.2	108462.8	293.9687
193372.5	80175.97	169.1785
310358.7	124917.3	312.857
467398	154834.8	670.0893
217534.1	159060.4	417.0605
275743.7	118231.3	365.4255
285753.2	80304.13	261.5071
298978.4	101827.2	348.9743
611708.1	207835.1	742.7777
257064.6	101102.9	138.9338
535445.1	229304	241.4391
143556.5	57029.06	183.3091
407583.5	127043.6	164.5633
102759	74706.9	289.5609
120786.8	86753.62	251.2009
220272.5	93134.63	163.3966
97772.63	32027.54	119.2676
214041.4	105048.5	203.429
659706	274546	406.7413
276393.5	105765.1	155.722
443420.5	133925.6	186.4593
213742.2	116733.1	373.2038
581655.2	339420.1	707.6456
318750.1	137001.7	503.9703
656483.8	200011.5	690.3777
504134.6	273949.4	1464.061
302210.4	129291.5	189.1687
387864.5	121770.9	245.8079
139187	81747.54	279.3713
554356.4	174709	370.9221
151930	61763.1	61.26723
340005.9	102462	119.3583
198651	121359	370.274
