FSC-A	BSC-A	Violet
416771.9	263938.3	277.1286
450162.3	203224.2	578.4737
591489.3	270236.4	519.6826
95324.06	67620.79	75.34599
94180.86	86938.63	173.4825
611272.6	300661.2	382.6934
329491.4	257671.4	351.5801
491084.3	156486.1	364.9717
159313.5	152931.5	21.80522
438459.8	277910.2	675.6638
1310695	958005.4	2296.964
594057.3	229388.9	398.4963
290287.5	210264.3	199.5917
368342.8	299255.5	478.2759
212346.3	132773	359.3843
245113.3	123401.8	269.804
683779.4	256193.5	538.8431
654294.6	278939.9	534.215
1051700	530419.2	550.8607
107047.5	165210.3	-80.63525
85070.71	36675	62.77104
159837.2	64603.27	67.11394
518687.5	194028.3	655.1938
172161.3	202024.7	500.4442
338488.2	201324.6	149.8493
244696.1	86915.91	219.5301
412511.2	201128.2	151.9236
365840.3	261810.1	601.0049
301838.8	161678.1	233.0125
274898.8	151272.9	371.5574
412334.9	223108.5	437.8676
380127.8	167958.8	871.8589
175979.4	112399.8	169.1396
458917.2	140551	215.1483
104540.8	94447.63	8.685791
322344.9	246496.2	427.4576
296901.1	120257.7	338.2532
318915.5	133467.7	149.616
236389.4	129932.8	292.9834
422657.9	139310.5	303.9379
495112.2	202727.9	243.4614
112113.4	101916.9	143.6008
295722.1	181731.9	167.5061
292880.5	119256.2	369.0554
396922.5	161871.7	266.3167
462360.5	255945	569.8138
309154.8	120595.6	173.8066
348365.7	148014.3	169.8396
427481	172753.7	546.5955
161571.5	69366.32	174.9863
377580.3	212060.9	333.2881
528464.2	321366.9	1011.934
542747.8	215134.8	390.0828
158258.6	139169.5	101.2348
180930	124877.6	306.3621
308882	111710.5	240.2334
96152.72	60247.33	25.27954
675894.8	229479.4	464.262
427402	260517.5	305.2083
410784.3	248938.8	568.673
553072.8	197953.2	231.9365
663669.9	217980.3	539.1932
428952.2	237057.8	1071.334
119709.6	90863.04	123.1956
457386.5	280995.3	587.6521
360336.4	196110	595.8712
302340.3	114114.2	197.2452
437418.7	262555.1	641.2058
123578.8	87626.37	131.1036
275840.8	146326.8	359.0732
131820	143229	157.6665
164947.2	120197.8	107.6001
371720.6	284542.3	566.7155
358779.3	165044	392.9867
201505.8	264791.5	285.7495
464155.4	177962.5	502.1813
428404.3	539787.4	1973.671
313664.7	122737.2	358.3472
406819.8	290737.3	1684.784
209291.8	110286.4	217.8189
656517.3	364083.8	387.3474
466532	239687.7	341.6757
334107.7	137235.5	265.6945
414843.2	154636.7	377.9486
653860.8	298564.8	851.3501
166644.9	132384.9	73.47919
523125.4	260002.8	403.7856
