FSC-A	BSC-A	Violet
291970.4	111213.7	1732.919
1158150	660059.5	14153.13
93087.64	100478.4	2800.662
226437.7	112703.6	3075.379
1264111	696225.7	5845.019
110832.4	126567.3	1608.271
244818	92777.27	2911.672
72233.6	50955.04	675.8193
147814.8	105174.6	2303.161
483526.3	161326.5	2740.458
427720.5	172959.5	2614.281
307725.3	238997.4	4274.641
370355.2	267503.3	3704.373
333819.7	201641.7	3966.84
681648.2	534379.3	7518.693
146272.9	75326.61	1279.871
1332278	783726	21903.19
1492707	1046299	64720.41
884865.9	381624.3	7441.804
118828.8	92804.27	1067.419
241508	240821.7	3705.06
1192028	648608.3	13349.24
682983.6	197202	4256.932
539553.1	294518.3	36638.66
339795	123975.1	26583.56
204361.5	100496.5	2776.368
630777.6	240845.2	4307.984
324699.7	183231.2	2795.502
195117.5	88093.16	11243.25
140859.3	67490.13	645.6524
407892.7	200429.6	1870.232
415953.7	143651.5	2630.563
433926.5	198421.7	4272.151
299412	102868.7	2351.516
416600.8	193824.9	9895.423
342145.2	164598.8	8536.732
496275	221866.5	3780.938
143894.9	66548.33	1335.382
347808	215829.9	3409.938
457080.4	236721.9	6923.314
464910.3	266240.7	4694.592
585634.4	281340.1	7565.104
115148.9	88764.05	1169.133
254970.6	176028.1	2385.831
405372.7	169198.5	2704.016
546634.8	209673.8	2392.624
478400.8	141054	2336.931
510245.3	221923	4137.716
530403.1	202187.8	6671.711
227143.8	115050.7	1599.093
492982.8	273649.9	2235.295
441302.6	271194.7	9318.129
500377.1	200719.8	1880.007
335459.8	144297.1	5935.338
610727.4	255635.1	3480.513
337325.4	166176.8	3294.508
333560.5	205282.1	2631.911
243041.4	107582.2	1165.931
789025.5	509417.1	14437.91
242196.6	86958.04	2071.859
200522.9	104430.7	3735.188
205421	86402.91	1624.502
304857.9	108543.1	3396.066
388549.2	187128.2	3613.704
455677.8	223170	5037.149
337549.8	116232.5	1983.705
122381.2	90017.63	1377.981
365113.8	116054.3	1600.649
146003	74915.4	1638.166
675027.5	329831.6	3651.117
483663.7	179051.4	1362.295
247980.9	120430.5	2467.594
368394.7	140087	2559.949
283204.3	104087.8	2293.995
591910.2	320199.4	4326.872
432634.9	205432.9	4559.068
312508.8	164251.9	2414.987
95331.29	52421.84	992.0469
220175	213998	21070.73
421991.4	165588.6	1245.841
315061.4	158786.3	2833.383
360080	125836.5	735.4272
517153.9	241391.4	3583.083
386646	188516.3	4812.55
366317	137753.8	845.9312
312081.9	200499.4	1737.482
212645.3	120027.7	1847.079
140580.1	111196.1	2894.715
372847.5	200866.6	2926.593
481752.6	159923.4	2848.667
308033.3	90083.41	2160.169
323301.3	169066.3	2905.851
394516.9	174502.5	813.7419
1178988	600100.8	19330.04
114605.1	102214.3	3457.243
475107.2	162550.8	1368.816
396902.4	155703.9	2915.755
309446.2	206179.8	21403.25
273838.7	110315.1	1951.788
505404.8	186809.2	3961.835
291260.8	104923.2	1338.74
194958.4	211265.1	3152.514
541909.5	287844.8	4003.411
207987.1	61672.98	1060.431
400329.6	138586.2	845.1793
174619.8	124172.1	2756.935
276174.4	103358.3	2236.241
459322.8	176848.3	4502.079
246242.5	199124.7	4915.25
368329.1	129331.4	1148.936
343585.9	120336.8	1976.056
354970.3	150685.4	2086.405
690082.9	363115.7	12349.81
460354.8	254013.9	24083.9
670477.5	275542.8	2691.636
378779.2	115724.3	3651.351
139136.4	136842.4	1904.055
460237.2	185051.8	6344.387
814776.9	442663.8	3184.833
564939.5	198788.9	4732.654
214204.2	100179.6	1190.99
207145.6	148854.1	1413.178
219247.3	236006	3696.284
968893.8	515593.1	10197.88
164745	225698.4	1931.927
294845.3	113859.7	3891.947
245717.9	125690.4	1049.762
139788.7	101687.5	571.9918
477639.9	212426.8	1115.567
511052.2	247312.1	6513.565
425678.5	148767.4	1050.294
385572.8	221181.5	16191.52
424656.8	169736.1	3196.643
275931.4	129408.6	2797.823
448189	179536.7	5163.625
816140.5	370883.3	4960.494
447298.8	321504.8	60677.21
95869.12	46827.79	1570.352
314065.3	135193.2	3668.904
194134.8	110042.1	2290.702
1042963	596275.9	21109.6
312065.2	214498.6	4543.576
84725.35	73050.72	462.6674
437508	312508.7	2633.817
336234.8	145567.2	3632.073
367266.6	217897	5389.054
285683.6	116982.6	1613.975
598463	340187.6	6187.628
612902.3	315325.6	7303.791
255867.8	152009.6	3389.144
448840.7	183444.7	5777.775
436254.4	256525.5	2819.382
260050.9	193590.3	4457.69
376776.9	199287	6347.109
458837.9	181927.9	3077.246
303127.5	111209.8	2859.362
208264.7	115704.1	1698.292
373357.9	141617.1	1591.509
71431.05	33819.07	489.9694
285913.9	300719	9962.783
387436.4	210789.8	12496.2
319942	150793.4	1679.65
314739.6	129078.5	2867.206
550436.7	222431.7	1905.974
216042.9	78112.33	2781.488
222180.5	99305.98	1094.008
449322.2	182960	3383.816
391255.6	158525.4	509.7133
359206.1	268967.1	5235.432
771220.1	339765.4	34143.79
295078.1	138044.4	11192.76
425998.8	122837.7	1616.866
295422.8	156147.4	11137.62
331079.8	142147.1	3305.397
372792.3	151028.1	1939.33
328669.3	771277.5	31051.73
1610184	953497.8	46521.91
355935.2	139246.2	2173.898
439724.7	168928.5	1311.503
851394.6	359774	4937.263
248899.1	147410.6	2242.191
733709.5	309225.1	8602.083
546847.3	195253.2	4273.435
501473.8	316021.4	4645.537
272300.3	167262.5	3122.581
1011526	638277	5816.07
283637	169495.7	2810.683
859673.4	392533.9	7312.528
463779.7	201707.2	3137.956
434790.9	250957.1	15344.98
664617	536702.4	13418.94
317810.1	110812.8	1982.914
441173	196814	8494.133
404511.6	127764.8	2857.586
507194.5	168016.3	1488.33
776867.9	385988.1	11538.79
304235.4	102125.8	2351.814
384478.7	147467.8	3086.891
360333.9	156991.2	2110.219
279346.4	112826.6	2391.237
1256133	496589.2	24531.69
574121.9	227112.9	32583.81
223072.3	79237.79	1743.536
465011.5	238352.8	2550.654
359916.6	166636.7	1529.257
240449.7	115875.1	860.4507
724129.9	310259.7	7208.986
322489	142788.8	1818.104
475291.8	186905.2	1121.336
395101	158472.7	4599.684
336768.1	247191	4034.278
1285494	571126.1	5763.605
471240.8	179346	3882.237
411602.5	121945.7	958.1335
488704.8	378175.5	4590.544
565868.8	188280.8	2437.92
361301.1	107837.1	2166.547
252025.6	113884.1	8339.279
306905.6	218955.7	3062.364
590847.1	238963.2	3579.155
517877.4	216340.4	12252.36
552515.9	652519.4	15272.8
364595.1	104938.7	1147.795
631689.4	256351	2516.727
275392.2	166758.8	2797.693
512830.9	287601.9	4038.517
430969.2	132667.8	2283.209
325113.7	150823.4	1921.453
385857.4	303225.4	5196.864
453255.8	221165.5	4306.233
441612.3	172037.8	2584.101
144106.8	73802.02	628.1123
520618.8	193908	2859.583
227856.5	223246.9	16563
346703.9	304786.8	7534.029
170222.4	164502.4	1506.829
380856.3	136924	1361.375
256649.8	114477.3	1915.087
514801.9	224434.9	14006.25
66669.62	58113.89	894.0272
486192.5	191895.3	2272.06
305320.8	127017.2	3575.733
279747.2	124415.2	2328.725
340718	218898.6	3268.774
179978.3	91987.83	2357.687
288914.1	152334.9	4329.918
367819.9	150948.4	2518.607
1159381	791332.7	35651.96
389670.1	204565.3	1916.021
309822.1	101542.9	1532.485
283370	125347.7	2573.69
361636.8	239468.7	5095.163
291718.1	146626.9	3710.466
121922.3	75024.75	2916.507
91835.22	43510.03	1432.002
248247.5	236920.9	3197.071
690159.4	300796.9	7523.839
345140.1	162045.5	1881.524
572859.1	233464.2	2909.092
654932.5	421123.2	5269.967
481799.8	284035.7	7635.808
406888	304099.8	2896.932
128808.1	79771.47	2566.081
737147.6	288555.1	6854.515
405547.9	158720.7	1475.197
333536.4	141014.7	3804.324
388564.9	169396.9	3020.283
286590	173014.7	3665.806
478909.6	160444.2	2637.136
229573.8	221083.6	913.3563
272997.5	113655.8	1776.918
400178.8	146844.8	3067.977
376228.9	199734.4	4189.092
361664.3	196884.3	4057.34
522098.8	265468.7	3102.681
415733.3	181220	1517.771
487316.4	159734.4	1463.996
448732.4	213866.3	6221.321
515420	191347	7937.438
263357.7	96656.3	3148.69
984797.9	478744.4	7077.429
265460.1	122737.8	2723.358
542389.2	276613	4191.49
519601.3	249774.4	11589.94
387860.2	166539.9	4081.051
331590	209448.5	3578.87
419893.5	192744.9	1002.314
504326.6	220259	5185.897
518373	182925.7	3779.473
567791.3	858136.3	12912.27
252930.2	129811.9	4047.345
408144.1	350282.7	4701.93
498862.9	229064.1	4218.767
142805.8	107396.8	2277.726
680126.8	403417.3	5814.93
149862.6	83236	9612.694
501598.6	250605.2	10534.48
629364.1	314781.5	1271.872
360635.1	209646.3	4973.51
322286.1	128654.9	8109.754
473310.9	172380.7	3156.974
980617.5	508893.2	3321.343
952261.1	744032.8	14763.91
591562	195131.6	1796.299
566008.6	283495.6	3627.07
697172.1	342751.4	7528.286
281017.1	122045.1	2007.909
409729.4	148158.7	3618.112
374020.7	253802.2	2607.617
364919.6	154463.3	891.0066
166880.8	68995.62	1842.606
313702.9	144280.5	3693.211
132402.2	137085.7	1955.314
216482.3	227162.3	2785.39
256639.9	116024	1816.328
272119.1	181065.4	4709.28
160006	137909.5	2083.19
397807	247799	4343.077
