X__1	X__2	X__3	X__4	X__5	X__6	X__7	X__8	X__9	X__10	X__11	X__12	X__13	X__14	X__15	X__16
A549	cell	Long PolyA- RNA	Junctions	NA	021WC,022WC	LID9005,LID9006	wgEncodeEH000184	GSM767854	Illumina Genome Analyzer IIx	5.1 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqA549CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPamJunctions.bedRnaElements.gz
A549	cell	Long PolyA+ RNA	Junctions	NA	021WC,022WC	LID8963,LID8964	wgEncodeEH000143	GSM758564	Illumina Genome Analyzer IIx	10 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqA549CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqA549CellPapJunctions.bedRnaElements.gz
AG04450	cell	Long PolyA- RNA	Junctions	NA	017WC,018WC	LID9001,LID9002	wgEncodeEH000179	GSM765396	Illumina Genome Analyzer IIx	5.0 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqAg04450CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPamJunctions.bedRnaElements.gz
AG04450	cell	Long PolyA+ RNA	Junctions	NA	017WC,018WC	LID8965,LID8966	wgEncodeEH000144	GSM758561	Illumina Genome Analyzer IIx	8.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqAg04450CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqAg04450CellPapJunctions.bedRnaElements.gz
BJ	cell	Long PolyA- RNA	Junctions	NA	037WC,038WC	LID9007,LID9008	wgEncodeEH000185	GSM767855	Illumina Genome Analyzer IIx	4.3 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqBjCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPamJunctions.bedRnaElements.gz
BJ	cell	Long PolyA+ RNA	Junctions	NA	037WC,038WC	LID8969,LID8970	wgEncodeEH000145	GSM758562	Illumina Genome Analyzer IIx	8.9 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqBjCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqBjCellPapJunctions.bedRnaElements.gz
B-cells CD20+	cell	Long PolyA- RNA	Junctions	NA	041WC,042WC	LID44659,LID44660	wgEncodeEH002666	GSM981254	Illumina Genome Analyzer IIx	7.2 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqCd20CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqCd20CellPamJunctions.bedRnaElements.gz
B-cells CD20+	cell	Long PolyA+ RNA	Junctions	NA	041WC,042WC	LID44498,LID44499	wgEncodeEH002665	GSM981256	Illumina Genome Analyzer IIx	8.9 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-05-14T00:00:00Z	wgEncodeCshlLongRnaSeqCd20CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqCd20CellPapJunctions.bedRnaElements.gz
CD34+ Mobilized	cell	Total RNA	Junctions	NA	043WC	LID45901	wgEncodeEH002670	GSM981257	Illumina HiSeq 2000	15 MB	bedRnaElements	2012-03-27T00:00:00Z	2012-12-27T00:00:00Z	wgEncodeCshlLongRnaSeqCd34mobilizedCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqCd34mobilizedCellTotalJunctions.bedRnaElements.gz
GM12878	cell	Long PolyA- RNA	Junctions	NA	003WC,004WC	LID8661,LID8662	wgEncodeEH000148	GSM758572	Illumina Genome Analyzer IIx	6.8 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqGm12878CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPamJunctions.bedRnaElements.gz
GM12878	cell	Long PolyA+ RNA	Junctions	NA	003WC,004WC	LID16629,LID16630	wgEncodeEH000146	GSM758559	Illumina Genome Analyzer IIx	9.1 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqGm12878CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878CellPapJunctions.bedRnaElements.gz
H1-hESC	cell	Long PolyA- RNA	Junctions	NA	005WC,006WC	LID8663,LID8664	wgEncodeEH000149	GSM758573	Illumina Genome Analyzer IIx	7.3 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqH1hescCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPamJunctions.bedRnaElements.gz
H1-hESC	cell	Long PolyA+ RNA	Junctions	NA	005WC,006WC	LID8461,LID8462	wgEncodeEH000150	GSM758566	Illumina Genome Analyzer IIx	9.9 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqH1hescCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapJunctions.bedRnaElements.gz
HAoAF	cell	Total RNA	Junctions	NA	056WC,055WC	LID47021,LID47020	wgEncodeEH002679	GSM984614	Illumina HiSeq 2000	19 MB	bedRnaElements	2012-06-29T00:00:00Z	2013-03-28T00:00:00Z	wgEncodeCshlLongRnaSeqHaoafCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHaoafCellTotalJunctions.bedRnaElements.gz
HAoEC	cell	Total RNA	Junctions	NA	057WC,058WC	LID47022,LID47023	wgEncodeEH002680	GSM984618	Illumina HiSeq 2000	13 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHaoecCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHaoecCellTotalJunctions.bedRnaElements.gz
HCH	cell	Total RNA	Junctions	NA	059WC,060WC	LID47024,LID47025	wgEncodeEH002674	GSM984611	Illumina HiSeq 2000	16 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHchCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHchCellTotalJunctions.bedRnaElements.gz
HFDPC	cell	Total RNA	Junctions	NA	061WC,062WC	LID47094,LID47095	wgEncodeEH002671	GSM981258	Illumina HiSeq 2000	10 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHfdpcCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHfdpcCellTotalJunctions.bedRnaElements.gz
HMEC	cell	Long PolyA- RNA	Junctions	NA	036WC	LID8831	wgEncodeEH000176	GSM765397	Illumina Genome Analyzer IIx	1.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHmecCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmecCellPamJunctions.bedRnaElements.gz
HMEC	cell	Long PolyA+ RNA	Junctions	NA	036WC	LID8695	wgEncodeEH000153	GSM758571	Illumina Genome Analyzer IIx	5.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHmecCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmecCellPapJunctions.bedRnaElements.gz
HMEpC	cell	Total RNA	Junctions	NA	063WC	LID47096	wgEncodeEH002683	GSM984621	Illumina HiSeq 2000	6.6 MB	bedRnaElements	2012-03-27T00:00:00Z	2012-12-27T00:00:00Z	wgEncodeCshlLongRnaSeqHmepcCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHmepcCellTotalJunctions.bedRnaElements.gz
HOB	cell	Total RNA	Junctions	NA	053WC,054WC	LID47251,LID47252	wgEncodeEH002675	GSM984610	Illumina HiSeq 2000	13 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHobCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHobCellTotalJunctions.bedRnaElements.gz
HPC-PL	cell	Total RNA	Junctions	NA	071WC,072WC	LID47301,LID47104	wgEncodeEH002667	GSM981255	Illumina HiSeq 2000	10.0 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHpcplCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHpcplCellTotalJunctions.bedRnaElements.gz
HPIEpC	cell	Total RNA	Junctions	NA	073WC,074WC	LID47105,LID47253	wgEncodeEH002685	GSM984604	Illumina HiSeq 2000	9.4 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHpiepcCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHpiepcCellTotalJunctions.bedRnaElements.gz
HSMM	cell	Long PolyA- RNA	Junctions	NA	023WC,024WC	LID8826,LID8827	wgEncodeEH000177	GSM765391	Illumina Genome Analyzer IIx	3.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHsmmCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHsmmCellPamJunctions.bedRnaElements.gz
HSMM	cell	Long PolyA+ RNA	Junctions	NA	023WC,024WC	LID8710,LID8711	wgEncodeEH000154	GSM758578	Illumina Genome Analyzer IIx	8.2 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHsmmCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHsmmCellPapJunctions.bedRnaElements.gz
HSaVEC	cell	Total RNA	Junctions	NA	094WC,093WC	LID47261,LID47260	wgEncodeEH002676	GSM984613	Illumina HiSeq 2000	10 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHsavecCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHsavecCellTotalJunctions.bedRnaElements.gz
HUVEC	cell	Long PolyA- RNA	Junctions	NA	009WC,010WC	LID8788,LID8789	wgEncodeEH000188	GSM767856	Illumina Genome Analyzer IIx	4.8 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHuvecCellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPamJunctions.bedRnaElements.gz
HUVEC	cell	Long PolyA+ RNA	Junctions	NA	009WC,010WC	LID8463,LID8464	wgEncodeEH000155	GSM758563	Illumina Genome Analyzer IIx	8.7 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHuvecCellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHuvecCellPapJunctions.bedRnaElements.gz
HVMF	cell	Total RNA	Junctions	NA	051WC,052WC	LID47249,LID47250	wgEncodeEH002681	GSM984619	Illumina HiSeq 2000	12 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHvmfCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHvmfCellTotalJunctions.bedRnaElements.gz
HWP	cell	Total RNA	Junctions	NA	079WC,080WC	LID47254,LID47255	wgEncodeEH002682	GSM984620	Illumina HiSeq 2000	11 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqHwpCellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHwpCellTotalJunctions.bedRnaElements.gz
HeLa-S3	cell	Long PolyA- RNA	Junctions	NA	011WC,012WC	LID8790,LID8791	wgEncodeEH000191	GSM767847	Illumina Genome Analyzer IIx	6.3 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHelas3CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPamJunctions.bedRnaElements.gz
HeLa-S3	cell	Long PolyA+ RNA	Junctions	NA	011WC,012WC	LID16633,LID16634	wgEncodeEH000173	GSM765402	Illumina Genome Analyzer IIx	9.5 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHelas3CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHelas3CellPapJunctions.bedRnaElements.gz
HepG2	cell	Long PolyA- RNA	Junctions	NA	013WC,014WC	LID8792,LID8793	wgEncodeEH000159	GSM758567	Illumina Genome Analyzer IIx	6.1 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHepg2CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPamJunctions.bedRnaElements.gz
HepG2	cell	Long PolyA+ RNA	Junctions	NA	013WC,014WC	LID16635,LID16636	wgEncodeEH000160	GSM758575	Illumina Genome Analyzer IIx	8.3 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqHepg2CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHepg2CellPapJunctions.bedRnaElements.gz
IMR90	cell	Long PolyA+ RNA	Junctions	NA	045WC,046WC	LID45016,LID45017	wgEncodeEH002629	GSM981249	Illumina HiSeq 2000	15 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-05-14T00:00:00Z	wgEncodeCshlLongRnaSeqImr90CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellPapJunctions.bedRnaElements.gz
IMR90	cell	Total RNA	Junctions	NA	045WC,046WC	LID45238,LID45239	wgEncodeEH002623	GSM981243	Illumina HiSeq 2000	13 MB	bedRnaElements	2012-03-16T00:00:00Z	2012-12-16T00:00:00Z	wgEncodeCshlLongRnaSeqImr90CellTotalJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqImr90CellTotalJunctions.bedRnaElements.gz
K562	cell	Long PolyA- RNA	Junctions	NA	001WC,002WC	LID8659,LID8660	wgEncodeEH000162	GSM758577	Illumina Genome Analyzer IIx	8.0 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqK562CellPamJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPamJunctions.bedRnaElements.gz
K562	cell	Long PolyA+ RNA	Junctions	NA	001WC,002WC	LID16627,LID16628	wgEncodeEH000163	GSM765405	Illumina Genome Analyzer IIx	9.5 MB	bedRnaElements	2011-02-18T00:00:00Z	2011-11-18T00:00:00Z	wgEncodeCshlLongRnaSeqK562CellPapJunctions	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqK562CellPapJunctions.bedRnaElements.gz
