file name	obj status	project	grant	lab	composite	data type	view	cell	localization	rna extract	replicate	data version	dcc accession	date submitted	date unrestricted	GEO sample accession	lab exp ID	bio rep	seq platform	table name	type	md5sum	size	url	line
wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapTssHmm; type=bedRnaElements; md5sum=7b0f3d45b0bc364e95bd918c835fdae5; size=1.7M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	A549	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001158	2012-02-10	2012-11-10	GSM849359	K16,K17	021WC,022WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageA549CellPapTssHmm	bedRnaElements	7b0f3d45b0bc364e95bd918c835fdae5	1.7M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageA549CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001158; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849359; labExpId=K16,K17; bioRep=021WC,022WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageA549CellPapTssHmm; type=bedRnaElements; md5sum=7b0f3d45b0bc364e95bd918c835fdae5; size=1.7M"
wgEncodeRikenCageA549CytosolPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageA549CytosolPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6723; geoSampleAccession=GSM979632; labExpId=CThi10049,CThi10059; bioRep=087C,088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapTssHmm; type=bedRnaElements; md5sum=3ca940aaac31db4c9cd99b250b381984; size=3.8M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	A549	cytosol	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002736	2012-03-30	2012-12-30	GSM979632	CThi10049,CThi10059	087C,088C	Illumina_HiSeq_2000	wgEncodeRikenCageA549CytosolPapTssHmm	bedRnaElements	3ca940aaac31db4c9cd99b250b381984	3.8M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549CytosolPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageA549CytosolPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=cytosol; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002736; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6723; geoSampleAccession=GSM979632; labExpId=CThi10049,CThi10059; bioRep=087C,088C; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549CytosolPapTssHmm; type=bedRnaElements; md5sum=3ca940aaac31db4c9cd99b250b381984; size=3.8M"
wgEncodeRikenCageA549NucleusPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageA549NucleusPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=nucleus; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002737; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6719; geoSampleAccession=GSM979633; labExpId=CThi10106,CThi10060; bioRep=087N,088N; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549NucleusPapTssHmm; type=bedRnaElements; md5sum=a2e080e0849f65e0c15bf9553371b674; size=5.2M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	A549	nucleus	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002737	2012-03-30	2012-12-30	GSM979633	CThi10106,CThi10060	087N,088N	Illumina_HiSeq_2000	wgEncodeRikenCageA549NucleusPapTssHmm	bedRnaElements	a2e080e0849f65e0c15bf9553371b674	5.2M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageA549NucleusPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageA549NucleusPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=A549; localization=nucleus; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002737; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6719; geoSampleAccession=GSM979633; labExpId=CThi10106,CThi10060; bioRep=087N,088N; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageA549NucleusPapTssHmm; type=bedRnaElements; md5sum=a2e080e0849f65e0c15bf9553371b674; size=5.2M"
wgEncodeRikenCageAg04450CellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageAg04450CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=AG04450; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001159; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849358; labExpId=K12,K13; bioRep=017WC,018WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageAg04450CellPapTssHmm; type=bedRnaElements; md5sum=ddc41e9f47db9fa7c2862b3ecdde70df; size=2.1M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	AG04450	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001159	2012-02-10	2012-11-10	GSM849358	K12,K13	017WC,018WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageAg04450CellPapTssHmm	bedRnaElements	ddc41e9f47db9fa7c2862b3ecdde70df	2.1M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageAg04450CellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageAg04450CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=AG04450; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001159; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849358; labExpId=K12,K13; bioRep=017WC,018WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageAg04450CellPapTssHmm; type=bedRnaElements; md5sum=ddc41e9f47db9fa7c2862b3ecdde70df; size=2.1M"
wgEncodeRikenCageBjCellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageBjCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=BJ; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001160; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849328; labExpId=K18,K19; bioRep=037WC,038WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageBjCellPapTssHmm; type=bedRnaElements; md5sum=5384dc8d939943aceddf0fd66effe38b; size=1.7M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	BJ	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001160	2012-02-10	2012-11-10	GSM849328	K18,K19	037WC,038WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageBjCellPapTssHmm	bedRnaElements	5384dc8d939943aceddf0fd66effe38b	1.7M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageBjCellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageBjCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=BJ; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001160; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849328; labExpId=K18,K19; bioRep=037WC,038WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageBjCellPapTssHmm; type=bedRnaElements; md5sum=5384dc8d939943aceddf0fd66effe38b; size=1.7M"
wgEncodeRikenCageCd20CellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageCd20CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=CD20+; localization=cell; rnaExtract=longPolyA; readType=1x50; donorId=RO01794,RO01778; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002738; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6744; geoSampleAccession=GSM979634; labExpId=CThi10023,CThi10024; bioRep=041WC,042WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageCd20CellPapTssHmm; type=bedRnaElements; md5sum=c69036e9a1bf0eb39d0b73687fc31ec1; size=2.5M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	CD20+	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002738	2012-03-30	2012-12-30	GSM979634	CThi10023,CThi10024	041WC,042WC	Illumina_HiSeq_2000	wgEncodeRikenCageCd20CellPapTssHmm	bedRnaElements	c69036e9a1bf0eb39d0b73687fc31ec1	2.5M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd20CellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageCd20CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=CD20+; localization=cell; rnaExtract=longPolyA; readType=1x50; donorId=RO01794,RO01778; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002738; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6744; geoSampleAccession=GSM979634; labExpId=CThi10023,CThi10024; bioRep=041WC,042WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageCd20CellPapTssHmm; type=bedRnaElements; md5sum=c69036e9a1bf0eb39d0b73687fc31ec1; size=2.5M"
wgEncodeRikenCageCd34mobilizedCellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageCd34mobilizedCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=CD34+_Mobilized; localization=cell; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002739; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6725; geoSampleAccession=GSM979635; labExpId=CThi10058; bioRep=043WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageCd34mobilizedCellPapTssHmm; type=bedRnaElements; md5sum=ab8da53f0160caed5bf387c3f1f376d0; size=1.9M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	CD34+_Mobilized	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH002739	2012-03-30	2012-12-30	GSM979635	CThi10058	043WC	Illumina_HiSeq_2000	wgEncodeRikenCageCd34mobilizedCellPapTssHmm	bedRnaElements	ab8da53f0160caed5bf387c3f1f376d0	1.9M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageCd34mobilizedCellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageCd34mobilizedCellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=CD34+_Mobilized; localization=cell; rnaExtract=longPolyA; readType=1x50; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH002739; dateSubmitted=2012-03-30; dateUnrestricted=2012-12-30; subId=6725; geoSampleAccession=GSM979635; labExpId=CThi10058; bioRep=043WC; seqPlatform=Illumina_HiSeq_2000; tableName=wgEncodeRikenCageCd34mobilizedCellPapTssHmm; type=bedRnaElements; md5sum=ab8da53f0160caed5bf387c3f1f376d0; size=1.9M"
wgEncodeRikenCageGm12878CellPapTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageGm12878CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001680; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849368; labExpId=J72,J73; bioRep=003WC,004WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageGm12878CellPapTssHmm; type=bedRnaElements; md5sum=5f6e685ac94e68d1f8696df5f695fd1a; size=5.7M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	GM12878	cell	longPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH001680	2012-02-10	2012-11-10	GSM849368	J72,J73	003WC,004WC; labVersion=IDR	Illumina_GA2x	wgEncodeRikenCageGm12878CellPapTssHmm	bedRnaElements	5f6e685ac94e68d1f8696df5f695fd1a	5.7M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CellPapTssHmm.bedRnaElements.gz	"wgEncodeRikenCageGm12878CellPapTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cell; rnaExtract=longPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH001680; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5610; geoSampleAccession=GSM849368; labExpId=J72,J73; bioRep=003WC,004WC; labVersion=IDR; seqPlatform=Illumina_GA2x; tableName=wgEncodeRikenCageGm12878CellPapTssHmm; type=bedRnaElements; md5sum=5f6e685ac94e68d1f8696df5f695fd1a; size=5.7M"
wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	NA	"wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5075; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; labVersion=IDR; type=bedRnaElements; md5sum=329b5534c170df31bb68a5ec85fa29c7; size=3.1M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	GM12878	cytosol	longNonPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000338	2011-11-04	2012-08-04	GSM849329	I27	"wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5075; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; labVersion=IDR; type=bedRnaElements; md5sum=329b5534c170df31bb68a5ec85fa29c7; size=3.1M"	"wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5075; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; labVersion=IDR; type=bedRnaElements; md5sum=329b5534c170df31bb68a5ec85fa29c7; size=3.1M"	"wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5075; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; labVersion=IDR; type=bedRnaElements; md5sum=329b5534c170df31bb68a5ec85fa29c7; size=3.1M"	bedRnaElements	329b5534c170df31bb68a5ec85fa29c7	3.1M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	"wgEncodeRikenCageGm12878CytosolPamTssHmm.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2011-11-04; dateUnrestricted=2012-08-04; subId=5075; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; labVersion=IDR; type=bedRnaElements; md5sum=329b5534c170df31bb68a5ec85fa29c7; size=3.1M"
wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	NA	"wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; tableName=wgEncodeRikenCageGm12878CytosolPamTssHmmV2; type=bedRnaElements; md5sum=71a1a2c77cc44a6fe8096bcecd7c96e9; size=3.1M"	Gingeras	RIKEN	wgEncodeRikenCage	Cage	TssHmm	GM12878	cytosol	longNonPolyA	NA	ENCODE Mar 2012 Freeze	wgEncodeEH000338	2012-02-10	2012-11-10	GSM849329	I27	"wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; tableName=wgEncodeRikenCageGm12878CytosolPamTssHmmV2; type=bedRnaElements; md5sum=71a1a2c77cc44a6fe8096bcecd7c96e9; size=3.1M"	"wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; tableName=wgEncodeRikenCageGm12878CytosolPamTssHmmV2; type=bedRnaElements; md5sum=71a1a2c77cc44a6fe8096bcecd7c96e9; size=3.1M"	wgEncodeRikenCageGm12878CytosolPamTssHmmV2	bedRnaElements	71a1a2c77cc44a6fe8096bcecd7c96e9	3.1M	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	"wgEncodeRikenCageGm12878CytosolPamTssHmmV2.bedRnaElements.gz	project=wgEncode; grant=Gingeras; lab=RIKEN; composite=wgEncodeRikenCage; dataType=Cage; view=TssHmm; cell=GM12878; localization=cytosol; rnaExtract=longNonPolyA; submittedDataVersion=V2 - Repacing . with -1 for missing data; dataVersion=ENCODE Mar 2012 Freeze; dccAccession=wgEncodeEH000338; dateSubmitted=2012-02-10; dateUnrestricted=2012-11-10; subId=5609; geoSampleAccession=GSM849329; labExpId=I27; bioRep=gen0104C; tableName=wgEncodeRikenCageGm12878CytosolPamTssHmmV2; type=bedRnaElements; md5sum=71a1a2c77cc44a6fe8096bcecd7c96e9; size=3.1M"
