experiment	cellLine	condition	gene	Ct1	Ct2
1	PC3	mock	CCND1	19.978964	19.962273
2	PC3	mock	CCND1	20.443527	20.540937
3	PC3	mock	CCND1	20.668993	20.727446
4	PC3	mock	CCND1	20.176735	20.033281
5	PC3	mock	CCND1	19.62533	19.695843
6	PC3	mock	CCND1	19.610836	19.941126
1	PC3	miR34a AS	CCND1	19.610289	19.62072
2	PC3	miR34a AS	CCND1	19.828499	19.851185
3	PC3	miR34a AS	CCND1	19.901247	19.896759
4	PC3	miR34a AS	CCND1	19.967218	19.968784
5	PC3	miR34a AS	CCND1	19.866238	19.751118
6	PC3	miR34a AS	CCND1	20.645998	20.527803
1	PC3	mock	B-actin	17.326052	17.2416
2	PC3	mock	B-actin	17.725937	17.853817
3	PC3	mock	B-actin	18.185722	17.822012
4	PC3	mock	B-actin	17.61207	17.259104
5	PC3	mock	B-actin	17.246462	16.969648
6	PC3	mock	B-actin	17.148438	16.685019
1	PC3	miR34a AS	B-actin	16.809261	16.60537
2	PC3	miR34a AS	B-actin	17.116978	16.993961
3	PC3	miR34a AS	B-actin	17.197512	17.080776
4	PC3	miR34a AS	B-actin	16.85633	16.715412
5	PC3	miR34a AS	B-actin	16.677372	16.815092
6	PC3	miR34a AS	B-actin	17.742544	17.467297
