Cell line	Condition	Treatment	Biological Replicate	Target	Ct1	Ct2
HCT116	p53 null	0	1	Actin	17.05	17.28
HCT116	p53 null	100	1	Actin	17.09	17.31
HCT116	p53 null	200	1	Actin	17.04	17.18
HCT116	p53 null	500	1	Actin	18.21	18.44
HCT116	p53 null	0	2	Actin	16.64	16.84
HCT116	p53 null	100	2	Actin	17.05	17.13
HCT116	p53 null	200	2	Actin	16.4	16.56
HCT116	p53 null	500	2	Actin	19.04	19.15
HCT116	p53 null	0	3	Actin	17.07	17.21
HCT116	p53 null	100	3	Actin	17.16	17.26
HCT116	p53 null	200	3	Actin	17.31	17.4
HCT116	p53 null	500	3	Actin	18.98	19.02
HCT116	p53 null	0	1	miR34a HG	29.6	29.49
HCT116	p53 null	100	1	miR34a HG	29.04	29.08
HCT116	p53 null	200	1	miR34a HG	28.74	28.64
HCT116	p53 null	500	1	miR34a HG	29.03	29.01
HCT116	p53 null	0	2	miR34a HG	28.41	28.63
HCT116	p53 null	100	2	miR34a HG	28.2	28.3
HCT116	p53 null	200	2	miR34a HG	27.56	27.47
HCT116	p53 null	500	2	miR34a HG	29.3	29.09
HCT116	p53 null	0	3	miR34a HG	28.84	28.88
HCT116	p53 null	100	3	miR34a HG	28.2	28.09
HCT116	p53 null	200	3	miR34a HG	28.61	28.64
HCT116	p53 null	500	3	miR34a HG	28.55	28.45
HCT116	p53 null	0	1	miR34a AS	33.12	33.51
HCT116	p53 null	100	1	miR34a AS	32.11	32.44
HCT116	p53 null	200	1	miR34a AS	32.5	32.25
HCT116	p53 null	500	1	miR34a AS	30.81	31.01
HCT116	p53 null	0	2	miR34a AS	32.63	32.93
HCT116	p53 null	100	2	miR34a AS	31.77	31.96
HCT116	p53 null	200	2	miR34a AS	31.14	30.72
HCT116	p53 null	500	2	miR34a AS	31.24	31.59
HCT116	p53 null	0	3	miR34a AS	32.45	32.85
HCT116	p53 null	100	3	miR34a AS	32.46	32.94
HCT116	p53 null	200	3	miR34a AS	32.19	32.44
HCT116	p53 null	500	3	miR34a AS	31.59	31.37
HCT116	WT	0	1	Actin	17.02	17.37
HCT116	WT	100	1	Actin	17.36	17.6
HCT116	WT	200	1	Actin	17.11	17.23
HCT116	WT	500	1	Actin	19.43	19.58
HCT116	WT	0	2	Actin	17.12	17.3
HCT116	WT	100	2	Actin	17.51	17.73
HCT116	WT	200	2	Actin	17.38	17.51
HCT116	WT	500	2	Actin	19.17	19.26
HCT116	WT	0	3	Actin	17.6	17.66
HCT116	WT	100	3	Actin	18.04	18.25
HCT116	WT	200	3	Actin	17.8	17.89
HCT116	WT	500	3	Actin	19.6	19.68
HCT116	WT	0	1	miR34a HG	28.96	28.95
HCT116	WT	100	1	miR34a HG	27.11	26.91
HCT116	WT	200	1	miR34a HG	26.56	26.46
HCT116	WT	500	1	miR34a HG	27.34	27.31
HCT116	WT	0	2	miR34a HG	29.17	29.04
HCT116	WT	100	2	miR34a HG	27.33	27.06
HCT116	WT	200	2	miR34a HG	26.94	26.67
HCT116	WT	500	2	miR34a HG	27.07	26.75
HCT116	WT	0	3	miR34a HG	29.34	29.41
HCT116	WT	100	3	miR34a HG	27.62	27.32
HCT116	WT	200	3	miR34a HG	27.34	27.01
HCT116	WT	500	3	miR34a HG	27.64	27.24
HCT116	WT	0	1	miR34a AS	30.69	32.25
HCT116	WT	100	1	miR34a AS	29.12	29.57
HCT116	WT	200	1	miR34a AS	28.22	28.97
HCT116	WT	500	1	miR34a AS	28.93	29.39
HCT116	WT	0	2	miR34a AS	31.08	31.38
HCT116	WT	100	2	miR34a AS	28.69	28.61
HCT116	WT	200	2	miR34a AS	28.44	28.44
HCT116	WT	500	2	miR34a AS	28.44	28.19
HCT116	WT	0	3	miR34a AS	31.4	31.51
HCT116	WT	100	3	miR34a AS	29.57	29.29
HCT116	WT	200	3	miR34a AS	28.91	28.92
HCT116	WT	500	3	miR34a AS	29.06	29.04
