cellLine	Treatment	Replicate	Time	Confluency
PC3-Mock	HBSS	1	0	1
PC3-Mock	HBSS	1	1	1.059288538
PC3-Mock	HBSS	1	2	1.197364954
PC3-Mock	HBSS	1	3	1.259683794
PC3-Mock	HBSS	1	4	1.321146245
PC3-Mock	HBSS	1	5	1.381949934
PC3-Mock	HBSS	1	6	1.367457181
PC3-Mock	HBSS	1	7	1.42826087
PC3-Mock	HBSS	1	8	1.397101449
PC3-Mock	HBSS	1	9	1.397101449
PC3-Mock	HBSS	1	10	1.412252964
PC3-Mock	HBSS	1	11	1.473056653
PC3-Mock	HBSS	1	12	1.443412385
PC3-Mock	HBSS	1	13	1.4585639
PC3-Mock	HBSS	1	14	1.4585639
PC3-Mock	HBSS	1	15	1.473715415
PC3-Mock	HBSS	1	16	1.519367589
PC3-Mock	HBSS	1	17	1.504874835
PC3-Mock	HBSS	1	18	1.488208169
PC3-Mock	HBSS	1	19	1.502700922
PC3-Mock	HBSS	1	20	1.517852437
PC3-Mock	HBSS	1	21	1.517852437
PC3-Mock	HBSS	1	22	1.534519104
PC3-Mock	HBSS	1	23	1.517852437
PC3-Mock	HBSS	1	24	1.517852437
PC3-Mock	HBSS	1	25	1.534519104
PC3-Mock	HBSS	1	26	1.534519104
PC3-Mock	HBSS	1	27	1.549011858
PC3-Mock	HBSS	1	28	1.517852437
PC3-Mock	HBSS	1	29	1.549011858
PC3-Mock	HBSS	1	30	1.534519104
PC3-Mock	HBSS	1	31	1.549011858
PC3-Mock	HBSS	1	32	1.534519104
PC3-Mock	HBSS	1	33	1.533003953
PC3-Mock	HBSS	1	34	1.547496706
PC3-Mock	HBSS	1	35	1.532345191
PC3-Mock	HBSS	1	36	1.547496706
PC3-Mock	HBSS	1	37	1.501185771
PC3-Mock	HBSS	1	38	1.517852437
PC3-Mock	HBSS	1	39	1.517852437
PC3-Mock	HBSS	1	40	1.532345191
PC3-Mock	HBSS	1	41	1.501185771
PC3-Mock	HBSS	1	42	1.501185771
PC3-Mock	HBSS	1	43	1.516337286
PC3-Mock	HBSS	1	44	1.486693017
PC3-Mock	HBSS	1	45	1.469367589
PC3-Mock	HBSS	1	46	1.471541502
PC3-Mock	HBSS	1	47	1.471541502
PC3-Mock	HBSS	2	0	1
PC3-Mock	HBSS	2	1	1.039351852
PC3-Mock	HBSS	2	2	1.078703704
PC3-Mock	HBSS	2	3	1.143696581
PC3-Mock	HBSS	2	4	1.187856125
PC3-Mock	HBSS	2	5	1.227207977
PC3-Mock	HBSS	2	6	1.292200855
PC3-Mock	HBSS	2	7	1.292200855
PC3-Mock	HBSS	2	8	1.313034188
PC3-Mock	HBSS	2	9	1.310719373
PC3-Mock	HBSS	2	10	1.336360399
PC3-Mock	HBSS	2	11	1.350071225
PC3-Mock	HBSS	2	12	1.375712251
PC3-Mock	HBSS	2	13	1.396545584
PC3-Mock	HBSS	2	14	1.394230769
PC3-Mock	HBSS	2	15	1.415064103
PC3-Mock	HBSS	2	16	1.415064103
PC3-Mock	HBSS	2	17	1.415064103
PC3-Mock	HBSS	2	18	1.459223647
PC3-Mock	HBSS	2	19	1.48005698
PC3-Mock	HBSS	2	20	1.48005698
PC3-Mock	HBSS	2	21	1.48005698
PC3-Mock	HBSS	2	22	1.48005698
PC3-Mock	HBSS	2	23	1.48005698
PC3-Mock	HBSS	2	24	1.454415954
PC3-Mock	HBSS	2	25	1.500890313
PC3-Mock	HBSS	2	26	1.48005698
PC3-Mock	HBSS	2	27	1.48005698
PC3-Mock	HBSS	2	28	1.48005698
PC3-Mock	HBSS	2	29	1.498575499
PC3-Mock	HBSS	2	30	1.48005698
PC3-Mock	HBSS	2	31	1.48005698
PC3-Mock	HBSS	2	32	1.454415954
PC3-Mock	HBSS	2	33	1.454415954
PC3-Mock	HBSS	2	34	1.459223647
PC3-Mock	HBSS	2	35	1.454415954
PC3-Mock	HBSS	2	36	1.433582621
PC3-Mock	HBSS	2	37	1.433582621
PC3-Mock	HBSS	2	38	1.454415954
PC3-Mock	HBSS	2	39	1.433582621
PC3-Mock	HBSS	2	40	1.433582621
PC3-Mock	HBSS	2	41	1.433582621
PC3-Mock	HBSS	2	42	1.433582621
PC3-Mock	HBSS	2	43	1.454415954
PC3-Mock	HBSS	2	44	1.415064103
PC3-Mock	HBSS	2	45	1.433582621
PC3-Mock	HBSS	2	46	1.368589744
PC3-Mock	HBSS	2	47	1.368589744
PC3-Mock	HBSS	3	0	1
PC3-Mock	HBSS	3	1	1.035185185
PC3-Mock	HBSS	3	2	1.090740741
PC3-Mock	HBSS	3	3	1.177777778
PC3-Mock	HBSS	3	4	1.196296296
PC3-Mock	HBSS	3	5	1.266666667
PC3-Mock	HBSS	3	6	1.287037037
PC3-Mock	HBSS	3	7	1.357407407
PC3-Mock	HBSS	3	8	1.357407407
PC3-Mock	HBSS	3	9	1.357407407
PC3-Mock	HBSS	3	10	1.357407407
PC3-Mock	HBSS	3	11	1.427777778
PC3-Mock	HBSS	3	12	1.411111111
PC3-Mock	HBSS	3	13	1.392592593
PC3-Mock	HBSS	3	14	1.427777778
PC3-Mock	HBSS	3	15	1.446296296
PC3-Mock	HBSS	3	16	1.464814815
PC3-Mock	HBSS	3	17	1.481481481
PC3-Mock	HBSS	3	18	1.5
PC3-Mock	HBSS	3	19	1.516666667
PC3-Mock	HBSS	3	20	1.5
PC3-Mock	HBSS	3	21	1.5
PC3-Mock	HBSS	3	22	1.535185185
PC3-Mock	HBSS	3	23	1.535185185
PC3-Mock	HBSS	3	24	1.516666667
PC3-Mock	HBSS	3	25	1.537037037
PC3-Mock	HBSS	3	26	1.518518519
PC3-Mock	HBSS	3	27	1.537037037
PC3-Mock	HBSS	3	28	1.535185185
PC3-Mock	HBSS	3	29	1.555555556
PC3-Mock	HBSS	3	30	1.518518519
PC3-Mock	HBSS	3	31	1.535185185
PC3-Mock	HBSS	3	32	1.518518519
PC3-Mock	HBSS	3	33	1.518518519
PC3-Mock	HBSS	3	34	1.537037037
PC3-Mock	HBSS	3	35	1.535185185
PC3-Mock	HBSS	3	36	1.516666667
PC3-Mock	HBSS	3	37	1.5
PC3-Mock	HBSS	3	38	1.481481481
PC3-Mock	HBSS	3	39	1.462962963
PC3-Mock	HBSS	3	40	1.464814815
PC3-Mock	HBSS	3	41	1.5
PC3-Mock	HBSS	3	42	1.464814815
PC3-Mock	HBSS	3	43	1.464814815
PC3-Mock	HBSS	3	44	1.446296296
PC3-Mock	HBSS	3	45	1.446296296
PC3-Mock	HBSS	3	46	1.411111111
PC3-Mock	HBSS	3	47	1.446296296
PC3-F4	HBSS	1	0	1
PC3-F4	HBSS	1	1	1.016666667
PC3-F4	HBSS	1	2	1.061309524
PC3-F4	HBSS	1	3	1.04047619
PC3-F4	HBSS	1	4	1.094642857
PC3-F4	HBSS	1	5	1.07797619
PC3-F4	HBSS	1	6	1.094642857
PC3-F4	HBSS	1	7	1.11547619
PC3-F4	HBSS	1	8	1.11547619
PC3-F4	HBSS	1	9	1.15297619
PC3-F4	HBSS	1	10	1.15297619
PC3-F4	HBSS	1	11	1.197619048
PC3-F4	HBSS	1	12	1.176785714
PC3-F4	HBSS	1	13	1.193452381
PC3-F4	HBSS	1	14	1.214285714
PC3-F4	HBSS	1	15	1.230952381
PC3-F4	HBSS	1	16	1.230952381
PC3-F4	HBSS	1	17	1.251785714
PC3-F4	HBSS	1	18	1.275595238
PC3-F4	HBSS	1	19	1.251785714
PC3-F4	HBSS	1	20	1.251785714
