experiment	treatment	gene	Ct1	Ct2
1	0	miR34a asRNA	28.52675	28.411524
1	1	miR34a asRNA	28.104467	27.781683
1	2	miR34a asRNA	29.1065	29.03344
1	4	miR34a asRNA	28.38897	28.265224
1	0	miR34a HG	28.90554	28.512215
1	1	miR34a HG	29.026308	28.987818
1	2	miR34a HG	31.259888	31.27967
1	4	miR34a HG	32.043785	32.748146
1	0	B-actin	15.685966	15.286043
1	1	B-actin	14.957027	14.810691
1	2	B-actin	16.209524	16.186146
1	4	B-actin	15.156208	14.893141
2	0	miR34a asRNA	30.542969	30.203321
2	1	miR34a asRNA	29.889393	29.62662
2	2	miR34a asRNA	29.930655	29.956772
2	4	miR34a asRNA	30.175516	30.179914
2	0	miR34a HG	28.660448	28.792915
2	1	miR34a HG	29.356691	29.381033
2	2	miR34a HG	31.129572	31.431995
2	4	miR34a HG	32.203686	32.488247
2	0	B-actin	18.784405	18.363989
2	1	B-actin	17.958616	17.852537
2	2	B-actin	18.164753	18.21511
2	4	B-actin	18.191557	18.14589
